Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.908,13.496,14.096,13.547,11.920,13.063,11.692,13.524,14.726,14.204,13.978,14.046,12.809,13.342,14.031,13.131,13.720,13.130,14.663,14.856,13.958,14.232,13.727,13.822,14.053,14.755,14.637,14.469,13.588,13.265
TMAX,MAMJJASO,17.695,17.989,18.946,18.461,17.646,18.197,16.626,18.677,19.266,18.485,18.240,18.429,17.522,18.464,19.082,18.195,18.428,18.065,19.783,19.215,19.272,19.820,18.463,18.720,18.811,19.767,19.814,18.675,18.405,19.453
TMAX,AMJJAS,20.449,20.519,22.010,21.258,20.161,20.860,19.224,21.731,22.037,20.873,20.772,21.673,20.302,21.613,21.700,20.994,21.553,20.828,22.889,21.733,22.227,23.530,21.454,21.501,21.930,23.083,22.251,21.149,21.686,22.873
TMAX,ONDJFM,3.465,5.452,6.809,5.730,4.076,5.020,4.139,5.749,6.928,7.331,6.392,7.890,5.914,3.931,6.460,4.607,6.821,5.759,5.100,6.887,7.337,6.738,3.620,6.007,5.819,5.606,8.140,7.179,6.767,4.182
TMAX,NDJF,2.655,2.513,5.422,3.812,0.799,1.827,1.795,3.772,4.569,5.245,4.420,6.070,4.842,1.385,4.706,1.464,4.866,4.266,2.206,5.105,5.421,3.845,1.303,4.224,4.431,3.308,5.339,5.496,4.715,1.732
TMIN,year,6.089,6.013,6.678,6.462,4.952,5.764,4.575,6.286,7.309,6.833,6.758,6.637,5.513,5.858,6.444,5.261,6.036,5.881,6.663,7.202,6.531,6.042,6.322,6.491,6.342,6.784,7.027,7.424,6.516,5.772
TMIN,MAMJJASO,9.574,9.126,10.267,9.918,9.656,9.641,8.383,10.164,10.542,9.758,9.680,9.592,8.802,9.439,10.249,8.723,9.295,9.537,10.143,9.839,10.474,9.755,9.590,10.050,9.370,10.001,10.583,10.124,9.736,10.397
TMIN,AMJJAS,11.680,10.863,12.299,11.892,11.255,11.403,10.544,12.499,12.272,11.319,11.408,11.811,10.645,11.524,11.797,10.635,11.489,11.816,11.996,11.399,12.599,12.281,11.961,11.984,11.817,12.191,12.292,11.521,11.897,13.077
TMIN,ONDJFM,-1.667,0.293,1.754,0.623,-0.607,-0.111,-1.247,1.009,1.233,2.015,1.577,2.689,0.999,-0.970,1.667,-1.184,1.471,0.567,-0.275,1.932,2.409,1.219,-1.655,1.069,0.682,0.325,2.573,2.758,2.288,-0.530
TMIN,NDJF,-1.699,-2.055,0.841,-0.817,-3.559,-2.924,-2.972,-0.456,-0.576,0.389,-0.026,1.486,0.375,-3.000,0.330,-3.521,-0.116,-0.170,-2.427,0.526,1.488,-1.070,-3.213,0.023,-0.048,-0.870,0.671,1.620,0.662,-2.279
