Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,18.900,18.817,19.582,17.804,18.465,18.444,18.484,19.239,19.259,19.763,18.386,20.054,19.324,20.321,19.034,17.987,19.058,19.513,19.441,21.178,19.825,20.019,20.473,19.065,18.565,19.765,20.470,20.406,20.330,18.848
TMAX,MAMJJASO,23.846,23.480,24.610,22.207,23.524,23.432,23.249,23.770,23.439,24.160,23.064,24.638,24.278,24.851,23.453,22.545,23.405,24.202,24.382,25.775,24.911,24.346,25.848,23.660,23.415,24.467,25.093,24.711,25.396,23.413
TMAX,AMJJAS,25.611,26.086,26.955,24.316,26.205,26.099,26.253,26.310,24.978,25.809,25.271,27.351,26.894,27.246,25.523,25.135,25.817,26.713,26.630,28.310,26.546,26.376,29.102,25.887,25.773,26.841,28.073,26.909,28.269,26.139
TMAX,ONDJFM,10.385,11.556,12.633,10.949,10.581,10.968,10.630,12.517,12.635,14.234,12.198,11.878,12.149,12.807,12.692,10.949,12.332,12.972,11.595,12.262,14.674,13.121,12.173,11.894,11.935,11.128,15.092,12.127,12.610,12.168
TMAX,NDJF,7.136,8.832,10.346,8.450,7.689,8.724,8.636,10.613,9.690,11.606,8.974,9.889,10.241,9.669,11.379,8.095,9.949,11.664,8.474,9.454,12.381,9.504,9.413,10.292,9.142,8.533,13.170,10.232,9.770,9.875
TMIN,year,8.623,9.259,8.830,8.495,7.975,8.470,8.630,8.988,9.251,9.109,8.531,9.688,9.190,10.503,9.375,8.681,9.012,9.299,9.721,10.243,9.532,10.158,9.282,9.155,8.633,9.388,9.711,9.953,9.825,9.226
TMIN,MAMJJASO,12.977,13.047,12.868,11.787,12.096,12.389,12.389,12.561,12.786,12.416,12.514,13.204,13.217,14.031,12.832,12.335,12.057,13.211,13.921,13.657,13.622,13.458,13.387,12.729,12.596,12.973,13.035,13.188,13.503,12.888
TMIN,AMJJAS,14.335,14.979,15.117,13.354,14.159,14.684,14.803,14.609,14.669,13.977,14.378,15.296,15.205,16.177,14.796,14.408,14.151,15.490,15.914,15.417,14.875,15.416,15.954,14.435,14.800,14.996,15.021,15.174,15.722,15.209
TMIN,ONDJFM,0.560,2.791,4.073,2.358,2.124,2.736,1.627,4.545,3.290,3.730,3.593,2.913,3.331,4.751,4.111,2.779,3.951,4.060,2.872,3.225,6.335,3.499,3.342,3.126,3.148,2.937,5.870,3.467,4.079,3.861
TMIN,NDJF,-2.326,0.261,2.186,0.649,-0.626,1.256,0.468,3.199,0.874,2.094,1.207,1.424,1.700,2.296,3.204,1.031,2.252,3.426,0.189,1.067,4.535,0.682,1.558,1.953,1.098,0.956,4.605,1.935,2.348,2.371
TAVG,year,13.512,13.758,13.922,12.895,12.979,13.162,13.295,13.805,13.852,14.134,13.183,14.672,14.022,15.080,13.826,13.035,13.742,14.084,14.272,15.456,14.362,14.709,14.507,13.700,13.226,14.230,14.741,14.802,14.732,13.707
TAVG,MAMJJASO,18.117,17.978,18.433,16.724,17.551,17.604,17.551,17.838,17.710,17.985,17.493,18.760,18.474,19.106,17.728,17.147,17.437,18.432,18.832,19.493,18.938,18.483,19.253,17.748,17.606,18.341,18.723,18.549,19.059,17.808
TAVG,AMJJAS,19.711,20.278,20.807,18.621,20.008,20.125,20.298,20.197,19.485,19.668,19.618,21.228,20.845,21.454,19.794,19.537,19.765,20.877,21.035,21.732,20.453,20.463,22.208,19.737,19.922,20.565,21.270,20.716,21.673,20.383
TAVG,ONDJFM,5.315,6.861,8.077,6.347,6.091,6.527,5.771,8.209,7.537,8.540,7.562,7.058,7.452,8.500,7.964,6.482,7.764,8.121,6.861,7.334,10.167,7.898,7.434,7.081,7.153,6.698,10.070,7.389,7.920,7.665
TAVG,NDJF,2.350,4.262,6.076,4.319,3.383,4.735,4.231,6.623,4.927,6.485,4.878,5.405,5.727,5.819,6.914,4.270,5.761,7.195,3.996,4.940,8.171,4.767,5.214,5.705,4.779,4.448,8.567,5.757,5.722,5.882
RH,year,73.110,74.694,70.729,75.321,73.276,74.751,73.651,72.752,73.831,70.901,72.606,70.150,71.347,71.924,73.305,73.654,70.821,71.857,73.992,68.666,71.005,74.322,69.188,75.182,73.977,73.273,71.282,72.744,72.473,75.893
RH,MAMJJASO,71.430,72.485,67.874,71.535,70.268,72.098,70.059,70.143,72.411,67.825,70.763,66.411,67.634,68.583,71.075,70.092,66.363,69.255,71.180,64.510,68.177,72.022,64.093,73.478,71.480,70.720,67.724,70.726,68.530,72.848
RH,AMJJAS,70.549,70.975,67.133,70.458,67.956,70.258,68.569,68.662,73.355,67.433,69.668,63.944,65.722,67.473,70.206,68.880,65.892,69.411,70.955,61.829,66.129,72.709,62.073,71.653,70.686,69.870,65.170,69.429,67.520,71.998
RH,ONDJFM,72.665,76.496,77.485,77.217,79.515,80.218,77.182,78.623,76.158,70.951,76.711,75.055,76.054,78.210,75.945,78.691,76.041,73.718,77.095,76.376,76.745,74.180,76.862,78.299,76.921,78.511,76.376,76.346,77.298,78.782
RH,NDJF,73.674,77.801,78.732,80.102,79.427,82.089,79.414,80.983,77.875,73.142,78.133,76.635,76.777,81.141,76.836,81.458,79.363,77.050,79.547,78.924,77.759,76.718,80.472,79.175,77.502,80.202,77.962,76.502,79.923,82.029
RHmin,year,53.500,55.973,51.075,56.824,53.544,55.281,54.708,53.340,54.171,51.690,53.767,51.856,52.851,53.388,54.473,55.558,52.396,52.740,54.996,49.848,52.033,55.105,49.522,55.495,54.504,53.518,51.849,53.067,52.975,56.571
RHmin,MAMJJASO,51.846,53.337,48.024,52.533,50.417,52.156,50.906,50.442,52.656,48.164,51.792,48.064,49.093,49.788,51.544,51.943,47.290,50.199,52.235,45.683,48.952,52.044,44.690,52.982,51.761,50.263,47.919,50.174,48.279,53.342
RHmin,AMJJAS,50.883,51.463,47.771,51.311,48.172,50.591,49.376,49.211,54.182,48.069,50.994,45.781,47.186,49.120,51.170,50.747,46.926,50.403,52.205,43.168,47.391,52.577,42.749,51.150,51.353,49.540,45.008,49.509,47.150,52.560
RHmin,ONDJFM,52.960,57.451,59.071,58.269,60.456,61.348,57.420,60.600,55.977,50.814,58.044,56.132,57.291,60.455,57.099,60.094,58.123,55.428,57.842,56.679,58.717,54.291,58.012,58.420,57.689,59.980,56.757,57.714,58.424,60.110
RHmin,NDJF,54.078,58.501,60.541,61.615,60.582,63.861,60.309,63.326,57.833,53.650,60.523,58.171,58.105,63.804,58.526,64.121,61.600,59.154,60.162,59.603,60.181,57.236,61.992,59.587,59.166,62.156,59.043,58.419,62.292,64.032
PREC,year,1237.102,1088.484,849.757,1335.234,1088.689,1086.717,1181.416,999.750,1049.724,1063.461,1103.581,1121.454,1156.069,1118.897,1348.868,1259.942,1062.220,1196.314,1323.490,984.268,1177.228,1182.990,829.500,1297.174,1303.111,1059.368,1095.537,1136.010,1167.175,1527.932
PREC,MAMJJASO,811.198,739.158,579.861,874.228,637.657,724.278,697.217,653.551,880.470,718.959,751.154,780.952,756.497,781.879,845.670,809.062,586.156,908.617,782.902,586.877,763.999,828.481,523.389,863.453,862.537,759.880,757.531,738.406,603.067,920.592
PREC,AMJJAS,633.088,497.938,401.101,680.463,472.435,557.281,549.071,465.552,765.715,483.728,575.036,362.249,514.233,605.530,703.042,682.680,492.619,728.480,641.512,386.808,600.903,701.474,324.580,604.314,734.963,620.446,527.131,506.591,414.150,775.666
PREC,ONDJFM,215.133,532.420,722.887,562.535,554.959,640.553,519.647,675.340,314.751,285.692,585.572,582.720,653.447,753.779,655.075,475.754,594.844,495.313,621.265,548.226,820.879,356.427,527.725,645.128,574.685,608.104,472.637,512.252,733.199,770.918
PREC,NDJF,129.520,345.541,475.431,408.243,298.051,548.714,348.000,489.908,165.732,173.813,374.349,332.673,286.520,513.040,419.125,428.554,455.351,419.371,399.109,397.686,552.779,320.518,397.361,368.923,338.412,459.884,309.477,252.681,553.866,603.112
SRAD,year,4876.150,4764.883,4952.223,4547.235,4853.204,4802.290,4781.696,4867.329,4709.041,5031.375,4815.027,5023.457,5023.650,5099.955,4795.486,4706.438,5064.385,5027.040,4826.307,5253.006,4909.973,4756.069,5274.522,4730.029,4834.439,4934.227,5146.944,4963.529,4959.170,4640.481
SRAD,MAMJJASO,4150.102,4105.771,4253.027,3965.445,4228.902,4171.978,4182.800,4172.763,3977.018,4303.722,4096.086,4324.581,4334.462,4407.441,4158.233,4070.406,4406.730,4279.973,4140.304,4516.649,4239.667,4135.874,4536.673,4086.078,4165.062,4241.532,4479.201,4263.928,4361.468,4056.425
SRAD,AMJJAS,3487.068,3492.639,3550.073,3347.705,3623.897,3541.329,3559.793,3529.814,3225.128,3582.362,3467.484,3725.800,3684.588,3653.696,3462.588,3462.174,3689.623,3544.256,3447.970,3851.060,3562.069,3408.553,3809.216,3456.186,3465.639,3563.054,3860.093,3605.371,3708.889,3421.826
SRAD,ONDJFM,806.132,1345.439,1276.826,1290.567,1197.152,1209.569,1333.274,1233.834,1414.969,1599.293,1300.501,1375.342,1327.288,1372.104,1340.116,1309.778,1355.413,1460.078,1363.865,1430.214,1247.352,1486.747,1400.097,1315.939,1351.745,1279.699,1391.459,1308.130,1279.759,1254.522
SRAD,NDJF,426.082,697.000,654.837,612.634,641.967,580.381,643.852,616.693,723.156,819.531,675.874,720.043,719.191,645.690,698.916,599.033,675.630,714.051,702.053,726.289,641.901,694.960,662.914,674.156,685.257,645.842,695.512,707.672,615.210,574.769
WIND,year,2.021,1.923,2.104,2.115,2.023,1.996,2.028,2.060,1.772,1.787,1.768,1.851,2.008,1.962,1.870,2.026,2.099,2.157,2.148,2.097,2.199,2.124,2.000,1.902,1.803,1.834,1.836,1.833,1.848,1.817
WIND,MAMJJASO,1.960,1.816,2.090,2.078,2.008,1.914,2.059,1.985,1.722,1.739,1.748,1.864,1.994,1.967,1.791,2.051,2.163,2.204,2.121,2.108,2.154,2.060,1.999,1.879,1.773,1.830,1.814,1.829,1.827,1.813
WIND,AMJJAS,1.921,1.697,2.080,2.054,2.046,1.944,2.014,1.925,1.725,1.720,1.752,1.822,1.946,1.932,1.779,2.058,2.162,2.144,2.067,2.044,2.134,1.988,1.932,1.874,1.801,1.738,1.792,1.784,1.744,1.751
WIND,ONDJFM,2.142,2.032,2.309,2.201,2.024,2.100,1.995,2.187,1.860,1.858,1.857,1.788,2.029,2.096,2.025,1.762,2.045,2.255,2.127,2.161,2.290,2.171,2.138,2.071,1.837,1.870,1.950,1.815,1.897,1.925
WIND,NDJF,2.160,1.987,2.351,2.246,2.007,2.235,1.970,2.153,1.873,1.938,1.878,1.761,1.997,2.077,1.968,1.828,2.021,2.166,2.007,2.111,2.261,2.215,2.148,2.019,1.872,1.810,1.952,1.749,1.847,1.862
VPD,year,0.545,0.520,0.623,0.489,0.565,0.528,0.554,0.588,0.517,0.620,0.550,0.678,0.648,0.649,0.549,0.538,0.599,0.605,0.562,0.763,0.651,0.552,0.756,0.522,0.523,0.588,0.670,0.610,0.635,0.521
VPD,MAMJJASO,0.707,0.674,0.821,0.647,0.751,0.697,0.738,0.768,0.645,0.799,0.715,0.894,0.866,0.853,0.704,0.707,0.787,0.781,0.740,1.007,0.855,0.702,1.031,0.674,0.686,0.765,0.880,0.781,0.845,0.684
VPD,AMJJAS,0.789,0.791,0.939,0.739,0.880,0.818,0.872,0.903,0.690,0.890,0.820,1.068,1.015,0.988,0.805,0.825,0.896,0.893,0.835,1.193,0.977,0.774,1.228,0.787,0.790,0.876,1.049,0.902,0.985,0.798
VPD,ONDJFM,0.296,0.280,0.272,0.263,0.231,0.241,0.249,0.266,0.299,0.396,0.287,0.285,0.279,0.298,0.292,0.244,0.307,0.329,0.275,0.294,0.339,0.340,0.297,0.255,0.267,0.247,0.340,0.288,0.286,0.272
VPD,NDJF,0.210,0.212,0.217,0.183,0.182,0.175,0.191,0.206,0.217,0.311,0.205,0.232,0.235,0.197,0.258,0.170,0.232,0.268,0.191,0.210,0.272,0.232,0.207,0.209,0.213,0.182,0.278,0.253,0.205,0.194
FWI_FD,year,2.521,2.377,3.874,2.113,3.485,2.778,2.774,3.427,2.283,3.495,2.590,4.537,3.810,3.051,2.399,2.599,3.191,3.025,2.437,5.277,3.796,2.438,5.369,2.132,2.029,3.129,3.649,2.947,3.711,2.065
FWI_FD,MAMJJASO,3.504,3.191,5.149,2.898,5.024,3.836,3.980,4.849,2.584,4.734,3.589,6.471,5.192,4.248,3.328,3.635,4.481,3.998,3.429,7.503,5.177,3.304,7.762,2.981,2.717,4.179,5.170,3.904,5.359,2.962
FWI_FD,AMJJAS,4.179,3.994,5.733,3.449,5.133,4.235,4.835,6.025,2.647,5.090,4.116,8.024,6.371,4.975,3.565,4.424,4.873,4.628,3.760,9.263,6.123,3.571,9.509,3.687,3.083,4.646,6.491,4.698,6.247,3.666
FWI_FD,ONDJFM,0.774,0.815,1.036,1.732,0.587,1.795,1.440,0.653,1.577,2.495,1.124,1.125,1.185,0.853,0.801,1.270,1.230,1.954,0.672,1.201,1.116,1.975,1.133,0.665,0.659,0.881,1.800,1.014,0.959,0.936
FWI_FD,NDJF,0.370,0.646,0.671,1.188,0.509,0.259,0.695,0.304,1.297,1.588,0.495,0.627,1.106,0.324,0.611,0.336,0.689,1.217,0.288,0.639,0.771,0.945,0.420,0.485,0.475,0.570,1.212,0.961,0.300,0.286
FWI_3+,year,7.071,4.653,18.737,4.589,19.755,8.249,13.445,27.314,1.762,17.547,8.293,39.786,29.772,15.874,6.832,15.568,9.914,16.777,4.873,49.705,29.107,4.917,51.411,8.611,4.442,18.796,26.660,10.827,21.293,8.306
FWI_3+,MAMJJASO,7.066,4.650,18.730,4.561,19.755,8.249,13.440,27.311,1.693,17.472,8.273,39.786,29.582,15.862,6.827,15.529,9.914,16.737,4.865,49.705,28.982,4.902,51.409,8.605,4.442,18.703,26.660,10.800,21.293,8.306
FWI_3+,AMJJAS,7.066,4.647,18.474,4.560,13.062,7.737,13.359,27.276,1.644,15.948,7.664,39.733,29.540,15.795,6.591,15.526,9.706,16.638,4.861,49.606,28.963,4.840,51.181,8.597,4.435,18.519,26.642,10.759,20.272,8.306
FWI_3+,ONDJFM,0.000,0.005,0.007,0.289,0.003,6.693,0.513,0.085,0.144,1.569,0.640,0.062,0.250,0.023,0.060,0.241,0.136,0.253,0.008,0.004,0.106,0.199,0.239,0.006,0.015,0.012,0.276,0.040,0.053,1.009
FWI_3+,NDJF,0.000,0.005,0.003,0.032,0.003,0.000,0.001,0.004,0.063,0.084,0.020,0.000,0.189,0.000,0.012,0.004,0.039,0.040,0.008,0.000,0.000,0.126,0.015,0.002,0.007,0.005,0.088,0.026,0.001,0.000
FWI_4+,year,0.031,0.083,0.727,0.219,1.320,0.461,0.793,4.515,0.039,1.988,0.307,9.508,3.610,1.969,0.147,1.180,0.421,1.911,0.060,15.315,3.942,0.141,8.229,0.469,0.102,1.473,3.313,0.616,0.955,0.316
FWI_4+,MAMJJASO,0.031,0.083,0.727,0.219,1.320,0.461,0.793,4.515,0.037,1.988,0.307,9.508,3.597,1.966,0.147,1.180,0.421,1.907,0.060,15.315,3.935,0.137,8.229,0.469,0.102,1.469,3.313,0.616,0.955,0.316
FWI_4+,AMJJAS,0.031,0.083,0.725,0.219,1.124,0.457,0.789,4.515,0.037,1.988,0.300,9.506,3.597,1.963,0.147,1.180,0.405,1.906,0.060,15.315,3.934,0.137,8.226,0.469,0.102,1.465,3.313,0.616,0.953,0.316
FWI_4+,ONDJFM,0.000,0.000,0.001,0.002,0.000,0.196,0.004,0.004,0.002,0.000,0.000,0.007,0.015,0.000,0.006,0.001,0.013,0.008,0.000,0.000,0.000,0.008,0.006,0.000,0.000,0.000,0.008,0.000,0.000,0.001
FWI_4+,NDJF,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.013,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.007,0.003,0.000,0.000,0.000,0.004,0.000,0.000,0.000
FWI_5+,year,0.001,0.001,0.010,0.006,0.028,0.009,0.008,0.045,0.000,0.071,0.004,0.101,0.133,0.106,0.003,0.056,0.027,0.071,0.001,0.723,0.015,0.002,0.118,0.008,0.001,0.029,0.048,0.008,0.023,0.001
FWI_5+,MAMJJASO,0.001,0.001,0.010,0.006,0.028,0.009,0.008,0.045,0.000,0.071,0.004,0.101,0.132,0.106,0.003,0.056,0.027,0.071,0.001,0.723,0.014,0.002,0.118,0.008,0.001,0.029,0.048,0.008,0.023,0.001
FWI_5+,AMJJAS,0.001,0.001,0.010,0.006,0.021,0.009,0.008,0.045,0.000,0.071,0.004,0.101,0.132,0.106,0.003,0.056,0.027,0.071,0.001,0.723,0.014,0.002,0.118,0.008,0.001,0.029,0.048,0.008,0.023,0.001
FWI_5+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,year,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.005,0.006,0.000,0.010,0.010,0.014,0.000,0.012,0.001,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.001,0.000
FWI_6,MAMJJASO,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.005,0.006,0.000,0.010,0.010,0.014,0.000,0.012,0.001,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.001,0.000
FWI_6,AMJJAS,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.005,0.006,0.000,0.010,0.010,0.014,0.000,0.012,0.001,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.001,0.000
FWI_6,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DFM10H,year,18.801,18.306,16.537,19.879,19.771,18.956,19.320,17.841,17.782,17.633,17.920,17.487,18.518,17.887,18.975,19.513,17.864,18.185,19.594,16.492,18.105,18.844,16.999,19.374,19.669,17.822,17.699,18.257,18.564,20.248
DFM10H,MAMJJASO,17.818,17.742,15.722,18.783,17.137,17.780,17.191,16.909,18.417,16.977,17.462,16.671,17.069,16.953,17.856,17.930,16.178,17.826,17.975,15.227,16.984,18.129,14.852,18.744,18.614,17.143,16.579,17.802,16.178,18.427
DFM10H,AMJJAS,17.760,16.963,15.944,18.752,16.560,17.548,16.807,16.416,19.631,17.155,17.538,15.159,16.672,17.132,18.423,18.225,16.699,18.330,18.376,14.490,16.782,18.878,14.124,18.394,18.709,17.493,15.852,17.395,16.028,18.394
DFM10H,ONDJFM,18.845,19.031,19.915,19.254,22.866,22.099,19.616,20.934,16.997,15.008,19.461,18.297,19.143,21.660,19.232,19.451,20.132,17.263,20.800,18.980,20.612,17.540,20.759,19.639,20.664,20.246,17.175,19.563,20.531,21.715
DFM10H,NDJF,19.807,19.285,20.435,20.846,23.624,24.294,21.150,21.910,17.187,15.739,20.376,18.627,18.231,23.681,19.711,22.115,22.098,18.835,21.863,20.334,21.080,19.775,23.181,19.325,20.786,21.790,17.720,19.188,22.495,23.912
DFM10H_u10,year,53.614,48.189,79.405,45.348,62.570,49.864,55.604,61.200,54.633,93.605,53.859,98.821,87.822,65.512,62.058,59.237,78.990,76.094,48.202,111.291,83.819,56.906,115.909,53.685,58.794,63.630,92.702,70.639,84.643,44.431
DFM10H_u10,MAMJJASO,48.638,41.552,73.602,43.912,59.186,46.025,52.803,58.159,45.390,78.682,46.511,89.874,79.847,60.373,51.307,54.554,71.229,59.997,42.039,105.207,76.280,49.178,111.887,45.912,54.199,57.645,87.471,54.895,80.060,42.142
DFM10H_u10,AMJJAS,40.209,34.249,54.208,38.335,49.152,38.521,46.139,51.181,26.905,57.172,37.439,77.469,69.012,48.816,41.995,47.130,53.504,42.553,32.207,92.207,70.458,33.614,96.247,41.029,45.778,48.817,76.106,47.769,66.788,34.360
DFM10H_u10,ONDJFM,10.984,15.219,17.038,14.815,7.784,10.145,15.682,8.377,19.519,45.166,16.780,22.808,18.806,14.784,16.832,14.270,25.745,34.317,16.500,17.710,12.211,25.982,20.288,10.672,15.583,9.657,18.424,23.443,17.077,13.132
