Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.739,14.193,14.878,14.062,12.612,13.700,12.435,14.214,15.414,15.016,14.600,14.864,13.525,14.187,14.644,13.740,14.325,13.784,15.400,15.503,14.690,15.086,14.348,14.268,14.473,15.339,15.125,15.170,14.261,13.922
TMAX,MAMJJASO,18.856,18.934,19.954,19.224,18.571,18.994,17.498,19.501,20.095,19.322,19.164,19.521,18.422,19.456,20.072,19.227,19.221,18.964,20.816,19.997,20.141,20.762,19.336,19.347,19.470,20.586,20.443,19.671,19.277,20.261
TMAX,AMJJAS,21.616,21.529,22.976,22.012,21.218,21.669,20.151,22.630,22.823,21.503,21.784,22.817,21.260,22.649,22.741,22.134,22.347,21.762,23.931,22.417,23.059,24.531,22.466,22.077,22.588,23.862,22.871,22.252,22.654,23.664
TMAX,ONDJFM,4.141,5.892,7.342,6.170,4.188,5.445,4.626,6.379,7.509,8.150,7.060,8.111,6.256,4.758,6.932,4.544,7.089,6.469,5.388,7.181,7.994,7.314,4.272,6.164,6.106,5.692,8.842,7.436,6.974,4.676
TMAX,NDJF,2.785,2.832,5.674,3.974,0.698,2.094,2.217,4.314,5.136,5.808,4.799,6.071,5.025,2.112,4.992,1.107,4.775,4.810,2.153,5.183,5.774,4.397,1.816,4.282,4.485,2.996,5.938,5.519,4.758,2.106
TMIN,year,6.468,6.339,7.181,6.690,5.354,6.125,4.875,6.582,7.514,7.369,7.088,6.953,5.886,6.322,6.657,5.621,6.397,6.313,7.115,7.597,6.873,6.519,6.628,6.629,6.251,6.926,7.074,7.397,6.602,6.430
TMIN,MAMJJASO,10.189,9.587,10.830,10.343,10.171,9.939,8.742,10.573,10.802,10.153,10.205,10.001,9.345,9.997,10.715,9.374,9.715,10.183,10.757,10.324,10.931,10.307,9.933,10.183,9.308,10.157,10.615,10.175,9.784,10.937
TMIN,AMJJAS,12.228,11.356,12.843,12.229,11.805,11.775,11.047,12.986,12.481,11.685,12.007,12.283,11.293,12.122,12.388,11.365,11.859,12.464,12.713,11.864,13.052,12.761,12.281,12.012,11.793,12.272,12.302,11.634,11.938,13.703
TMIN,ONDJFM,-1.311,0.475,2.120,0.931,-0.598,0.202,-0.967,1.144,1.436,2.401,2.032,2.635,1.047,-0.384,1.662,-1.374,1.520,1.192,-0.214,2.094,2.757,1.374,-1.135,1.273,0.869,0.122,2.948,2.673,2.135,-0.030
TMIN,NDJF,-1.790,-1.934,1.022,-0.638,-3.797,-2.642,-2.631,-0.189,-0.393,0.671,0.499,1.349,0.403,-2.495,0.248,-3.886,-0.188,0.300,-2.646,0.612,1.614,-0.868,-2.850,0.145,-0.027,-1.083,1.057,1.514,0.443,-1.626
TAVG,year,9.931,10.135,10.890,10.213,8.846,9.783,8.451,10.233,11.307,11.023,10.692,10.794,9.546,10.124,10.471,9.518,10.248,9.855,11.179,11.384,10.626,10.739,10.367,10.332,10.425,11.264,11.148,11.340,10.487,10.173
TAVG,MAMJJASO,14.250,14.056,15.177,14.571,14.130,14.256,12.802,14.810,15.249,14.534,14.458,14.610,13.670,14.540,15.141,14.033,14.310,14.319,15.667,14.923,15.309,15.431,14.447,14.569,14.463,15.515,15.567,14.999,14.574,15.558
TAVG,AMJJAS,16.640,16.245,17.687,16.896,16.240,16.530,15.306,17.582,17.469,16.415,16.693,17.435,16.072,17.240,17.309,16.500,16.976,16.868,18.254,16.911,17.806,18.617,17.206,16.867,17.327,18.259,17.670,17.079,17.367,18.666
TAVG,ONDJFM,1.379,3.103,4.668,3.490,1.752,2.782,1.760,3.635,4.314,5.129,4.455,5.241,3.560,2.090,4.122,1.568,4.181,3.712,2.444,4.581,5.283,4.242,1.479,3.683,3.469,2.920,5.901,5.081,4.585,2.350
TAVG,NDJF,0.539,0.477,3.343,1.660,-1.540,-0.213,-0.168,2.011,2.305,3.143,2.658,3.681,2.683,-0.233,2.537,-1.291,2.296,2.502,-0.312,2.918,3.666,1.752,-0.481,2.246,2.264,1.048,3.562,3.557,2.680,0.321
RH,year,79.170,77.576,77.387,78.194,78.900,78.607,78.080,78.133,79.178,79.255,80.169,77.225,76.867,77.063,77.257,75.953,76.126,77.934,75.505,77.590,78.295,74.295,78.047,78.933,77.577,76.003,78.621,77.633,78.936,80.567
RH,MAMJJASO,75.625,73.578,74.299,75.567,76.813,75.832,74.559,75.437,75.974,75.220,77.288,72.691,74.014,73.115,73.831,71.792,71.940,74.538,70.509,73.269,74.962,68.981,73.425,74.440,73.480,70.721,74.329,73.134,74.347,76.748
