Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.741,16.989,16.844,15.801,15.458,16.087,15.550,16.835,18.080,17.563,16.458,17.137,16.628,17.875,17.634,15.672,17.583,16.757,17.724,17.433,17.095,17.716,18.438,17.115,17.700,18.268,17.971,17.242,17.781,16.300
TMAX,MAMJJASO,19.907,21.028,20.895,19.112,20.030,20.180,19.877,20.254,22.009,21.424,20.804,20.868,20.652,21.472,21.898,20.046,21.752,20.520,22.146,21.070,21.237,21.349,23.048,21.329,22.375,22.635,21.816,20.865,22.306,21.406
TMAX,AMJJAS,21.827,23.400,23.175,20.925,22.167,21.852,22.047,22.314,23.663,22.979,22.484,23.492,22.924,23.500,23.852,22.108,23.754,22.719,24.376,23.249,22.877,23.355,25.741,23.404,24.134,24.991,23.921,23.211,24.755,23.632
TMAX,ONDJFM,9.047,9.594,10.455,10.148,9.558,9.159,9.797,10.925,12.213,12.756,10.903,10.652,10.778,10.369,12.237,10.113,10.449,11.862,10.405,10.945,11.404,12.077,11.496,10.831,10.631,10.519,13.574,11.484,10.101,10.285
TMAX,NDJF,6.553,7.771,8.629,8.392,7.568,6.405,7.593,9.251,9.956,10.681,7.688,8.637,9.391,8.451,11.027,7.377,7.491,10.214,8.369,8.986,9.806,9.242,9.055,9.509,8.182,7.674,11.524,10.101,7.786,7.882
TMIN,year,8.090,8.571,8.481,8.058,7.153,7.497,7.730,9.122,8.880,8.665,7.774,8.894,8.308,9.365,9.005,7.355,8.684,8.835,9.435,9.733,9.086,9.642,8.668,8.666,9.100,9.554,9.375,8.884,8.723,7.772
TMIN,MAMJJASO,11.220,11.292,11.377,10.191,10.554,10.249,10.710,11.318,11.545,10.885,10.807,11.435,11.068,11.566,11.886,10.131,11.341,11.655,12.368,12.134,12.133,11.872,11.587,11.519,12.109,12.516,11.727,11.383,11.650,11.023
TMIN,AMJJAS,12.489,12.784,13.029,11.526,12.165,11.460,12.444,12.685,12.503,11.802,11.855,13.300,12.818,13.170,13.289,11.691,12.754,13.260,14.058,13.574,12.987,13.423,13.613,13.080,13.349,14.171,13.430,12.974,13.385,12.575
TMIN,ONDJFM,2.699,3.246,4.686,3.541,3.133,2.598,3.401,5.200,5.603,5.515,4.285,4.125,4.141,4.301,5.512,3.456,4.010,4.946,4.400,4.826,5.831,5.509,4.644,4.100,4.268,4.048,6.864,4.737,3.530,4.043
TMIN,NDJF,0.578,1.916,3.417,2.566,1.320,0.939,2.154,4.159,4.253,4.041,2.026,2.659,3.750,2.801,5.406,1.668,2.056,4.139,2.979,3.601,4.671,3.441,3.335,3.723,2.610,2.365,5.754,3.871,2.037,2.715
TAVG,year,11.880,12.740,12.636,11.875,11.276,11.749,11.604,12.912,13.422,13.070,12.070,12.954,12.376,13.547,13.257,11.455,13.048,12.708,13.524,13.490,13.014,13.632,13.517,13.052,13.412,13.869,13.712,13.014,13.233,12.058
TAVG,MAMJJASO,15.493,16.103,16.101,14.579,15.218,15.128,15.221,15.706,16.725,16.111,15.729,16.085,15.739,16.428,16.811,14.990,16.436,15.986,17.186,16.491,16.590,16.545,17.276,16.569,17.178,17.519,16.823,16.093,16.932,16.156
TAVG,AMJJAS,17.089,18.046,18.076,16.153,17.100,16.571,17.170,17.410,18.052,17.374,17.113,18.350,17.748,18.268,18.506,16.814,18.167,17.885,19.172,18.295,17.854,18.333,19.688,18.389,18.696,19.538,18.797,18.121,19.087,18.089
TAVG,ONDJFM,5.876,6.402,7.556,6.807,6.342,5.888,6.597,8.016,8.834,9.046,7.560,7.337,7.381,7.285,8.782,6.757,7.165,8.306,7.351,7.819,8.535,8.734,8.014,7.521,7.598,7.336,10.073,8.059,6.746,7.149
TAVG,NDJF,3.600,4.859,6.042,5.458,4.472,3.736,4.905,6.673,7.054,7.282,4.869,5.632,6.524,5.604,8.164,4.540,4.772,7.101,5.649,6.258,7.178,6.318,6.199,6.696,5.562,5.172,8.559,6.939,4.931,5.372
RH,year,81.959,79.378,79.688,81.753,81.193,80.786,81.451,81.129,77.621,76.504,78.428,80.123,79.048,79.874,79.696,78.580,78.833,81.360,80.377,81.816,81.224,80.427,76.165,80.210,79.962,79.171,79.622,79.600,78.612,78.773
RH,MAMJJASO,79.630,76.349,76.998,79.150,79.132,78.337,78.530,78.165,74.148,71.903,75.078,76.740,74.807,76.149,76.036,74.336,74.942,78.972,76.345,79.258,78.007,76.959,71.793,76.163,75.849,75.438,76.333,76.777,74.767,73.663
RH,AMJJAS,77.874,73.991,75.074,77.445,77.539,76.599,77.876,75.604,72.383,69.822,73.217,74.491,74.036,74.600,74.060,71.955,72.861,77.200,74.460,77.374,75.262,75.657,69.894,74.558,74.019,73.126,74.608,74.227,72.635,72.068
RH,ONDJFM,84.736,84.183,86.334,84.961,85.420,84.539,85.386,85.739,85.825,81.774,83.208,85.081,84.021,85.686,85.139,85.126,85.522,83.873,87.204,86.276,86.856,84.997,83.680,84.759,86.149,85.765,84.911,83.715,85.903,84.736
RH,NDJF,85.619,84.846,86.915,86.781,84.479,86.008,87.357,86.598,88.030,82.958,85.900,86.454,87.291,87.223,88.101,86.713,86.718,85.948,88.471,87.795,87.146,86.934,86.336,87.046,88.236,88.195,86.905,83.875,87.551,87.582
RHmin,year,65.693,62.601,62.876,65.539,63.957,63.053,65.082,65.109,60.011,59.812,61.279,63.372,62.368,62.767,62.433,62.146,61.310,64.752,63.626,65.547,64.543,64.007,58.276,63.921,63.219,62.109,62.798,62.763,60.948,62.530
RHmin,MAMJJASO,62.135,58.084,59.042,61.574,60.355,58.874,60.355,60.712,55.651,53.717,56.691,58.885,57.107,57.607,57.479,56.140,55.886,61.504,58.083,61.461,60.375,58.882,52.441,58.509,56.994,57.024,57.894,58.772,55.426,55.157
RHmin,AMJJAS,59.822,55.032,56.883,59.801,58.474,57.078,59.368,57.753,53.519,51.411,54.557,56.251,55.840,56.076,55.411,53.899,53.699,59.359,56.077,58.926,57.163,57.373,50.486,56.637,54.990,54.477,56.452,56.053,53.221,53.356
RHmin,ONDJFM,69.675,69.254,72.356,69.302,69.999,69.346,70.279,71.849,70.171,65.721,68.120,69.532,68.628,70.907,69.363,69.470,70.166,67.838,72.407,71.367,72.801,69.547,68.417,69.487,71.706,71.129,68.997,68.244,70.052,70.072
