Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,13.842,14.905,15.036,14.460,13.432,14.076,13.286,15.183,15.991,15.904,14.952,15.788,14.253,15.338,14.996,13.627,15.179,14.280,15.387,15.456,14.848,15.753,15.607,15.241,15.395,16.158,15.869,16.073,15.626,13.846
TMAX,MAMJJASO,17.944,18.931,18.644,18.029,17.648,17.724,16.689,18.466,19.318,19.276,18.494,19.258,17.806,18.798,19.149,17.734,19.143,17.715,19.077,18.607,18.425,19.786,19.539,18.723,18.840,19.760,19.310,19.501,19.561,18.579
TMAX,AMJJAS,20.200,21.016,20.717,20.133,19.595,19.737,18.745,20.827,21.124,20.995,20.339,21.850,19.882,21.175,21.096,19.992,21.491,19.558,21.287,20.439,20.358,22.419,22.066,20.783,20.784,22.157,21.078,21.754,22.045,20.741
TMAX,ONDJFM,6.345,7.142,9.832,8.432,7.669,7.712,8.064,9.611,10.569,11.019,9.461,10.202,9.238,8.152,9.808,7.158,8.773,9.571,8.435,9.863,9.562,10.458,8.053,9.343,9.649,9.142,12.130,10.308,9.529,8.062
TMAX,NDJF,5.216,4.716,8.368,6.916,5.524,5.391,6.711,8.456,9.211,9.271,7.437,8.855,8.158,6.412,8.843,4.658,6.649,8.151,6.601,8.440,8.242,8.500,5.987,8.174,8.542,7.440,10.370,9.091,7.746,6.143
TMIN,year,7.682,8.239,8.549,8.431,6.990,7.497,7.347,8.850,9.165,9.393,8.561,9.088,8.046,8.988,8.151,7.175,8.538,8.616,9.016,9.770,8.827,9.692,9.111,9.340,9.278,10.115,9.867,9.553,9.342,7.507
TMIN,MAMJJASO,10.879,11.180,11.266,10.722,10.567,10.185,10.001,11.194,11.441,11.709,11.124,11.405,10.538,11.336,11.367,10.157,11.271,11.270,11.823,11.949,11.705,12.593,11.953,12.103,11.692,12.600,12.327,11.761,12.066,11.423
TMIN,AMJJAS,12.402,12.414,12.609,11.977,11.952,11.519,11.631,12.905,12.384,12.809,12.461,13.259,12.134,12.987,12.543,11.545,13.013,12.750,13.292,13.198,13.015,14.709,14.163,13.684,13.311,14.478,13.935,13.229,13.826,13.132
TMIN,ONDJFM,2.132,2.256,5.237,3.842,3.223,2.476,3.150,5.345,5.723,5.935,4.652,5.255,4.297,3.899,5.042,2.317,3.875,4.908,3.989,5.249,5.357,5.602,3.436,4.574,4.988,4.411,7.656,5.587,5.058,3.517
TMIN,NDJF,1.233,0.109,3.974,2.598,1.156,0.455,2.228,4.597,4.744,4.504,2.941,4.344,3.784,2.781,4.374,0.043,2.093,4.273,2.320,4.170,4.441,3.833,2.176,3.951,4.261,3.480,6.618,5.069,3.654,2.143
TAVG,year,10.686,11.506,11.729,11.368,10.154,10.728,10.253,11.956,12.515,12.573,11.703,12.388,11.094,12.132,11.536,10.360,11.825,11.387,12.145,12.539,11.784,12.667,12.262,12.205,12.247,13.066,12.841,12.787,12.444,10.670
TAVG,MAMJJASO,14.325,14.974,14.887,14.277,14.029,13.873,13.269,14.771,15.319,15.414,14.747,15.286,14.101,15.024,15.216,13.886,15.166,14.433,15.387,15.194,14.996,16.130,15.611,15.319,15.161,16.101,15.783,15.604,15.744,14.958
TAVG,AMJJAS,16.209,16.635,16.590,15.943,15.694,15.536,15.104,16.809,16.691,16.828,16.344,17.525,15.935,17.041,16.784,15.702,17.216,16.096,17.231,16.730,16.619,18.508,17.995,17.139,16.935,18.228,17.478,17.460,17.867,16.901
TAVG,ONDJFM,4.183,4.658,7.469,6.087,5.423,5.060,5.572,7.418,8.069,8.401,7.012,7.660,6.710,6.002,7.384,4.733,6.286,7.190,6.162,7.505,7.393,7.978,5.685,6.883,7.270,6.706,9.822,7.927,7.295,5.802
TAVG,NDJF,3.169,2.387,6.117,4.711,3.330,2.904,4.434,6.471,6.904,6.807,5.159,6.543,5.922,4.592,6.573,2.369,4.341,6.170,4.416,6.264,6.277,6.138,4.070,6.000,6.363,5.385,8.436,7.059,5.728,4.193
