Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.512,15.233,15.311,15.296,14.066,14.035,14.280,14.969,15.947,15.939,14.927,15.027,14.515,15.209,15.985,14.637,16.007,15.330,15.796,15.417,15.302,15.665,16.306,15.773,15.714,16.263,15.919,15.309,15.533,14.660
TMAX,MAMJJASO,17.393,18.092,18.002,18.181,16.980,16.659,17.064,17.381,18.795,18.751,17.962,17.702,17.016,17.598,19.229,17.728,18.858,17.701,18.671,18.102,18.136,18.177,19.361,18.382,18.630,19.282,18.526,17.865,18.681,18.382
TMAX,AMJJAS,19.079,19.830,19.679,20.042,18.396,17.847,18.861,18.848,20.302,20.114,19.445,19.640,18.621,19.002,20.904,19.373,20.363,19.096,20.243,19.615,19.528,19.712,21.195,20.099,20.002,21.188,19.865,19.562,20.122,20.031
TMAX,ONDJFM,9.701,9.748,10.649,10.438,10.221,9.564,10.372,10.536,11.812,11.772,10.556,10.864,10.567,9.937,11.626,10.295,10.840,12.002,11.204,11.450,10.383,12.125,11.307,11.261,11.420,10.755,12.395,11.746,10.556,10.312
TMAX,NDJF,8.575,8.585,9.488,9.509,8.829,7.743,9.260,9.483,10.815,10.201,8.557,9.734,9.814,8.740,10.882,8.667,8.782,10.930,10.032,10.081,9.224,10.548,9.867,10.349,10.386,9.366,11.021,10.696,9.022,8.399
TMIN,year,7.225,7.671,7.973,7.533,7.021,6.848,7.220,7.888,8.040,8.254,7.647,7.789,7.465,8.101,8.045,7.327,8.375,8.349,8.433,8.207,7.904,8.549,8.172,8.605,8.481,8.815,8.525,8.129,8.263,6.951
TMIN,MAMJJASO,9.564,9.775,9.922,9.408,9.448,8.805,9.247,9.728,9.969,10.101,10.026,9.869,9.320,9.745,10.296,9.489,10.273,10.282,10.569,10.105,10.263,10.222,10.318,10.607,10.746,10.966,10.420,10.186,10.627,9.870
TMIN,AMJJAS,10.822,10.977,11.044,10.489,10.606,9.719,10.663,10.794,10.865,10.786,11.001,11.318,10.628,10.797,11.366,10.462,11.388,11.347,11.743,11.163,11.125,11.497,11.924,11.940,11.514,12.206,11.553,11.621,11.774,11.117
TMIN,ONDJFM,3.451,3.256,4.687,4.435,3.980,3.515,4.028,4.730,5.355,5.549,4.579,4.798,4.367,4.011,5.277,4.575,4.594,5.860,4.944,5.179,4.397,5.606,4.991,4.732,5.481,4.837,6.149,5.089,4.362,4.056
TMIN,NDJF,2.405,2.407,3.628,3.652,2.993,2.096,3.126,4.112,4.634,4.311,2.854,3.663,3.984,3.051,5.057,3.214,2.954,5.294,3.975,4.140,3.591,4.053,4.384,4.303,4.604,3.500,5.182,4.234,3.405,2.647
