Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,16.277,17.500,17.349,16.325,15.479,16.265,15.596,17.034,18.049,17.817,16.635,17.547,16.509,17.786,17.657,15.707,17.466,17.085,18.108,17.759,17.414,17.869,18.370,17.620,17.963,18.528,18.185,17.684,17.896,16.271
TMAX,MAMJJASO,20.468,21.494,21.177,19.540,19.820,20.059,19.543,20.129,21.766,21.335,20.760,21.287,20.366,21.219,21.923,20.077,21.558,20.616,22.126,21.249,21.264,21.542,22.634,21.570,22.028,22.618,21.856,21.280,22.243,21.223
TMAX,AMJJAS,22.422,23.656,23.276,21.222,21.788,21.771,21.575,22.137,23.394,22.774,22.251,23.874,22.388,23.293,23.841,22.105,23.535,22.671,24.281,23.267,23.025,23.639,25.184,23.556,23.702,25.013,23.831,23.563,24.646,23.246
TMAX,ONDJFM,9.591,9.997,11.566,10.963,10.104,9.546,10.329,11.584,12.514,13.145,11.523,11.192,11.160,10.606,12.479,9.662,10.712,12.230,11.047,11.955,11.549,12.861,11.499,11.523,11.519,11.227,14.109,11.985,10.611,10.597
TMAX,NDJF,7.247,8.019,9.750,9.230,7.950,7.061,8.464,10.063,10.705,11.128,8.495,9.212,9.788,8.607,11.472,6.769,7.858,10.597,9.185,10.315,10.069,10.368,9.205,10.279,9.394,8.819,12.215,10.649,8.409,8.151
TMIN,year,8.305,8.776,8.821,8.373,7.515,7.616,7.848,9.325,8.988,8.980,7.949,9.195,8.307,9.211,8.694,7.069,8.598,9.084,9.299,9.682,9.072,9.293,8.227,8.834,8.984,9.667,9.525,9.010,8.736,7.452
TMIN,MAMJJASO,11.332,11.379,11.471,10.387,10.763,10.056,10.506,11.319,11.393,10.878,10.633,11.537,10.765,11.392,11.465,9.811,11.112,11.645,11.854,11.839,11.855,11.564,10.699,11.337,11.395,12.186,11.725,11.278,11.329,10.659
TMIN,AMJJAS,12.514,12.655,12.971,11.559,12.157,11.169,12.111,12.640,12.208,11.715,11.607,13.292,12.331,12.863,12.808,11.199,12.456,13.010,13.246,13.039,12.753,13.236,12.611,12.715,12.416,13.633,13.255,12.813,12.900,11.908
TMIN,ONDJFM,3.571,3.379,5.563,4.168,3.725,3.328,3.735,5.850,6.120,6.221,4.708,4.902,4.662,4.587,5.688,2.918,4.101,5.513,4.887,5.561,5.663,6.055,4.053,4.581,4.945,4.746,7.393,5.296,4.134,4.168
TMIN,NDJF,1.717,1.884,4.325,3.207,1.784,1.734,2.713,5.069,4.987,4.811,2.733,3.650,4.351,3.124,5.490,1.035,2.261,4.763,3.499,4.423,4.626,4.327,2.885,4.412,3.570,3.306,6.416,4.593,2.837,2.776
