Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.936,16.809,17.668,15.776,16.377,16.374,16.407,17.332,17.462,17.995,16.407,18.169,17.364,18.504,17.151,15.925,17.152,17.630,17.512,19.369,17.942,18.233,18.476,17.111,16.542,17.828,18.681,18.609,18.409,16.854
TMAX,MAMJJASO,22.070,21.592,22.808,20.331,21.624,21.548,21.301,21.905,21.702,22.419,21.257,22.801,22.408,23.064,21.632,20.669,21.566,22.377,22.580,23.966,23.147,22.579,23.972,21.803,21.563,22.619,23.307,22.897,23.566,21.552
TMAX,AMJJAS,23.656,24.077,24.992,22.361,24.223,24.150,24.277,24.338,23.043,23.845,23.293,25.355,24.906,25.248,23.587,23.196,23.814,24.759,24.662,26.323,24.566,24.399,27.080,23.914,23.816,24.889,26.139,24.927,26.298,24.183
TMAX,ONDJFM,7.937,9.485,10.859,8.834,8.345,8.828,8.408,10.737,10.865,12.753,10.277,10.020,10.275,11.055,10.961,8.763,10.486,11.313,9.604,10.383,13.188,11.350,10.219,9.992,9.907,9.009,13.728,10.335,10.716,10.215
TMAX,NDJF,4.256,6.473,8.338,6.104,5.114,6.375,6.238,8.716,7.632,9.904,6.685,7.806,8.194,7.603,9.553,5.631,7.812,9.944,6.132,7.286,10.714,7.395,7.145,8.249,6.848,6.135,11.737,8.261,7.580,7.722
TMIN,year,7.136,7.761,7.366,7.068,6.489,6.985,7.128,7.562,7.855,7.723,7.063,8.232,7.701,9.059,7.964,7.192,7.593,7.849,8.240,8.793,8.107,8.757,7.761,7.691,7.096,7.911,8.318,8.521,8.379,7.754
TMIN,MAMJJASO,11.375,11.396,11.271,10.217,10.517,10.784,10.718,10.948,11.216,10.845,10.941,11.580,11.563,12.407,11.224,10.710,10.454,11.581,12.297,12.029,12.028,11.848,11.727,11.113,10.927,11.332,11.439,11.567,11.879,11.262
TMIN,AMJJAS,12.541,13.138,13.325,11.624,12.391,12.895,12.996,12.816,12.886,12.216,12.585,13.479,13.375,14.306,13.005,12.626,12.345,13.674,14.070,13.604,13.076,13.582,14.080,12.662,12.982,13.180,13.210,13.349,13.888,13.389
TMIN,ONDJFM,-0.864,1.604,2.938,1.244,0.909,1.565,0.431,3.500,2.256,2.735,2.453,1.829,2.186,3.712,3.098,1.600,2.883,3.029,1.741,2.120,5.334,2.467,2.181,2.006,1.888,1.768,4.926,2.424,3.009,2.754
TMIN,NDJF,-3.897,-0.965,1.014,-0.496,-1.925,0.035,-0.708,2.183,-0.195,1.086,-0.028,0.301,0.538,1.221,2.188,-0.156,1.170,2.401,-1.012,-0.078,3.523,-0.356,0.331,0.821,-0.159,-0.240,3.677,0.873,1.246,1.254
TAVG,year,11.809,12.033,12.240,11.211,11.216,11.415,11.532,12.152,12.270,12.578,11.482,13.021,12.315,13.471,12.211,11.299,12.112,12.428,12.591,13.836,12.729,13.146,12.754,12.017,11.464,12.543,13.169,13.203,13.077,12.011
TAVG,MAMJJASO,16.467,16.247,16.761,15.045,15.845,15.901,15.772,16.129,16.097,16.360,15.839,17.056,16.743,17.435,16.050,15.439,15.748,16.734,17.158,17.795,17.293,16.833,17.507,16.048,15.883,16.626,17.069,16.859,17.362,16.107
TAVG,AMJJAS,17.877,18.389,18.967,16.824,18.164,18.300,18.445,18.347,17.676,17.845,17.764,19.347,18.969,19.551,17.978,17.725,17.897,19.027,19.169,19.855,18.596,18.602,20.283,17.908,18.083,18.715,19.427,18.850,19.800,18.538
TAVG,ONDJFM,3.384,5.234,6.630,4.743,4.400,4.889,4.067,6.814,6.121,7.267,6.053,5.595,5.945,7.131,6.605,4.822,6.336,6.771,5.308,5.845,8.936,6.488,5.884,5.565,5.498,5.084,8.894,5.984,6.457,6.168
TAVG,NDJF,0.113,2.458,4.482,2.577,1.479,2.956,2.454,5.174,3.328,5.080,3.134,3.797,4.111,4.267,5.492,2.482,4.183,5.803,2.219,3.278,6.824,3.181,3.476,4.095,2.980,2.674,7.347,4.240,4.102,4.281
RH,year,74.977,76.451,72.698,76.911,74.947,76.352,75.363,74.557,75.663,72.870,74.492,72.102,73.250,73.758,75.151,75.380,72.728,73.778,75.723,70.693,72.919,76.120,71.121,76.796,75.805,75.030,73.169,74.571,74.206,77.506
RH,MAMJJASO,72.853,73.863,69.430,72.924,71.513,73.328,71.476,71.549,73.821,69.376,72.159,67.982,69.181,70.041,72.511,71.577,68.039,70.753,72.553,66.176,69.671,73.462,65.787,74.634,72.980,72.116,69.283,72.049,69.977,74.192
RH,AMJJAS,71.911,72.272,68.578,71.765,69.249,71.509,69.896,69.961,74.583,68.740,70.947,65.393,67.194,68.793,71.570,70.280,67.394,70.677,72.176,63.419,67.575,73.920,63.661,72.724,72.089,71.191,66.719,70.673,68.856,73.228
RH,ONDJFM,76.004,78.756,79.830,79.317,81.549,82.032,79.390,80.737,78.510,73.863,79.070,77.609,78.545,80.390,78.363,80.701,78.388,76.294,79.325,78.729,79.098,76.705,79.065,80.444,79.275,80.618,78.649,78.718,79.497,80.769
RH,NDJF,77.214,80.387,81.334,82.430,81.933,84.248,81.885,83.300,80.455,76.371,80.826,79.481,79.634,83.495,79.677,83.619,81.793,79.834,81.970,81.520,80.469,79.472,82.745,81.698,80.159,82.581,80.561,79.319,82.331,84.177
