Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.414,14.808,14.911,14.961,14.025,13.727,14.425,14.718,15.307,15.297,14.764,14.673,14.512,14.687,15.547,14.518,15.504,15.194,15.216,14.978,15.033,15.169,15.485,15.206,15.260,15.487,15.721,14.922,14.855,14.167
TMAX,MAMJJASO,16.574,17.087,17.014,17.319,16.360,15.866,16.587,16.697,17.556,17.576,17.185,16.719,16.415,16.534,18.110,16.889,17.768,17.170,17.450,17.276,17.385,17.127,17.857,17.283,17.552,17.850,17.785,16.998,17.366,17.286
TMAX,AMJJAS,17.925,18.431,18.308,18.840,17.513,16.790,18.098,17.874,18.815,18.745,18.459,18.185,17.798,17.490,19.504,18.267,18.876,18.204,18.635,18.536,18.604,18.249,19.107,18.677,18.594,19.258,18.900,18.374,18.402,18.609
TMAX,ONDJFM,10.779,10.730,11.043,11.232,10.713,10.344,11.092,11.116,12.123,11.828,11.085,11.451,11.263,10.897,11.912,11.163,11.430,12.383,11.942,11.789,10.743,12.432,11.753,11.784,11.767,11.479,12.287,12.382,11.127,10.607
TMAX,NDJF,9.937,9.991,9.967,10.578,9.517,8.913,10.140,10.320,11.438,10.561,9.602,10.621,10.804,9.983,11.244,9.975,9.895,11.384,10.958,10.622,9.743,11.211,10.475,10.905,10.908,10.428,11.204,11.500,9.964,8.958
TMIN,year,7.756,7.716,8.153,7.401,7.239,6.886,7.516,7.965,8.119,8.162,7.979,7.867,7.752,8.013,8.318,7.643,8.725,8.640,8.636,8.118,7.976,8.424,8.382,8.411,8.703,8.652,8.700,8.044,8.121,7.174
TMIN,MAMJJASO,9.394,9.389,9.599,9.088,9.255,8.518,9.027,9.485,9.627,9.895,9.830,9.377,9.030,9.306,10.092,9.330,10.340,10.085,10.345,9.674,9.760,9.606,10.030,9.848,10.384,10.368,10.093,9.607,10.112,9.724
TMIN,AMJJAS,10.549,10.469,10.449,10.168,10.206,9.353,10.361,10.309,10.373,10.423,10.736,10.463,10.251,10.020,10.955,10.081,11.160,10.830,11.351,10.559,10.534,10.573,11.274,11.086,11.094,11.341,10.954,10.818,10.919,10.937
TMIN,ONDJFM,4.999,4.521,5.157,5.296,4.235,4.214,4.728,5.189,6.002,6.098,5.028,5.869,5.286,4.887,5.978,5.511,5.606,6.811,6.022,5.895,4.808,6.495,5.714,5.401,6.272,5.778,6.162,6.290,5.133,4.131
TMIN,NDJF,4.445,4.279,4.226,4.881,3.377,3.054,4.060,4.778,5.626,4.879,3.500,5.218,5.100,4.426,5.742,4.422,4.401,6.026,5.411,5.059,4.121,5.545,5.339,4.992,5.958,4.895,5.434,5.751,4.422,2.755
