Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.697,15.516,15.940,14.166,13.949,14.797,13.817,15.180,15.903,16.030,14.766,16.211,15.279,16.519,15.165,13.478,15.186,15.438,15.792,16.631,15.021,16.028,16.411,15.349,15.346,16.006,16.570,16.307,15.823,14.447
TMAX,MAMJJASO,19.920,20.740,21.092,18.605,19.297,20.010,18.671,19.814,20.558,20.540,19.693,21.183,20.139,21.163,20.214,18.515,19.918,20.136,21.025,21.375,20.031,20.762,21.818,20.301,20.603,21.164,21.431,20.526,21.064,19.726
TMAX,AMJJAS,22.030,23.128,23.769,20.571,21.801,22.412,21.458,22.619,22.314,22.240,21.845,24.349,22.915,23.891,22.487,21.088,22.413,22.765,23.563,23.862,21.924,23.492,25.205,22.697,23.054,23.880,24.101,23.027,24.280,22.303
TMAX,ONDJFM,6.415,6.843,8.676,7.403,6.325,6.743,6.328,8.149,8.831,10.136,8.162,8.078,7.436,8.535,8.613,5.643,7.706,8.845,7.384,7.997,9.172,9.071,7.283,7.482,7.832,6.675,11.130,8.337,7.763,7.307
TMAX,NDJF,3.138,3.665,6.297,4.870,3.074,3.836,4.005,6.384,5.849,7.228,4.980,5.731,5.529,5.926,7.134,2.374,4.669,7.206,4.403,5.599,6.702,5.778,4.538,5.831,5.177,3.617,8.726,6.330,5.220,4.833
TMIN,year,6.149,6.336,6.566,6.005,5.379,5.824,5.548,6.732,6.938,6.762,5.906,7.051,6.173,7.318,6.663,5.361,6.146,6.783,6.985,7.532,6.695,7.270,6.452,6.428,6.259,6.786,7.376,7.398,7.119,6.072
TMIN,MAMJJASO,9.791,9.761,9.994,8.781,9.302,9.387,8.892,9.551,9.947,9.431,9.330,10.015,9.385,10.146,9.941,9.001,9.061,10.091,10.347,10.549,10.330,10.490,9.911,9.552,9.517,10.246,10.115,9.968,10.532,9.774
TMIN,AMJJAS,11.062,11.353,11.737,10.279,10.970,11.105,11.086,11.257,11.405,10.710,10.843,12.016,11.202,11.977,11.527,10.778,10.879,11.870,12.084,11.877,11.548,12.464,12.147,11.159,11.537,12.287,11.903,11.732,12.329,11.904
TMIN,ONDJFM,-0.172,0.571,2.431,0.723,0.222,0.435,-0.451,2.719,2.529,2.541,1.603,1.694,0.937,2.467,2.206,-0.127,1.264,2.041,1.587,1.901,3.040,2.151,0.756,1.141,1.320,0.224,4.051,2.256,2.113,1.263
TMIN,NDJF,-2.688,-1.672,0.918,-0.817,-2.327,-1.559,-1.648,1.865,0.856,0.787,-0.478,0.515,-0.261,0.735,1.666,-2.283,-0.879,1.319,-0.513,0.272,1.195,-0.135,-1.045,0.122,0.052,-1.679,3.186,1.202,0.476,-0.304
TAVG,year,10.263,10.706,11.095,9.866,9.439,10.078,9.530,10.783,11.177,11.130,10.094,11.448,10.498,11.700,10.727,9.216,10.423,10.935,11.206,11.889,10.657,11.423,11.243,10.699,10.598,11.146,11.787,11.645,11.284,10.101
TAVG,MAMJJASO,14.634,15.004,15.372,13.437,14.020,14.434,13.567,14.498,15.000,14.711,14.223,15.423,14.500,15.437,14.860,13.528,14.189,14.935,15.455,15.733,14.942,15.362,15.678,14.695,14.817,15.403,15.564,15.031,15.540,14.516
TAVG,AMJJAS,16.344,17.091,17.637,15.252,16.155,16.564,16.072,16.790,16.684,16.306,16.144,18.096,16.850,17.809,16.881,15.766,16.427,17.170,17.658,17.693,16.567,17.763,18.575,16.746,17.128,17.860,17.864,17.250,18.081,16.944
TAVG,ONDJFM,2.991,3.521,5.317,3.830,3.059,3.340,2.719,5.265,5.453,5.933,4.603,4.575,3.928,5.243,5.121,2.533,4.244,5.178,4.275,4.780,5.862,5.341,3.801,4.100,4.321,3.208,7.324,5.035,4.747,4.131
TAVG,NDJF,0.145,0.940,3.451,1.898,0.254,1.002,1.049,3.996,3.215,3.662,2.120,2.944,2.462,3.130,4.243,-0.065,1.773,4.071,1.833,2.875,3.780,2.672,1.626,2.822,2.420,0.858,5.832,3.601,2.777,2.222
RH,year,78.502,77.191,76.124,78.806,78.752,77.561,79.579,77.968,78.220,75.647,77.219,74.744,75.958,76.273,78.561,79.539,77.576,77.168,77.426,77.257,80.464,78.303,73.593,77.579,77.443,77.425,76.442,77.572,78.865,79.130
