Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,21.666,21.066,21.485,20.103,21.360,20.801,21.362,21.084,22.044,21.723,20.884,20.954,20.318,22.017,22.341,20.837,22.006,21.693,21.430,21.753,21.744,21.582,22.052,21.577,21.859,22.423,21.534,21.326,22.487,21.086
TMAX,MAMJJASO,25.283,25.162,25.416,23.922,25.709,25.042,25.620,24.935,25.981,25.930,25.187,24.734,23.954,26.076,26.307,24.873,26.133,25.552,25.809,25.743,26.233,25.223,26.687,25.615,26.715,27.117,25.314,25.151,27.007,25.646
TMAX,AMJJAS,26.971,27.563,26.945,26.159,27.783,27.098,28.131,26.527,27.585,28.189,27.886,27.195,26.335,27.904,27.988,26.908,27.246,27.226,28.143,27.754,28.070,27.052,29.272,27.886,29.030,29.296,27.427,27.216,28.776,28.187
TMAX,ONDJFM,14.433,16.190,14.619,14.813,14.358,14.825,15.016,14.894,16.102,16.662,13.817,14.391,14.837,14.801,16.214,15.622,16.422,16.478,15.199,15.315,15.412,15.669,15.381,14.877,14.884,14.703,16.036,16.198,14.760,15.179
TMAX,NDJF,12.548,14.517,12.379,12.958,12.484,11.994,12.681,13.035,13.646,14.481,11.592,12.624,13.577,12.806,14.472,13.218,13.567,13.788,13.157,13.037,13.211,13.136,12.850,13.616,12.283,11.946,14.017,14.516,12.077,12.712
TMIN,year,9.680,9.912,9.728,8.863,9.427,9.205,9.989,9.555,10.555,10.109,9.369,9.285,8.917,9.977,10.466,9.856,10.817,9.979,9.912,9.887,10.238,10.453,10.781,10.018,9.728,10.922,9.726,9.876,10.519,10.078
TMIN,MAMJJASO,12.635,12.517,12.507,11.318,12.281,12.161,12.870,12.226,13.066,13.196,12.417,12.197,11.711,12.767,12.928,12.284,13.419,12.855,13.398,12.711,13.570,12.877,13.980,13.001,13.481,14.329,12.668,12.668,13.527,13.071
TMIN,AMJJAS,13.836,14.275,13.955,13.030,13.970,13.553,14.510,13.722,14.449,14.737,14.015,13.902,13.343,13.978,14.313,13.834,14.634,14.481,14.942,14.356,14.438,14.099,15.673,14.531,15.092,15.673,14.369,14.302,15.000,14.945
TMIN,ONDJFM,3.322,6.176,4.639,5.308,4.858,5.046,4.978,5.751,5.171,7.185,4.869,4.049,4.881,5.110,5.985,6.790,6.236,7.034,4.473,4.893,6.670,5.525,6.413,5.827,4.370,5.224,6.554,5.243,4.904,6.135
TMIN,NDJF,1.325,5.287,3.036,4.464,4.043,3.604,3.142,4.867,3.299,6.331,2.762,2.616,3.718,3.711,4.777,5.606,5.172,5.595,2.851,2.931,5.194,3.204,4.898,4.749,2.152,2.959,5.174,3.941,3.224,4.689
TAVG,year,15.616,15.426,15.559,14.447,15.379,14.975,15.639,15.287,16.274,15.887,15.101,15.086,14.577,15.964,16.359,15.304,16.364,15.775,15.592,15.746,15.908,15.936,16.345,15.722,15.695,16.577,15.558,15.451,16.360,15.441
TAVG,MAMJJASO,18.885,18.753,18.898,17.559,18.962,18.553,19.185,18.524,19.487,19.523,18.764,18.412,17.785,19.382,19.559,18.529,19.728,19.135,19.520,19.163,19.814,18.963,20.261,19.229,20.000,20.627,18.927,18.758,20.123,19.214
TAVG,AMJJAS,20.319,20.823,20.383,19.526,20.831,20.260,21.251,20.064,20.972,21.419,20.904,20.488,19.785,20.898,21.081,20.317,20.879,20.781,21.450,20.990,21.156,20.482,22.403,21.128,21.961,22.384,20.833,20.614,21.750,21.418
TAVG,ONDJFM,8.867,11.146,9.579,10.064,9.612,9.953,10.001,10.314,10.634,11.923,9.326,9.219,9.848,9.928,11.067,11.198,11.295,11.700,9.787,10.015,10.975,10.530,10.834,10.272,9.549,9.868,11.225,10.592,9.675,10.521
TAVG,NDJF,6.931,9.888,7.657,8.735,8.282,7.822,7.916,8.973,8.475,10.413,7.158,7.633,8.647,8.234,9.598,9.405,9.332,9.625,7.958,7.881,9.138,8.098,8.810,9.112,7.143,7.348,9.512,9.101,7.509,8.570
RH,year,66.819,69.212,67.844,69.624,67.622,68.630,69.464,70.648,68.163,68.626,68.140,67.565,69.575,67.350,65.783,68.883,68.502,67.416,67.301,67.083,67.133,68.200,67.532,67.935,63.954,67.026,67.554,67.941,64.028,67.063
RH,MAMJJASO,63.422,63.264,62.436,64.661,61.905,63.159,63.262,66.191,62.780,62.944,62.711,62.562,64.635,61.371,59.415,62.902,62.118,62.633,62.638,61.656,61.641,62.746,61.166,62.460,58.164,60.840,62.963,62.667,57.193,60.979
RH,AMJJAS,61.368,60.763,60.954,62.278,60.495,59.297,59.503,65.306,60.901,60.499,58.042,59.400,61.734,57.346,57.174,60.242,61.586,61.157,59.314,59.503,57.298,59.279,56.983,59.353,54.609,57.010,60.886,60.214,54.643,58.377
RH,ONDJFM,71.272,74.440,76.203,76.020,77.169,75.438,78.039,78.666,74.716,76.077,79.120,74.861,76.015,78.030,76.473,77.325,74.606,76.219,73.137,75.018,77.833,75.327,77.670,78.867,73.350,76.311,76.526,73.460,75.384,75.100
RH,NDJF,72.404,77.472,79.132,79.585,80.891,79.682,79.989,82.062,77.336,80.736,80.492,76.807,77.883,80.515,78.992,81.066,80.762,80.696,74.994,77.497,80.153,76.938,80.474,80.607,76.167,78.714,79.919,75.811,79.099,78.765
RHmin,year,47.958,50.891,49.124,51.225,48.871,50.082,51.058,51.456,50.018,49.965,49.896,49.094,50.745,48.670,47.767,51.232,50.610,48.832,48.951,48.574,48.958,50.414,49.848,49.398,45.845,48.936,48.621,49.305,46.210,49.514
RHmin,MAMJJASO,45.024,44.742,44.018,46.033,43.130,44.830,45.015,46.945,44.375,44.792,44.764,44.828,46.528,43.228,41.389,44.761,44.084,44.524,44.962,43.642,43.981,45.114,43.786,44.489,40.929,43.249,44.651,44.529,39.793,43.337
RHmin,AMJJAS,43.186,42.412,43.146,43.949,41.942,41.572,41.520,46.487,43.005,42.328,40.286,41.807,43.660,39.886,39.676,42.498,43.903,43.649,41.788,41.934,39.839,42.140,39.933,41.569,37.836,39.662,42.959,42.576,37.865,40.892
RHmin,ONDJFM,51.214,55.686,56.626,57.735,58.374,56.848,57.951,60.262,54.221,58.170,60.461,55.201,56.673,58.637,56.735,59.937,56.196,58.067,53.260,55.052,60.102,55.643,59.580,60.065,53.630,57.437,57.809,52.934,56.290,57.313
RHmin,NDJF,51.656,59.088,59.467,61.798,62.610,61.812,59.904,64.217,56.618,63.589,61.341,56.870,57.912,61.042,59.051,64.586,63.059,62.977,54.891,56.856,62.720,56.798,63.053,61.521,55.854,59.536,60.989,55.014,60.126,61.319
PREC,year,540.215,590.828,534.243,679.219,560.991,562.252,699.136,612.728,702.322,513.365,538.469,574.414,580.690,545.912,570.084,840.054,780.111,520.204,591.094,689.743,631.124,713.410,680.882,535.249,456.511,622.217,540.546,696.133,647.957,811.177
PREC,MAMJJASO,311.410,306.935,267.263,376.055,225.188,308.944,365.976,390.932,323.897,332.564,325.941,434.222,451.672,294.392,211.427,328.848,341.340,347.058,418.562,391.060,384.216,413.602,370.897,359.517,285.484,376.637,369.401,474.395,278.470,402.744
PREC,AMJJAS,219.151,189.887,213.976,236.727,168.244,203.819,202.521,303.073,241.591,192.648,177.031,279.276,283.332,199.957,163.580,244.185,287.967,280.056,240.472,276.181,176.245,281.132,197.171,198.698,148.346,197.737,265.337,336.806,178.454,237.576
PREC,ONDJFM,116.053,361.013,322.071,423.220,471.518,376.538,350.060,480.288,257.929,443.489,416.313,252.442,277.255,368.263,337.412,545.823,459.416,469.838,259.137,284.562,653.235,288.293,495.795,440.761,259.621,395.651,416.677,245.822,406.939,574.249
PREC,NDJF,61.821,283.192,218.204,315.931,371.026,332.040,246.484,323.618,149.316,376.016,224.371,145.008,126.795,223.811,225.601,478.590,418.573,390.302,164.041,129.770,442.545,152.093,375.615,250.022,131.581,217.151,247.847,159.646,269.221,447.880
SRAD,year,5937.903,5848.828,5811.274,5707.985,5949.117,5970.090,5829.353,5856.607,5938.272,6044.840,5934.627,5773.372,5724.034,5979.839,6060.290,5904.957,5802.489,5922.703,5903.011,5896.532,5917.418,5728.260,5844.040,5885.121,6101.674,5947.434,5971.403,5874.220,6075.895,5842.434
SRAD,MAMJJASO,4894.819,4907.248,4859.578,4777.738,5047.647,5005.837,4903.760,4863.094,5025.637,5022.736,4990.223,4781.549,4734.397,4982.789,5107.059,4999.574,4898.049,4902.600,4872.571,4909.895,4937.829,4779.899,4920.584,4900.806,5061.328,4965.554,4959.210,4892.355,5117.242,4953.375
SRAD,AMJJAS,4078.570,4053.688,3971.405,3953.808,4131.033,4129.487,4120.340,3951.210,4127.812,4188.391,4220.616,4011.305,3935.483,4103.742,4150.268,4107.593,3902.777,3980.100,4058.433,4026.832,4152.117,3957.341,4117.343,4103.725,4207.750,4152.335,4059.407,4022.203,4169.732,4115.326
SRAD,ONDJFM,999.799,1876.909,1804.261,1768.845,1766.402,1826.701,1854.674,1765.850,1909.153,1821.811,1716.878,1804.361,1792.277,1830.534,1892.256,1799.489,1930.325,1854.030,1934.401,1886.911,1691.530,1848.592,1740.020,1696.336,1901.711,1827.337,1776.861,1966.586,1877.706,1742.606
SRAD,NDJF,572.968,988.057,963.155,935.086,891.236,894.770,995.512,929.847,1036.289,926.668,959.614,991.046,1005.456,969.998,1005.013,903.472,922.707,929.027,1048.936,1052.489,900.205,1020.450,902.672,932.619,1054.631,996.344,937.477,1054.909,974.897,890.655
WIND,year,2.367,2.356,2.366,2.466,2.373,2.410,2.427,2.403,2.267,2.231,2.269,2.221,2.197,2.272,2.323,2.210,2.084,2.162,2.139,2.115,2.248,2.347,2.327,2.275,2.264,2.272,2.251,2.099,2.223,2.309
