Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,11.479,12.045,12.662,12.095,10.407,11.535,10.238,12.105,13.402,12.916,12.565,12.746,11.558,11.864,12.656,11.592,12.393,11.841,13.178,13.389,12.521,12.917,12.277,12.394,12.536,13.134,13.195,13.097,12.162,11.716
TMAX,MAMJJASO,15.939,16.320,17.163,16.699,15.933,16.481,14.962,16.893,17.523,16.820,16.555,16.769,15.843,16.731,17.324,16.480,16.751,16.330,17.998,17.441,17.480,18.094,16.746,17.008,16.985,17.877,18.090,16.944,16.690,17.646
TMAX,AMJJAS,18.636,18.731,20.128,19.425,18.396,19.018,17.535,19.843,20.129,19.066,18.987,19.790,18.496,19.757,19.830,19.190,19.692,18.998,20.962,19.874,20.343,21.547,19.563,19.666,20.072,21.115,20.339,19.323,19.831,20.918
TMAX,ONDJFM,2.064,4.433,5.710,4.715,2.731,3.955,2.807,4.730,6.269,6.578,5.427,6.972,5.132,3.017,5.619,3.431,5.844,4.917,4.267,5.942,6.188,5.906,2.789,4.994,4.737,4.371,7.029,6.375,5.680,2.972
TMAX,NDJF,1.441,1.674,4.508,3.033,-0.417,0.953,0.590,2.985,4.220,4.755,3.653,5.344,4.248,0.684,4.088,0.472,4.056,3.658,1.659,4.374,4.495,3.282,0.584,3.312,3.628,2.284,4.315,4.971,3.856,0.581
TMIN,year,4.985,4.967,5.653,5.331,3.588,4.524,3.219,5.435,6.672,6.189,5.902,6.003,4.806,4.792,5.647,3.900,5.186,5.006,5.669,6.309,5.526,5.297,5.247,5.486,5.161,5.536,6.036,6.729,5.575,4.471
TMIN,MAMJJASO,8.216,8.047,9.017,8.598,8.496,8.500,7.015,9.011,9.497,8.741,8.666,8.655,7.709,8.357,9.141,7.421,8.217,8.237,9.016,8.718,9.216,8.719,8.417,8.892,7.969,8.632,9.514,9.045,8.626,9.165
TMIN,AMJJAS,10.473,9.742,11.078,10.682,10.111,10.198,9.402,11.292,11.047,10.174,10.326,10.642,9.482,10.432,10.577,9.499,10.323,10.582,10.855,10.278,11.438,11.052,10.742,10.800,10.642,11.012,11.061,10.415,10.724,11.833
TMIN,ONDJFM,-3.311,-0.685,0.851,-0.306,-2.299,-1.201,-2.995,0.367,1.350,1.852,0.994,2.367,0.683,-1.824,1.398,-2.608,0.681,-0.102,-0.876,1.404,1.469,0.776,-2.499,0.230,-0.385,-1.019,1.713,2.632,1.541,-1.959
TMIN,NDJF,-2.865,-3.000,0.121,-1.436,-5.468,-4.031,-4.545,-0.865,-0.225,0.494,-0.473,1.294,0.250,-3.792,0.232,-4.749,-0.746,-0.503,-2.818,0.256,0.868,-1.255,-4.036,-0.809,-0.578,-1.991,-0.281,1.856,0.174,-3.801
TAVG,year,8.145,8.434,9.092,8.627,6.899,7.940,6.594,8.675,9.924,9.463,9.124,9.287,8.078,8.263,9.046,7.634,8.743,8.287,9.371,9.731,8.924,9.073,8.622,8.835,8.800,9.314,9.532,9.848,8.818,8.007
TAVG,MAMJJASO,11.879,12.028,12.957,12.510,12.012,12.317,10.751,12.794,13.344,12.658,12.439,12.569,11.623,12.430,13.056,11.780,12.377,12.059,13.409,12.877,13.172,13.324,12.380,12.727,12.381,13.192,13.633,12.899,12.560,13.234
TAVG,AMJJAS,14.331,14.089,15.449,14.876,14.022,14.436,13.238,15.422,15.432,14.497,14.505,15.103,13.834,15.006,15.017,14.143,14.928,14.569,15.837,14.859,15.657,16.282,14.962,15.009,15.277,15.988,15.548,14.788,15.167,16.170
TAVG,ONDJFM,-0.556,1.895,3.274,2.247,0.221,1.397,-0.090,2.467,3.718,4.170,3.190,4.569,2.870,0.546,3.441,0.428,3.245,2.379,1.623,3.677,3.839,3.289,0.074,2.596,2.222,1.643,4.364,4.483,3.630,0.532
TAVG,NDJF,-0.599,-0.506,2.360,0.870,-2.910,-1.417,-1.880,1.047,2.031,2.606,1.640,3.331,2.266,-1.577,2.190,-2.088,1.736,1.623,-0.556,2.375,2.714,1.063,-1.696,1.326,1.612,0.182,2.119,3.435,2.089,-1.548
RH,year,83.967,82.258,82.524,82.809,83.880,82.592,83.239,83.198,82.939,83.208,84.477,82.279,81.841,82.321,82.788,81.847,80.872,82.877,81.116,82.313,82.423,79.689,82.385,82.682,81.899,80.914,82.950,83.288,83.505,84.287
RH,MAMJJASO,81.456,79.295,80.330,80.348,81.886,80.305,80.797,81.231,80.274,79.720,82.279,78.986,79.544,79.138,80.348,78.623,77.110,79.991,77.283,78.990,79.782,75.686,79.202,79.059,78.596,76.880,79.572,80.096,79.971,81.058
RH,AMJJAS,80.564,77.558,78.429,78.908,80.449,78.956,80.232,79.430,78.101,78.498,80.680,76.692,77.796,77.409,78.522,77.027,75.002,79.537,75.096,77.715,78.589,73.484,78.639,76.580,77.591,73.626,77.248,77.659,77.657,79.142
RH,ONDJFM,84.117,88.043,87.252,85.350,87.664,87.080,86.118,87.384,86.910,87.420,88.212,88.440,87.230,86.409,87.111,85.796,86.367,87.577,87.117,86.210,86.840,86.877,84.275,89.013,86.966,86.784,88.569,89.166,89.305,89.803
RH,NDJF,87.210,89.325,87.725,86.182,88.125,88.107,87.703,87.860,87.801,89.548,89.312,89.089,88.075,87.351,88.612,87.536,88.099,89.722,89.209,87.760,89.185,88.415,86.754,90.142,89.454,88.293,89.390,90.013,90.671,90.650
RHmin,year,69.013,66.487,66.917,67.725,67.811,66.761,66.733,68.054,67.845,68.153,68.961,67.478,66.705,66.842,67.010,64.908,65.366,67.303,65.234,66.737,66.803,64.146,66.627,67.287,65.881,65.163,67.301,69.300,69.008,67.757
RHmin,MAMJJASO,64.218,61.699,62.966,63.080,65.099,63.080,62.854,64.157,63.188,62.690,64.662,62.156,62.173,61.895,62.851,59.886,59.759,62.339,59.490,60.652,62.184,57.723,61.457,61.846,59.933,58.915,61.734,63.650,63.142,62.822
RHmin,AMJJAS,62.868,59.170,59.875,60.818,62.330,60.552,62.364,61.818,59.684,60.391,62.108,58.806,59.385,59.127,59.501,57.548,56.962,61.666,55.978,58.176,60.046,54.515,60.405,58.706,58.885,55.175,58.707,60.005,59.458,60.386
RHmin,ONDJFM,71.088,74.848,74.758,72.944,74.325,73.930,71.369,75.556,73.871,75.113,76.420,75.959,75.322,73.633,75.848,70.777,73.175,74.738,73.740,74.637,75.077,73.749,71.069,76.347,74.147,72.976,75.190,79.129,78.379,76.638
RHmin,NDJF,76.188,77.250,76.326,74.861,74.482,75.288,74.261,77.322,76.047,77.890,78.231,78.104,77.324,75.163,78.248,73.681,75.636,78.726,77.014,76.965,79.420,76.504,74.728,79.037,78.415,76.891,77.503,81.461,80.775,78.582
PREC,year,895.396,588.809,707.715,667.905,692.050,722.856,718.069,714.418,666.174,839.043,729.559,628.231,696.323,688.333,705.518,581.224,681.469,818.247,650.948,663.420,794.777,560.809,683.749,771.148,642.140,514.656,718.812,872.463,773.379,775.600
PREC,MAMJJASO,672.281,429.757,477.193,512.547,537.465,532.487,552.923,523.132,478.561,560.616,495.464,422.501,504.371,531.313,509.394,378.380,484.360,646.814,384.198,457.308,581.600,332.669,495.084,594.125,454.088,372.348,508.018,637.418,582.183,526.594
PREC,AMJJAS,478.222,337.030,298.016,387.341,467.018,431.531,516.587,426.688,337.057,398.998,401.915,298.217,404.640,384.899,405.168,291.310,359.589,524.955,269.874,319.173,447.911,251.376,418.823,468.934,386.447,209.925,387.810,457.916,400.389,420.056
