Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.852,15.934,15.943,14.962,14.668,15.291,14.791,16.110,17.205,16.741,15.539,16.189,15.778,16.805,16.721,14.791,16.588,15.949,16.984,16.518,16.222,16.780,17.351,16.283,16.752,17.234,17.203,16.541,16.977,15.525
TMAX,MAMJJASO,18.779,19.800,19.707,18.103,19.025,19.229,18.924,19.229,20.941,20.356,19.662,19.751,19.552,20.230,20.659,18.972,20.536,19.473,21.035,19.930,20.108,20.200,21.649,20.212,21.081,21.428,20.742,19.933,21.296,20.415
TMAX,AMJJAS,20.509,21.971,21.775,19.814,21.012,20.839,20.960,21.112,22.467,21.732,21.117,22.150,21.613,22.096,22.448,20.923,22.339,21.497,23.069,21.919,21.653,22.023,24.070,22.129,22.744,23.631,22.658,22.054,23.535,22.466
TMAX,ONDJFM,8.327,9.097,9.869,9.673,8.935,8.836,9.229,10.631,11.833,12.298,10.351,10.131,10.324,9.951,11.693,9.428,9.910,11.394,10.103,10.685,10.790,11.722,10.844,10.381,10.212,9.950,13.081,11.199,9.788,9.900
TMAX,NDJF,5.884,7.320,8.069,7.992,6.909,6.204,7.136,9.037,9.747,10.214,7.213,8.122,8.939,8.070,10.559,6.808,7.013,9.757,8.203,8.879,9.248,9.032,8.507,9.072,7.933,7.231,11.183,9.891,7.465,7.514
TMIN,year,7.887,8.288,8.315,7.885,7.161,7.505,7.729,9.116,8.836,8.609,7.681,8.763,8.202,9.137,8.884,7.185,8.543,8.709,9.363,9.526,8.963,9.424,8.511,8.592,8.947,9.406,9.471,8.980,8.695,7.724
TMIN,MAMJJASO,10.822,10.914,11.034,9.919,10.445,10.185,10.583,11.111,11.371,10.725,10.610,11.209,10.783,11.296,11.574,9.876,11.083,11.372,12.026,11.774,11.802,11.558,11.264,11.240,11.753,12.233,11.653,11.327,11.506,10.911
TMIN,AMJJAS,11.962,12.343,12.570,11.193,11.949,11.325,12.269,12.371,12.226,11.590,11.551,12.940,12.426,12.786,12.920,11.345,12.336,12.813,13.563,13.068,12.645,12.969,13.128,12.707,12.927,13.822,13.206,12.793,13.102,12.346
TMIN,ONDJFM,2.727,3.298,4.595,3.663,3.077,2.935,3.571,5.430,5.888,5.697,4.284,4.269,4.275,4.439,5.579,3.379,4.101,5.162,4.624,5.146,5.793,5.766,4.611,4.292,4.457,4.149,7.042,5.180,3.805,4.217
TMIN,NDJF,0.682,2.030,3.374,2.717,1.273,1.310,2.324,4.500,4.637,4.242,2.050,2.806,3.891,2.991,5.470,1.665,2.140,4.257,3.322,4.001,4.669,3.882,3.298,3.919,2.936,2.498,6.080,4.325,2.355,2.836
TAVG,year,11.380,12.123,12.154,11.437,10.915,11.397,11.252,12.605,13.031,12.712,11.617,12.461,11.945,12.945,12.781,10.963,12.535,12.301,13.164,13.009,12.575,13.112,12.930,12.734,13.002,13.368,13.414,12.668,12.743,11.566
TAVG,MAMJJASO,14.829,15.389,15.423,14.049,14.756,14.722,14.763,15.174,16.201,15.607,15.161,15.489,15.140,15.742,16.105,14.420,15.792,15.416,16.535,15.843,15.950,15.892,16.482,16.017,16.505,16.843,16.279,15.556,16.291,15.568
TAVG,AMJJAS,16.267,17.207,17.234,15.557,16.524,16.111,16.635,16.749,17.413,16.758,16.374,17.573,17.002,17.438,17.688,16.157,17.336,17.145,18.341,17.485,17.162,17.519,18.665,17.707,17.897,18.722,18.046,17.388,18.234,17.342
TAVG,ONDJFM,5.510,6.181,7.225,6.639,5.975,5.851,6.366,7.997,8.826,8.966,7.281,7.183,7.223,7.139,8.580,6.344,6.939,8.218,7.333,7.883,8.254,8.720,7.682,7.471,7.628,7.257,10.068,8.154,6.645,6.982
TAVG,NDJF,3.241,4.652,5.709,5.309,4.051,3.715,4.695,6.730,7.150,7.189,4.583,5.451,6.332,5.465,7.980,4.177,4.515,6.945,5.716,6.409,6.921,6.440,5.870,6.639,5.718,5.123,8.684,7.065,4.793,5.150
