Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,11.453,12.023,12.647,12.080,10.379,11.493,10.207,12.080,13.391,12.925,12.567,12.724,11.548,11.849,12.630,11.572,12.374,11.833,13.156,13.379,12.510,12.895,12.244,12.386,12.519,13.117,13.185,13.089,12.145,11.670
TMAX,MAMJJASO,15.957,16.351,17.189,16.733,15.954,16.488,14.989,16.907,17.559,16.890,16.607,16.780,15.870,16.762,17.351,16.522,16.778,16.363,18.025,17.487,17.519,18.123,16.762,17.055,17.016,17.910,18.116,16.991,16.725,17.657
TMAX,AMJJAS,18.712,18.827,20.215,19.528,18.479,19.084,17.630,19.917,20.226,19.205,19.108,19.865,18.589,19.858,19.920,19.305,19.792,19.095,21.049,19.982,20.449,21.650,19.645,19.785,20.164,21.210,20.421,19.438,19.936,20.989
TMAX,ONDJFM,1.781,4.290,5.592,4.582,2.590,3.825,2.626,4.600,6.154,6.459,5.307,6.856,5.011,2.895,5.480,3.286,5.695,4.782,4.153,5.808,6.055,5.778,2.628,4.850,4.620,4.226,6.931,6.253,5.553,2.811
TMAX,NDJF,1.218,1.539,4.410,2.921,-0.549,0.838,0.408,2.875,4.126,4.641,3.550,5.246,4.153,0.590,3.965,0.338,3.921,3.540,1.564,4.252,4.373,3.162,0.443,3.185,3.536,2.146,4.229,4.869,3.744,0.422
TMIN,year,5.021,5.020,5.726,5.382,3.591,4.553,3.215,5.498,6.780,6.295,5.983,6.096,4.888,4.843,5.707,3.909,5.251,5.072,5.741,6.395,5.594,5.383,5.290,5.553,5.210,5.592,6.113,6.836,5.642,4.485
TMIN,MAMJJASO,8.358,8.227,9.202,8.759,8.661,8.670,7.153,9.181,9.707,8.951,8.859,8.849,7.892,8.537,9.321,7.568,8.393,8.404,9.216,8.913,9.403,8.927,8.579,9.080,8.123,8.804,9.705,9.250,8.809,9.337
TMIN,AMJJAS,10.728,10.022,11.371,10.962,10.382,10.465,9.661,11.569,11.347,10.481,10.620,10.932,9.769,10.720,10.856,9.773,10.607,10.860,11.164,10.581,11.747,11.361,11.009,11.090,10.923,11.313,11.343,10.726,11.014,12.110
TMIN,ONDJFM,-3.718,-0.890,0.717,-0.481,-2.553,-1.402,-3.281,0.217,1.262,1.751,0.859,2.263,0.561,-2.010,1.270,-2.873,0.513,-0.256,-1.039,1.265,1.318,0.640,-2.707,0.070,-0.552,-1.240,1.590,2.543,1.405,-2.203
TMIN,NDJF,-3.203,-3.247,-0.017,-1.600,-5.783,-4.271,-4.864,-1.020,-0.324,0.375,-0.624,1.181,0.133,-4.002,0.088,-5.029,-0.926,-0.650,-3.006,0.111,0.727,-1.409,-4.280,-0.991,-0.718,-2.220,-0.424,1.777,0.037,-4.094
TAVG,year,8.147,8.448,9.119,8.645,6.885,7.931,6.575,8.691,9.971,9.520,9.160,9.317,8.111,8.281,9.064,7.628,8.767,8.316,9.396,9.767,8.954,9.108,8.626,8.867,8.819,9.335,9.568,9.898,8.843,7.996
TAVG,MAMJJASO,11.950,12.125,13.053,12.603,12.096,12.396,10.823,12.877,13.460,12.792,12.551,12.660,11.717,12.531,13.152,11.869,12.472,12.151,13.518,12.992,13.283,13.442,12.463,12.844,12.475,13.294,13.740,13.023,12.667,13.328
TAVG,AMJJAS,14.484,14.267,15.628,15.062,14.190,14.592,13.401,15.589,15.625,14.712,14.704,15.274,14.010,15.197,15.193,14.327,15.113,14.747,16.030,15.059,15.860,16.487,15.129,15.213,15.464,16.185,15.725,14.999,15.363,16.348
TAVG,ONDJFM,-0.891,1.732,3.150,2.099,0.027,1.241,-0.312,2.328,3.623,4.066,3.062,4.458,2.752,0.398,3.311,0.240,3.097,2.241,1.491,3.546,3.700,3.169,-0.102,2.449,2.086,1.467,4.261,4.380,3.499,0.335
