Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,18.265,18.048,18.472,17.965,18.407,18.586,18.106,18.433,18.810,19.451,17.324,18.805,19.039,19.981,18.325,17.775,17.779,18.493,19.241,19.827,19.273,19.321,19.073,19.270,18.397,19.140,20.426,20.160,19.839,19.596
TMAX,MAMJJASO,23.320,22.555,23.242,22.485,23.299,23.691,22.602,23.308,23.103,23.852,22.006,23.529,24.060,24.910,22.862,22.187,21.675,23.217,23.925,24.606,24.519,23.434,24.119,23.674,22.881,23.912,25.174,24.944,24.304,23.747
TMAX,AMJJAS,25.015,25.093,25.491,24.639,26.419,26.700,26.138,26.102,25.159,25.517,24.279,25.649,26.450,27.436,25.233,25.647,24.204,25.895,26.508,27.364,26.134,25.495,27.169,25.732,25.402,26.260,27.981,27.015,27.053,26.778
TMAX,ONDJFM,8.575,11.023,12.368,10.221,10.509,11.239,9.914,11.503,11.510,12.491,11.784,10.774,11.581,12.769,12.060,9.017,12.068,11.412,10.857,11.444,13.774,12.618,10.969,11.969,12.393,11.227,14.027,11.910,12.493,12.563
TMAX,NDJF,5.513,8.251,10.024,8.318,7.392,9.432,8.327,10.074,8.768,9.654,9.325,8.364,9.048,9.508,10.070,7.015,10.880,10.148,7.912,8.841,11.469,9.441,8.581,9.827,10.037,8.787,12.194,8.933,10.191,10.502
TMIN,year,8.610,8.684,8.460,8.713,8.330,8.544,8.352,8.664,8.608,8.928,8.369,8.508,8.423,9.926,8.633,8.739,8.054,9.278,9.838,9.279,9.459,9.637,8.470,8.765,8.740,8.912,9.726,9.499,9.546,9.727
TMIN,MAMJJASO,12.358,12.306,12.073,11.777,11.984,12.304,11.509,12.370,12.234,12.175,12.169,12.185,12.358,13.627,12.023,12.018,10.937,12.956,13.615,12.820,13.477,13.169,12.211,12.337,12.295,12.745,13.250,13.086,12.863,13.116
TMIN,AMJJAS,13.910,14.337,14.387,13.475,14.309,14.542,14.264,14.765,14.069,13.960,14.024,14.018,14.140,15.709,14.229,14.520,13.270,15.399,15.807,15.133,15.088,15.121,14.901,14.142,14.594,14.700,15.322,15.059,14.956,15.607
TMIN,ONDJFM,1.117,2.786,3.531,2.863,2.568,3.420,1.544,3.782,2.558,2.915,3.424,2.539,2.436,4.240,3.711,1.988,3.529,2.989,3.398,3.067,5.149,3.260,2.364,2.612,3.507,2.619,4.685,3.304,3.806,4.066
TMIN,NDJF,-0.815,0.937,1.820,1.841,0.270,2.442,0.584,2.857,0.559,1.066,1.810,0.821,0.315,2.193,2.119,0.873,2.628,2.607,1.324,1.413,3.594,0.845,1.033,1.017,1.969,0.822,3.287,1.147,2.491,2.647
TAVG,year,13.240,13.071,13.117,13.109,13.158,13.339,13.084,13.273,13.423,13.906,12.572,13.339,13.478,14.671,13.116,13.004,12.663,13.693,14.214,14.344,14.105,14.047,13.546,13.679,13.179,13.598,14.747,14.446,14.316,14.246
TAVG,MAMJJASO,17.661,17.158,17.296,16.955,17.465,17.825,16.978,17.604,17.455,17.802,16.869,17.582,18.029,19.050,17.123,16.935,16.130,17.955,18.493,18.587,18.818,17.909,17.987,17.665,17.209,17.936,18.977,18.658,18.238,18.040
TAVG,AMJJAS,19.359,19.470,19.591,18.945,20.267,20.510,20.211,20.268,19.459,19.604,19.043,19.603,20.198,21.429,19.472,20.002,18.638,20.600,20.910,21.234,20.517,19.959,20.884,19.628,19.663,20.142,21.494,20.775,20.689,20.809
TAVG,ONDJFM,4.561,6.599,7.599,6.182,6.199,7.032,5.377,7.258,6.677,7.273,7.166,6.247,6.574,8.108,7.443,5.100,7.270,6.884,6.778,6.893,9.012,7.413,6.292,7.042,7.475,6.427,8.822,7.120,7.700,7.894
TAVG,NDJF,2.100,4.335,5.559,4.750,3.526,5.671,4.104,6.071,4.338,4.908,5.155,4.233,4.245,5.465,5.655,3.564,6.205,6.067,4.297,4.773,7.059,4.625,4.447,5.161,5.550,4.348,7.187,4.576,5.948,6.167
RH,year,69.849,71.633,70.315,72.186,67.908,68.911,70.292,70.053,68.514,67.346,72.685,65.687,65.294,67.583,71.974,71.816,70.578,70.047,71.786,65.178,68.566,71.890,68.844,70.744,73.264,71.105,68.794,70.612,73.497,76.362
RH,MAMJJASO,65.554,68.504,66.530,66.791,62.213,63.536,64.561,65.002,65.868,61.798,69.308,61.497,60.240,61.805,67.097,66.262,65.776,65.301,67.865,58.593,63.401,68.455,62.774,67.168,69.766,67.309,63.518,66.340,69.248,73.724
RH,AMJJAS,63.634,66.081,66.327,64.350,58.561,60.288,60.831,63.053,64.558,61.054,67.589,59.876,57.278,58.903,65.831,62.069,64.544,63.196,66.305,55.174,62.192,67.327,60.051,65.074,68.725,64.986,60.030,64.525,66.580,72.079
RH,ONDJFM,77.562,75.946,74.809,80.169,78.072,78.306,76.532,79.177,73.401,71.468,78.067,74.584,71.262,76.169,77.292,80.414,77.324,76.374,78.067,76.068,76.650,73.083,77.840,77.072,77.958,77.906,75.716,78.089,78.809,80.592
RH,NDJF,80.282,77.479,77.193,82.361,80.166,81.989,79.038,81.258,75.808,75.851,80.410,77.304,72.273,81.252,78.667,83.732,79.704,80.480,80.373,79.609,79.802,76.147,81.776,79.143,79.729,79.920,77.687,80.367,81.198,82.839
RHmin,year,52.537,54.144,51.824,55.137,50.706,51.523,53.014,52.335,50.340,49.410,55.358,48.120,47.917,50.357,53.524,54.963,52.782,53.543,54.050,48.071,51.327,53.423,50.525,51.406,54.358,51.852,50.194,51.195,53.817,56.279
RHmin,MAMJJASO,47.667,50.809,47.671,49.210,45.198,46.182,47.244,47.369,48.110,44.242,52.081,44.132,43.405,44.878,48.528,49.506,48.103,48.814,50.292,42.159,46.280,50.410,44.779,48.003,50.749,48.191,45.387,46.769,49.439,53.639
RHmin,AMJJAS,46.463,48.552,47.870,46.974,41.735,43.026,44.082,45.788,47.161,44.140,50.680,42.924,40.801,42.631,47.734,45.431,47.347,47.460,48.752,39.659,45.852,49.673,42.720,46.432,50.076,46.355,42.236,45.982,46.885,51.831
RHmin,ONDJFM,60.645,58.384,56.485,63.084,60.339,61.251,58.128,61.279,55.055,52.603,59.473,56.748,52.796,58.031,58.680,63.611,58.198,58.539,61.306,57.991,58.103,53.852,58.896,57.367,58.149,58.268,55.554,58.920,58.997,61.070
RHmin,NDJF,64.576,60.941,59.019,66.086,62.963,65.214,60.773,63.586,57.722,56.799,62.252,59.859,53.721,63.483,60.219,67.494,60.381,62.960,64.376,61.890,61.344,56.956,63.396,59.406,60.614,60.726,57.487,61.604,62.362,63.610
PREC,year,562.689,597.636,542.001,517.764,411.895,471.904,608.177,527.488,491.250,416.796,532.522,410.053,399.822,481.143,625.300,542.396,560.755,539.431,519.230,279.409,424.305,706.091,685.857,636.655,899.892,608.321,759.408,504.223,734.171,860.242
PREC,MAMJJASO,285.934,385.383,400.578,332.167,212.604,261.407,351.602,316.526,370.085,251.764,381.019,312.242,243.538,321.884,373.286,297.973,392.166,320.220,322.915,200.392,240.626,552.336,435.707,411.488,635.411,451.569,508.703,379.276,458.756,584.365
PREC,AMJJAS,226.366,305.721,348.006,212.628,175.092,214.022,271.253,192.224,266.077,209.562,294.586,260.449,182.190,232.859,293.521,233.629,261.900,211.596,245.072,149.747,214.145,374.449,335.383,343.107,540.526,311.062,368.204,326.209,298.976,400.574
PREC,ONDJFM,171.248,278.535,265.967,329.546,199.239,304.161,252.347,310.883,253.768,192.675,270.254,195.869,190.356,192.673,345.932,300.910,265.894,338.978,317.293,221.376,160.895,240.177,328.530,336.156,364.114,347.279,245.758,340.931,312.387,460.690
PREC,NDJF,136.141,197.892,211.848,191.043,166.545,278.296,161.893,201.318,159.942,132.093,217.030,104.312,120.393,156.854,212.889,239.821,195.994,230.773,196.612,160.912,114.496,129.586,247.789,206.232,290.216,207.556,141.588,226.565,217.936,302.468
SRAD,year,5373.825,5273.475,5300.937,5090.171,5271.836,5190.716,5108.630,5020.593,5161.582,5280.584,4851.153,5177.825,5182.012,5178.683,5112.932,5189.316,5306.000,5294.164,5311.515,5687.471,5369.747,5063.753,5389.126,5274.406,5176.657,5348.951,5586.517,5496.998,5296.460,5153.929
SRAD,MAMJJASO,4652.586,4507.210,4507.740,4452.653,4560.647,4502.452,4445.686,4304.994,4319.933,4512.470,4135.936,4362.965,4376.719,4469.410,4393.050,4490.894,4514.413,4522.678,4540.023,4872.961,4629.213,4266.778,4659.283,4512.109,4444.127,4553.746,4808.125,4711.620,4573.874,4407.144
SRAD,AMJJAS,3870.775,3794.621,3699.483,3775.009,3894.032,3832.717,3795.899,3623.729,3571.366,3696.049,3515.592,3686.971,3683.008,3760.732,3627.193,3855.168,3757.333,3761.177,3820.647,4075.276,3830.246,3555.108,3911.104,3741.343,3676.081,3819.829,4093.512,3889.091,3899.256,3744.863
SRAD,ONDJFM,784.722,1502.342,1580.230,1325.589,1395.314,1329.891,1425.763,1318.223,1551.221,1638.715,1392.701,1457.304,1490.701,1415.591,1454.094,1361.578,1540.877,1546.294,1466.010,1584.767,1498.522,1611.195,1483.534,1462.989,1516.220,1490.459,1600.556,1509.283,1464.661,1402.142
SRAD,NDJF,374.271,750.451,816.392,649.116,718.923,640.630,727.670,683.475,811.867,815.143,719.478,768.596,850.248,670.441,779.292,645.500,823.929,780.302,737.685,787.835,767.317,820.991,713.170,737.699,753.947,757.998,824.851,782.354,712.679,699.891
WIND,year,2.563,2.441,2.418,2.316,2.320,2.220,2.348,2.277,2.119,2.141,2.184,2.173,2.194,2.351,2.472,2.255,2.541,2.496,2.142,2.366,2.529,2.454,2.485,2.585,2.523,2.358,2.492,2.389,2.413,2.545
