Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.871,16.991,16.877,15.908,15.084,15.811,15.201,16.626,17.569,17.415,16.212,17.065,16.151,17.266,17.188,15.286,17.001,16.697,17.591,17.292,16.945,17.423,17.831,17.157,17.464,17.904,17.751,17.241,17.375,15.838
TMAX,MAMJJASO,19.901,20.813,20.541,19.025,19.276,19.522,19.024,19.580,21.100,20.739,20.198,20.649,19.846,20.573,21.225,19.525,20.910,20.040,21.421,20.628,20.615,20.895,21.922,20.919,21.361,21.820,21.251,20.648,21.559,20.615
TMAX,AMJJAS,21.751,22.869,22.544,20.669,21.180,21.191,21.021,21.528,22.646,22.104,21.598,23.098,21.778,22.541,23.058,21.504,22.770,21.994,23.461,22.564,22.327,22.880,24.308,22.820,22.981,24.116,23.127,22.825,23.852,22.547
TMAX,ONDJFM,9.053,9.870,11.319,10.746,9.798,9.343,10.020,11.409,12.328,12.974,11.284,11.040,10.972,10.496,12.234,9.400,10.567,12.070,10.922,11.764,11.299,12.678,11.309,11.337,11.309,10.928,13.820,11.827,10.425,10.321
TMAX,NDJF,6.770,7.969,9.566,9.090,7.699,6.933,8.219,9.999,10.599,11.078,8.325,9.147,9.618,8.577,11.274,6.616,7.827,10.515,9.135,10.219,9.897,10.331,9.080,10.121,9.283,8.647,12.011,10.581,8.285,7.918
TMIN,year,8.379,8.773,8.863,8.361,7.554,7.607,7.845,9.347,9.029,9.068,7.998,9.217,8.384,9.186,8.782,7.095,8.667,9.144,9.303,9.668,9.087,9.355,8.272,8.875,8.985,9.598,9.584,9.054,8.754,7.525
TMIN,MAMJJASO,11.241,11.246,11.364,10.257,10.669,9.984,10.373,11.194,11.261,10.800,10.587,11.441,10.682,11.278,11.345,9.720,11.035,11.528,11.704,11.691,11.697,11.440,10.638,11.206,11.262,11.988,11.638,11.174,11.217,10.576
TMIN,AMJJAS,12.351,12.489,12.798,11.414,12.016,11.087,11.973,12.478,12.048,11.598,11.507,13.113,12.201,12.686,12.649,11.096,12.292,12.841,13.043,12.849,12.585,13.048,12.472,12.550,12.281,13.424,13.112,12.645,12.740,11.782
TMIN,ONDJFM,3.618,3.683,5.696,4.420,3.827,3.498,3.842,6.054,6.348,6.505,4.865,5.174,4.879,4.854,5.877,3.113,4.408,5.782,5.146,5.815,5.793,6.324,4.265,4.853,5.157,4.877,7.524,5.547,4.388,4.321
TMIN,NDJF,1.815,2.314,4.542,3.570,1.969,1.976,2.929,5.397,5.314,5.265,2.948,4.015,4.624,3.477,5.764,1.359,2.700,5.084,3.879,4.802,4.850,4.793,3.186,4.734,3.909,3.596,6.651,4.943,3.175,3.001
