Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.257,12.765,13.514,11.722,11.972,12.354,11.989,12.767,13.448,13.434,12.248,13.615,12.794,14.080,12.509,11.390,13.018,13.117,12.870,13.988,13.004,13.718,13.869,12.602,12.223,13.221,13.818,13.592,13.135,11.994
TMAX,MAMJJASO,16.834,16.851,17.861,15.440,16.600,16.964,16.000,16.718,16.935,17.332,16.485,17.595,16.839,17.968,16.635,15.382,16.718,16.977,17.341,18.036,17.545,17.446,18.528,16.698,16.916,17.471,17.859,17.162,17.630,16.430
TMAX,AMJJAS,18.501,19.046,19.924,17.175,18.839,19.084,18.590,19.009,18.074,18.573,18.256,20.352,19.120,19.955,18.328,17.623,18.770,19.200,19.292,20.162,18.782,19.283,21.334,18.619,18.872,19.506,20.207,19.143,20.368,18.743
TMAX,ONDJFM,5.848,5.787,7.209,5.926,5.574,5.238,5.384,6.807,8.185,9.095,6.726,6.511,6.445,7.359,7.173,5.335,7.063,7.677,6.116,6.436,8.064,7.972,6.719,6.112,6.191,5.227,9.557,6.853,6.165,5.895
TMAX,NDJF,2.414,3.407,5.138,3.777,3.103,2.605,3.643,5.430,5.522,6.662,3.528,4.727,5.231,4.682,6.103,2.500,4.920,6.554,3.495,4.026,5.717,4.688,4.170,4.842,3.614,2.481,7.589,5.312,3.804,3.763
TMIN,year,3.284,3.827,3.821,3.033,2.882,3.103,3.282,3.876,4.106,3.749,3.296,4.407,3.780,4.960,3.835,3.054,3.985,4.150,4.280,4.816,4.107,4.878,4.118,3.937,3.554,4.217,4.640,4.694,4.496,3.705
TMIN,MAMJJASO,6.878,6.945,7.113,5.677,6.356,6.576,6.288,6.795,7.012,6.602,6.720,7.279,6.815,7.647,6.941,6.172,6.581,7.262,7.732,7.762,7.589,7.593,7.507,6.972,6.998,7.474,7.415,7.341,7.829,7.093
TMIN,AMJJAS,8.216,8.648,8.819,7.195,8.034,8.284,8.402,8.350,8.352,7.753,8.150,9.224,8.562,9.346,8.503,7.946,8.201,9.055,9.365,9.168,8.547,9.319,9.790,8.483,8.837,9.336,9.145,9.038,9.799,9.123
TMIN,ONDJFM,-2.249,-1.841,-0.233,-2.030,-1.843,-2.086,-2.529,-0.116,0.136,-0.299,-1.159,-1.027,-1.008,-0.015,-0.299,-1.887,-0.384,-0.227,-1.001,-0.935,0.906,-0.243,-0.832,-1.323,-1.099,-1.999,1.415,-0.535,-0.580,-1.081
TMIN,NDJF,-4.984,-3.628,-1.668,-3.424,-3.800,-3.867,-3.441,-1.217,-1.766,-2.023,-3.565,-2.257,-1.939,-1.939,-0.707,-3.700,-2.071,-0.807,-3.031,-2.763,-0.887,-2.556,-2.392,-1.986,-2.768,-3.809,0.287,-1.650,-2.165,-2.450
TAVG,year,7.724,8.234,8.615,7.339,7.382,7.683,7.588,8.290,8.728,8.551,7.729,8.961,8.220,9.475,8.136,7.169,8.454,8.585,8.533,9.360,8.523,9.256,8.931,8.228,7.851,8.690,9.192,9.124,8.801,7.832
TAVG,MAMJJASO,11.821,11.847,12.448,10.531,11.444,11.733,11.102,11.733,11.938,11.932,11.578,12.385,11.762,12.768,11.752,10.731,11.605,12.082,12.500,12.860,12.538,12.482,12.964,11.801,11.920,12.458,12.602,12.245,12.718,11.752
TAVG,AMJJAS,13.311,13.794,14.322,12.159,13.395,13.644,13.459,13.653,13.175,13.124,13.173,14.728,13.768,14.599,13.379,12.738,13.437,14.085,14.288,14.617,13.629,14.262,15.504,13.520,13.819,14.405,14.632,14.080,15.061,13.924
TAVG,ONDJFM,1.739,1.916,3.429,1.891,1.818,1.530,1.369,3.301,4.111,4.339,2.734,2.704,2.659,3.628,3.403,1.664,3.289,3.676,2.512,2.715,4.451,3.822,2.883,2.341,2.490,1.578,5.453,3.130,2.787,2.378
TAVG,NDJF,-1.386,-0.185,1.665,0.101,-0.416,-0.694,0.046,2.044,1.821,2.243,-0.090,1.187,1.576,1.314,2.657,-0.664,1.365,2.811,0.176,0.590,2.365,1.026,0.818,1.365,0.366,-0.708,3.890,1.781,0.800,0.620
RH,year,71.890,73.298,69.798,73.229,72.214,71.901,73.420,72.508,71.498,69.831,72.181,69.696,72.353,72.907,75.053,75.652,73.612,72.951,75.123,74.488,75.492,75.751,72.076,75.344,75.389,74.626,74.381,76.247,76.828,77.261
RH,MAMJJASO,70.118,70.646,67.625,70.521,69.502,69.441,70.733,70.189,70.433,67.037,70.694,66.638,69.838,70.232,72.323,73.538,70.639,71.793,73.455,71.498,72.905,73.290,68.498,73.734,72.681,72.362,71.726,74.536,74.092,74.577
RH,AMJJAS,69.044,69.532,66.554,70.165,67.729,67.968,69.384,68.239,71.075,66.617,69.486,63.564,68.258,69.023,71.544,72.185,69.195,70.934,72.907,69.297,70.785,72.722,66.926,72.286,71.896,71.219,69.770,73.341,72.520,73.756
RH,ONDJFM,71.941,75.804,76.391,74.215,76.568,77.757,74.932,77.617,74.848,69.549,75.591,74.473,75.476,78.150,77.495,79.878,77.705,75.313,77.505,78.176,81.281,77.337,79.023,78.278,78.193,79.903,76.650,79.213,81.442,80.559
