Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,16.692,16.704,17.549,15.982,15.628,16.475,15.879,16.750,17.183,17.647,16.083,17.747,16.836,18.079,16.846,15.559,16.578,17.007,16.950,18.712,17.183,18.001,17.762,16.606,16.477,17.271,18.577,18.403,18.060,16.491
TMAX,MAMJJASO,22.288,22.236,23.109,21.108,21.381,22.384,21.172,21.788,22.232,22.593,21.397,23.100,22.406,23.169,22.060,20.851,21.510,21.989,22.685,23.853,22.789,23.099,23.720,21.812,21.896,22.683,23.860,22.996,23.720,21.643
TMAX,AMJJAS,24.249,24.723,25.594,23.240,24.013,25.196,24.217,24.495,24.053,24.336,23.739,26.085,25.145,25.810,24.272,23.584,23.990,24.554,25.080,26.295,24.624,25.504,27.079,24.178,24.382,25.143,26.617,25.225,26.822,24.227
TMAX,ONDJFM,8.031,8.081,10.215,8.392,7.010,8.214,7.051,9.683,9.254,11.480,9.058,8.980,8.391,10.147,9.628,7.141,9.127,10.618,8.173,8.869,11.875,10.046,8.293,8.748,8.792,8.184,12.631,9.565,9.879,9.297
TMAX,NDJF,4.263,4.348,7.415,5.363,3.223,5.406,4.302,7.445,5.678,8.223,5.602,6.370,5.955,6.817,7.686,3.634,6.017,9.012,4.374,5.778,8.947,6.002,4.984,6.571,5.791,4.893,10.025,6.932,6.812,6.378
TMIN,year,7.276,7.441,7.515,7.065,6.378,6.741,6.812,7.356,7.896,7.509,6.977,7.994,7.330,8.634,7.543,6.971,7.117,7.574,8.005,8.442,7.771,7.932,6.746,7.108,6.659,7.303,7.894,7.923,7.763,7.335
TMIN,MAMJJASO,11.442,11.432,11.533,10.510,10.659,10.764,10.625,10.931,11.576,10.727,11.126,11.629,11.420,12.207,11.216,10.959,10.315,11.607,12.167,11.957,12.121,11.514,10.973,10.774,10.659,11.078,11.254,11.200,11.435,11.189
TMIN,AMJJAS,12.919,13.251,13.631,12.152,12.742,13.060,13.019,13.031,13.367,12.355,12.922,13.788,13.312,14.377,13.181,13.103,12.570,13.739,14.177,13.747,13.519,13.682,13.495,12.500,12.947,13.211,13.150,13.034,13.386,13.617
TMIN,ONDJFM,0.001,0.933,3.043,0.861,-0.016,1.169,-0.485,3.093,1.634,2.289,1.661,1.526,1.277,2.956,2.360,0.147,1.837,2.252,1.205,1.658,3.885,1.605,0.181,1.072,1.039,0.463,3.694,1.700,2.246,1.961
TMIN,NDJF,-2.758,-1.693,1.236,-1.056,-3.056,-0.374,-1.917,1.842,-0.592,0.316,-0.607,-0.167,-0.555,0.653,1.178,-1.958,-0.017,1.692,-1.634,-0.481,2.023,-1.197,-1.971,-0.366,-0.855,-1.649,2.451,-0.114,0.460,0.131
TAVG,year,11.795,11.887,12.346,11.346,10.830,11.498,11.195,11.828,12.272,12.363,11.324,12.702,11.831,13.115,12.016,11.170,11.756,12.124,12.296,13.418,12.253,12.673,11.979,11.560,11.261,11.980,12.981,12.839,12.672,11.614
TAVG,MAMJJASO,16.673,16.668,17.141,15.630,15.821,16.490,15.720,16.140,16.652,16.490,16.046,17.219,16.645,17.452,16.427,15.794,15.809,16.659,17.208,17.787,17.221,17.007,17.113,15.980,15.967,16.550,17.299,16.769,17.303,16.058
TAVG,AMJJAS,18.461,18.896,19.510,17.570,18.211,19.105,18.476,18.629,18.500,18.258,18.192,19.877,19.022,19.915,18.599,18.285,18.263,19.064,19.452,20.006,18.922,19.320,20.121,18.048,18.406,18.902,19.676,18.870,19.879,18.601
TAVG,ONDJFM,3.818,4.217,6.391,4.343,3.325,4.502,3.091,6.124,5.152,6.511,5.090,4.974,4.513,6.259,5.706,3.533,5.304,6.226,4.492,5.015,7.568,5.474,3.969,4.551,4.565,3.985,7.805,5.315,5.723,5.397
