Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,16.685,17.219,17.304,16.044,17.132,16.871,17.028,17.504,17.617,17.755,16.916,17.633,17.486,18.455,17.159,16.663,18.097,17.921,17.805,18.403,18.274,18.013,18.726,17.889,17.456,18.510,18.826,18.424,18.498,17.364
TMAX,MAMJJASO,20.577,20.774,21.038,19.208,21.107,20.819,20.611,21.128,20.744,21.359,20.694,20.940,21.082,22.102,20.582,20.025,21.564,21.566,21.682,21.953,22.232,21.283,23.021,21.435,21.589,22.293,22.340,21.891,22.489,21.234
TMAX,AMJJAS,22.151,23.133,22.919,21.042,23.292,22.616,23.021,22.994,22.029,22.765,22.515,22.975,23.230,23.720,22.207,22.130,23.102,23.662,23.547,23.935,23.516,22.683,25.531,23.282,23.541,24.316,24.451,23.692,24.725,23.412
TMAX,ONDJFM,10.763,11.231,11.598,10.734,10.853,11.165,11.006,12.110,13.169,13.229,11.545,11.553,12.009,12.461,12.346,11.541,12.867,12.779,11.561,12.328,13.105,13.292,12.290,11.794,12.209,11.287,14.367,12.749,12.276,11.935
TMAX,NDJF,8.119,9.574,9.962,9.054,9.227,8.990,9.471,10.643,10.846,11.372,8.872,9.942,10.811,10.009,11.238,9.501,11.082,11.280,9.498,10.197,11.202,10.537,10.073,10.478,9.971,9.257,12.860,11.188,10.065,10.114
TMIN,year,7.262,8.111,7.732,7.105,7.578,7.748,7.811,8.127,7.902,8.071,7.440,8.319,7.943,8.986,7.709,7.610,8.211,7.954,8.163,8.675,8.494,8.778,8.843,8.470,7.817,8.598,8.592,8.728,8.750,8.153
TMIN,MAMJJASO,10.549,10.790,10.694,9.450,10.485,10.838,10.426,11.071,10.472,10.915,10.561,10.969,10.767,11.640,10.240,10.025,10.575,10.872,11.398,11.428,11.501,11.210,12.018,11.140,11.064,11.439,11.194,11.348,11.718,11.024
TMIN,AMJJAS,11.704,12.630,12.298,10.776,12.084,12.324,12.294,12.589,11.852,11.976,11.831,12.498,12.428,13.169,11.803,11.626,11.978,12.701,13.023,12.887,12.317,12.587,14.063,12.425,12.716,12.965,12.738,12.791,13.588,12.733
TMIN,ONDJFM,1.970,3.049,3.664,2.783,3.198,3.425,2.699,4.319,4.037,3.990,3.658,3.006,3.638,4.492,3.978,3.592,4.302,4.038,2.767,3.549,5.453,4.114,4.198,3.884,3.864,3.321,5.518,3.960,4.036,3.882
TMIN,NDJF,-0.476,1.716,2.381,1.584,1.823,1.964,1.838,3.208,1.996,2.935,1.233,1.564,2.614,2.851,3.357,2.442,3.307,3.253,1.042,1.860,3.875,2.012,3.009,2.948,2.163,1.718,4.408,2.754,2.541,2.756
TAVG,year,12.009,12.678,12.335,11.508,12.237,12.246,12.414,12.789,12.691,12.873,12.103,12.733,12.420,13.470,12.188,11.907,12.880,12.748,12.797,13.345,13.142,13.256,13.625,12.921,12.429,13.249,13.489,13.183,13.195,12.347
TAVG,MAMJJASO,15.561,15.769,15.652,14.233,15.665,15.736,15.488,16.047,15.518,16.098,15.539,15.742,15.623,16.588,15.127,14.758,15.818,16.058,16.367,16.526,16.590,16.102,17.287,15.985,16.076,16.529,16.564,16.220,16.644,15.683
TAVG,AMJJAS,16.913,17.831,17.379,15.771,17.545,17.359,17.576,17.723,16.843,17.315,17.056,17.500,17.495,18.147,16.725,16.582,17.316,18.013,18.126,18.258,17.655,17.483,19.532,17.541,17.858,18.293,18.397,17.848,18.705,17.622
TAVG,ONDJFM,6.458,7.261,7.540,6.726,7.001,7.245,6.866,8.229,8.589,8.529,7.650,7.085,7.591,8.284,7.917,7.436,8.265,8.180,6.949,7.693,9.128,8.448,8.179,7.725,7.851,7.108,9.696,8.001,7.788,7.495
TAVG,NDJF,3.969,5.782,6.052,5.297,5.504,5.428,5.667,6.925,6.413,7.085,5.082,5.522,6.438,6.263,7.030,5.897,6.869,7.014,5.052,5.766,7.374,6.068,6.512,6.620,5.929,5.305,8.386,6.613,5.959,6.060
RH,year,71.864,72.696,70.926,72.399,70.835,71.917,72.114,70.388,71.031,71.508,69.542,71.441,70.038,68.431,70.480,72.388,69.269,69.758,72.760,74.613,73.376,75.757,69.063,70.696,69.563,69.838,68.408,72.343,71.077,73.863
RH,MAMJJASO,73.529,71.600,70.978,71.848,68.916,71.681,71.437,71.383,72.015,71.655,70.759,71.826,70.348,66.626,69.525,70.730,66.725,70.154,73.657,73.288,73.143,74.446,66.899,70.165,69.567,67.439,66.330,69.951,67.779,70.965
RH,AMJJAS,71.811,71.160,70.746,71.107,67.885,71.041,71.433,71.654,72.577,71.333,69.164,70.878,69.780,65.842,70.217,69.897,68.097,71.038,73.324,71.646,70.498,74.879,65.351,68.025,68.176,65.306,64.483,68.463,66.982,69.354
RH,ONDJFM,70.414,72.804,73.523,71.342,75.321,73.941,70.089,73.262,68.013,69.704,73.581,68.403,70.189,72.205,69.886,73.697,71.472,71.551,70.535,71.343,81.819,72.539,74.679,74.437,70.550,75.143,74.527,72.080,75.543,77.668
RH,NDJF,65.987,72.120,73.134,71.742,74.618,75.040,71.807,73.418,64.709,71.158,70.732,66.720,68.889,72.499,71.078,75.050,74.246,74.747,68.844,70.360,81.082,71.745,75.811,75.010,68.001,74.735,75.360,72.026,77.356,79.950
RHmin,year,54.735,55.955,53.131,55.639,53.520,54.989,55.328,53.596,53.429,54.027,52.628,53.878,52.337,51.524,52.893,55.101,51.423,51.746,54.360,55.867,54.629,57.718,51.803,53.260,52.107,51.769,50.499,53.716,52.608,55.374
RHmin,MAMJJASO,55.314,53.865,52.220,54.175,50.666,53.680,53.422,53.535,53.473,53.303,52.876,53.572,51.718,48.864,50.881,52.482,48.154,51.387,54.449,54.007,53.176,55.494,48.559,51.694,51.014,48.775,48.019,50.803,48.802,51.802
RHmin,AMJJAS,53.443,52.789,51.774,52.850,49.119,52.825,52.537,53.303,54.132,52.454,50.874,52.119,50.604,48.269,51.517,51.188,49.141,51.802,54.016,52.119,50.688,55.833,46.860,49.371,49.651,46.684,46.070,49.385,47.916,50.078
RHmin,ONDJFM,54.132,57.301,57.596,55.828,59.660,58.454,54.620,58.252,51.774,52.784,58.189,52.316,53.972,56.296,53.590,57.784,54.636,54.486,53.350,53.967,64.544,54.274,58.682,58.415,54.441,58.371,56.552,54.378,58.012,59.456
