Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,22.588,21.634,21.593,21.077,21.891,21.191,22.254,21.462,22.777,22.492,22.053,22.076,20.940,21.998,23.199,21.631,22.923,22.702,22.045,22.187,22.093,22.199,22.580,22.494,22.918,22.893,22.355,22.136,23.121,22.657
TMAX,MAMJJASO,25.001,24.678,24.303,23.960,25.070,24.276,25.389,24.239,25.876,25.879,25.531,25.126,23.566,24.891,26.394,24.862,26.090,25.522,25.030,25.121,25.260,24.950,26.164,25.656,26.728,26.576,25.345,24.858,26.727,26.502
TMAX,AMJJAS,26.424,26.235,25.084,25.610,26.528,25.695,27.385,25.245,27.066,27.583,27.768,26.839,25.173,25.880,27.563,26.336,26.483,26.508,26.687,26.248,26.917,26.219,28.031,27.633,28.506,28.595,26.763,26.341,27.676,28.810
TMAX,ONDJFM,17.904,18.633,16.867,17.163,16.729,17.000,17.555,17.051,18.223,18.459,16.095,17.292,17.155,16.912,18.490,17.581,19.129,18.910,17.923,17.965,17.368,17.806,17.510,17.143,17.300,16.772,17.725,18.618,17.755,17.315
TMAX,NDJF,16.758,17.460,14.874,15.907,15.260,14.904,15.681,15.709,16.454,16.397,14.487,15.623,16.138,15.127,16.917,15.593,16.280,16.753,16.448,16.200,15.879,15.997,15.559,15.987,15.428,14.822,16.133,17.326,15.253,15.296
TMIN,year,10.840,10.555,10.705,10.122,10.408,9.996,11.362,10.612,11.686,11.244,10.626,10.418,10.126,10.708,11.757,10.965,12.003,11.079,10.502,10.653,10.935,11.031,11.314,10.674,10.405,11.454,10.312,10.405,10.969,11.145
TMIN,MAMJJASO,13.072,12.468,12.714,11.998,12.382,12.093,13.549,12.476,13.587,13.573,13.079,12.592,12.185,12.720,13.560,12.940,13.979,13.274,13.186,12.670,13.344,12.826,13.741,12.975,13.462,14.237,12.582,12.474,13.146,13.484
TMIN,AMJJAS,13.957,13.777,13.606,13.310,13.613,13.006,14.863,13.510,14.511,14.638,14.337,13.877,13.353,13.232,14.546,14.076,14.716,14.416,14.245,13.849,13.815,13.462,14.863,14.222,14.568,15.162,13.827,13.719,13.863,14.869
TMIN,ONDJFM,6.253,8.203,6.869,7.384,7.360,7.130,7.293,7.949,7.565,9.390,7.087,6.467,7.225,7.310,8.370,8.950,8.346,9.471,6.323,6.941,8.683,7.405,8.353,7.686,5.919,6.933,8.186,7.292,6.539,8.129
TMIN,NDJF,4.218,7.640,5.518,6.786,6.862,6.176,5.727,7.466,6.198,8.489,5.428,5.258,6.405,6.097,7.298,8.030,7.225,8.434,4.827,5.345,7.690,5.576,6.847,6.969,3.913,4.915,7.022,6.347,5.038,6.859
TAVG,year,16.605,16.028,16.081,15.565,16.116,15.558,16.742,15.995,17.190,16.853,16.283,16.173,15.444,16.253,17.420,16.258,17.424,16.847,16.203,16.344,16.454,16.536,16.860,16.546,16.579,17.100,16.265,16.200,16.965,16.839
TAVG,MAMJJASO,18.898,18.470,18.439,17.927,18.660,18.120,19.399,18.273,19.681,19.672,19.225,18.769,17.755,18.713,19.900,18.831,19.989,19.315,19.050,18.810,19.228,18.778,19.849,19.225,19.983,20.305,18.844,18.575,19.870,19.924
TAVG,AMJJAS,20.037,19.878,19.216,19.398,19.963,19.257,21.026,19.293,20.727,21.048,20.945,20.234,19.129,19.452,20.960,20.117,20.534,20.351,20.412,19.940,20.300,19.723,21.329,20.804,21.426,21.777,20.129,19.917,20.686,21.752
TAVG,ONDJFM,11.976,13.392,11.848,12.288,12.054,12.094,12.435,12.479,12.878,13.937,11.587,11.863,12.170,12.044,13.353,13.269,13.734,14.208,12.057,12.399,12.992,12.576,12.867,12.395,11.594,11.836,12.932,12.947,12.116,12.642
TAVG,NDJF,10.374,12.540,10.154,11.357,11.094,10.547,10.662,11.614,11.338,12.460,9.971,10.399,11.268,10.533,12.050,11.800,11.756,12.602,10.565,10.712,11.754,10.786,11.155,11.467,9.681,9.890,11.557,11.854,10.103,10.961
RH,year,70.405,72.120,72.264,69.659,67.923,69.176,69.371,69.315,68.631,68.061,68.622,67.479,71.617,70.780,67.691,70.533,71.419,70.523,70.767,71.896,71.702,72.303,70.711,69.823,66.135,70.610,69.546,70.975,67.659,69.594
RH,MAMJJASO,67.997,66.049,68.387,64.603,62.117,63.071,64.027,64.212,63.193,61.581,62.822,62.039,66.573,65.000,61.277,65.123,65.250,66.111,67.050,66.822,67.672,66.754,64.666,63.885,60.978,64.946,64.047,66.005,60.725,63.566
