Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.041,13.792,14.161,12.814,12.315,13.441,12.543,13.355,14.055,14.185,13.135,14.425,13.901,14.861,13.687,12.695,13.429,13.875,14.118,15.322,13.866,14.736,14.634,13.564,13.719,14.495,15.252,15.161,14.791,13.661
TMAX,MAMJJASO,18.371,18.901,19.283,17.314,17.800,18.964,17.454,18.140,18.823,18.682,18.152,19.471,18.876,19.653,18.687,17.600,17.938,18.557,19.548,20.097,19.203,19.547,19.806,18.541,18.900,19.624,20.322,19.304,19.982,18.574
TMAX,AMJJAS,20.339,21.176,21.850,19.370,20.036,21.344,20.337,20.766,20.689,20.142,20.295,22.418,21.445,22.313,20.826,20.140,20.357,21.210,22.077,22.388,21.074,22.108,23.015,20.705,21.368,22.178,22.794,21.559,23.234,21.090
TMAX,ONDJFM,4.832,5.252,7.269,5.704,4.790,5.650,4.439,6.687,6.569,8.348,6.671,6.208,5.779,7.529,6.690,4.953,6.515,7.549,5.572,5.792,9.026,7.207,5.742,6.034,6.228,5.657,9.737,6.899,7.231,6.513
TMAX,NDJF,1.422,1.837,4.691,3.260,1.220,2.591,2.101,4.770,3.144,5.275,3.326,3.781,3.705,4.661,4.900,1.656,3.715,6.215,2.247,3.173,6.331,3.358,3.108,4.130,3.560,2.611,7.071,4.557,4.867,4.048
TMIN,year,3.931,4.097,4.335,3.866,3.105,3.393,3.241,4.108,4.580,4.387,3.853,4.411,3.875,5.186,4.418,3.717,4.000,4.589,4.994,5.302,4.643,5.134,4.181,4.476,4.028,4.556,5.392,5.699,5.137,4.786
TMIN,MAMJJASO,8.109,7.890,8.165,7.151,7.428,7.366,6.979,7.394,8.102,7.253,7.796,7.833,7.468,8.415,8.009,7.547,7.020,8.471,8.811,8.446,8.908,8.740,7.927,8.062,7.873,8.240,8.618,8.674,8.675,8.601
TMIN,AMJJAS,9.467,9.592,10.035,8.728,9.211,9.398,9.297,9.480,9.747,8.705,9.414,9.854,9.132,10.328,9.681,9.644,9.212,10.531,10.708,9.906,10.280,10.807,10.296,9.694,10.156,10.351,10.398,10.402,10.585,11.097
TMIN,ONDJFM,-3.299,-2.351,0.294,-2.216,-2.772,-2.105,-3.810,0.194,-1.287,-0.442,-1.063,-1.452,-1.984,0.377,-0.375,-2.674,-1.424,-0.408,-1.355,-1.174,1.299,-0.985,-2.216,-1.312,-1.361,-2.522,1.777,-0.445,0.106,-0.653
TMIN,NDJF,-6.147,-5.081,-1.430,-4.044,-5.966,-4.121,-5.193,-0.788,-3.306,-2.411,-3.346,-3.044,-3.628,-1.670,-1.588,-4.777,-3.333,-0.762,-4.057,-3.195,-0.525,-3.783,-4.262,-2.657,-2.992,-4.758,0.670,-1.985,-1.681,-2.260
TAVG,year,8.302,8.633,9.042,8.101,7.406,8.164,7.676,8.480,9.031,9.024,8.205,9.240,8.679,9.823,8.816,7.866,8.406,8.939,9.221,10.015,8.905,9.592,9.071,8.703,8.476,9.117,9.988,10.101,9.668,8.883
TAVG,MAMJJASO,12.962,13.040,13.469,11.959,12.199,12.863,11.940,12.447,13.094,12.655,12.616,13.445,12.916,13.813,13.025,12.201,12.071,13.231,13.742,13.915,13.678,13.737,13.514,12.893,12.917,13.479,14.055,13.613,13.931,13.144
TAVG,AMJJAS,14.639,15.091,15.720,13.798,14.257,15.163,14.569,14.855,14.892,14.224,14.553,15.984,15.102,16.146,15.019,14.591,14.459,15.612,15.962,15.857,15.359,16.070,16.359,14.808,15.380,15.867,16.263,15.662,16.505,15.686
TAVG,ONDJFM,0.589,1.254,3.593,1.498,0.785,1.506,0.056,3.258,2.360,3.630,2.498,2.141,1.689,3.768,2.967,0.769,2.211,3.255,1.837,2.088,4.763,2.734,1.442,2.115,2.089,1.096,5.415,2.923,3.382,2.695
