Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.189,15.287,15.386,14.320,13.946,14.649,14.083,15.448,16.610,16.166,14.933,15.579,15.147,16.283,16.170,14.162,15.962,15.358,16.392,15.836,15.598,16.183,16.801,15.661,16.112,16.620,16.579,15.931,16.352,14.943
TMAX,MAMJJASO,17.616,18.636,18.651,16.958,17.810,18.092,17.705,18.027,19.853,19.262,18.542,18.640,18.394,19.243,19.619,17.824,19.420,18.335,19.928,18.715,18.995,19.085,20.631,19.072,19.927,20.334,19.572,18.782,20.201,19.346
TMAX,AMJJAS,19.006,20.495,20.465,18.382,19.530,19.451,19.456,19.616,21.092,20.378,19.693,20.716,20.145,20.855,21.208,19.497,20.936,20.017,21.659,20.375,20.316,20.590,22.758,20.702,21.344,22.314,21.179,20.617,22.161,21.140
TMAX,ONDJFM,10.394,9.273,10.079,9.842,9.016,8.947,9.272,10.823,12.035,12.502,10.531,10.335,10.547,10.169,11.876,9.538,10.103,11.587,10.388,10.897,10.951,11.866,11.066,10.582,10.389,10.055,13.263,11.414,9.949,10.017
TMAX,NDJF,7.632,7.694,8.508,8.425,7.184,6.577,7.435,9.506,10.174,10.653,7.644,8.574,9.366,8.511,10.984,7.226,7.418,10.207,8.702,9.320,9.625,9.451,8.925,9.494,8.357,7.620,11.638,10.378,7.856,7.840
TMIN,year,7.238,7.613,7.664,7.179,6.479,6.830,7.062,8.379,8.181,7.925,7.084,8.087,7.492,8.498,8.238,6.542,7.889,8.047,8.686,8.784,8.290,8.745,7.871,7.922,8.291,8.719,8.775,8.303,8.037,7.139
TMIN,MAMJJASO,9.877,9.938,10.085,8.920,9.442,9.209,9.598,10.118,10.440,9.759,9.694,10.247,9.765,10.414,10.639,8.883,10.154,10.390,11.065,10.756,10.854,10.624,10.340,10.277,10.816,11.267,10.673,10.353,10.560,9.980
TMIN,AMJJAS,10.829,11.213,11.490,10.050,10.816,10.210,11.137,11.207,11.125,10.453,10.471,11.791,11.257,11.723,11.875,10.193,11.261,11.631,12.417,11.859,11.569,11.859,12.035,11.593,11.841,12.724,12.048,11.656,12.004,11.268
TMIN,ONDJFM,4.129,3.103,4.379,3.424,2.869,2.691,3.334,5.178,5.616,5.474,4.141,4.102,4.022,4.231,5.322,3.183,3.989,4.920,4.457,4.928,5.510,5.495,4.422,4.042,4.248,3.957,6.731,4.956,3.627,4.027
TMIN,NDJF,1.767,1.992,3.304,2.671,1.244,1.253,2.282,4.355,4.449,4.134,2.062,2.796,3.761,2.921,5.296,1.702,2.177,4.157,3.274,3.890,4.478,3.758,3.228,3.787,2.866,2.485,5.870,4.235,2.350,2.794
TAVG,year,10.715,11.484,11.514,10.767,10.253,10.746,10.590,11.896,12.387,12.041,10.997,11.815,11.262,12.315,12.142,10.332,11.899,11.637,12.517,12.317,11.917,12.447,12.316,12.074,12.357,12.730,12.730,12.002,12.101,10.968
TAVG,MAMJJASO,14.099,14.691,14.731,13.313,14.009,14.001,14.012,14.422,15.520,14.892,14.461,14.791,14.402,15.075,15.426,13.703,15.095,14.686,15.843,15.098,15.252,15.191,15.813,15.315,15.813,16.156,15.547,14.836,15.579,14.881
TAVG,AMJJAS,15.479,16.467,16.508,14.771,15.742,15.348,15.837,15.941,16.675,15.987,15.616,16.826,16.210,16.725,16.978,15.393,16.599,16.353,17.592,16.669,16.417,16.760,17.965,16.952,17.154,18.005,17.259,16.618,17.463,16.624
TAVG,ONDJFM,5.533,5.633,6.691,6.072,5.476,5.289,5.834,7.408,8.241,8.409,6.792,6.646,6.653,6.571,8.019,5.823,6.451,7.649,6.790,7.331,7.683,8.142,7.167,6.888,7.064,6.735,9.482,7.580,6.133,6.477
TAVG,NDJF,3.133,4.123,5.185,4.774,3.597,3.191,4.214,6.133,6.547,6.602,4.117,4.924,5.764,4.899,7.413,3.701,4.045,6.398,5.172,5.840,6.335,5.844,5.368,6.059,5.154,4.628,8.073,6.492,4.313,4.676
RH,year,81.658,79.483,79.975,81.789,81.110,80.141,81.157,80.907,77.399,75.677,78.392,80.092,78.642,79.450,79.278,78.454,78.983,81.100,80.145,81.015,80.359,79.934,76.186,79.764,79.493,78.720,78.857,78.310,77.382,77.473
RH,MAMJJASO,79.026,76.047,77.012,78.824,78.785,77.471,77.850,77.873,73.283,70.794,74.619,76.319,74.039,75.341,75.407,74.047,74.823,78.325,76.123,78.074,76.493,76.099,71.358,75.376,75.230,74.490,75.185,74.793,72.839,71.929
RH,AMJJAS,77.380,73.809,75.237,77.021,77.113,75.571,77.143,75.537,71.538,68.805,72.817,74.212,73.335,73.910,73.674,71.628,72.791,76.606,74.304,76.259,73.697,74.835,69.419,73.853,73.211,72.310,73.463,72.388,70.652,70.212
RH,ONDJFM,85.088,84.258,86.368,85.577,86.060,84.170,85.222,85.683,85.878,81.532,83.365,85.394,84.029,85.302,84.670,85.379,85.707,84.428,86.804,85.849,86.513,84.863,83.759,85.074,86.005,85.597,84.612,83.211,85.504,83.846
RH,NDJF,86.334,85.590,87.146,87.706,85.749,85.505,87.481,86.986,88.222,83.525,86.439,87.271,87.848,87.457,87.926,87.276,87.155,86.790,88.486,87.570,87.411,87.287,86.731,87.840,88.386,88.398,87.055,84.048,87.916,87.221
RHmin,year,66.856,64.207,63.784,66.867,65.449,63.886,66.524,66.296,61.020,60.194,62.555,64.770,63.417,63.439,63.030,63.268,62.792,65.716,64.226,66.507,65.185,64.914,59.432,65.192,64.605,63.350,63.837,62.855,60.690,62.221
RHmin,MAMJJASO,65.211,61.450,61.772,64.862,63.611,61.572,63.676,64.288,58.127,55.991,59.666,62.042,60.252,59.974,60.020,59.354,59.056,64.379,60.863,64.333,62.554,61.822,55.097,61.597,60.464,59.577,61.003,60.383,56.376,56.725
RHmin,AMJJAS,64.068,59.461,60.480,63.835,62.683,60.253,63.729,62.618,56.622,54.488,58.346,60.547,59.880,59.278,58.676,57.884,57.688,63.076,59.618,62.840,60.066,61.161,53.747,60.557,58.887,57.708,60.308,58.659,54.616,55.544
RHmin,ONDJFM,62.849,67.689,70.427,67.749,69.259,67.325,68.972,69.515,68.611,64.108,66.538,68.211,66.833,68.565,67.230,68.032,68.848,66.734,69.947,69.092,70.824,68.080,67.091,68.080,70.355,70.154,67.687,66.327,67.916,67.647
RHmin,NDJF,64.709,68.624,70.968,69.552,68.580,69.184,71.279,70.623,70.570,65.244,69.248,69.529,70.136,69.747,70.582,69.765,70.730,68.840,70.893,70.492,71.228,69.768,70.032,70.900,72.369,73.396,69.908,66.756,70.361,71.283
