Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.994,15.159,15.254,13.700,13.569,14.074,13.246,14.817,15.823,15.638,14.654,15.500,14.527,15.800,14.924,13.153,15.223,14.915,15.576,15.871,14.991,15.510,16.216,14.960,15.216,15.813,15.901,15.605,15.406,13.925
TMAX,MAMJJASO,18.707,19.653,19.715,17.529,18.414,18.574,17.621,18.641,19.931,19.595,19.144,19.701,18.817,19.799,19.420,17.783,19.598,18.933,20.134,19.796,19.365,19.529,21.088,19.344,19.935,20.361,20.022,19.375,20.073,19.088
TMAX,AMJJAS,20.631,21.947,22.065,19.301,20.640,20.602,20.024,21.052,21.468,20.997,20.946,22.445,21.146,21.941,21.348,20.007,21.705,21.131,22.381,21.942,21.027,21.684,23.971,21.391,21.916,22.866,22.170,21.697,22.861,21.348
TMAX,ONDJFM,6.849,7.213,8.836,7.710,6.901,6.804,6.886,8.546,9.770,10.750,8.672,8.567,8.184,8.304,9.426,6.589,8.186,9.481,8.018,8.788,9.473,9.800,8.311,8.361,8.201,7.511,11.557,9.086,7.781,7.541
TMAX,NDJF,3.581,4.679,6.851,5.592,4.162,4.011,4.846,7.011,7.232,8.333,5.365,6.409,6.590,5.924,8.158,3.451,5.211,7.788,5.608,6.647,7.611,6.756,5.630,6.921,5.645,4.735,9.442,7.519,5.361,5.179
TMIN,year,6.536,6.933,7.071,6.433,5.717,6.157,5.995,7.345,7.316,7.325,6.334,7.349,6.659,7.833,7.026,5.644,6.854,7.287,7.569,8.000,7.250,7.676,6.925,6.902,6.783,7.317,7.492,7.223,6.829,5.794
TMIN,MAMJJASO,10.109,10.074,10.327,9.071,9.445,9.482,9.152,9.909,10.160,9.893,9.460,10.131,9.684,10.455,10.258,8.959,9.751,10.343,10.661,10.716,10.501,10.512,10.195,9.808,9.850,10.436,10.018,9.784,9.974,9.345
TMIN,AMJJAS,11.417,11.635,11.952,10.556,11.077,10.995,11.184,11.453,11.356,11.064,10.833,12.069,11.498,12.168,11.737,10.637,11.289,11.926,12.349,12.048,11.616,12.292,12.408,11.341,11.418,12.232,11.741,11.407,11.761,11.129
TMIN,ONDJFM,0.739,1.100,3.161,1.476,0.945,0.783,0.684,3.316,3.569,3.477,2.313,2.313,2.009,2.640,3.063,0.790,2.055,2.958,2.382,2.995,3.595,3.173,1.798,2.058,2.119,1.327,4.647,2.734,1.764,1.545
TMIN,NDJF,-1.791,-0.814,1.693,0.165,-1.410,-1.223,-0.548,2.437,2.002,1.806,0.239,1.062,1.179,0.918,2.724,-1.472,0.018,2.009,0.542,1.562,2.102,1.127,0.147,1.406,0.631,-0.387,3.622,1.815,0.078,0.115
