Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,20.649,20.367,20.282,20.391,20.981,20.629,20.384,20.747,20.677,21.366,19.706,20.444,21.059,21.757,20.452,19.984,20.310,20.952,21.407,21.328,21.430,20.882,20.914,20.843,20.080,20.267,21.177,21.206,20.912,21.324
TMAX,MAMJJASO,25.344,24.575,24.586,24.433,25.092,25.074,24.257,25.383,24.708,25.607,24.074,24.636,25.627,26.295,24.440,23.767,23.955,25.260,25.836,25.588,26.395,24.703,25.383,24.874,24.163,24.469,25.322,25.224,24.588,24.871
TMAX,AMJJAS,26.995,27.035,26.884,26.376,27.980,27.646,27.489,28.079,26.874,27.315,26.024,26.562,27.723,28.585,26.845,26.820,26.416,27.905,28.186,28.208,27.942,26.662,27.942,26.769,26.447,26.758,27.703,27.266,26.890,27.404
TMAX,ONDJFM,11.523,14.154,14.115,13.353,14.160,14.459,13.024,13.968,13.802,14.854,14.357,13.271,14.193,15.406,14.555,12.605,14.637,14.028,13.861,14.044,16.142,14.435,13.807,14.392,14.616,13.571,14.969,14.395,14.475,15.369
TMAX,NDJF,8.698,11.827,11.978,11.697,11.722,13.068,11.817,12.604,11.213,12.636,11.856,11.047,11.709,12.634,12.713,11.034,13.760,12.942,11.386,11.525,14.038,11.549,11.806,12.269,12.280,11.581,13.353,12.022,12.739,13.783
TMIN,year,10.069,10.077,9.833,10.262,10.301,10.170,10.276,10.224,9.909,10.374,9.753,9.816,10.027,11.200,10.278,10.425,9.994,10.437,10.665,9.896,10.533,10.508,10.687,10.470,10.547,10.523,10.988,11.069,11.218,11.517
TMIN,MAMJJASO,13.522,13.214,12.970,12.903,13.103,13.574,12.903,13.616,13.219,13.448,13.254,13.329,13.360,14.527,13.099,13.049,12.527,13.646,14.044,13.096,14.121,13.613,13.864,13.745,13.923,14.256,14.289,14.265,14.100,14.271
TMIN,AMJJAS,14.796,14.882,14.940,14.224,15.081,15.291,15.085,15.702,14.961,15.033,14.605,14.883,15.018,16.172,15.096,15.104,14.451,15.878,15.941,15.056,15.548,15.385,15.979,15.291,15.880,15.940,16.095,16.002,16.061,16.204
TMIN,ONDJFM,2.915,5.311,4.983,5.695,5.813,6.044,4.337,5.928,4.279,4.807,5.859,4.063,4.652,6.609,5.904,5.225,5.623,5.312,5.037,4.618,6.613,4.607,5.208,5.571,5.684,5.137,5.762,5.607,6.157,6.741
TMIN,NDJF,1.158,3.562,3.197,4.762,4.105,5.212,3.385,4.910,2.089,3.381,4.098,2.050,2.562,5.128,4.223,4.476,4.887,4.859,3.295,3.087,4.995,2.492,4.287,3.858,3.988,3.415,3.953,3.639,5.162,5.641
TAVG,year,15.371,15.157,14.972,15.307,15.695,15.474,15.243,15.511,15.224,15.781,14.657,15.129,15.488,16.491,15.398,15.245,15.166,16.074,16.361,15.932,16.386,15.968,16.147,15.950,15.564,15.568,16.395,16.322,16.230,16.659
TAVG,MAMJJASO,19.462,18.849,18.724,18.687,19.222,19.457,18.491,19.557,18.917,19.445,18.588,18.966,19.448,20.488,18.854,18.495,18.295,20.055,20.474,19.928,20.896,19.640,20.221,19.795,19.428,19.718,20.283,20.078,19.618,19.931
TAVG,AMJJAS,20.989,20.948,20.864,20.348,21.684,21.619,21.231,21.981,20.906,21.143,20.288,20.727,21.388,22.550,21.072,21.082,20.520,22.666,22.761,22.428,22.563,21.668,22.728,21.675,21.627,21.803,22.498,22.099,21.800,22.288
TAVG,ONDJFM,7.156,9.682,9.345,9.457,9.902,10.261,8.621,9.803,8.995,9.713,9.970,8.655,9.296,10.882,10.109,8.954,10.022,9.669,9.401,9.270,11.198,9.484,9.446,9.948,10.117,9.312,10.379,9.926,10.285,11.050
TAVG,NDJF,4.939,7.653,7.379,8.148,7.814,9.086,7.542,8.626,6.640,7.877,7.910,6.562,7.060,8.825,8.324,7.782,9.161,8.891,7.237,7.190,9.285,6.913,7.941,7.946,8.037,7.387,8.607,7.707,8.906,9.640
RH,year,66.999,68.558,67.571,68.525,65.735,66.157,66.902,65.245,64.471,63.527,68.155,63.290,62.826,65.310,66.137,68.138,65.760,65.773,66.864,62.441,62.538,67.886,65.300,65.923,65.437,65.424,62.214,65.894,68.251,68.045
RH,MAMJJASO,62.582,65.373,63.451,63.538,60.579,61.179,61.552,59.164,60.652,57.977,64.957,60.032,57.287,59.279,60.551,62.413,59.804,60.435,62.051,56.164,56.055,63.014,58.730,61.798,62.301,61.906,57.367,62.333,64.380,65.577
