Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.715,15.886,15.864,14.777,13.907,14.677,14.044,15.485,16.514,16.314,15.158,15.997,14.992,16.205,16.171,14.151,15.951,15.569,16.547,16.173,15.863,16.342,16.820,16.066,16.376,16.848,16.669,16.150,16.281,14.753
TMAX,MAMJJASO,18.776,19.783,19.526,17.888,18.132,18.482,17.852,18.412,20.066,19.684,19.152,19.597,18.698,19.586,20.222,18.420,19.892,18.935,20.377,19.496,19.563,19.865,20.924,19.852,20.297,20.837,20.149,19.558,20.492,19.596
TMAX,AMJJAS,20.566,21.803,21.496,19.475,19.994,20.125,19.814,20.302,21.547,20.940,20.478,22.007,20.562,21.520,22.018,20.361,21.702,20.818,22.367,21.353,21.228,21.796,23.282,21.702,21.865,23.125,21.951,21.683,22.731,21.546
TMAX,ONDJFM,8.652,8.793,10.227,9.666,8.693,8.198,8.819,10.343,11.312,12.036,10.220,9.999,9.899,9.423,11.189,8.290,9.508,11.067,9.827,10.740,10.235,11.693,10.214,10.271,10.221,9.881,12.814,10.792,9.343,9.242
TMAX,NDJF,6.089,6.834,8.379,7.966,6.528,5.665,6.999,8.892,9.515,9.992,7.151,8.032,8.489,7.417,10.192,5.430,6.653,9.429,7.986,9.127,8.773,9.210,7.921,9.017,8.133,7.481,10.974,9.496,7.127,6.784
TMIN,year,7.123,7.571,7.671,7.181,6.298,6.400,6.649,8.142,7.828,7.839,6.825,8.017,7.128,8.004,7.577,5.891,7.475,7.902,8.113,8.467,7.891,8.126,7.089,7.666,7.795,8.424,8.379,7.854,7.549,6.298
TMIN,MAMJJASO,10.083,10.161,10.227,9.138,9.494,8.879,9.235,10.045,10.148,9.684,9.469,10.295,9.504,10.180,10.240,8.597,9.927,10.382,10.570,10.543,10.599,10.342,9.501,10.091,10.147,10.886,10.487,10.050,10.083,9.481
TMIN,AMJJAS,11.183,11.414,11.665,10.281,10.835,9.955,10.826,11.312,10.906,10.460,10.383,11.965,11.003,11.604,11.543,9.959,11.204,11.677,11.888,11.670,11.464,11.938,11.344,11.423,11.149,12.331,11.948,11.517,11.588,10.701
TMIN,ONDJFM,2.883,2.342,4.441,3.117,2.576,2.192,2.558,4.811,5.105,5.244,3.606,3.897,3.609,3.567,4.606,1.813,3.093,4.522,3.837,4.551,4.573,5.039,2.972,3.557,3.865,3.651,6.303,4.281,3.095,3.065
TMIN,NDJF,0.856,0.899,3.174,2.194,0.633,0.572,1.546,4.075,3.987,3.858,1.592,2.654,3.289,2.104,4.441,-0.042,1.261,3.755,2.477,3.434,3.544,3.338,1.813,3.379,2.532,2.228,5.420,3.592,1.797,1.669
TAVG,year,10.979,11.774,11.857,11.011,10.177,10.653,10.451,11.858,12.264,12.221,11.111,12.082,11.125,12.218,11.974,10.139,11.807,11.796,12.430,12.401,11.965,12.296,12.079,11.951,12.177,12.754,12.615,12.111,12.076,10.751
TAVG,MAMJJASO,14.450,15.021,14.958,13.579,13.859,13.797,13.624,14.251,15.256,14.871,14.467,15.043,14.170,14.982,15.319,13.641,14.994,14.716,15.550,15.078,15.144,15.141,15.381,15.038,15.313,16.007,15.405,14.912,15.438,14.727
TAVG,AMJJAS,15.915,16.698,16.670,14.964,15.508,15.214,15.444,15.831,16.420,15.947,15.651,17.096,15.910,16.691,16.898,15.371,16.566,16.269,17.240,16.562,16.448,16.904,17.562,16.660,16.648,17.899,17.057,16.713,17.307,16.370
TAVG,ONDJFM,5.807,5.600,7.411,6.415,5.667,5.249,5.772,7.625,8.281,8.611,6.962,6.999,6.769,6.531,7.963,5.106,6.376,7.871,6.937,7.752,7.469,8.442,6.656,6.938,7.135,6.764,9.647,7.629,6.342,6.347
TAVG,NDJF,3.553,3.951,5.891,5.134,3.616,3.263,4.377,6.580,6.825,6.889,4.448,5.421,5.920,4.822,7.460,2.798,4.081,6.673,5.334,6.430,6.239,6.426,4.960,6.248,5.449,4.939,8.280,6.635,4.595,4.493
RH,year,82.058,79.831,79.830,81.322,82.253,79.710,81.757,81.266,79.109,79.659,80.913,81.171,83.129,82.229,81.945,80.601,81.505,84.444,81.772,82.811,82.500,81.874,78.508,81.225,81.306,79.961,82.181,81.166,80.656,80.774
RH,MAMJJASO,78.613,76.192,76.605,78.260,79.826,76.647,78.455,77.922,74.595,75.537,77.302,76.999,79.793,78.823,78.680,77.293,78.067,82.202,77.965,80.174,78.627,78.756,74.311,77.011,77.661,75.717,78.786,77.570,76.361,76.113
RH,AMJJAS,76.458,73.744,74.559,76.819,77.915,74.226,77.613,75.099,72.159,73.667,75.625,74.437,78.896,77.293,76.951,75.114,76.088,80.964,75.814,77.925,76.197,77.803,72.241,75.541,75.684,73.222,77.458,75.096,73.851,74.129
RH,ONDJFM,87.158,85.907,86.453,84.856,86.659,85.384,85.457,87.261,87.283,84.863,86.220,87.403,86.616,87.734,87.036,86.516,87.207,86.724,88.923,87.582,88.288,86.255,85.227,86.427,87.028,87.210,86.304,86.635,88.760,86.809
RH,NDJF,88.836,87.487,87.129,87.180,86.778,86.306,87.537,88.483,89.292,86.576,88.584,89.536,89.260,89.072,89.628,87.734,87.930,88.461,90.265,88.629,89.259,88.493,87.593,88.658,89.148,89.540,88.674,87.706,90.451,89.543
RHmin,year,66.103,63.100,63.385,65.454,66.138,63.042,66.290,65.938,62.110,63.202,64.085,64.978,66.568,65.414,64.436,63.981,64.277,67.792,64.640,66.694,65.864,64.869,60.141,64.089,64.001,63.499,65.201,64.380,63.510,64.476
RHmin,MAMJJASO,61.394,58.096,59.081,61.238,62.413,58.447,61.330,61.433,56.900,57.514,59.213,59.524,61.653,60.629,59.596,58.789,59.002,64.623,59.307,62.346,61.165,60.072,54.337,58.416,58.483,57.780,60.221,59.481,57.258,57.834
RHmin,AMJJAS,58.714,55.201,56.880,59.603,60.296,56.006,60.373,58.288,54.120,55.619,57.689,56.556,60.729,58.928,57.830,56.704,56.903,62.577,56.799,59.431,58.117,58.987,52.501,56.765,56.345,54.815,58.926,56.730,54.319,55.571
RHmin,ONDJFM,72.995,70.482,72.694,69.480,71.664,71.170,70.701,73.791,72.606,69.041,70.665,72.625,71.635,73.298,71.433,70.945,71.896,71.330,74.322,72.773,74.307,70.810,68.970,70.421,71.909,72.053,71.272,71.301,73.623,72.631
RHmin,NDJF,75.434,72.899,74.544,72.905,72.083,74.004,74.053,76.450,75.482,71.470,74.498,75.871,75.901,75.566,75.461,74.014,74.626,74.387,76.162,74.725,76.005,74.249,72.972,74.473,75.081,76.165,74.909,73.421,76.794,77.253
PREC,year,882.739,672.854,867.311,879.556,763.975,841.315,860.997,924.641,666.653,796.083,637.837,860.716,952.734,998.841,777.340,647.814,688.371,1140.172,872.709,957.257,1021.064,965.127,669.475,914.477,813.918,810.715,976.736,845.058,803.601,884.616
PREC,MAMJJASO,570.058,432.312,547.171,572.074,525.320,494.414,601.235,575.960,473.296,433.999,375.513,601.760,591.405,659.862,472.621,392.912,474.880,872.713,474.426,619.327,672.648,532.589,428.537,563.543,536.049,545.437,585.150,580.216,470.875,612.832
PREC,AMJJAS,303.272,269.260,404.845,411.630,431.421,289.127,434.024,382.966,296.395,337.976,313.550,413.065,495.883,424.847,351.801,311.336,360.033,548.958,370.882,432.871,528.597,400.303,314.704,465.503,437.265,387.501,484.430,389.165,321.084,486.287
PREC,ONDJFM,280.042,447.756,498.497,468.295,352.043,408.945,508.072,600.271,385.407,393.916,351.127,395.453,418.407,582.464,634.922,179.319,384.598,409.137,623.116,503.002,520.512,519.952,431.868,470.432,387.275,358.353,548.762,452.605,377.917,486.553
PREC,NDJF,148.337,248.530,308.464,362.531,177.386,297.023,316.522,383.604,217.024,288.042,263.657,254.482,317.007,370.880,426.325,142.678,286.368,218.793,346.586,371.957,339.207,419.280,299.979,354.561,275.178,233.201,405.643,309.840,229.402,341.643
SRAD,year,281.194,274.055,270.830,283.818,308.128,312.020,301.719,295.713,307.389,279.378,285.053,276.872,279.301,282.436,273.080,288.864,279.817,260.844,235.742,253.798,245.674,243.342,225.619,236.506,233.918,221.463,226.676,229.410,222.314,231.548
SRAD,MAMJJASO,246.641,237.669,237.104,249.007,271.233,275.043,268.261,265.193,272.738,248.757,247.677,244.890,249.460,251.057,240.308,254.655,248.013,226.707,204.638,222.969,213.290,214.396,191.291,205.860,203.753,190.039,198.348,200.245,191.847,198.670
