Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.350,15.465,16.183,14.234,14.832,14.894,14.783,15.812,16.234,16.250,15.135,16.521,15.822,16.964,15.529,14.182,15.850,16.292,15.956,17.424,16.470,16.807,17.272,15.594,15.366,16.410,17.330,16.721,16.658,15.327
TMAX,MAMJJASO,19.619,19.433,20.482,18.055,19.367,19.369,18.831,19.604,19.680,19.877,19.370,20.371,19.901,20.780,19.357,18.239,19.689,20.092,20.256,21.307,20.847,20.496,22.051,19.539,19.721,20.589,21.143,20.291,21.162,19.648
TMAX,AMJJAS,21.062,21.658,22.361,19.796,21.620,21.624,21.505,21.658,20.701,20.985,21.220,22.753,22.017,22.536,21.105,20.447,21.517,22.108,22.028,23.272,22.273,21.993,24.710,21.503,21.657,22.725,23.394,22.170,23.490,22.009
TMAX,ONDJFM,9.747,9.047,10.385,8.476,7.947,8.106,8.140,10.142,11.012,12.281,9.523,9.744,9.904,10.575,10.225,8.199,10.034,11.053,9.417,10.085,11.744,11.185,10.129,9.437,9.725,8.378,13.012,10.426,9.829,9.266
TMAX,NDJF,6.214,6.752,8.360,6.202,5.414,5.786,6.360,8.654,8.487,9.778,6.459,8.034,8.318,7.689,9.176,5.611,7.590,9.920,6.671,7.477,9.707,7.863,7.393,8.104,7.279,5.910,11.339,8.937,7.121,7.001
TMIN,year,5.585,6.351,5.984,5.554,5.281,5.520,5.746,6.298,6.493,6.363,5.996,7.025,6.523,7.798,6.608,5.911,6.507,6.681,6.960,7.445,6.902,7.706,6.780,6.380,6.093,6.693,7.149,7.417,7.104,6.534
TMIN,MAMJJASO,9.375,9.505,9.388,8.177,8.810,8.910,8.860,9.217,9.370,9.084,9.454,9.896,9.643,10.551,9.478,8.825,9.062,9.843,10.626,10.309,10.261,10.421,10.234,9.395,9.510,9.784,9.883,10.078,10.291,9.689
TMIN,AMJJAS,10.478,11.167,11.178,9.452,10.440,10.753,10.976,10.830,10.897,10.275,10.927,11.728,11.266,12.227,11.035,10.592,10.743,11.792,12.218,11.664,11.151,11.982,12.417,10.809,11.338,11.495,11.480,11.794,12.234,11.607
TMIN,ONDJFM,-0.159,0.693,2.101,0.482,0.571,0.647,-0.336,2.680,1.833,2.180,1.635,1.475,1.771,3.068,2.438,1.157,2.328,2.421,1.274,1.340,4.529,2.161,1.882,1.449,1.446,0.917,4.155,2.098,2.140,1.874
TMIN,NDJF,-3.298,-1.459,0.544,-0.948,-1.757,-0.800,-1.284,1.669,-0.254,0.845,-0.698,0.247,0.675,1.032,1.863,-0.292,0.930,1.967,-1.003,-0.703,2.949,-0.277,0.270,0.596,-0.310,-0.890,3.018,0.979,0.639,0.574
TAVG,year,10.189,10.550,10.696,9.636,9.746,9.895,9.979,10.652,10.854,10.919,10.107,11.358,10.798,11.877,10.635,9.773,10.781,11.027,11.081,12.154,11.328,11.825,11.515,10.590,10.305,11.217,11.814,11.617,11.560,10.608
TAVG,MAMJJASO,14.669,14.559,15.036,13.295,14.203,14.285,14.017,14.500,14.521,14.600,14.395,15.179,14.878,15.573,14.390,13.693,14.383,15.040,15.527,16.007,15.641,15.423,16.017,14.506,14.645,15.263,15.585,15.176,15.791,14.734
TAVG,AMJJAS,16.191,16.732,17.170,15.062,16.417,16.602,16.647,16.575,16.102,16.054,16.335,17.535,17.005,17.590,16.268,15.951,16.413,17.264,17.475,17.935,16.998,17.186,18.709,16.389,16.764,17.382,17.815,17.200,18.178,17.155
TAVG,ONDJFM,2.337,3.832,5.200,3.416,3.338,3.334,2.844,5.356,5.139,5.903,4.474,4.398,4.705,5.724,5.184,3.659,5.120,5.556,4.214,4.578,7.209,5.534,4.966,4.339,4.478,3.656,7.473,5.063,4.970,4.618
TAVG,NDJF,-0.727,1.327,3.223,1.368,0.733,1.272,1.282,3.832,2.554,3.776,1.573,2.743,3.133,3.073,4.222,1.461,3.035,4.524,1.457,2.034,5.175,2.422,2.658,3.057,2.105,1.281,5.837,3.554,2.677,2.710
RH,year,76.236,78.111,74.655,78.309,76.388,76.667,77.054,75.681,76.023,75.135,76.838,74.362,73.907,75.369,75.892,76.419,73.351,73.057,75.005,72.643,71.793,73.729,68.333,74.868,73.525,72.530,72.666,76.151,74.682,77.470
RH,MAMJJASO,75.774,75.885,72.847,74.893,73.290,74.145,74.019,73.533,74.648,72.674,75.035,70.996,70.666,71.843,73.074,72.458,68.577,70.911,72.923,68.778,68.750,70.412,63.309,73.071,71.222,68.957,69.105,73.488,70.458,73.147
