Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,7.121,7.963,8.238,8.382,6.222,7.397,6.153,8.244,9.617,8.931,8.371,8.564,7.843,8.235,8.560,8.164,8.750,7.538,8.707,9.578,8.398,8.839,8.968,8.911,9.578,9.368,9.323,8.960,8.700,7.756
TMAX,MAMJJASO,11.425,12.001,12.831,12.422,12.281,12.460,11.283,13.049,13.598,12.800,12.200,11.884,11.521,12.800,12.933,12.449,13.009,11.766,13.584,13.386,12.974,13.889,13.487,13.168,13.563,13.652,13.916,12.119,13.062,13.584
TMAX,AMJJAS,14.348,14.308,15.530,15.206,14.555,14.574,13.407,16.008,16.253,15.052,14.669,14.753,13.852,15.605,15.145,14.603,15.962,14.329,16.245,15.617,16.061,17.207,16.067,15.697,16.495,17.210,15.738,14.426,16.140,16.639
TMAX,ONDJFM,-0.376,0.342,2.192,0.636,-1.280,-0.197,-1.159,0.909,2.456,2.323,1.499,3.744,1.834,-0.151,2.985,0.703,2.245,0.678,0.465,2.531,2.418,1.814,-0.297,1.978,2.110,1.573,2.735,3.456,2.520,-0.310
TMAX,NDJF,-0.866,-2.520,1.038,-1.116,-4.544,-3.667,-3.880,-1.403,0.440,0.593,-0.203,2.457,1.311,-2.223,1.661,-2.112,0.376,-0.507,-2.092,0.843,1.091,-0.393,-2.822,0.313,1.170,0.183,0.186,2.438,0.927,-2.244
TMIN,year,-0.164,0.699,0.726,1.363,-1.296,0.323,-1.040,1.015,2.705,1.852,1.529,1.761,0.905,0.781,1.372,0.731,1.100,0.500,1.407,2.743,1.176,0.941,1.457,1.803,2.317,1.804,2.286,2.508,1.547,0.369
TMIN,MAMJJASO,3.932,4.480,5.403,4.683,4.777,5.227,4.165,5.577,6.310,5.115,5.131,4.751,3.978,4.813,5.516,4.402,4.860,4.410,5.636,5.894,5.220,5.332,5.743,5.599,5.293,5.036,6.352,4.902,5.045,5.775
TMIN,AMJJAS,6.773,6.230,7.748,7.179,6.591,6.700,6.010,8.014,8.022,7.075,7.274,7.199,6.120,7.087,6.989,6.312,7.091,6.981,7.547,7.607,8.060,8.190,7.787,7.773,8.071,8.193,7.717,6.698,7.559,8.536
TMIN,ONDJFM,-8.873,-6.245,-4.172,-6.401,-7.456,-6.948,-7.923,-4.887,-4.072,-3.637,-5.216,-1.947,-4.490,-6.437,-2.558,-6.561,-4.519,-5.874,-5.463,-3.625,-3.232,-4.827,-7.322,-4.204,-4.223,-4.828,-3.310,-1.718,-2.966,-6.650
TMIN,NDJF,-8.527,-9.651,-5.396,-7.975,-11.101,-10.994,-10.654,-7.617,-6.802,-5.074,-6.995,-3.691,-4.602,-8.214,-4.043,-9.124,-6.788,-6.745,-7.915,-5.394,-3.943,-6.955,-10.146,-5.806,-4.465,-5.477,-5.710,-2.517,-4.356,-8.043
