Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.718,15.239,15.695,14.484,14.151,15.449,14.503,14.836,15.503,16.282,14.349,15.403,14.956,16.691,15.016,14.169,14.354,15.141,15.766,16.939,15.779,16.324,15.564,15.368,14.809,15.561,16.859,16.569,16.698,15.839
TMAX,MAMJJASO,20.253,20.379,21.213,19.439,19.971,21.244,19.677,20.055,20.373,21.175,19.579,20.872,20.234,21.909,20.307,19.125,18.738,20.239,21.100,22.120,21.456,21.307,21.153,20.588,19.924,20.853,22.242,21.470,22.006,20.724
TMAX,AMJJAS,22.159,22.940,23.590,21.733,22.752,24.153,23.112,22.839,22.422,22.747,21.829,23.519,22.827,24.572,22.531,22.260,21.280,23.057,23.783,24.770,23.338,23.646,24.645,22.825,22.668,23.300,24.942,23.692,25.088,23.745
TMAX,ONDJFM,5.168,6.558,9.128,6.473,5.613,7.238,5.661,7.665,7.488,9.167,8.242,6.720,6.686,8.850,8.198,5.086,7.802,8.025,6.899,7.124,10.717,8.390,6.445,7.069,7.545,6.735,10.669,7.652,8.593,8.091
TMAX,NDJF,1.655,3.206,6.199,3.925,1.657,4.583,3.399,5.673,4.109,5.849,4.956,3.817,4.181,5.527,5.864,2.116,5.488,6.806,3.410,4.260,7.957,4.514,3.624,4.683,4.902,3.816,7.993,4.591,5.905,5.430
TMIN,year,5.008,4.991,4.977,4.860,3.930,4.832,4.494,5.152,5.631,5.401,4.915,4.971,4.640,6.379,5.160,4.997,4.876,5.249,5.883,5.596,5.706,6.201,5.198,5.582,5.268,5.527,6.446,6.292,6.247,6.147
TMIN,MAMJJASO,9.174,9.133,9.073,8.427,8.467,8.864,8.155,8.938,9.447,8.594,9.039,8.946,8.855,10.105,9.120,8.673,8.044,9.374,9.959,9.246,10.099,10.078,9.290,9.369,9.216,9.549,10.139,9.962,9.856,9.997
TMIN,AMJJAS,10.761,11.212,11.281,10.211,10.823,11.260,10.889,11.276,11.333,10.220,10.955,10.967,10.824,12.300,11.178,11.233,10.475,11.672,12.187,11.482,11.727,12.229,11.923,11.193,11.767,11.763,12.192,11.871,11.970,12.700
TMIN,ONDJFM,-2.613,-1.738,0.226,-1.733,-2.836,-0.792,-2.971,0.307,-0.970,-0.065,-0.222,-1.474,-1.733,0.437,-0.185,-2.427,-0.212,-0.460,-1.048,-1.276,1.150,-0.526,-1.648,-0.710,-0.457,-1.457,1.526,-0.143,0.327,0.286
TMIN,NDJF,-5.181,-4.335,-1.619,-3.403,-6.000,-2.169,-4.206,-0.850,-2.999,-2.159,-2.158,-3.507,-3.760,-1.791,-1.784,-4.153,-1.576,-1.005,-3.583,-3.366,-0.415,-3.212,-3.693,-2.463,-1.927,-3.596,0.182,-2.283,-1.406,-1.358
TAVG,year,9.489,9.590,9.914,9.249,8.607,9.737,9.103,9.613,10.154,10.383,9.180,9.848,9.369,11.089,9.674,9.193,9.176,9.758,10.341,10.801,10.243,10.797,9.951,10.016,9.563,9.968,11.230,10.924,11.013,10.444
TAVG,MAMJJASO,14.257,14.220,14.644,13.461,13.732,14.596,13.471,14.097,14.457,14.418,13.804,14.559,14.107,15.528,14.237,13.524,12.929,14.373,15.032,15.233,15.256,15.197,14.809,14.469,14.069,14.576,15.735,15.197,15.429,14.756
TAVG,AMJJAS,16.081,16.606,16.996,15.559,16.377,17.306,16.627,16.737,16.483,16.124,15.963,16.957,16.458,18.040,16.473,16.465,15.498,16.998,17.553,17.821,17.101,17.501,17.956,16.595,16.776,16.986,18.183,17.367,18.092,17.680
TAVG,ONDJFM,0.908,1.966,4.190,1.965,0.914,2.774,0.921,3.552,2.834,4.064,3.455,2.233,2.049,4.130,3.546,0.861,3.303,3.233,2.452,2.430,5.198,3.402,1.924,2.693,3.036,2.074,5.525,3.262,3.877,3.719
TAVG,NDJF,-2.014,-0.875,1.931,-0.040,-2.523,0.902,-0.729,2.037,0.276,1.452,0.962,-0.108,-0.161,1.463,1.698,-1.348,1.574,2.398,-0.456,0.060,3.113,0.264,-0.410,0.689,1.081,-0.351,3.643,0.771,1.788,1.698
RH,year,77.809,78.971,75.481,79.001,77.078,75.909,76.882,78.136,76.022,74.756,80.500,72.293,73.089,74.507,77.653,77.177,76.761,75.530,76.212,70.287,74.112,74.429,73.449,76.106,78.433,76.836,73.583,76.400,77.079,79.660
RH,MAMJJASO,74.233,75.936,71.138,74.655,72.644,71.219,72.063,74.146,73.398,69.708,78.065,68.044,69.456,70.156,73.532,72.844,73.055,72.307,73.032,64.170,70.452,71.168,67.769,72.382,75.089,73.741,68.512,73.147,72.284,76.286
RH,AMJJAS,72.298,73.400,70.615,72.639,70.006,68.525,69.027,72.257,72.324,69.640,76.560,65.777,66.325,68.015,72.349,69.494,72.511,71.182,71.828,61.367,69.139,70.086,64.285,70.177,74.815,71.968,65.239,71.342,68.795,75.379
RH,ONDJFM,83.280,84.044,81.813,84.391,84.974,84.144,82.510,85.045,81.080,78.643,83.347,81.149,79.315,80.705,82.097,85.137,81.325,79.846,80.939,80.306,79.627,76.981,81.981,82.372,82.439,82.070,80.947,81.075,84.896,84.888
RH,NDJF,84.590,85.615,84.011,86.719,86.757,86.716,84.760,87.346,83.231,82.482,85.641,83.327,79.131,84.300,83.432,87.515,83.828,83.021,82.998,82.529,82.715,79.930,84.616,83.672,84.788,84.164,83.059,82.730,86.497,87.284
RHmin,year,57.323,56.553,53.957,58.264,55.662,54.791,56.190,57.659,55.549,53.382,59.247,52.413,52.758,54.086,56.890,57.772,56.723,55.127,55.528,49.411,53.703,54.136,53.162,55.793,57.675,55.355,53.487,55.052,55.715,58.160
RHmin,MAMJJASO,52.606,53.236,48.905,52.963,50.819,48.891,50.496,52.737,52.243,47.411,55.888,47.487,49.075,48.861,51.861,52.758,52.191,51.743,51.604,43.366,49.475,50.307,47.345,50.973,53.635,51.317,47.476,51.154,49.780,54.196
RHmin,AMJJAS,51.241,51.247,48.741,51.060,48.766,46.775,47.996,51.237,51.630,47.854,54.776,45.553,46.382,47.264,51.331,50.123,52.206,50.704,50.549,41.633,48.697,49.667,44.298,49.338,53.684,50.240,44.730,50.132,46.391,53.586
