Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,20.084,19.473,19.885,18.527,19.758,19.189,19.766,19.511,20.487,20.145,19.303,19.393,18.756,20.464,20.794,19.242,20.434,20.131,19.844,20.151,20.145,20.006,20.477,19.985,20.274,20.856,19.945,19.759,20.904,19.499
TMAX,MAMJJASO,23.499,23.393,23.615,22.178,23.954,23.252,23.855,23.184,24.235,24.189,23.448,23.000,22.218,24.342,24.577,23.105,24.390,23.811,24.063,23.954,24.461,23.449,24.945,23.825,24.963,25.373,23.535,23.406,25.249,23.915
TMAX,AMJJAS,25.113,25.722,25.078,24.365,25.980,25.231,26.299,24.701,25.770,26.376,26.078,25.397,24.515,26.090,26.195,25.059,25.433,25.407,26.326,25.890,26.217,25.188,27.458,26.038,27.196,27.479,25.588,25.414,26.949,26.396
TMAX,ONDJFM,12.997,14.878,13.263,13.469,12.991,13.435,13.650,13.583,14.791,15.351,12.440,13.045,13.555,13.483,14.937,14.301,15.098,15.160,13.864,13.951,14.104,14.336,14.053,13.563,13.553,13.353,14.709,14.891,13.399,13.824
TMAX,NDJF,11.257,13.356,11.119,11.765,11.225,10.712,11.431,11.821,12.455,13.291,10.308,11.380,12.404,11.564,13.315,12.021,12.334,12.589,11.929,11.773,12.014,11.898,11.628,12.439,11.059,10.680,12.835,13.346,10.807,11.472
TMIN,year,8.185,8.397,8.223,7.366,7.917,7.683,8.495,8.045,9.045,8.609,7.883,7.790,7.413,8.472,8.950,8.331,9.310,8.481,8.423,8.375,8.727,8.934,9.290,8.495,8.243,9.436,8.203,8.356,9.001,8.580
TMIN,MAMJJASO,11.038,10.902,10.888,9.716,10.659,10.510,11.278,10.615,11.461,11.597,10.829,10.589,10.094,11.152,11.320,10.670,11.827,11.266,11.800,11.087,11.965,11.265,12.394,11.379,11.878,12.749,11.034,11.044,11.904,11.484
TMIN,AMJJAS,12.186,12.614,12.294,11.384,12.313,11.854,12.890,12.064,12.798,13.096,12.375,12.258,11.670,12.312,12.671,12.161,13.008,12.834,13.301,12.685,12.774,12.424,14.040,12.868,13.432,14.043,12.697,12.642,13.338,13.309
TMIN,ONDJFM,1.902,4.780,3.314,3.942,3.514,3.684,3.623,4.376,3.833,5.805,3.525,2.711,3.546,3.777,4.618,5.392,4.863,5.649,3.153,3.545,5.308,4.178,5.059,4.439,3.059,3.895,5.167,3.867,3.542,4.765
TMIN,NDJF,-0.050,3.947,1.786,3.167,2.772,2.318,1.872,3.539,2.025,5.002,1.480,1.359,2.445,2.424,3.483,4.242,3.843,4.250,1.597,1.662,3.852,1.911,3.586,3.419,0.909,1.674,3.869,2.628,1.944,3.369
