Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,4.671,5.758,5.879,5.885,4.536,5.111,4.723,5.923,6.868,7.021,6.403,6.529,5.676,5.835,5.906,5.654,6.589,5.686,6.364,6.864,5.964,6.745,7.041,6.845,6.969,7.468,6.924,6.915,6.542,5.092
TMAX,MAMJJASO,8.671,9.199,9.264,9.300,9.008,9.147,8.420,9.483,9.846,10.204,9.656,9.362,8.843,9.527,9.447,9.586,10.072,8.955,9.994,9.952,9.581,10.935,10.528,10.390,10.199,10.668,10.674,10.006,10.367,9.998
TMAX,AMJJAS,11.195,11.283,11.462,11.657,10.915,11.052,10.386,12.140,11.901,12.138,11.717,11.923,11.011,11.968,11.406,11.652,12.604,11.196,12.252,11.822,11.877,13.925,12.894,12.628,12.174,13.616,12.342,12.416,12.982,12.282
TMAX,ONDJFM,-2.907,-1.221,0.650,-0.617,-0.821,-1.299,-1.338,0.068,1.474,1.551,0.948,2.117,0.633,-1.237,0.886,-0.338,0.400,0.384,-0.227,1.190,0.700,1.149,-0.457,0.819,1.405,0.994,1.948,1.716,0.701,-1.119
TMAX,NDJF,-3.275,-3.299,-0.447,-1.921,-2.612,-4.190,-2.981,-1.297,0.355,0.322,-0.642,1.311,0.225,-2.955,0.089,-2.386,-1.344,-0.499,-1.684,0.059,-0.644,-0.493,-2.112,-0.371,0.495,-0.069,0.377,0.721,-0.723,-2.952
TMIN,year,-2.135,-0.654,-0.524,-0.293,-2.061,-1.405,-1.645,-0.589,0.539,0.810,0.038,-0.036,-0.886,-0.778,-0.639,-1.153,-0.098,-0.460,0.009,0.777,-0.553,0.078,0.155,0.276,0.370,0.760,0.255,0.107,-0.064,-1.996
TMIN,MAMJJASO,1.767,2.534,2.823,2.650,2.351,2.491,1.910,2.524,3.006,3.372,2.913,2.335,1.791,2.534,2.603,2.355,2.764,2.471,3.267,3.376,2.638,3.780,3.294,3.518,3.001,3.215,3.543,2.600,3.196,2.614
TMIN,AMJJAS,3.998,3.973,4.661,4.773,3.898,3.843,3.598,4.826,4.494,4.840,4.489,4.426,3.653,4.496,4.029,3.989,4.753,4.507,5.002,4.834,4.796,6.297,5.280,5.316,4.905,5.900,4.950,4.540,5.371,4.543
TMIN,ONDJFM,-10.059,-7.064,-5.089,-6.531,-6.384,-7.478,-7.371,-5.216,-4.095,-3.564,-4.561,-3.265,-5.293,-7.148,-4.432,-6.453,-5.461,-5.044,-5.624,-4.474,-4.756,-4.517,-6.455,-5.124,-4.500,-5.020,-3.653,-4.003,-5.037,-7.139
TMIN,NDJF,-10.353,-9.550,-6.489,-7.836,-8.312,-10.802,-9.101,-6.487,-5.290,-4.727,-6.197,-4.167,-5.416,-8.990,-5.298,-8.442,-7.379,-5.700,-7.161,-5.624,-5.660,-6.156,-8.281,-6.219,-5.178,-5.449,-5.064,-4.678,-6.541,-8.768
TAVG,year,1.126,2.438,2.530,2.629,1.076,1.669,1.368,2.527,3.547,3.747,3.022,3.111,2.228,2.375,2.439,2.098,3.130,2.451,3.020,3.616,2.524,3.303,3.433,3.418,3.527,3.922,3.413,3.356,3.039,1.378
TAVG,MAMJJASO,4.979,5.653,5.805,5.703,5.413,5.534,4.910,5.768,6.177,6.517,5.973,5.614,5.050,5.775,5.711,5.689,6.207,5.432,6.366,6.342,5.816,7.129,6.659,6.699,6.303,6.652,6.833,6.034,6.488,6.016
TAVG,AMJJAS,7.318,7.374,7.772,7.898,7.128,7.104,6.684,8.188,7.890,8.181,7.766,7.897,7.002,7.906,7.322,7.482,8.417,7.514,8.315,7.939,7.970,9.841,8.803,8.684,8.172,9.434,8.341,8.163,8.843,8.062
TAVG,ONDJFM,-6.518,-4.125,-2.210,-3.574,-3.636,-4.399,-4.411,-2.569,-1.301,-1.025,-1.873,-0.619,-2.292,-4.188,-1.781,-3.337,-2.518,-2.310,-2.915,-1.652,-2.083,-1.610,-3.472,-2.172,-1.440,-2.060,-0.906,-1.162,-2.211,-4.150
TAVG,NDJF,-6.820,-6.340,-3.390,-4.830,-5.433,-7.414,-6.075,-3.855,-2.415,-2.167,-3.401,-1.412,-2.507,-5.930,-2.555,-5.303,-4.285,-3.034,-4.341,-2.727,-3.181,-3.167,-5.155,-3.238,-2.159,-2.729,-2.330,-1.917,-3.613,-5.824
RH,year,78.692,78.537,79.230,78.965,78.654,78.176,78.137,78.516,78.192,78.300,78.781,78.590,79.165,79.097,79.383,79.203,79.142,81.059,80.831,81.634,80.539,79.899,79.004,78.352,78.791,78.413,78.718,78.153,78.328,78.298
RH,MAMJJASO,78.132,76.810,78.243,77.751,77.557,77.232,76.681,76.723,76.464,75.959,77.633,76.535,77.528,76.657,77.799,77.122,76.824,79.828,79.264,80.156,79.533,78.156,77.354,76.288,76.919,76.378,76.785,76.144,76.506,77.400
RH,AMJJAS,77.221,75.393,77.410,77.278,76.797,75.958,76.355,75.846,74.750,74.901,75.772,75.162,76.757,75.219,76.621,76.182,75.661,79.232,77.846,79.510,78.753,77.617,76.181,75.152,76.175,75.359,75.959,74.569,75.227,76.069
RH,ONDJFM,78.220,80.724,81.541,80.616,80.960,80.247,79.585,81.694,81.452,81.425,81.222,82.062,81.736,82.425,82.684,81.577,82.517,83.208,83.684,83.436,82.775,83.067,81.800,81.439,81.249,81.004,82.137,81.561,81.694,81.133
RH,NDJF,78.483,80.223,82.034,81.481,81.131,80.114,80.104,82.988,82.066,81.943,81.210,82.128,83.069,83.122,83.657,82.692,83.502,84.334,83.820,84.184,83.487,83.692,82.394,82.572,82.050,82.726,82.922,82.286,82.104,81.049
RHmin,year,62.721,63.932,64.250,64.479,63.080,62.972,63.239,63.566,63.813,64.020,63.876,63.664,63.818,63.813,63.929,63.447,64.015,66.195,65.714,66.762,64.917,64.527,63.181,63.357,63.662,63.164,63.359,62.785,63.014,61.850
RHmin,MAMJJASO,62.246,62.119,63.506,62.556,62.288,62.059,61.880,61.284,61.461,60.841,62.182,61.103,61.541,61.162,62.108,60.919,60.936,64.401,63.767,64.430,63.230,62.153,61.269,61.116,60.661,60.069,60.979,60.006,60.531,60.780
RHmin,AMJJAS,61.058,59.826,62.212,61.850,61.120,59.928,61.073,60.003,58.990,59.181,59.843,59.311,60.333,59.059,60.009,59.327,59.053,63.583,61.668,63.042,62.265,60.967,59.718,59.499,59.880,58.987,59.849,57.976,58.810,59.035
RHmin,ONDJFM,60.985,66.292,67.338,66.093,66.948,65.108,64.788,68.517,67.766,68.641,67.426,68.501,67.269,67.533,69.261,66.726,67.977,69.633,69.825,69.078,68.871,69.210,66.841,66.809,67.345,66.376,68.173,67.496,67.237,66.132
RHmin,NDJF,61.310,65.006,67.288,66.757,66.798,64.114,64.854,69.791,68.170,69.256,67.416,68.483,69.129,67.747,70.019,67.627,68.424,71.169,69.892,69.762,70.302,69.842,66.994,68.062,68.661,69.222,69.157,68.907,67.444,66.456
PREC,year,1037.954,1144.573,1366.139,966.866,1108.979,1080.651,1044.797,1171.564,1299.110,1322.318,1073.327,1222.964,1055.719,1085.359,1183.450,891.618,1180.990,1180.796,1233.527,1313.458,1135.716,998.893,1117.463,1176.381,1230.538,1171.953,1270.968,1183.501,1066.059,907.112
PREC,MAMJJASO,660.417,760.266,876.610,666.111,809.220,718.921,684.244,757.143,737.397,795.860,658.333,696.878,630.086,695.327,776.728,603.752,791.049,736.675,759.092,815.239,740.785,636.940,721.251,706.180,733.161,648.745,805.241,691.190,726.797,726.822
PREC,AMJJAS,489.484,575.335,553.876,449.359,579.340,508.768,492.673,595.774,527.999,488.386,497.486,527.829,418.721,459.233,487.251,440.795,513.616,514.691,541.346,554.040,547.494,459.551,539.018,561.765,580.928,473.746,600.954,434.246,582.604,499.212
PREC,ONDJFM,274.601,506.519,659.754,672.025,527.133,507.170,604.805,572.462,803.047,823.148,546.665,716.968,712.730,529.547,714.720,468.980,729.014,625.861,610.503,800.894,555.509,734.974,452.070,521.738,698.533,568.309,810.330,722.013,613.484,410.098
PREC,NDJF,205.803,307.320,479.951,394.340,284.543,279.711,413.012,376.226,604.499,521.029,348.379,534.751,545.742,291.521,498.054,256.877,445.656,407.288,383.561,549.823,371.669,495.609,273.444,382.754,559.078,421.390,583.870,517.551,378.042,244.244
SRAD,year,2608.319,2807.977,2498.893,2618.700,2733.142,2631.695,2610.663,2738.454,2775.033,2737.069,2766.889,2772.218,2803.147,2817.618,2776.902,2783.337,2937.834,2606.689,2723.034,2627.813,2714.331,2842.615,2880.754,2820.998,2797.931,2882.999,2827.906,2971.940,2851.590,2749.684
SRAD,MAMJJASO,2482.745,2683.340,2379.850,2511.206,2616.951,2507.640,2488.763,2635.607,2650.891,2629.260,2640.933,2654.587,2681.905,2694.298,2654.739,2664.559,2826.190,2494.073,2602.950,2518.919,2589.452,2722.763,2749.058,2695.470,2671.485,2754.985,2703.801,2848.731,2733.212,2626.215
SRAD,AMJJAS,2225.368,2440.685,2131.141,2226.438,2348.135,2257.964,2239.006,2380.488,2393.720,2373.909,2393.602,2397.355,2391.694,2418.911,2392.992,2358.639,2535.322,2220.590,2358.028,2263.982,2289.150,2432.396,2455.662,2402.541,2362.920,2454.531,2395.737,2551.303,2439.309,2356.466
