Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,6.243,6.934,7.304,7.533,5.197,6.362,5.296,7.209,8.587,7.869,7.404,7.536,6.921,7.234,7.528,7.210,7.641,6.558,7.671,8.644,7.458,7.747,7.953,7.940,8.617,8.455,8.340,8.041,7.767,6.790
TMAX,MAMJJASO,11.224,11.638,12.573,12.304,11.845,12.095,11.072,12.634,13.215,12.467,11.822,11.515,11.277,12.451,12.565,12.115,12.504,11.507,13.152,13.097,12.668,13.541,13.049,12.850,13.203,13.394,13.506,11.894,12.775,13.292
TMAX,AMJJAS,14.405,14.371,15.681,15.488,14.463,14.654,13.526,15.898,16.331,15.185,14.655,14.910,14.085,15.596,15.213,14.694,15.831,14.430,16.172,15.734,16.042,17.363,16.097,15.820,16.422,17.269,15.863,14.581,16.271,16.666
TMAX,ONDJFM,-3.845,-1.731,0.143,-1.368,-3.236,-2.216,-3.128,-1.021,0.258,0.149,-0.525,1.615,-0.294,-2.094,0.817,-1.355,0.196,-1.328,-1.640,0.485,0.617,-0.291,-2.614,-0.091,0.213,-0.236,0.597,1.444,0.547,-2.154
TMAX,NDJF,-4.277,-4.861,-1.260,-3.491,-6.736,-5.889,-6.221,-3.679,-1.976,-1.825,-2.535,0.140,-0.989,-4.466,-0.742,-4.409,-1.936,-2.846,-4.502,-1.471,-1.060,-2.769,-5.309,-1.963,-1.074,-2.051,-1.916,0.084,-1.320,-4.393
TMIN,year,-1.785,-0.895,-0.856,-0.148,-3.022,-1.289,-2.571,-0.737,1.125,0.211,-0.067,0.109,-0.662,-0.861,-0.260,-0.885,-0.611,-1.129,-0.253,1.180,-0.428,-0.747,-0.135,0.154,0.728,0.235,0.673,0.937,-0.037,-1.223
TMIN,MAMJJASO,2.686,3.285,4.291,3.631,3.421,4.102,3.019,4.187,5.124,3.944,3.880,3.483,2.817,3.658,4.293,3.177,3.490,3.202,4.374,4.710,3.999,4.129,4.465,4.338,4.065,3.884,5.139,3.726,3.824,4.637
TMIN,AMJJAS,5.588,5.265,6.840,6.305,5.371,5.748,5.012,6.752,7.081,6.077,6.178,6.201,5.173,6.048,6.007,5.234,5.854,5.927,6.446,6.620,6.948,7.209,6.723,6.686,6.957,7.174,6.727,5.687,6.510,7.513
TMIN,ONDJFM,-13.015,-8.428,-6.408,-8.606,-9.665,-9.140,-10.081,-7.068,-6.389,-5.807,-7.436,-4.173,-6.736,-8.621,-4.841,-8.807,-6.667,-8.050,-7.731,-5.820,-5.279,-6.998,-9.690,-6.398,-6.335,-6.879,-5.595,-3.864,-5.113,-8.660
TMIN,NDJF,-12.421,-12.030,-7.841,-10.513,-13.535,-13.403,-13.154,-10.055,-9.273,-7.491,-9.525,-6.063,-7.029,-10.719,-6.530,-11.646,-9.164,-9.145,-10.482,-7.824,-6.245,-9.377,-12.699,-8.180,-6.884,-7.899,-8.069,-4.914,-6.725,-10.317
TAVG,year,2.397,3.195,3.403,3.871,1.207,2.650,1.439,3.368,4.980,4.156,3.748,3.955,3.174,3.270,3.729,3.217,3.646,2.721,3.743,4.932,3.549,3.593,3.978,4.104,4.730,4.424,4.540,4.537,3.922,2.837
TAVG,MAMJJASO,7.049,7.575,8.560,8.115,7.741,8.160,7.076,8.506,9.226,8.276,7.872,7.567,7.004,8.099,8.439,7.662,8.085,7.277,8.760,8.844,8.315,8.867,8.768,8.549,8.638,8.698,9.302,7.789,8.315,8.949
TAVG,AMJJAS,10.074,9.935,11.353,11.038,10.033,10.270,9.292,11.419,11.767,10.683,10.405,10.612,9.542,10.868,10.591,9.984,10.947,10.073,11.300,11.060,11.441,12.323,11.400,11.212,11.689,12.318,11.290,10.078,11.397,12.020
TAVG,ONDJFM,-8.063,-4.873,-2.883,-4.742,-6.328,-5.482,-6.469,-3.904,-2.873,-2.661,-3.804,-1.080,-3.306,-5.245,-1.827,-4.940,-3.089,-4.574,-4.602,-2.492,-2.238,-3.488,-5.991,-3.121,-2.933,-3.469,-2.444,-1.086,-2.131,-5.263
TAVG,NDJF,-7.926,-8.169,-4.264,-6.750,-10.004,-9.370,-9.517,-6.716,-5.346,-4.460,-5.812,-2.703,-3.760,-7.462,-3.368,-7.843,-5.334,-5.842,-7.372,-4.424,-3.567,-5.869,-8.767,-4.884,-3.785,-4.822,-4.860,-2.254,-3.840,-7.190
RH,year,78.716,78.999,78.417,78.678,77.013,75.622,77.522,78.277,78.540,77.042,80.012,78.738,78.558,78.888,80.371,80.659,77.973,80.523,79.462,80.881,79.521,79.489,79.684,80.450,79.589,78.960,80.463,81.340,79.862,80.879
RH,MAMJJASO,75.572,76.012,75.902,75.556,74.162,72.392,75.252,75.456,75.606,72.785,77.909,75.911,75.799,75.336,78.070,77.585,74.261,77.974,76.264,77.743,76.705,75.963,76.497,77.882,76.323,75.890,77.745,78.470,76.638,77.963
RH,AMJJAS,75.020,74.859,74.000,73.502,73.041,70.745,74.080,73.925,73.198,71.516,76.438,74.017,75.210,73.892,76.507,76.625,73.018,77.280,74.655,77.180,75.630,74.690,75.796,76.932,76.119,73.987,76.525,76.691,75.399,77.094
RH,ONDJFM,78.988,83.006,83.949,82.521,83.200,80.181,81.568,82.755,82.433,82.450,82.554,84.372,82.389,83.390,84.218,83.556,83.426,84.344,84.023,83.265,84.841,84.715,82.427,85.988,81.868,83.732,84.040,85.302,85.433,84.779
RH,NDJF,84.528,84.477,85.214,83.501,84.346,82.158,82.540,83.875,83.719,85.492,83.670,84.461,84.285,85.815,86.256,85.064,85.892,86.317,85.721,86.007,87.071,86.235,85.570,87.438,84.841,85.718,85.045,86.934,86.963,86.741
