Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,22.397,21.371,21.427,20.810,21.720,21.090,21.973,21.255,22.564,22.186,21.822,21.739,20.488,21.833,23.028,21.512,22.631,22.473,21.816,21.962,21.951,21.998,22.408,22.327,22.736,22.755,22.127,21.821,23.019,22.402
TMAX,MAMJJASO,25.035,24.741,24.451,23.965,25.237,24.491,25.402,24.317,25.977,25.906,25.580,25.035,23.372,25.011,26.532,25.017,26.110,25.623,25.146,25.253,25.497,25.092,26.298,25.872,26.900,26.751,25.398,24.910,26.953,26.524
TMAX,AMJJAS,26.592,26.505,25.393,25.715,26.764,26.062,27.670,25.470,27.278,27.841,28.038,26.963,25.182,26.202,27.792,26.648,26.668,26.798,27.005,26.606,27.343,26.549,28.431,28.070,28.885,28.929,26.936,26.537,28.071,28.987
TMAX,ONDJFM,15.890,18.107,16.060,16.609,16.031,16.516,16.850,16.265,17.478,17.827,15.354,16.438,16.355,16.038,17.824,17.103,18.347,18.203,17.257,17.074,16.694,17.044,16.825,16.374,16.506,16.088,17.085,17.901,16.979,16.799
TMAX,NDJF,15.032,16.851,13.961,15.174,14.350,14.179,14.806,14.900,15.510,15.573,13.660,14.677,15.265,14.263,16.128,14.926,15.383,15.849,15.599,15.190,15.033,15.011,14.783,15.129,14.474,13.964,15.345,16.372,14.346,14.584
TMIN,year,10.649,10.364,10.471,9.870,10.170,9.783,11.078,10.377,11.405,10.935,10.355,10.151,9.832,10.437,11.428,10.683,11.641,10.734,10.249,10.404,10.618,10.724,11.109,10.473,10.276,11.263,10.043,10.110,10.780,10.908
TMIN,MAMJJASO,12.914,12.354,12.485,11.763,12.224,11.977,13.311,12.304,13.348,13.365,12.838,12.353,11.922,12.471,13.298,12.725,13.658,13.017,12.971,12.495,13.128,12.557,13.576,12.870,13.361,14.066,12.368,12.240,12.999,13.310
TMIN,AMJJAS,13.830,13.663,13.381,13.039,13.429,12.893,14.633,13.329,14.280,14.468,14.137,13.632,13.099,13.020,14.270,13.881,14.372,14.173,14.037,13.684,13.628,13.204,14.724,14.126,14.486,15.003,13.615,13.477,13.740,14.714
TMIN,ONDJFM,4.978,7.939,6.619,7.158,7.067,6.844,6.949,7.626,7.266,8.995,6.733,6.143,6.926,6.961,7.981,8.588,7.957,9.041,6.026,6.601,8.254,7.015,8.046,7.401,5.730,6.690,7.907,6.920,6.246,7.863
TMIN,NDJF,3.320,7.307,5.253,6.533,6.466,5.796,5.307,7.090,5.849,8.056,5.050,4.918,6.079,5.736,6.874,7.615,6.774,7.917,4.516,4.931,7.217,5.089,6.536,6.628,3.704,4.649,6.692,5.909,4.713,6.560
