Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.982,15.108,15.807,13.818,14.534,14.582,14.452,15.391,15.792,15.823,14.612,16.150,15.479,16.525,15.107,13.829,15.476,15.828,15.599,17.200,16.099,16.410,16.977,15.204,14.982,16.086,16.952,16.331,16.391,14.891
TMAX,MAMJJASO,19.727,19.578,20.669,18.110,19.548,19.578,19.013,19.709,19.740,20.000,19.323,20.539,20.111,20.847,19.448,18.402,19.829,20.204,20.459,21.651,21.007,20.618,22.283,19.646,19.854,20.761,21.347,20.458,21.431,19.700
TMAX,AMJJAS,21.525,22.196,22.929,20.167,22.140,22.184,22.044,22.100,21.119,21.484,21.540,23.364,22.610,23.045,21.482,20.994,22.075,22.594,22.638,24.052,22.745,22.532,25.417,21.949,22.161,23.224,24.032,22.682,24.177,22.449
TMAX,ONDJFM,6.686,7.840,9.063,7.237,6.804,6.937,6.982,8.838,9.662,10.964,8.219,8.349,8.599,9.208,8.934,7.007,8.706,9.676,8.051,8.776,10.512,9.938,8.837,8.172,8.476,7.135,11.710,9.067,8.621,8.038
TMAX,NDJF,3.630,5.371,6.916,4.759,4.137,4.429,5.005,7.174,6.960,8.300,4.967,6.493,6.896,6.167,7.777,4.170,6.159,8.362,5.124,6.012,8.328,6.390,5.994,6.729,5.856,4.517,9.828,7.406,5.738,5.612
TMIN,year,5.117,5.913,5.521,5.098,4.811,5.076,5.314,5.847,6.018,5.919,5.432,6.601,6.141,7.347,6.158,5.524,6.078,6.199,6.543,7.135,6.439,7.332,6.348,5.936,5.644,6.267,6.740,7.006,6.716,6.071
TMIN,MAMJJASO,9.376,9.500,9.412,8.158,8.781,8.958,8.887,9.243,9.324,9.102,9.341,9.920,9.749,10.522,9.475,8.940,9.068,9.855,10.717,10.452,10.275,10.491,10.253,9.401,9.535,9.781,9.954,10.119,10.360,9.702
TMIN,AMJJAS,10.700,11.386,11.465,9.643,10.647,11.062,11.209,11.079,11.103,10.533,11.039,12.002,11.605,12.472,11.240,10.960,10.992,12.028,12.583,12.051,11.373,12.308,12.708,11.016,11.593,11.707,11.834,12.071,12.565,11.888
TMIN,ONDJFM,-2.856,-0.460,1.003,-0.724,-0.565,-0.482,-1.524,1.597,0.656,1.023,0.447,0.276,0.639,1.949,1.320,0.027,1.193,1.317,0.045,0.154,3.532,0.999,0.786,0.313,0.333,-0.236,3.100,0.923,1.033,0.738
TMIN,NDJF,-5.792,-2.889,-0.772,-2.397,-3.143,-2.147,-2.721,0.342,-1.690,-0.508,-2.134,-1.189,-0.681,-0.333,0.573,-1.696,-0.458,0.656,-2.502,-2.139,1.754,-1.748,-1.043,-0.733,-1.689,-2.297,1.763,-0.426,-0.693,-0.771
