Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.631,17.562,17.458,16.551,16.582,16.701,16.444,17.346,18.700,18.303,17.039,17.344,16.923,18.169,17.976,16.804,18.549,17.548,17.901,18.059,17.675,18.125,19.132,17.692,17.899,18.577,17.922,17.553,18.380,16.865
TMAX,MAMJJASO,20.413,21.226,21.304,19.901,20.969,20.694,20.659,20.815,22.496,22.329,21.263,20.883,20.555,21.720,21.760,20.773,22.519,21.285,22.154,21.609,21.868,21.492,23.832,21.725,22.593,22.894,21.583,21.017,22.655,21.483
TMAX,AMJJAS,22.043,23.578,23.347,21.766,22.923,22.368,22.831,22.651,23.986,23.909,23.201,23.359,22.679,23.345,23.338,22.670,24.149,23.251,24.097,23.670,23.078,23.038,26.420,23.679,24.313,24.911,23.643,23.102,24.754,23.637
TMAX,ONDJFM,9.708,11.455,11.213,11.101,10.684,10.379,10.552,11.693,12.842,13.864,11.225,10.900,11.607,11.410,12.821,11.909,11.962,13.043,11.218,11.761,12.577,12.695,12.483,11.640,11.341,11.131,13.652,12.102,11.002,11.418
TMAX,NDJF,7.358,10.035,9.442,9.344,8.925,7.485,8.310,10.120,10.366,11.702,8.130,8.959,10.468,9.469,11.472,9.237,9.287,11.159,9.035,9.512,10.834,9.621,9.786,10.394,8.663,8.101,11.784,10.713,8.585,9.049
TMIN,year,7.833,8.373,8.035,7.320,6.859,7.429,7.716,8.350,8.204,8.362,7.610,8.176,7.816,9.144,8.439,7.468,8.456,8.074,8.712,8.842,8.449,8.770,8.689,8.268,8.170,8.974,8.495,8.216,8.361,7.506
TMIN,MAMJJASO,10.739,10.684,10.847,9.397,9.890,10.167,10.634,10.833,10.852,10.841,10.571,10.738,10.367,11.382,10.956,9.818,10.931,10.920,11.659,11.184,11.460,10.803,11.702,10.948,11.360,12.053,10.965,10.617,11.142,10.506
TMIN,AMJJAS,11.733,12.260,12.484,10.702,11.429,11.328,12.089,12.065,11.979,11.984,11.778,12.307,11.937,12.649,12.139,11.160,12.241,12.238,13.178,12.624,12.131,11.988,13.633,12.260,12.545,13.317,12.620,12.051,12.789,12.024
TMIN,ONDJFM,2.418,4.114,4.180,3.226,3.141,2.678,3.314,4.834,4.422,4.850,3.952,3.263,4.112,4.529,5.253,4.276,4.115,4.686,3.972,4.077,5.648,4.621,4.607,3.955,3.963,3.809,5.718,4.025,3.364,3.882
TMIN,NDJF,0.351,3.126,2.996,2.307,1.760,1.149,1.738,3.570,2.651,3.729,1.724,1.730,3.475,3.103,4.782,2.733,2.611,3.571,2.345,2.705,4.308,2.517,3.322,3.297,2.243,1.549,4.446,2.895,2.005,2.635
TAVG,year,12.067,12.797,12.547,11.794,11.558,11.918,11.918,12.660,13.248,13.168,12.108,12.515,12.084,13.372,12.924,11.882,13.159,12.478,12.990,13.121,12.743,13.119,13.614,12.670,12.715,13.420,12.810,12.518,13.042,11.905
TAVG,MAMJJASO,15.431,15.791,15.898,14.522,15.267,15.285,15.474,15.647,16.545,16.447,15.715,15.587,15.185,16.256,16.071,15.045,16.393,15.830,16.562,16.071,16.338,15.824,17.486,16.039,16.675,17.146,15.860,15.459,16.564,15.692
TAVG,AMJJAS,16.761,17.785,17.770,16.154,17.061,16.731,17.295,17.203,17.905,17.864,17.324,17.628,17.053,17.744,17.511,16.723,17.921,17.492,18.327,17.853,17.345,17.218,19.808,17.720,18.192,18.830,17.756,17.261,18.484,17.592
TAVG,ONDJFM,5.858,7.573,7.496,6.926,6.718,6.334,6.759,8.086,8.338,9.045,7.356,6.784,7.560,7.690,8.721,7.724,7.686,8.416,7.265,7.552,8.778,8.253,8.194,7.413,7.280,7.059,9.281,7.590,6.802,7.301
TAVG,NDJF,3.653,6.360,6.050,5.611,5.171,4.182,4.870,6.667,6.214,7.397,4.729,5.054,6.674,6.021,7.876,5.680,5.647,6.915,5.380,5.800,7.265,5.720,6.257,6.487,5.119,4.453,7.740,6.351,4.954,5.587
RH,year,76.538,74.482,74.271,73.944,73.171,75.446,77.290,77.550,71.848,72.079,74.522,77.251,75.102,77.075,74.612,74.078,73.592,73.820,75.414,74.841,74.943,74.612,68.953,73.583,72.379,73.184,75.193,75.044,72.485,73.254
RH,MAMJJASO,74.756,70.505,71.656,70.313,69.877,72.405,74.062,75.091,67.790,67.020,70.891,74.612,71.972,73.379,71.157,69.296,69.040,70.542,72.064,71.348,71.902,70.687,63.147,69.155,68.052,68.989,72.117,71.756,68.040,68.079
RH,AMJJAS,73.096,67.738,70.033,68.221,68.777,70.052,72.584,73.630,66.243,65.051,67.990,72.438,71.109,71.926,69.192,67.236,67.762,68.741,70.253,69.636,69.176,69.469,60.463,66.871,65.806,66.304,70.575,69.739,66.711,66.799
RH,ONDJFM,79.954,79.575,81.267,77.767,80.009,78.402,80.994,82.420,80.380,76.229,81.161,80.688,80.483,81.600,81.316,80.134,80.347,78.280,80.910,80.042,81.322,78.656,78.183,79.617,80.201,80.166,80.135,78.684,79.889,78.912
RH,NDJF,80.175,80.897,81.483,80.006,80.709,80.860,82.613,83.228,82.642,79.262,83.054,81.292,82.509,83.281,83.873,82.201,83.055,81.583,82.033,82.097,81.689,80.554,81.924,81.777,82.321,82.363,81.798,79.602,82.716,82.735
RHmin,year,59.126,57.177,56.389,56.738,55.399,57.716,59.988,59.564,53.194,54.562,56.743,59.009,57.311,59.048,56.362,56.430,54.772,55.766,57.385,56.880,56.932,56.561,51.305,55.779,54.438,55.070,56.435,56.625,53.990,55.790
RHmin,MAMJJASO,56.728,52.273,53.185,52.347,51.151,53.794,55.583,56.397,49.115,48.785,52.444,55.820,53.536,54.309,52.007,50.480,49.318,52.505,52.963,52.632,53.156,51.709,44.998,50.612,49.299,50.409,52.429,52.675,48.710,49.530
RHmin,AMJJAS,54.679,49.365,51.687,50.433,50.102,51.650,53.659,54.592,47.793,47.086,49.583,53.041,52.262,52.976,50.379,48.591,48.257,50.477,51.317,50.733,50.687,50.545,42.696,48.294,47.217,47.689,51.049,50.506,47.480,48.120
RHmin,ONDJFM,63.385,63.086,65.161,60.610,63.061,61.820,64.476,66.388,61.856,57.741,64.589,63.138,63.515,65.362,63.946,62.805,62.778,60.009,64.002,62.521,64.792,60.687,61.108,62.103,63.269,63.116,62.118,60.279,62.486,61.968
RHmin,NDJF,63.807,64.773,66.409,63.672,64.261,65.964,66.885,67.521,64.574,61.339,67.409,64.194,65.820,67.432,67.541,66.410,66.871,63.580,65.714,65.665,65.735,63.650,66.181,64.788,66.417,66.021,64.432,61.431,66.372,66.913
PREC,year,1018.243,933.363,857.070,952.161,712.487,923.178,882.118,947.955,671.199,803.093,707.559,931.723,931.886,1034.097,939.732,865.147,815.199,870.112,1034.085,1024.337,976.431,970.366,730.637,809.502,686.148,848.331,857.926,973.826,811.545,860.407
PREC,MAMJJASO,680.957,569.428,623.610,576.854,482.559,579.557,649.715,624.054,445.945,474.392,478.822,681.975,693.026,663.830,533.807,454.764,476.632,641.647,664.948,668.413,718.954,568.735,437.024,551.216,472.377,594.957,573.118,679.033,465.115,523.559
PREC,AMJJAS,445.792,349.525,504.306,417.745,376.231,417.265,437.655,420.992,345.388,337.709,332.573,482.508,549.201,527.752,403.093,359.517,407.631,483.804,502.576,485.541,472.716,423.150,302.905,375.968,359.575,393.104,471.852,477.399,359.966,377.704
PREC,ONDJFM,234.638,540.824,567.276,428.890,465.748,410.219,404.252,627.254,329.061,361.104,442.080,343.976,395.375,556.912,582.272,404.114,438.405,427.096,466.232,465.048,698.403,370.131,510.676,486.958,349.523,429.357,455.006,392.213,434.327,488.098
PREC,NDJF,131.370,328.048,361.685,307.383,288.358,310.181,254.093,366.088,185.581,304.564,250.721,195.039,247.802,384.413,406.696,324.573,367.283,326.856,281.866,317.154,407.103,242.473,383.953,324.278,186.000,238.888,303.249,253.914,292.620,365.507
SRAD,year,4430.309,4654.189,4622.327,4587.427,4722.765,4583.722,4428.895,4474.816,4920.696,4843.026,4696.503,4461.935,4516.613,4563.912,4685.437,4624.345,4836.178,4619.281,4622.786,4642.012,4646.426,4574.946,5043.952,4705.691,4852.900,4801.696,4775.907,4674.815,4931.386,4792.854
SRAD,MAMJJASO,3802.353,4097.041,3997.457,4018.764,4115.154,3985.690,3880.261,3858.714,4278.715,4246.752,4082.483,3859.011,3923.908,3997.035,4088.341,4077.097,4246.017,3942.876,4030.017,4042.792,4015.755,4004.581,4410.113,4106.515,4205.518,4164.749,4139.663,4029.643,4326.502,4233.658
SRAD,AMJJAS,3262.645,3513.674,3360.828,3404.722,3465.684,3367.521,3321.540,3292.734,3593.157,3558.026,3497.126,3335.754,3304.960,3348.051,3416.719,3438.923,3530.380,3353.129,3401.164,3422.614,3438.234,3351.008,3696.958,3498.652,3545.366,3546.741,3466.264,3427.233,3625.360,3563.902
SRAD,ONDJFM,650.884,1188.298,1129.069,1256.216,1190.356,1248.405,1180.615,1113.866,1276.073,1357.091,1199.935,1201.593,1188.779,1157.805,1239.370,1234.474,1253.377,1326.684,1194.157,1248.664,1115.699,1318.811,1305.881,1233.646,1244.598,1258.577,1267.990,1336.035,1285.992,1254.410
SRAD,NDJF,350.579,596.602,565.123,600.802,608.476,576.398,575.338,588.787,630.781,638.747,594.732,633.782,579.988,574.313,576.289,573.342,573.275,654.790,610.025,609.217,580.413,635.905,595.959,608.599,618.964,632.960,629.647,697.743,607.252,572.388
WIND,year,3.172,3.090,3.117,3.063,2.908,3.056,2.939,3.102,2.869,3.008,2.941,2.936,2.958,2.973,2.983,2.880,2.782,2.982,3.004,2.958,2.966,3.032,2.861,2.941,2.866,2.927,2.962,2.880,2.845,2.865
WIND,MAMJJASO,3.050,2.995,3.034,2.906,2.917,2.887,2.966,2.952,2.864,2.838,2.915,2.950,2.883,2.900,2.804,2.733,2.678,3.007,2.796,2.809,2.881,2.846,2.729,2.925,2.764,2.933,2.810,2.835,2.704,2.799
WIND,AMJJAS,2.891,2.886,2.987,2.842,2.923,2.843,2.851,2.797,2.763,2.771,2.902,2.839,2.831,2.825,2.732,2.737,2.670,2.939,2.764,2.742,2.807,2.771,2.683,2.872,2.758,2.789,2.827,2.662,2.638,2.641
