Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.429,15.556,15.449,14.504,13.680,14.428,13.826,15.192,16.120,15.976,14.749,15.622,14.611,15.835,15.723,13.873,15.504,15.210,16.169,15.833,15.548,15.934,16.342,15.726,16.052,16.563,16.292,15.809,15.936,14.408
TMAX,MAMJJASO,18.311,19.268,19.000,17.519,17.739,17.984,17.512,18.065,19.563,19.243,18.594,19.096,18.205,19.034,19.687,17.970,19.324,18.496,19.873,19.084,19.123,19.350,20.306,19.367,19.789,20.362,19.685,19.142,19.967,19.032
TMAX,AMJJAS,20.062,21.195,20.883,19.017,19.522,19.526,19.354,19.871,20.955,20.490,19.904,21.463,20.060,20.913,21.353,19.800,21.101,20.329,21.778,20.865,20.664,21.243,22.618,21.129,21.226,22.490,21.436,21.209,22.120,20.827
TMAX,ONDJFM,8.090,8.612,10.171,9.556,8.727,8.161,8.955,10.229,11.084,11.701,10.128,9.799,9.694,9.123,10.995,8.250,9.350,10.743,9.669,10.585,10.078,11.503,10.008,10.060,10.162,9.910,12.673,10.582,9.267,9.202
TMAX,NDJF,5.879,6.725,8.419,7.881,6.630,5.774,7.164,8.746,9.337,9.712,7.193,7.909,8.395,7.216,10.015,5.421,6.607,9.152,7.859,9.001,8.608,9.087,7.804,8.859,8.145,7.597,10.793,9.305,7.156,6.826
TMIN,year,6.983,7.429,7.498,7.101,6.251,6.387,6.570,8.013,7.708,7.754,6.787,7.925,7.075,7.965,7.512,5.953,7.390,7.873,8.061,8.380,7.825,8.038,7.046,7.642,7.781,8.386,8.310,7.793,7.520,6.240
TMIN,MAMJJASO,9.779,9.862,9.938,8.981,9.313,8.690,9.056,9.855,9.928,9.531,9.330,10.103,9.376,10.022,10.120,8.589,9.782,10.241,10.437,10.362,10.407,10.170,9.372,9.974,10.018,10.721,10.339,9.903,9.947,9.293
TMIN,AMJJAS,10.868,11.017,11.283,10.020,10.589,9.740,10.530,11.049,10.630,10.278,10.236,11.717,10.822,11.389,11.333,9.857,11.037,11.467,11.686,11.424,11.202,11.706,11.176,11.239,10.947,12.032,11.732,11.300,11.382,10.447
TMIN,ONDJFM,2.658,2.380,4.505,3.246,2.741,2.318,2.749,4.820,5.113,5.206,3.720,3.978,3.712,3.582,4.720,1.989,3.225,4.558,3.975,4.658,4.631,5.162,3.102,3.619,4.020,3.839,6.419,4.385,3.267,3.164
TMIN,NDJF,0.957,0.957,3.336,2.310,0.871,0.786,1.778,4.078,4.046,3.850,1.809,2.789,3.397,2.187,4.525,0.122,1.427,3.827,2.637,3.588,3.633,3.502,1.971,3.464,2.755,2.457,5.469,3.735,2.017,1.801
