Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.776,15.860,16.492,14.619,15.245,15.390,15.167,16.085,16.490,16.540,15.309,16.873,16.185,17.268,15.831,14.650,16.128,16.551,16.303,17.930,16.840,17.176,17.668,15.949,15.770,16.902,17.624,17.111,17.134,15.715
TMAX,MAMJJASO,20.640,20.453,21.553,19.053,20.365,20.411,19.886,20.587,20.655,20.871,20.141,21.401,21.017,21.662,20.380,19.313,20.610,21.060,21.364,22.525,21.900,21.481,23.112,20.522,20.756,21.662,22.205,21.390,22.261,20.572
TMAX,AMJJAS,22.401,22.983,23.783,21.046,22.927,23.007,22.860,22.952,21.988,22.350,22.373,24.232,23.495,23.846,22.372,21.864,22.886,23.435,23.502,24.871,23.568,23.426,26.250,22.763,23.016,24.037,24.904,23.550,24.967,23.294
TMAX,ONDJFM,7.415,8.493,9.724,7.904,7.515,7.583,7.728,9.400,10.074,11.455,8.951,8.881,9.171,9.726,9.615,7.689,9.314,10.126,8.712,9.376,11.156,10.495,9.571,8.792,9.169,7.821,12.381,9.622,9.381,8.799
TMAX,NDJF,4.332,5.766,7.408,5.209,4.657,5.049,5.556,7.515,7.124,8.547,5.593,6.889,7.315,6.504,8.266,4.668,6.640,8.693,5.591,6.409,8.763,6.769,6.617,7.208,6.370,5.063,10.221,7.782,6.345,6.189
TMIN,year,5.938,6.730,6.244,5.927,5.613,5.910,6.128,6.614,6.768,6.679,6.162,7.319,6.876,8.089,6.914,6.354,6.772,6.973,7.319,7.903,7.211,8.090,7.080,6.779,6.499,7.090,7.482,7.799,7.495,6.915
TMIN,MAMJJASO,10.223,10.352,10.242,9.091,9.636,9.790,9.817,10.135,10.187,9.952,10.133,10.706,10.585,11.321,10.360,9.857,9.852,10.712,11.586,11.310,11.143,11.311,11.067,10.318,10.443,10.660,10.816,11.010,11.207,10.566
TMIN,AMJJAS,11.536,12.166,12.295,10.544,11.500,11.924,12.042,11.927,11.957,11.339,11.849,12.760,12.387,13.250,12.102,11.822,11.790,12.800,13.411,12.863,12.218,13.131,13.514,11.874,12.453,12.549,12.704,12.936,13.379,12.717
TMIN,ONDJFM,-1.885,0.283,1.802,-0.027,0.223,0.214,-0.664,2.297,1.343,1.610,1.192,0.939,1.338,2.557,2.076,0.740,1.899,1.889,0.866,0.938,4.163,1.710,1.525,1.051,1.168,0.574,3.745,1.617,1.833,1.492
TMIN,NDJF,-4.716,-2.237,-0.115,-1.815,-2.437,-1.453,-1.999,0.853,-1.132,-0.057,-1.472,-0.611,-0.093,0.118,1.207,-1.136,0.144,1.112,-1.807,-1.471,2.242,-1.175,-0.363,-0.087,-1.001,-1.519,2.211,0.150,0.019,-0.179
TAVG,year,10.555,10.958,11.027,9.996,10.095,10.306,10.347,10.987,11.152,11.248,10.381,11.738,11.167,12.279,10.962,10.191,11.088,11.397,11.442,12.584,11.699,12.253,11.946,10.997,10.755,11.675,12.182,12.062,11.970,11.043
TAVG,MAMJJASO,15.131,15.057,15.548,13.769,14.646,14.752,14.549,15.001,14.973,15.082,14.785,15.706,15.417,16.076,14.905,14.250,14.833,15.545,16.068,16.595,16.178,15.975,16.642,15.036,15.218,15.831,16.142,15.788,16.338,15.265
TAVG,AMJJAS,16.702,17.239,17.767,15.545,16.914,17.161,17.168,17.121,16.611,16.589,16.822,18.165,17.602,18.199,16.824,16.538,16.988,17.829,18.084,18.595,17.600,17.883,19.478,16.940,17.384,17.987,18.498,17.879,18.807,17.754
TAVG,ONDJFM,2.464,4.013,5.446,3.592,3.560,3.538,3.115,5.514,5.188,5.931,4.674,4.483,4.851,5.802,5.407,3.848,5.231,5.586,4.419,4.747,7.372,5.618,5.185,4.536,4.754,3.875,7.658,5.184,5.232,4.830
