Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,8.144,9.195,9.297,9.132,7.248,8.510,7.609,9.150,10.325,10.269,9.412,9.701,8.912,9.318,9.067,8.784,9.876,8.662,9.583,10.268,9.255,10.106,10.158,9.807,10.272,10.692,10.178,10.127,9.594,8.156
TMAX,MAMJJASO,13.128,13.617,13.683,13.538,12.998,13.401,12.334,13.727,14.293,14.381,13.532,13.416,13.014,14.036,13.694,13.574,14.314,12.782,14.258,14.188,13.693,15.270,14.773,14.270,14.497,14.898,14.886,14.042,14.334,14.000
TMAX,AMJJAS,16.134,16.082,16.314,16.277,15.262,15.644,14.616,16.811,16.742,16.557,15.978,16.372,15.481,16.896,15.902,15.982,17.181,15.189,16.945,16.395,16.374,18.734,17.476,16.880,17.028,18.288,16.963,16.699,17.478,16.774
TMAX,ONDJFM,-1.070,0.507,2.863,1.434,0.284,0.455,0.467,1.985,3.454,3.588,2.693,4.101,2.493,0.644,3.038,1.362,2.628,2.268,1.424,3.283,2.908,3.207,1.174,2.546,2.986,2.614,4.034,3.729,2.362,0.648
TMAX,NDJF,-1.805,-2.318,1.344,-0.523,-2.396,-3.179,-1.948,0.131,1.712,1.570,0.527,2.713,1.524,-1.670,1.565,-1.518,0.321,0.797,-0.830,1.481,1.241,0.978,-1.194,0.752,1.546,0.996,1.815,2.281,0.341,-1.549
TMIN,year,-0.170,1.166,1.386,1.618,-0.769,0.580,-0.038,1.363,2.462,2.706,1.925,2.071,1.292,1.044,1.324,0.734,1.807,1.529,1.781,2.838,1.546,1.871,1.770,1.819,2.103,2.431,2.226,2.292,1.831,0.078
TMIN,MAMJJASO,4.184,4.952,5.373,5.078,4.677,4.891,4.273,5.048,5.464,5.744,5.301,4.855,4.405,4.798,5.255,4.760,5.143,4.880,5.562,5.708,5.148,5.847,5.669,5.551,5.121,5.399,5.947,5.091,5.411,5.145
TMIN,AMJJAS,6.616,6.441,7.360,7.270,6.379,6.397,6.138,7.422,7.072,7.371,7.002,7.031,6.315,6.917,6.697,6.510,7.186,6.951,7.398,7.302,7.422,8.454,7.737,7.476,7.412,8.134,7.572,6.981,7.708,7.415
TMIN,ONDJFM,-9.136,-6.106,-3.657,-5.383,-5.889,-6.610,-6.508,-3.458,-3.066,-2.472,-3.382,-1.790,-3.804,-5.728,-2.820,-5.483,-3.931,-3.708,-4.400,-3.206,-2.749,-3.233,-5.380,-4.163,-3.732,-4.080,-2.273,-2.146,-3.763,-5.538
TMIN,NDJF,-9.313,-9.365,-5.361,-7.101,-8.895,-10.339,-8.739,-5.135,-4.770,-4.047,-5.380,-3.161,-4.342,-7.726,-4.212,-8.080,-6.262,-4.614,-6.548,-4.670,-3.778,-5.098,-7.818,-5.590,-4.653,-4.808,-4.121,-3.005,-5.653,-7.166
TAVG,year,3.998,5.193,5.345,5.383,3.218,4.517,3.737,5.272,6.399,6.466,5.630,5.891,5.050,5.176,5.138,4.713,5.859,5.022,5.656,6.486,5.359,5.984,5.927,5.764,6.139,6.537,6.155,6.221,5.668,4.064
TAVG,MAMJJASO,8.615,9.242,9.476,9.272,8.769,9.060,8.201,9.361,9.835,9.989,9.318,9.103,8.611,9.391,9.356,9.063,9.719,8.696,9.845,9.822,9.360,10.513,10.127,9.801,9.705,10.090,10.305,9.528,9.802,9.448
TAVG,AMJJAS,11.322,11.218,11.756,11.718,10.766,10.921,10.260,12.103,11.880,11.895,11.394,11.679,10.784,11.894,11.162,11.146,12.201,10.926,12.107,11.681,11.833,13.557,12.537,12.083,12.136,13.172,12.196,11.806,12.531,11.963
TAVG,ONDJFM,-4.999,-2.747,-0.317,-1.879,-2.771,-3.030,-3.012,-0.705,0.246,0.598,-0.360,1.185,-0.614,-2.531,0.128,-2.062,-0.620,-0.729,-1.467,0.057,0.079,0.015,-2.106,-0.818,-0.375,-0.754,0.857,0.812,-0.688,-2.432
TAVG,NDJF,-5.445,-5.724,-1.879,-3.700,-5.585,-6.632,-5.296,-2.450,-1.393,-1.145,-2.388,-0.136,-1.330,-4.663,-1.235,-4.753,-2.878,-1.864,-3.625,-1.536,-1.264,-1.982,-4.446,-2.348,-1.490,-1.860,-1.084,-0.272,-2.614,-4.280
RH,year,77.202,77.843,77.650,77.768,77.376,75.145,75.261,75.686,75.018,74.268,75.604,74.247,76.211,72.958,74.826,75.968,73.611,78.238,77.183,77.663,76.740,75.894,75.475,76.876,76.568,76.467,76.752,77.655,77.665,77.954
RH,MAMJJASO,75.576,75.661,76.228,75.498,75.752,73.532,73.644,73.899,72.783,71.029,74.061,71.582,74.030,69.258,72.005,73.059,69.327,76.073,74.575,74.630,74.763,72.635,72.444,74.233,73.233,73.567,73.167,74.477,74.149,75.376
RH,AMJJAS,74.719,74.300,75.670,75.017,75.047,72.169,72.872,72.970,70.938,70.237,71.927,70.003,73.440,67.671,70.578,71.687,67.834,75.434,72.383,74.068,73.158,71.176,71.537,72.287,72.175,71.699,71.767,72.414,71.982,74.510
RH,ONDJFM,77.669,80.990,80.831,79.395,80.823,79.486,76.654,79.899,78.033,77.720,79.067,78.746,77.881,79.702,78.647,79.150,78.821,80.973,82.862,78.635,82.693,81.026,79.185,80.931,80.710,80.540,82.500,82.456,83.053,82.881
RH,NDJF,79.894,81.139,81.695,81.154,81.853,80.370,76.487,81.386,78.210,80.385,79.157,78.958,79.663,81.723,80.684,80.866,80.806,83.676,83.309,81.085,84.209,81.631,81.293,82.622,82.128,82.547,83.698,84.267,84.055,84.775
RHmin,year,59.677,60.928,60.879,61.929,60.049,58.752,59.202,59.846,59.335,59.066,60.089,59.190,60.283,56.855,58.894,59.304,58.002,62.878,61.058,62.102,60.767,59.461,58.546,60.314,59.797,59.976,60.463,61.690,61.610,60.620
RHmin,MAMJJASO,57.693,58.371,59.422,58.631,58.817,56.797,57.503,57.100,56.103,54.713,57.742,55.757,56.969,52.768,55.737,55.941,52.897,59.805,57.728,57.814,58.062,55.080,55.134,57.258,55.115,55.769,56.089,57.303,56.947,57.537
RHmin,AMJJAS,56.237,55.753,58.032,57.517,57.481,54.555,56.332,55.489,53.516,53.459,54.910,53.604,55.769,50.606,53.433,53.972,50.751,58.959,54.744,56.305,56.295,52.848,53.705,54.781,54.250,53.655,54.490,54.611,54.037,56.226
RHmin,ONDJFM,59.507,65.093,65.558,63.617,65.912,62.869,60.899,66.987,63.339,63.987,64.795,65.091,63.524,64.635,65.051,63.120,63.835,66.914,68.582,63.903,69.191,66.032,64.051,65.155,65.105,64.887,67.634,68.467,68.150,67.915
RHmin,NDJF,62.122,64.171,65.940,65.283,65.786,63.243,60.918,68.524,63.689,66.994,65.173,65.311,65.833,66.714,66.883,64.906,65.344,70.465,69.028,66.462,71.528,67.222,65.565,67.361,67.185,68.321,69.274,71.233,69.137,70.646
PREC,year,725.703,612.605,692.484,685.620,759.083,685.483,743.552,707.678,633.700,726.300,643.353,712.830,736.676,607.775,674.981,607.082,621.345,835.382,730.497,889.614,767.996,622.878,635.859,701.388,697.753,754.439,704.696,750.154,703.122,685.909
PREC,MAMJJASO,518.074,428.908,519.398,500.750,569.407,487.328,562.376,488.397,437.647,475.398,469.978,503.954,521.451,416.512,504.334,440.840,424.687,645.807,491.214,615.311,588.997,427.493,458.714,527.367,490.217,525.074,467.092,507.314,496.779,518.998
PREC,AMJJAS,355.618,336.891,390.858,353.503,471.273,385.190,462.442,394.669,333.786,385.905,376.663,408.320,421.887,313.208,387.844,355.980,337.180,503.341,392.494,472.231,487.138,326.427,385.356,426.573,421.858,367.246,403.379,374.592,414.095,431.934
PREC,ONDJFM,136.812,334.685,299.824,293.453,321.490,294.226,295.944,357.195,291.761,327.016,267.031,262.663,307.195,333.879,333.458,155.263,335.162,307.736,335.534,308.839,410.502,337.761,211.974,275.729,283.282,248.813,436.714,334.062,302.957,296.810
PREC,NDJF,74.945,186.102,207.800,188.184,154.471,190.011,203.582,255.452,183.348,244.744,165.978,173.234,229.759,209.419,220.639,83.081,226.068,223.720,186.605,218.799,269.420,221.946,133.665,185.684,199.522,169.614,278.447,252.517,191.623,205.637
SRAD,year,2767.287,3099.263,2734.019,2818.327,2994.033,3071.787,2926.338,3159.847,3206.575,3144.930,3085.375,3212.932,3134.871,3289.682,3147.194,3170.054,3341.855,2854.027,3182.181,3022.327,3100.627,3348.610,3304.109,3203.455,3270.945,3316.304,3214.787,3294.230,3266.774,3146.596
SRAD,MAMJJASO,2635.718,2971.303,2594.623,2701.141,2857.135,2924.516,2768.662,3034.183,3064.356,3027.019,2940.023,3074.859,2996.737,3145.999,3010.138,3030.540,3213.523,2729.358,3054.005,2898.992,2947.725,3222.964,3159.499,3050.609,3127.837,3176.946,3081.030,3161.742,3146.754,3021.281
SRAD,AMJJAS,2366.711,2702.931,2337.862,2405.179,2583.638,2649.392,2458.749,2741.458,2775.393,2703.387,2658.082,2785.612,2667.355,2823.356,2716.406,2688.967,2873.051,2410.909,2764.723,2585.582,2625.472,2897.809,2801.063,2726.963,2749.179,2853.929,2723.265,2840.487,2827.850,2693.929
SRAD,ONDJFM,271.884,389.496,396.175,430.650,375.082,423.258,482.520,388.520,438.228,446.739,438.711,420.391,474.122,448.016,439.290,499.541,463.042,441.471,414.617,471.435,442.660,452.181,485.928,476.587,511.071,498.015,462.470,466.933,440.245,445.888
SRAD,NDJF,87.700,129.256,133.856,128.051,132.616,145.385,157.548,110.719,152.035,121.717,148.909,137.961,145.376,133.874,131.475,149.540,131.995,118.481,128.791,136.366,128.907,137.389,146.623,136.309,154.713,136.852,133.718,135.083,132.531,113.871
WIND,year,2.634,2.780,2.930,2.719,2.695,2.874,2.803,2.809,2.888,2.916,2.753,2.872,2.881,2.687,2.704,2.386,2.522,2.298,2.280,2.340,2.231,2.153,2.242,2.235,2.279,2.208,2.355,2.296,2.163,2.070
WIND,MAMJJASO,2.514,2.784,2.822,2.656,2.745,2.842,2.859,2.736,2.705,2.825,2.678,2.763,2.734,2.724,2.669,2.381,2.589,2.308,2.229,2.336,2.158,2.146,2.289,2.239,2.231,2.096,2.389,2.197,2.233,2.206
WIND,AMJJAS,2.442,2.725,2.658,2.581,2.689,2.720,2.748,2.714,2.625,2.608,2.692,2.695,2.633,2.605,2.556,2.332,2.487,2.215,2.218,2.189,2.219,2.081,2.210,2.235,2.255,2.114,2.415,2.084,2.242,2.116
WIND,ONDJFM,2.874,2.780,3.049,3.082,2.682,2.801,3.012,2.907,3.251,3.209,2.783,3.064,3.135,2.848,2.968,2.463,2.691,2.365,2.163,2.666,2.095,2.460,2.147,2.183,2.345,2.198,2.390,2.495,2.216,1.995
WIND,NDJF,2.925,2.698,3.140,3.028,2.575,2.652,2.999,2.792,3.385,3.079,2.808,3.141,3.225,2.686,2.922,2.414,2.591,2.251,2.053,2.690,2.027,2.557,1.950,2.119,2.522,2.196,2.484,2.547,2.078,1.888
VPD,year,0.238,0.260,0.258,0.252,0.232,0.276,0.251,0.279,0.306,0.308,0.275,0.317,0.257,0.331,0.291,0.267,0.322,0.230,0.279,0.260,0.266,0.312,0.296,0.272,0.284,0.308,0.287,0.280,0.275,0.247
VPD,MAMJJASO,0.311,0.340,0.331,0.327,0.311,0.359,0.327,0.362,0.393,0.400,0.350,0.409,0.327,0.442,0.384,0.355,0.430,0.298,0.370,0.338,0.344,0.420,0.393,0.356,0.374,0.407,0.385,0.367,0.372,0.336
VPD,AMJJAS,0.365,0.398,0.383,0.380,0.356,0.416,0.372,0.426,0.461,0.455,0.414,0.490,0.377,0.524,0.445,0.414,0.508,0.342,0.441,0.388,0.412,0.504,0.457,0.423,0.435,0.499,0.443,0.441,0.450,0.393
VPD,ONDJFM,0.108,0.108,0.126,0.129,0.110,0.119,0.135,0.131,0.150,0.161,0.141,0.149,0.143,0.117,0.146,0.126,0.138,0.120,0.104,0.146,0.109,0.129,0.126,0.120,0.125,0.123,0.127,0.125,0.108,0.094
VPD,NDJF,0.090,0.084,0.108,0.103,0.081,0.081,0.113,0.101,0.132,0.120,0.118,0.136,0.124,0.088,0.117,0.090,0.103,0.091,0.083,0.114,0.090,0.108,0.089,0.096,0.107,0.098,0.098,0.103,0.086,0.068
FWI_FD,year,1.225,1.522,1.506,1.285,0.903,1.379,1.042,1.349,1.917,1.666,1.434,2.333,1.217,2.303,1.492,1.461,2.019,0.668,1.303,1.090,1.012,1.867,1.474,1.201,1.282,1.727,1.437,1.396,1.269,0.995
FWI_FD,MAMJJASO,1.757,2.154,2.090,1.814,1.276,1.948,1.445,1.909,2.598,2.388,1.983,3.283,1.637,3.323,2.113,2.068,2.842,0.926,1.844,1.523,1.391,2.689,2.083,1.695,1.838,2.479,2.067,1.998,1.829,1.435
FWI_FD,AMJJAS,2.282,2.677,2.653,2.328,1.491,2.348,1.667,2.402,3.075,2.851,2.501,4.161,1.957,4.231,2.627,2.561,3.541,1.089,2.349,1.822,1.771,3.370,2.412,2.170,2.107,3.231,2.480,2.585,2.342,1.669
FWI_FD,ONDJFM,0.189,0.193,0.360,0.364,0.185,0.350,0.402,0.353,0.495,0.710,0.420,0.444,0.529,0.306,0.362,0.477,0.420,0.318,0.194,0.462,0.190,0.270,0.589,0.276,0.257,0.447,0.275,0.309,0.204,0.168
FWI_FD,NDJF,0.166,0.175,0.239,0.289,0.194,0.164,0.214,0.164,0.512,0.258,0.290,0.434,0.353,0.204,0.214,0.334,0.230,0.219,0.124,0.345,0.123,0.221,0.261,0.166,0.197,0.170,0.137,0.209,0.159,0.097
FWI_3+,year,9.938,16.264,18.903,13.273,5.748,15.892,7.913,16.256,24.223,19.239,11.403,36.255,10.461,35.318,16.812,11.689,29.195,3.680,10.420,7.826,9.038,23.761,11.602,10.491,9.166,26.955,16.102,17.097,13.181,6.404
FWI_3+,MAMJJASO,9.899,16.032,18.640,12.988,5.732,15.657,7.727,16.106,23.362,19.148,10.921,35.139,9.623,35.146,16.470,11.346,28.422,3.570,10.345,7.390,8.763,23.432,11.216,10.108,9.120,26.628,15.738,16.812,12.995,6.361
FWI_3+,AMJJAS,9.722,15.629,18.563,12.927,5.658,15.225,7.275,15.992,21.997,18.501,10.685,34.892,9.194,35.051,16.304,11.216,28.132,3.322,10.190,6.847,8.713,23.003,10.912,10.067,8.413,26.521,14.754,16.674,12.888,5.969
FWI_3+,ONDJFM,0.164,0.325,0.529,0.389,0.152,0.284,0.512,0.618,0.905,1.937,0.715,1.224,1.251,0.636,0.393,0.658,0.456,0.935,0.226,0.885,0.398,0.550,0.930,0.243,0.547,0.704,0.995,0.737,0.451,0.140
FWI_3+,NDJF,0.019,0.235,0.144,0.327,0.111,0.172,0.089,0.166,0.818,0.225,0.382,1.009,0.900,0.293,0.237,0.514,0.357,0.469,0.082,0.483,0.181,0.229,0.545,0.198,0.267,0.167,0.181,0.482,0.264,0.117
FWI_4+,year,0.118,0.794,0.624,1.255,0.143,0.858,0.244,0.371,1.023,1.412,0.431,13.201,0.720,4.741,0.458,0.176,2.112,0.130,0.290,0.639,0.187,2.040,0.969,0.308,0.609,1.094,2.003,1.877,0.504,0.299
