Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.500,14.614,14.681,13.209,13.058,13.591,12.759,14.319,15.275,15.073,14.061,14.917,14.043,15.237,14.306,12.650,14.612,14.373,15.035,15.392,14.438,14.927,15.628,14.424,14.726,15.290,15.393,15.029,14.893,13.354
TMAX,MAMJJASO,18.371,19.235,19.253,17.185,18.054,18.204,17.290,18.310,19.534,19.235,18.660,19.245,18.513,19.349,18.975,17.438,19.132,18.590,19.733,19.491,18.962,19.115,20.610,18.956,19.583,19.946,19.707,18.967,19.697,18.675
TMAX,AMJJAS,20.449,21.648,21.734,19.090,20.437,20.360,19.820,20.855,21.195,20.782,20.601,22.149,21.018,21.616,21.024,19.803,21.401,20.937,22.105,21.798,20.758,21.410,23.605,21.118,21.662,22.536,22.029,21.435,22.643,21.029
TMAX,ONDJFM,5.509,6.381,8.039,6.923,6.111,6.049,6.133,7.741,8.924,9.863,7.837,7.683,7.378,7.431,8.577,5.769,7.261,8.612,7.176,7.938,8.666,8.917,7.492,7.561,7.469,6.752,10.746,8.183,6.961,6.769
TMAX,NDJF,2.375,3.830,6.070,4.795,3.363,3.270,4.070,6.173,6.361,7.379,4.535,5.541,5.795,5.048,7.289,2.597,4.274,6.894,4.734,5.769,6.804,5.822,4.787,6.112,4.879,3.927,8.612,6.590,4.541,4.371
TMIN,year,5.440,5.824,5.988,5.327,4.597,5.066,4.879,6.278,6.244,6.248,5.217,6.245,5.571,6.770,5.910,4.507,5.713,6.204,6.500,6.948,6.159,6.572,5.798,5.814,5.710,6.237,6.413,6.125,5.734,4.657
TMIN,MAMJJASO,9.093,9.019,9.298,8.006,8.416,8.450,8.111,8.891,9.147,8.875,8.397,9.067,8.657,9.425,9.222,7.896,8.660,9.329,9.652,9.716,9.475,9.455,9.112,8.775,8.834,9.415,8.983,8.729,8.948,8.306
TMIN,AMJJAS,10.466,10.653,11.004,9.572,10.148,10.041,10.231,10.511,10.409,10.109,9.851,11.100,10.576,11.213,10.782,9.663,10.279,10.996,11.425,11.116,10.656,11.314,11.422,10.385,10.462,11.284,10.791,10.443,10.842,10.157
TMIN,ONDJFM,-0.940,-0.189,1.981,0.217,-0.337,-0.469,-0.604,2.132,2.378,2.279,1.085,1.064,0.766,1.419,1.837,-0.512,0.772,1.726,1.151,1.780,2.408,1.945,0.550,0.814,0.934,0.065,3.497,1.489,0.491,0.295
TMIN,NDJF,-3.441,-2.096,0.545,-1.054,-2.695,-2.454,-1.828,1.289,0.825,0.604,-0.982,-0.148,0.000,-0.284,1.558,-2.779,-1.275,0.827,-0.684,0.367,0.945,-0.108,-1.076,0.217,-0.548,-1.650,2.507,0.624,-1.172,-1.140
