Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,20.759,20.173,20.593,19.297,20.526,19.951,20.477,20.210,21.122,20.805,20.082,20.067,19.431,21.110,21.412,19.951,21.034,20.798,20.555,20.839,20.831,20.666,21.167,20.667,20.971,21.462,20.590,20.399,21.540,20.218
TMAX,MAMJJASO,24.208,24.082,24.359,22.922,24.711,23.960,24.541,23.891,24.883,24.850,24.185,23.685,22.916,24.995,25.192,23.753,24.971,24.501,24.736,24.658,25.120,24.146,25.582,24.535,25.598,25.957,24.198,24.087,25.848,24.549
TMAX,AMJJAS,25.849,26.420,25.863,25.132,26.760,25.966,27.004,25.461,26.482,27.081,26.856,26.077,25.235,26.806,26.841,25.735,26.074,26.165,27.035,26.632,26.938,25.954,28.128,26.764,27.875,28.098,26.272,26.120,27.599,27.041
TMAX,ONDJFM,13.412,15.514,13.955,14.221,13.735,14.254,14.355,14.256,15.327,15.889,13.248,13.759,14.131,14.158,15.481,14.995,15.662,15.740,14.552,14.602,14.759,14.909,14.749,14.197,14.258,14.060,15.257,15.398,14.096,14.537
TMAX,NDJF,11.702,13.956,11.860,12.515,12.010,11.632,12.177,12.536,13.029,13.868,11.215,12.130,12.935,12.323,13.845,12.790,13.006,13.198,12.676,12.481,12.714,12.526,12.452,13.040,11.830,11.491,13.373,13.811,11.616,12.266
TMIN,year,8.680,8.912,8.696,7.852,8.452,8.220,8.997,8.535,9.545,9.119,8.423,8.291,7.933,8.975,9.468,8.860,9.779,8.978,8.933,8.872,9.250,9.443,9.803,9.050,8.751,9.913,8.729,8.909,9.539,9.136
TMIN,MAMJJASO,11.503,11.399,11.361,10.163,11.193,11.044,11.743,11.079,11.943,12.099,11.350,11.079,10.602,11.652,11.816,11.145,12.259,11.755,12.274,11.578,12.458,11.754,12.873,11.914,12.329,13.191,11.560,11.600,12.419,12.006
TMIN,AMJJAS,12.689,13.138,12.795,11.835,12.858,12.415,13.363,12.541,13.342,13.643,12.940,12.756,12.199,12.876,13.200,12.681,13.488,13.395,13.806,13.207,13.348,12.975,14.557,13.432,13.925,14.547,13.244,13.218,13.900,13.866
TMIN,ONDJFM,2.237,5.305,3.768,4.470,4.015,4.219,4.114,4.923,4.264,6.260,4.049,3.227,4.036,4.267,5.091,5.931,5.309,6.122,3.610,4.044,5.775,4.639,5.560,4.989,3.605,4.394,5.600,4.379,4.085,5.309
TMIN,NDJF,0.399,4.509,2.288,3.708,3.303,2.901,2.392,4.137,2.513,5.514,2.086,1.910,2.954,2.998,3.967,4.880,4.406,4.793,2.119,2.211,4.411,2.451,4.199,3.988,1.543,2.292,4.326,3.155,2.547,3.981
