Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.910,13.593,13.630,13.600,12.470,12.404,12.682,13.377,14.290,14.313,13.297,13.418,12.966,13.548,14.312,12.978,14.364,13.737,14.176,13.792,13.646,14.053,14.664,14.132,14.074,14.512,14.361,13.706,13.912,13.033
TMAX,MAMJJASO,15.723,16.396,16.213,16.390,15.330,15.047,15.386,15.728,17.021,17.046,16.250,16.016,15.403,15.926,17.397,15.977,17.123,16.035,16.945,16.391,16.397,16.525,17.602,16.659,16.901,17.452,16.880,16.161,16.982,16.693
TMAX,AMJJAS,17.340,18.075,17.814,18.208,16.743,16.236,17.170,17.162,18.433,18.317,17.644,17.890,16.963,17.299,18.989,17.600,18.529,17.390,18.429,17.825,17.753,17.984,19.308,18.301,18.195,19.300,18.163,17.811,18.350,18.290
TMAX,ONDJFM,8.159,8.299,9.105,8.886,8.668,8.009,8.768,9.053,10.366,10.375,9.031,9.390,9.117,8.460,10.093,8.727,9.421,10.561,9.718,9.992,8.864,10.696,9.823,9.781,9.940,9.247,10.889,10.276,9.101,8.799
TMAX,NDJF,6.966,7.163,7.951,8.013,7.319,6.179,7.728,8.035,9.386,8.782,7.043,8.286,8.375,7.288,9.377,7.170,7.374,9.502,8.582,8.636,7.743,9.104,8.368,8.875,8.902,7.874,9.568,9.283,7.572,6.898
TMIN,year,5.530,5.958,6.261,5.806,5.303,5.145,5.507,6.204,6.345,6.553,5.949,6.100,5.816,6.389,6.345,5.624,6.667,6.666,6.747,6.510,6.168,6.847,6.464,6.895,6.786,7.067,6.849,6.415,6.546,5.233
TMIN,MAMJJASO,7.779,7.985,8.089,7.579,7.640,7.066,7.433,7.936,8.154,8.307,8.225,8.081,7.562,7.981,8.454,7.681,8.455,8.495,8.767,8.295,8.419,8.439,8.487,8.779,8.938,9.120,8.617,8.347,8.804,8.088
TMIN,AMJJAS,8.958,9.143,9.148,8.615,8.774,7.977,8.813,8.947,8.992,8.922,9.128,9.457,8.821,8.985,9.481,8.616,9.493,9.501,9.870,9.288,9.245,9.623,10.023,10.045,9.636,10.317,9.693,9.719,9.891,9.301
TMIN,ONDJFM,1.895,1.715,3.113,2.863,2.365,1.917,2.385,3.210,3.850,4.064,2.995,3.276,2.865,2.511,3.700,2.989,3.087,4.382,3.387,3.664,2.831,4.107,3.412,3.215,3.978,3.300,4.587,3.559,2.830,2.467
TMIN,NDJF,0.814,0.934,2.062,2.147,1.433,0.532,1.565,2.645,3.197,2.864,1.296,2.178,2.538,1.588,3.548,1.700,1.489,3.810,2.517,2.673,2.085,2.583,2.859,2.828,3.136,1.989,3.746,2.773,1.918,1.079
TAVG,year,9.049,9.626,9.789,9.543,8.748,8.636,8.962,9.658,10.160,10.262,9.499,9.621,9.228,9.820,10.165,9.150,10.360,10.060,10.307,10.023,9.748,10.326,10.427,10.359,10.374,10.726,10.546,9.992,10.185,8.998
TAVG,MAMJJASO,11.590,12.071,12.017,11.839,11.357,10.922,11.293,11.698,12.428,12.521,12.123,11.927,11.355,11.822,12.780,11.674,12.649,12.156,12.734,12.216,12.285,12.379,12.943,12.618,12.872,13.226,12.692,12.191,12.861,12.285
TAVG,AMJJAS,13.006,13.474,13.338,13.263,12.604,11.962,12.876,12.918,13.551,13.471,13.271,13.530,12.766,13.021,14.101,12.961,13.867,13.337,14.035,13.404,13.395,13.717,14.559,14.066,13.868,14.751,13.879,13.700,14.105,13.687
TAVG,ONDJFM,4.808,4.848,5.931,5.700,5.352,4.861,5.416,6.011,6.937,7.051,5.875,6.181,5.816,5.317,6.681,5.712,6.085,7.305,6.357,6.683,5.715,7.162,6.477,6.335,6.829,6.191,7.673,6.836,5.907,5.521
TAVG,NDJF,3.692,3.875,4.787,4.870,4.201,3.228,4.454,5.217,6.126,5.638,4.037,5.047,5.251,4.230,6.260,4.270,4.263,6.471,5.319,5.493,4.784,5.557,5.455,5.658,5.829,4.850,6.587,5.945,4.682,3.869
RH,year,83.497,82.457,82.343,81.334,83.173,82.245,83.038,82.417,80.621,80.458,82.781,82.263,82.526,82.131,80.569,81.030,82.283,82.782,82.172,82.871,82.187,82.664,79.976,82.195,81.588,81.208,82.898,82.633,82.779,81.470
RH,MAMJJASO,82.590,80.483,81.555,78.879,82.466,81.430,81.751,81.371,78.588,78.174,81.450,80.575,81.180,80.110,78.207,79.103,80.233,81.778,81.188,81.639,80.704,80.958,77.647,80.780,80.207,79.413,81.655,81.154,80.708,79.057
RH,AMJJAS,81.759,79.384,80.860,77.395,81.885,80.620,81.047,80.787,77.037,77.111,80.108,79.687,81.261,79.403,76.736,77.833,79.615,81.580,80.788,81.234,79.490,80.407,77.235,80.095,78.970,78.139,81.054,81.012,79.970,78.199
RH,ONDJFM,84.881,84.805,84.755,84.357,85.005,84.211,84.256,84.735,84.237,84.120,85.077,85.040,83.794,84.297,84.890,84.529,84.389,84.426,84.148,83.418,85.145,84.485,83.867,83.490,84.368,84.098,84.665,84.416,85.200,85.319
RH,NDJF,84.719,86.140,84.187,85.432,85.527,84.251,85.019,85.101,84.631,85.233,85.391,85.475,85.257,85.567,86.319,85.326,85.080,85.655,85.033,84.224,85.909,84.880,85.386,85.199,84.612,84.944,85.261,85.293,86.622,86.934
RHmin,year,66.187,65.172,65.544,64.096,66.499,65.477,66.398,65.970,63.240,63.475,65.928,65.560,65.978,65.799,63.235,64.625,64.984,66.383,65.273,66.186,65.189,66.263,62.361,65.706,65.415,64.953,65.951,66.035,66.239,64.136
RHmin,MAMJJASO,64.736,62.587,63.856,60.662,65.255,63.723,64.208,64.202,60.280,60.296,63.926,63.438,64.009,63.004,59.993,61.613,61.860,65.077,63.524,63.917,63.590,63.477,59.326,63.789,63.425,62.185,63.800,64.118,63.371,61.267
RHmin,AMJJAS,63.515,60.898,62.438,58.327,64.378,62.678,63.133,63.118,58.261,58.462,62.091,61.981,63.691,61.955,58.130,59.573,60.908,64.426,62.724,62.865,61.855,62.778,58.986,62.745,61.442,60.230,63.185,63.710,62.506,60.102
RHmin,ONDJFM,68.685,68.264,69.395,69.120,68.986,69.097,68.213,69.945,68.058,68.455,69.737,69.498,68.110,69.154,68.752,70.078,68.444,69.041,68.196,67.864,69.857,67.917,68.323,67.388,69.465,69.316,69.253,68.017,69.636,69.471
RHmin,NDJF,68.679,69.916,68.813,70.073,70.115,69.794,69.026,71.094,68.930,69.851,70.329,69.580,69.954,70.322,70.975,71.062,69.685,70.890,69.150,69.013,71.120,67.931,71.149,69.668,69.718,69.924,70.606,69.040,71.890,71.565
PREC,year,1058.373,1104.829,985.264,980.980,1009.613,1123.694,970.364,1044.410,922.338,1097.445,911.704,1092.017,1057.056,1102.435,936.440,830.565,952.958,1200.820,1157.190,1255.345,925.191,1157.416,765.150,1040.488,906.582,1057.461,1069.502,1191.306,1099.801,835.448
PREC,MAMJJASO,742.479,664.478,629.877,503.579,699.203,654.764,701.136,703.328,568.837,564.537,576.173,712.326,635.920,623.562,498.330,488.372,543.144,797.546,655.028,745.792,626.964,637.052,427.420,706.488,585.204,634.757,645.708,778.377,639.943,577.094
PREC,AMJJAS,454.592,430.889,413.764,308.249,579.811,443.708,447.366,479.767,340.362,354.812,387.252,511.951,493.362,399.445,314.005,319.140,422.102,516.412,509.182,499.072,403.081,424.544,324.718,493.370,392.848,416.779,516.596,516.746,479.847,417.028
