Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.436,16.291,17.123,15.283,15.866,15.899,15.892,16.767,16.913,17.402,15.884,17.579,16.820,17.918,16.591,15.461,16.582,17.055,16.969,18.780,17.384,17.661,17.926,16.582,16.066,17.286,18.085,18.009,17.848,16.351
TMAX,MAMJJASO,21.520,21.023,22.204,19.783,21.059,20.996,20.733,21.318,21.155,21.825,20.662,22.166,21.842,22.441,21.060,20.148,20.964,21.784,22.007,23.354,22.541,21.987,23.350,21.233,21.032,22.029,22.700,22.285,22.948,21.004
TMAX,AMJJAS,23.204,23.587,24.473,21.887,23.740,23.669,23.759,23.822,22.595,23.354,22.792,24.798,24.419,24.698,23.108,22.756,23.320,24.252,24.182,25.795,24.064,23.905,26.514,23.407,23.347,24.361,25.620,24.403,25.760,23.690
TMAX,ONDJFM,7.447,8.949,10.267,8.321,7.847,8.314,7.911,10.133,10.218,12.033,9.713,9.410,9.710,10.405,10.320,8.253,9.866,10.638,9.034,9.758,12.523,10.704,9.706,9.429,9.422,8.492,13.006,9.686,10.122,9.675
TMAX,NDJF,3.932,6.085,7.870,5.726,4.773,5.991,5.851,8.212,7.099,9.260,6.288,7.336,7.731,7.081,8.986,5.267,7.341,9.355,5.711,6.772,10.166,6.893,6.780,7.778,6.483,5.735,11.106,7.711,7.131,7.285
TMIN,year,6.423,7.048,6.650,6.328,5.767,6.279,6.410,6.823,7.128,6.990,6.357,7.516,6.981,8.356,7.229,6.487,6.855,7.133,7.533,8.074,7.398,8.034,7.083,6.982,6.410,7.203,7.593,7.812,7.659,7.065
TMIN,MAMJJASO,10.711,10.740,10.597,9.518,9.838,10.118,10.050,10.280,10.559,10.177,10.262,10.915,10.901,11.762,10.560,10.036,9.770,10.917,11.642,11.365,11.378,11.190,11.098,10.454,10.285,10.687,10.789,10.920,11.213,10.619
TMIN,AMJJAS,11.959,12.573,12.739,11.003,11.810,12.319,12.408,12.243,12.311,11.633,12.007,12.909,12.807,13.753,12.441,12.041,11.768,13.119,13.504,13.030,12.516,13.023,13.562,12.076,12.406,12.620,12.659,12.802,13.320,12.834
TMIN,ONDJFM,-1.600,0.752,2.081,0.379,0.072,0.703,-0.413,2.623,1.347,1.851,1.610,0.964,1.337,2.825,2.223,0.742,2.016,2.124,0.896,1.257,4.467,1.579,1.355,1.150,1.105,0.935,4.016,1.533,2.147,1.908
TMIN,NDJF,-4.586,-1.776,0.188,-1.322,-2.706,-0.783,-1.526,1.335,-1.087,0.210,-0.823,-0.499,-0.271,0.360,1.347,-0.977,0.356,1.552,-1.805,-0.914,2.682,-1.209,-0.438,0.001,-0.930,-1.042,2.783,0.015,0.422,0.431
TAVG,year,11.198,11.407,11.615,10.590,10.598,10.818,10.906,11.508,11.634,11.926,10.862,12.365,11.684,12.820,11.562,10.707,11.458,11.788,11.959,13.186,12.100,12.500,12.139,11.397,10.876,11.913,12.519,12.554,12.431,11.405
TAVG,MAMJJASO,15.853,15.620,16.120,14.418,15.222,15.283,15.142,15.499,15.488,15.732,15.191,16.395,16.123,16.783,15.421,14.835,15.101,16.099,16.529,17.158,16.660,16.201,16.875,15.429,15.287,16.000,16.441,16.226,16.711,15.501
TAVG,AMJJAS,17.352,17.844,18.409,16.276,17.631,17.762,17.877,17.799,17.149,17.306,17.209,18.766,18.434,18.972,17.440,17.204,17.351,18.482,18.626,19.305,18.059,18.064,19.730,17.357,17.547,18.159,18.894,18.305,19.235,18.002
TAVG,ONDJFM,2.769,4.538,5.913,4.054,3.723,4.200,3.395,6.087,5.361,6.496,5.350,4.874,5.245,6.373,5.859,4.136,5.598,6.006,4.610,5.111,8.183,5.738,5.215,4.863,4.862,4.403,8.105,5.232,5.732,5.469
TAVG,NDJF,-0.401,1.858,3.848,1.977,0.907,2.358,1.848,4.522,2.641,4.357,2.535,3.182,3.488,3.592,4.808,1.886,3.545,5.118,1.624,2.615,6.152,2.524,2.907,3.462,2.412,2.069,6.622,3.562,3.467,3.644
RH,year,74.848,76.318,72.587,76.875,74.942,76.318,75.318,74.501,75.521,72.804,74.362,72.080,73.196,73.709,75.031,75.343,72.693,73.675,75.672,70.699,72.864,75.971,71.111,76.720,75.622,74.951,73.110,74.497,74.200,77.438
RH,MAMJJASO,73.232,74.195,69.853,73.290,72.041,73.779,71.889,72.008,74.151,69.847,72.575,68.500,69.658,70.506,72.874,71.957,68.449,71.167,72.980,66.736,70.153,73.771,66.288,75.071,73.248,72.512,69.721,72.507,70.435,74.524
RH,AMJJAS,72.395,72.744,69.128,72.251,69.874,72.055,70.459,70.592,75.010,69.424,71.518,66.129,67.843,69.432,72.046,70.787,67.957,71.264,72.738,64.177,68.200,74.378,64.364,73.321,72.466,71.698,67.310,71.260,69.460,73.691
RH,ONDJFM,74.702,78.071,79.048,78.704,80.887,81.503,78.694,80.085,77.757,72.970,78.321,76.790,77.703,79.714,77.587,80.146,77.705,75.537,78.671,78.014,78.376,75.900,78.400,79.719,78.451,79.954,77.945,77.981,78.834,80.215
RH,NDJF,75.609,79.322,80.229,81.437,80.854,83.336,80.821,82.318,79.352,75.063,79.693,78.289,78.405,82.495,78.488,82.762,80.818,78.702,80.985,80.436,79.354,78.289,81.797,80.572,78.978,81.569,79.470,78.182,81.332,83.301
RHmin,year,55.026,57.585,52.670,58.601,55.333,56.978,56.439,54.941,55.601,53.363,55.422,53.577,54.561,54.950,56.151,57.336,54.220,54.357,56.562,51.452,53.763,56.610,51.189,57.021,55.963,55.051,53.484,54.574,54.633,58.192
RHmin,MAMJJASO,53.008,54.585,49.390,53.903,51.867,53.466,52.249,51.775,53.783,49.523,53.120,49.553,50.497,51.126,52.788,53.252,48.768,51.475,53.464,47.151,50.329,53.195,46.202,54.165,52.859,51.488,49.310,51.414,49.574,54.555
RHmin,AMJJAS,51.981,52.589,49.088,52.540,49.457,51.735,50.617,50.475,55.187,49.417,52.211,47.261,48.535,50.394,52.333,51.925,48.305,51.579,53.280,44.685,48.769,53.629,44.229,52.289,52.401,50.650,46.285,50.717,48.327,53.616
RHmin,ONDJFM,55.626,59.577,60.825,60.563,62.812,63.573,59.696,62.563,57.863,52.655,60.100,58.247,59.202,62.531,59.145,62.448,60.421,57.345,60.045,58.753,60.407,56.350,59.980,60.226,59.484,62.239,58.226,59.876,60.609,62.249
RHmin,NDJF,56.933,60.895,62.502,64.092,63.290,66.249,62.871,65.471,59.945,55.713,62.888,60.506,60.207,66.212,60.732,66.887,64.284,61.117,62.667,61.978,62.019,59.698,64.225,61.490,61.293,64.753,60.531,60.862,64.839,66.410
PREC,year,1243.549,1088.560,846.246,1333.842,1078.377,1104.648,1170.021,1010.785,1074.315,1061.621,1102.858,1125.372,1150.717,1135.611,1345.948,1255.091,1049.362,1212.683,1312.400,968.815,1169.148,1191.167,825.464,1301.140,1321.295,1078.473,1094.238,1134.791,1152.916,1521.168
PREC,MAMJJASO,846.493,767.720,595.753,903.359,663.290,758.218,719.445,678.203,908.948,738.493,774.233,803.223,780.439,818.039,872.023,839.176,606.272,942.738,814.543,601.104,786.579,855.331,543.839,889.212,899.798,792.549,777.344,765.016,626.308,951.902
PREC,AMJJAS,658.357,515.971,413.870,699.951,487.697,579.851,563.235,484.897,787.821,497.857,588.709,372.367,527.980,634.761,725.558,704.041,508.248,754.906,664.183,392.274,616.505,720.470,335.749,622.486,764.074,649.886,542.247,525.638,428.787,798.673
PREC,ONDJFM,215.512,515.557,694.810,544.312,542.155,619.329,503.840,654.793,318.968,281.059,568.599,565.848,653.967,730.199,639.301,452.296,561.593,472.033,605.835,524.854,789.828,343.295,505.664,634.433,573.884,590.277,456.194,499.229,703.254,742.234
PREC,NDJF,124.845,318.904,440.743,382.414,271.593,518.469,325.387,463.400,161.972,166.409,349.198,308.551,271.098,480.717,395.644,402.047,415.355,390.624,372.423,366.123,512.555,304.214,365.395,351.694,325.212,438.281,290.253,230.350,516.837,567.399
SRAD,year,4912.950,4805.671,4994.144,4591.929,4900.881,4849.988,4827.407,4911.238,4744.057,5073.625,4857.291,5069.355,5066.251,5144.700,4836.015,4744.996,5104.067,5064.647,4865.024,5296.067,4952.627,4795.994,5317.596,4775.168,4871.935,4977.658,5190.905,5006.746,5004.542,4682.487
SRAD,MAMJJASO,4200.348,4159.452,4307.542,4020.020,4288.710,4229.832,4239.528,4228.984,4024.295,4360.471,4151.838,4384.022,4390.832,4465.339,4211.549,4121.496,4459.889,4332.763,4192.902,4574.792,4295.053,4187.121,4594.466,4143.531,4214.424,4297.428,4535.149,4322.136,4418.127,4109.160
SRAD,AMJJAS,3543.980,3553.272,3610.860,3408.415,3687.737,3603.502,3622.938,3592.412,3280.073,3647.210,3528.933,3792.724,3747.334,3719.833,3521.354,3520.560,3751.087,3606.144,3507.382,3917.093,3622.713,3468.340,3875.173,3520.543,3523.138,3624.696,3922.108,3669.389,3771.298,3481.599
SRAD,ONDJFM,786.733,1325.937,1257.075,1275.063,1180.020,1195.120,1316.506,1215.621,1395.064,1576.109,1281.622,1354.663,1306.627,1350.965,1321.188,1291.083,1332.672,1436.655,1342.633,1408.259,1228.038,1467.263,1377.590,1296.677,1331.753,1260.947,1373.196,1287.690,1262.295,1237.446
SRAD,NDJF,414.991,683.868,642.291,602.559,629.987,570.061,632.830,605.008,711.002,804.258,662.667,706.327,705.565,632.872,685.473,586.685,662.152,698.944,688.257,711.248,629.369,682.986,649.044,661.505,673.347,633.322,683.310,692.927,603.750,563.959
WIND,year,2.045,1.948,2.130,2.142,2.048,2.020,2.055,2.085,1.795,1.809,1.789,1.873,2.030,1.986,1.893,2.049,2.127,2.184,2.172,2.121,2.225,2.149,2.024,1.925,1.825,1.858,1.858,1.856,1.870,1.839
WIND,MAMJJASO,1.990,1.848,2.124,2.111,2.039,1.944,2.094,2.015,1.749,1.766,1.774,1.892,2.022,1.998,1.819,2.078,2.197,2.237,2.151,2.137,2.185,2.089,2.030,1.907,1.800,1.859,1.840,1.858,1.854,1.841
WIND,AMJJAS,1.940,1.717,2.105,2.077,2.068,1.965,2.037,1.944,1.745,1.738,1.769,1.840,1.963,1.953,1.798,2.075,2.186,2.167,2.085,2.061,2.154,2.005,1.951,1.893,1.820,1.757,1.808,1.803,1.761,1.769
WIND,ONDJFM,2.169,2.060,2.340,2.230,2.053,2.129,2.023,2.218,1.886,1.883,1.882,1.812,2.057,2.125,2.053,1.785,2.075,2.287,2.159,2.191,2.322,2.200,2.168,2.100,1.863,1.898,1.978,1.842,1.924,1.952
WIND,NDJF,2.172,1.997,2.364,2.258,2.019,2.250,1.981,2.167,1.886,1.951,1.889,1.771,2.010,2.089,1.979,1.840,2.035,2.179,2.021,2.124,2.275,2.230,2.162,2.031,1.885,1.822,1.966,1.762,1.858,1.873
VPD,year,0.440,0.418,0.503,0.395,0.457,0.427,0.446,0.472,0.419,0.500,0.442,0.544,0.521,0.523,0.443,0.435,0.483,0.487,0.453,0.615,0.525,0.447,0.608,0.422,0.423,0.475,0.540,0.492,0.513,0.420
VPD,MAMJJASO,0.571,0.544,0.663,0.522,0.608,0.565,0.595,0.616,0.523,0.645,0.576,0.718,0.698,0.687,0.568,0.571,0.635,0.629,0.598,0.811,0.691,0.567,0.829,0.546,0.556,0.618,0.709,0.630,0.683,0.552
VPD,AMJJAS,0.635,0.637,0.757,0.596,0.710,0.661,0.702,0.724,0.556,0.715,0.659,0.856,0.815,0.793,0.648,0.666,0.722,0.719,0.673,0.958,0.785,0.623,0.985,0.635,0.638,0.705,0.843,0.725,0.794,0.642
VPD,ONDJFM,0.232,0.226,0.219,0.213,0.186,0.196,0.200,0.216,0.242,0.325,0.232,0.228,0.225,0.243,0.236,0.196,0.249,0.266,0.222,0.237,0.279,0.277,0.243,0.207,0.216,0.199,0.280,0.232,0.232,0.221
VPD,NDJF,0.160,0.169,0.173,0.146,0.144,0.140,0.151,0.166,0.173,0.252,0.162,0.184,0.188,0.157,0.208,0.134,0.188,0.216,0.151,0.167,0.222,0.186,0.168,0.168,0.170,0.144,0.229,0.202,0.163,0.156
FWI_FD,year,1.904,1.783,2.980,1.574,2.788,2.161,2.130,2.673,1.640,2.583,1.925,3.567,2.882,2.323,1.813,1.966,2.400,2.260,1.835,4.199,2.988,1.790,4.164,1.634,1.535,2.476,2.809,2.234,2.909,1.596
FWI_FD,MAMJJASO,2.662,2.418,3.984,2.167,4.040,3.005,3.069,3.807,1.903,3.549,2.692,5.137,3.986,3.259,2.539,2.749,3.396,3.018,2.589,6.016,4.099,2.438,6.037,2.301,2.066,3.323,3.999,3.019,4.211,2.295
FWI_FD,AMJJAS,3.180,3.064,4.442,2.611,4.052,3.284,3.774,4.746,1.954,3.845,3.129,6.459,4.978,3.863,2.686,3.414,3.723,3.593,2.875,7.485,4.858,2.679,7.502,2.850,2.355,3.689,5.046,3.654,4.962,2.874
FWI_FD,ONDJFM,0.537,0.555,0.711,1.308,0.428,1.494,1.094,0.463,1.076,1.764,0.778,0.720,0.735,0.585,0.555,0.943,0.857,1.343,0.435,0.842,0.822,1.457,0.751,0.486,0.476,0.632,1.404,0.659,0.673,0.715
FWI_FD,NDJF,0.235,0.437,0.464,0.878,0.363,0.178,0.487,0.214,0.836,1.050,0.319,0.381,0.723,0.205,0.418,0.230,0.484,0.842,0.192,0.428,0.543,0.685,0.302,0.342,0.335,0.401,0.922,0.603,0.207,0.216
FWI_3+,year,1.889,1.105,8.345,1.924,11.752,3.939,7.240,18.428,0.464,8.210,2.716,27.414,17.754,9.109,2.626,8.448,3.716,9.582,1.610,35.895,19.558,1.874,32.565,4.420,1.670,11.387,14.200,5.595,11.214,4.005
FWI_3+,MAMJJASO,1.887,1.103,8.342,1.924,11.752,3.939,7.239,18.428,0.453,8.207,2.716,27.414,17.706,9.103,2.626,8.430,3.716,9.568,1.603,35.895,19.508,1.859,32.563,4.419,1.670,11.357,14.200,5.589,11.214,4.005
FWI_3+,AMJJAS,1.887,1.103,8.255,1.924,7.844,3.788,7.212,18.412,0.453,8.038,2.566,27.399,17.702,9.080,2.527,8.427,3.609,9.564,1.602,35.882,19.498,1.856,32.551,4.413,1.669,11.278,14.194,5.561,10.588,4.005
FWI_3+,ONDJFM,0.000,0.002,0.002,0.091,0.000,3.908,0.151,0.029,0.026,0.147,0.152,0.024,0.067,0.000,0.029,0.100,0.076,0.070,0.007,0.001,0.019,0.057,0.025,0.003,0.006,0.005,0.105,0.012,0.028,0.625
FWI_3+,NDJF,0.000,0.002,0.002,0.004,0.000,0.000,0.000,0.001,0.010,0.004,0.000,0.000,0.048,0.000,0.006,0.000,0.018,0.014,0.007,0.000,0.000,0.051,0.014,0.002,0.001,0.004,0.025,0.007,0.000,0.000
FWI_4+,year,0.016,0.033,0.253,0.065,0.545,0.133,0.229,1.323,0.014,0.536,0.127,4.197,1.713,1.097,0.057,0.405,0.135,0.768,0.017,7.375,0.823,0.043,2.940,0.218,0.026,0.621,0.951,0.293,0.345,0.079
FWI_4+,MAMJJASO,0.016,0.032,0.253,0.065,0.545,0.133,0.229,1.323,0.014,0.536,0.127,4.197,1.711,1.096,0.057,0.405,0.135,0.764,0.017,7.375,0.819,0.043,2.940,0.218,0.026,0.621,0.951,0.293,0.345,0.079
FWI_4+,AMJJAS,0.016,0.032,0.253,0.065,0.443,0.130,0.227,1.323,0.014,0.536,0.124,4.197,1.711,1.094,0.057,0.405,0.128,0.764,0.017,7.375,0.819,0.043,2.940,0.218,0.026,0.620,0.951,0.293,0.344,0.079
