Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.262,13.719,13.893,13.926,12.783,12.476,13.276,13.567,14.303,14.282,13.686,13.528,13.333,13.557,14.646,13.409,14.499,14.116,14.189,13.925,13.975,14.109,14.522,14.164,14.237,14.535,14.711,13.806,13.756,13.001
TMAX,MAMJJASO,15.536,16.138,16.132,16.447,15.219,14.674,15.549,15.618,16.720,16.713,16.253,15.661,15.315,15.463,17.425,15.924,16.890,16.188,16.566,16.372,16.457,16.164,17.050,16.355,16.671,17.068,16.872,15.983,16.408,16.344
TMAX,AMJJAS,16.946,17.550,17.518,18.083,16.397,15.589,17.147,16.819,18.058,17.938,17.591,17.197,16.752,16.427,18.936,17.387,18.038,17.244,17.798,17.698,17.735,17.326,18.378,17.824,17.746,18.580,18.015,17.425,17.457,17.727
TMAX,ONDJFM,9.379,9.381,9.737,9.940,9.386,8.984,9.799,9.822,10.908,10.604,9.801,10.172,9.973,9.563,10.712,9.883,10.181,11.219,10.726,10.564,9.408,11.283,10.542,10.555,10.556,10.223,11.125,11.222,9.842,9.285
TMAX,NDJF,8.456,8.606,8.587,9.269,8.111,7.461,8.800,8.982,10.182,9.218,8.203,9.290,9.508,8.592,10.016,8.621,8.508,10.149,9.662,9.304,8.354,9.961,9.169,9.628,9.641,9.095,9.959,10.288,8.594,7.504
TMIN,year,6.466,6.415,6.945,6.101,5.893,5.507,6.206,6.668,6.875,6.903,6.728,6.549,6.420,6.740,7.116,6.357,7.553,7.413,7.419,6.867,6.703,7.182,7.147,7.187,7.491,7.444,7.443,6.737,6.821,5.811
TMIN,MAMJJASO,8.217,8.211,8.508,7.916,8.053,7.227,7.816,8.291,8.510,8.770,8.717,8.154,7.786,8.106,9.034,8.159,9.280,8.969,9.264,8.537,8.609,8.452,8.919,8.732,9.313,9.309,8.935,8.422,8.960,8.555
TMIN,AMJJAS,9.429,9.330,9.411,9.046,9.034,8.073,9.206,9.134,9.289,9.301,9.659,9.277,9.048,8.839,9.936,8.925,10.138,9.734,10.311,9.458,9.399,9.457,10.238,10.028,10.035,10.333,9.827,9.702,9.791,9.827
TMIN,ONDJFM,3.434,3.031,3.716,3.876,2.723,2.716,3.258,3.760,4.588,4.721,3.589,4.469,3.835,3.406,4.613,4.139,4.215,5.507,4.630,4.507,3.348,5.142,4.313,3.967,4.922,4.366,4.747,4.903,3.617,2.612
TMIN,NDJF,2.781,2.747,2.682,3.407,1.774,1.439,2.520,3.287,4.143,3.376,1.912,3.730,3.606,2.880,4.339,2.942,2.885,4.639,3.929,3.574,2.591,4.079,3.889,3.495,4.544,3.366,3.930,4.295,2.829,1.100
TAVG,year,9.848,10.063,10.416,10.002,9.344,8.982,9.725,10.106,10.585,10.573,10.194,10.008,9.854,10.152,10.858,9.865,11.023,10.749,10.791,10.376,10.313,10.633,10.848,10.697,10.893,10.977,11.053,10.242,10.261,9.362
