Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.536,17.041,17.082,15.812,16.936,16.724,16.854,17.273,17.344,17.489,16.613,17.388,17.298,18.188,16.924,16.520,17.874,17.633,17.644,18.228,18.057,17.790,18.522,17.659,17.306,18.342,18.612,18.162,18.321,17.163
TMAX,MAMJJASO,20.683,20.875,21.062,19.198,21.159,20.919,20.705,21.167,20.746,21.393,20.602,20.958,21.188,22.078,20.633,20.165,21.634,21.574,21.824,22.094,22.279,21.362,23.068,21.470,21.688,22.401,22.456,21.925,22.578,21.299
TMAX,AMJJAS,22.445,23.412,23.111,21.151,23.472,22.877,23.242,23.160,22.217,22.985,22.588,23.179,23.507,23.900,22.387,22.456,23.384,23.833,23.886,24.296,23.723,22.982,25.775,23.450,23.811,24.575,24.787,23.885,24.999,23.652
TMAX,ONDJFM,8.586,10.627,10.946,10.161,10.273,10.601,10.451,11.469,12.446,12.461,10.897,10.837,11.356,11.744,11.681,10.957,12.108,12.063,10.880,11.623,12.392,12.605,11.652,11.134,11.635,10.683,13.630,12.010,11.644,11.320
TMAX,NDJF,6.378,8.843,9.240,8.363,8.544,8.326,8.760,9.865,9.999,10.498,8.145,9.139,10.050,9.230,10.439,8.769,10.255,10.419,8.715,9.377,10.405,9.728,9.361,9.709,9.287,8.547,11.984,10.319,9.323,9.395
TMIN,year,7.152,7.994,7.601,6.962,7.451,7.633,7.670,8.007,7.753,7.954,7.238,8.188,7.853,8.839,7.569,7.525,8.108,7.811,8.068,8.614,8.373,8.677,8.727,8.323,7.725,8.482,8.523,8.609,8.658,8.036
TMIN,MAMJJASO,10.714,10.939,10.821,9.563,10.618,10.999,10.542,11.209,10.568,11.072,10.596,11.097,10.948,11.739,10.358,10.220,10.727,10.993,11.594,11.663,11.626,11.378,12.165,11.249,11.251,11.591,11.408,11.492,11.882,11.187
TMIN,AMJJAS,12.012,12.910,12.558,11.012,12.347,12.630,12.508,12.849,12.084,12.267,11.982,12.757,12.741,13.400,12.042,11.971,12.263,12.945,13.371,13.287,12.582,12.912,14.344,12.646,13.038,13.253,13.122,13.077,13.894,13.039
TMIN,ONDJFM,0.017,2.546,3.144,2.253,2.671,2.896,2.194,3.821,3.509,3.456,3.114,2.475,3.139,3.969,3.460,3.086,3.784,3.540,2.227,3.007,4.931,3.591,3.692,3.363,3.359,2.792,5.008,3.431,3.520,3.367
TMIN,NDJF,-2.165,1.063,1.726,0.912,1.155,1.301,1.165,2.573,1.332,2.274,0.547,0.899,1.973,2.193,2.698,1.799,2.658,2.614,0.356,1.174,3.246,1.351,2.370,2.287,1.496,1.044,3.774,2.100,1.890,2.107
TAVG,year,11.875,12.527,12.155,11.307,12.065,12.100,12.248,12.613,12.482,12.682,11.839,12.549,12.289,13.260,11.995,11.788,12.721,12.530,12.676,13.234,12.962,13.093,13.460,12.725,12.304,13.098,13.346,12.986,13.058,12.176
TAVG,MAMJJASO,15.711,15.911,15.736,14.287,15.767,15.874,15.604,16.152,15.577,16.209,15.510,15.831,15.785,16.639,15.223,14.940,15.944,16.130,16.557,16.733,16.681,16.235,17.393,16.066,16.232,16.664,16.739,16.308,16.782,15.802
TAVG,AMJJAS,17.245,18.144,17.627,15.960,17.795,17.667,17.817,17.968,17.083,17.595,17.183,17.762,17.822,18.378,16.961,16.949,17.626,18.241,18.509,18.670,17.917,17.818,19.816,17.758,18.181,18.585,18.784,18.099,19.025,17.915
TAVG,ONDJFM,4.355,6.665,6.926,6.126,6.399,6.647,6.287,7.632,7.942,7.850,7.016,6.437,6.997,7.634,7.294,6.846,7.605,7.553,6.310,7.043,8.475,7.806,7.579,7.099,7.282,6.499,9.049,7.342,7.177,6.886
TAVG,NDJF,2.221,5.043,5.333,4.566,4.776,4.712,4.920,6.187,5.640,6.296,4.336,4.766,5.719,5.508,6.271,5.164,6.107,6.249,4.291,4.987,6.629,5.299,5.807,5.869,5.220,4.564,7.614,5.831,5.226,5.331
RH,year,72.057,72.936,71.160,72.618,71.133,72.160,72.304,70.557,71.219,71.702,69.764,71.629,70.239,68.734,70.703,72.662,69.544,69.964,72.906,74.841,73.630,75.955,69.397,70.984,69.808,70.195,68.732,72.664,71.422,74.179
