Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,11.078,11.541,12.289,11.435,9.813,11.007,9.664,11.592,12.929,12.571,12.013,12.321,11.032,11.551,12.018,10.981,11.711,11.279,12.789,12.930,12.076,12.539,11.712,11.640,11.785,12.611,12.565,12.631,11.631,11.181
TMAX,MAMJJASO,16.041,16.161,17.156,16.453,15.731,16.261,14.666,16.680,17.360,16.678,16.398,16.757,15.721,16.690,17.271,16.434,16.410,16.209,18.056,17.251,17.367,18.054,16.572,16.592,16.592,17.717,17.726,16.937,16.509,17.504
TMAX,AMJJAS,18.808,18.706,20.161,19.275,18.394,18.903,17.356,19.811,20.015,18.796,18.989,19.946,18.553,19.865,19.910,19.353,19.462,18.986,21.112,19.671,20.288,21.714,19.631,19.288,19.762,21.012,20.027,19.496,19.858,20.881
TMAX,ONDJFM,0.899,3.384,4.943,3.718,1.392,2.889,1.802,3.923,5.361,6.001,4.674,5.837,3.958,2.333,4.603,1.838,4.631,4.156,3.083,4.832,5.525,4.988,1.790,3.726,3.629,3.029,6.541,5.167,4.503,2.017
TMAX,NDJF,-0.265,0.414,3.444,1.718,-2.055,-0.378,-0.567,2.050,3.195,3.806,2.551,3.958,2.889,-0.163,2.811,-1.519,2.431,2.672,-0.019,2.988,3.489,2.203,-0.667,1.920,2.252,0.475,3.698,3.434,2.447,-0.558
TMIN,year,3.898,3.831,4.809,4.161,2.448,3.464,1.972,4.217,5.480,5.324,4.800,4.792,3.652,3.833,4.345,2.751,4.019,4.030,4.707,5.351,4.444,4.263,4.119,4.179,3.649,4.254,4.689,5.273,4.204,3.701
TMIN,MAMJJASO,7.558,7.166,8.370,7.782,7.668,7.517,6.034,8.091,8.522,7.872,7.874,7.696,6.927,7.605,8.326,6.737,7.246,7.648,8.360,7.963,8.466,7.971,7.443,7.736,6.623,7.487,8.282,7.817,7.364,8.446
TMIN,AMJJAS,9.749,8.955,10.444,9.826,9.373,9.354,8.610,10.534,10.074,9.300,9.646,9.856,8.930,9.752,9.943,8.949,9.408,10.039,10.337,9.540,10.690,10.338,9.826,9.591,9.383,9.834,9.848,9.279,9.520,11.273
TMIN,ONDJFM,-4.929,-2.246,-0.229,-1.622,-3.984,-2.632,-4.444,-1.187,-0.192,0.694,-0.196,0.665,-1.097,-2.912,-0.320,-4.637,-0.970,-1.079,-2.541,-0.028,0.348,-0.772,-3.856,-1.184,-1.838,-2.882,0.618,0.855,-0.212,-3.005
TMIN,NDJF,-5.110,-4.734,-1.201,-2.989,-7.526,-5.615,-6.081,-2.386,-1.908,-0.901,-1.716,-0.548,-1.581,-5.053,-1.671,-7.133,-2.605,-1.682,-4.936,-1.362,-0.599,-2.921,-5.682,-2.332,-2.301,-3.974,-1.407,-0.058,-1.780,-4.738
TAVG,year,7.358,7.593,8.442,7.671,6.007,7.133,5.666,7.752,9.077,8.819,8.277,8.466,7.231,7.581,8.025,6.747,7.791,7.509,8.689,9.007,8.133,8.382,7.828,7.824,7.817,8.587,8.711,9.038,8.006,7.451
TAVG,MAMJJASO,11.562,11.488,12.562,11.942,11.475,11.705,10.088,12.167,12.747,12.101,11.919,12.077,11.146,11.975,12.556,11.371,11.695,11.712,13.094,12.389,12.705,12.933,11.851,11.992,11.715,12.765,13.063,12.468,12.002,12.957
TAVG,AMJJAS,14.015,13.651,15.090,14.352,13.632,13.959,12.728,14.950,14.870,13.892,14.126,14.779,13.569,14.671,14.688,13.930,14.316,14.287,15.652,14.395,15.240,16.005,14.575,14.277,14.715,15.606,15.027,14.531,14.770,16.061
TAVG,ONDJFM,-1.976,0.548,2.348,1.039,-1.336,0.121,-1.329,1.264,2.477,3.267,2.179,3.170,1.405,-0.353,1.999,-1.361,1.775,1.497,0.173,2.398,2.892,2.078,-1.063,1.285,0.955,0.136,3.654,3.089,2.221,-0.433
TAVG,NDJF,-2.583,-2.069,1.179,-0.603,-4.780,-2.899,-3.248,-0.198,0.658,1.430,0.470,1.748,0.696,-2.613,0.530,-4.201,-0.018,0.512,-2.495,0.898,1.458,-0.281,-3.099,-0.130,0.057,-1.636,1.286,1.789,0.463,-2.561
RH,year,81.799,80.464,80.350,80.862,81.464,81.255,80.823,80.806,81.737,81.739,82.655,80.178,79.705,80.002,80.197,79.068,79.197,80.722,78.700,80.378,81.053,77.624,80.784,81.565,80.446,79.050,81.311,80.448,81.516,83.061
RH,MAMJJASO,79.002,77.336,78.091,78.892,79.993,79.177,78.096,78.819,79.260,78.456,80.491,76.604,77.536,76.904,77.648,75.839,75.933,78.095,74.720,76.903,78.503,73.394,77.060,77.913,77.196,74.778,77.865,76.850,77.790,80.058
RH,AMJJAS,77.788,75.514,76.158,77.441,78.099,77.808,77.918,76.666,77.170,77.476,79.089,74.314,75.481,75.082,75.710,74.210,73.532,77.731,72.452,75.510,77.360,70.432,75.986,75.120,75.765,71.587,75.719,73.716,74.892,78.343
RH,ONDJFM,82.545,86.632,85.459,83.095,84.778,85.134,84.104,85.304,85.044,85.690,86.350,86.422,85.783,83.948,84.808,82.792,84.711,85.270,84.597,84.479,84.627,86.081,83.580,87.951,86.334,85.298,86.587,87.744,87.884,88.324
RH,NDJF,85.238,88.123,85.972,83.733,84.366,85.656,85.829,85.736,85.920,87.786,87.527,87.603,86.431,84.528,86.280,84.559,85.865,86.964,86.704,85.812,87.165,87.406,85.878,88.776,88.003,87.075,88.008,88.259,89.017,88.874
RHmin,year,65.673,63.754,64.121,64.854,64.688,64.614,63.348,64.405,65.284,65.802,66.249,64.284,63.705,63.508,63.402,61.703,63.010,64.674,62.257,64.192,64.267,61.385,64.539,65.332,63.850,62.839,65.159,65.627,66.302,66.802
RHmin,MAMJJASO,60.777,58.875,59.847,60.724,62.442,60.779,59.364,60.714,60.709,60.194,61.891,58.640,59.397,58.649,59.157,56.575,57.717,60.120,56.350,58.095,59.916,54.955,58.607,59.757,57.911,56.313,59.653,59.577,60.089,61.616
RHmin,AMJJAS,58.965,56.252,56.886,58.343,59.249,58.493,59.326,58.116,57.359,58.528,59.545,55.512,56.680,55.835,56.108,54.320,54.640,59.405,53.091,55.811,57.875,50.956,56.830,56.341,56.678,52.709,56.802,55.545,55.941,59.718
RHmin,ONDJFM,68.495,72.158,72.429,69.932,70.727,71.189,68.607,71.940,70.646,72.042,73.567,72.954,72.576,70.496,71.764,67.247,70.543,72.123,70.290,72.259,71.860,71.555,69.681,75.042,72.757,71.024,72.425,76.832,75.902,75.200
RHmin,NDJF,72.963,74.583,74.136,71.852,70.088,72.300,71.571,73.911,72.655,75.100,76.224,75.728,74.704,71.828,74.201,70.364,72.992,75.578,73.380,74.707,76.314,74.144,72.963,77.399,76.196,75.750,75.116,79.187,78.080,77.514
PREC,year,846.705,565.155,704.064,652.472,724.038,771.559,695.602,716.952,693.757,852.221,697.620,664.683,755.588,704.909,706.224,605.181,776.169,864.611,684.121,681.401,828.417,600.234,669.382,727.777,643.105,568.567,788.841,749.792,640.402,453.252
