Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,16.543,16.264,16.783,16.220,16.631,16.804,16.318,16.642,17.157,17.766,15.614,17.117,17.264,18.246,16.593,15.979,16.009,16.723,17.557,18.097,17.571,17.575,17.307,17.590,16.675,17.413,18.687,18.466,18.096,17.916
TMAX,MAMJJASO,21.820,21.027,21.722,20.930,21.701,22.162,20.937,21.720,21.644,22.419,20.471,22.030,22.478,23.374,21.300,20.514,20.047,21.651,22.366,23.017,23.034,21.854,22.478,22.158,21.322,22.391,23.569,23.401,22.707,22.175
TMAX,AMJJAS,23.489,23.616,23.971,23.113,24.879,25.148,24.557,24.548,23.694,24.055,22.787,24.147,24.866,25.915,23.685,24.060,22.628,24.429,24.953,25.759,24.594,23.892,25.540,24.190,23.866,24.736,26.347,25.408,25.462,25.216
TMAX,ONDJFM,6.380,9.076,10.417,8.196,8.499,9.373,7.811,9.553,9.561,10.701,9.811,8.801,9.646,10.947,10.066,6.930,10.175,9.505,8.818,9.510,12.014,10.745,9.024,10.067,10.572,9.372,12.153,10.024,10.605,10.784
TMAX,NDJF,3.035,6.117,7.852,6.166,5.178,7.316,6.142,8.014,6.597,7.625,7.154,6.232,6.918,7.513,7.896,4.822,8.900,8.216,5.679,6.708,9.513,7.424,6.403,7.759,8.051,6.718,10.182,6.817,8.118,8.595
TMIN,year,6.546,6.573,6.408,6.697,6.272,6.452,6.251,6.521,6.592,6.891,6.314,6.444,6.333,7.870,6.551,6.668,5.962,7.160,7.811,7.232,7.383,7.540,6.358,6.745,6.670,6.844,7.671,7.474,7.499,7.702
TMIN,MAMJJASO,10.542,10.453,10.236,9.969,10.144,10.541,9.563,10.466,10.475,10.427,10.325,10.352,10.525,11.796,10.150,10.110,9.006,11.057,11.749,10.959,11.654,11.308,10.261,10.527,10.419,10.917,11.373,11.256,10.996,11.213
TMIN,AMJJAS,12.075,12.542,12.593,11.693,12.521,12.751,12.406,12.898,12.315,12.177,12.194,12.199,12.319,13.935,12.378,12.672,11.415,13.607,13.927,13.311,13.218,13.269,13.011,12.323,12.754,12.902,13.422,13.212,13.102,13.727
TMIN,ONDJFM,-1.396,0.485,1.161,0.515,0.242,1.193,-0.968,1.534,0.159,0.623,1.165,0.171,0.082,2.004,1.347,-0.408,1.270,0.656,1.059,0.751,3.035,0.893,-0.025,0.290,1.304,0.353,2.423,1.006,1.551,1.915
TMIN,NDJF,-3.622,-1.608,-0.714,-0.678,-2.302,-0.045,-2.101,0.463,-2.105,-1.529,-0.701,-1.736,-2.284,-0.241,-0.434,-1.686,0.253,0.220,-1.216,-1.108,1.279,-1.765,-1.520,-1.498,-0.422,-1.673,0.881,-1.421,0.052,0.352
TAVG,year,11.375,11.151,11.286,11.250,11.255,11.428,11.157,11.339,11.624,12.067,10.708,11.492,11.566,12.809,11.237,11.073,10.755,11.775,12.385,12.470,12.245,12.151,11.635,11.862,11.314,11.724,12.881,12.611,12.450,12.424
TAVG,MAMJJASO,16.021,15.486,15.644,15.281,15.753,16.189,15.173,15.872,15.868,16.220,15.188,15.938,16.326,17.382,15.423,15.140,14.360,16.235,16.800,16.866,17.183,16.212,16.205,16.026,15.513,16.279,17.247,16.985,16.525,16.326
TAVG,AMJJAS,17.696,17.858,17.963,17.303,18.614,18.854,18.498,18.574,17.871,17.994,17.393,17.970,18.503,19.796,17.797,18.288,16.936,18.979,19.216,19.522,18.827,18.254,19.137,17.977,18.005,18.503,19.738,19.064,18.991,19.124
TAVG,ONDJFM,2.257,4.511,5.487,4.034,4.044,5.025,3.097,5.196,4.559,5.277,5.070,4.107,4.452,6.134,5.300,2.869,5.215,4.812,4.619,4.796,7.122,5.333,4.148,4.974,5.492,4.390,6.810,5.058,5.661,5.959
TAVG,NDJF,-0.497,2.047,3.273,2.477,1.156,3.432,1.719,3.900,1.994,2.658,2.851,1.931,1.917,3.320,3.350,1.219,4.064,3.970,1.944,2.483,4.977,2.354,2.116,2.924,3.410,2.105,5.051,2.276,3.741,4.115
RH,year,69.308,71.107,69.616,71.897,67.465,68.474,69.817,69.597,67.819,66.823,72.144,65.011,64.721,67.198,71.462,71.459,70.025,69.486,71.258,64.680,68.134,71.333,68.275,70.208,72.690,70.567,68.223,70.104,73.025,75.865
RH,MAMJJASO,65.371,68.309,66.230,66.822,62.228,63.464,64.503,64.978,65.679,61.703,69.236,61.313,60.247,61.770,66.961,66.222,65.625,65.154,67.766,58.549,63.350,68.337,62.603,67.039,69.542,67.151,63.352,66.234,69.077,73.517
RH,AMJJAS,63.617,66.054,66.216,64.474,58.670,60.261,60.955,63.186,64.536,61.258,67.664,59.914,57.456,59.097,65.809,62.154,64.588,63.302,66.405,55.412,62.344,67.524,60.120,65.142,68.627,65.104,60.048,64.621,66.553,72.113
RH,ONDJFM,75.640,74.914,73.545,79.379,77.170,77.301,75.639,78.119,71.981,70.032,77.154,73.208,69.837,75.048,76.374,79.676,76.163,75.072,76.991,74.902,75.527,71.772,76.714,75.910,76.922,76.757,74.505,77.003,77.851,79.614
RH,NDJF,78.313,76.064,75.946,81.309,78.933,80.751,77.735,79.978,73.990,74.246,79.185,75.662,70.412,79.859,77.536,82.752,78.366,78.906,79.128,78.294,78.488,74.478,80.684,77.750,78.471,78.625,76.270,79.090,80.022,81.821
RHmin,year,51.472,53.111,50.656,54.331,49.770,50.583,51.986,51.323,49.202,48.380,54.216,46.963,46.880,49.493,52.452,54.032,51.735,52.472,52.998,47.076,50.313,52.330,49.451,50.364,53.251,50.786,49.195,50.154,52.839,55.216
RHmin,MAMJJASO,46.969,50.057,46.908,48.693,44.730,45.701,46.594,46.761,47.448,43.629,51.388,43.460,42.907,44.326,47.845,48.930,47.387,48.092,49.665,41.626,45.675,49.798,44.081,47.359,49.985,47.504,44.763,46.126,48.775,52.842
RHmin,AMJJAS,45.892,47.922,47.292,46.517,41.348,42.569,43.628,45.306,46.614,43.706,50.043,42.441,40.446,42.294,47.166,44.965,46.813,46.929,48.235,39.393,45.380,49.337,42.257,45.964,49.445,45.926,41.763,45.550,46.361,51.263
RHmin,ONDJFM,58.509,56.911,54.834,61.799,58.881,59.797,56.563,59.858,53.239,50.750,58.117,54.923,50.938,56.503,57.246,62.235,56.600,56.824,59.838,56.327,56.644,51.989,57.155,55.709,56.609,56.562,54.014,57.278,57.490,59.558
RHmin,NDJF,62.226,59.047,57.423,64.541,61.120,63.527,58.756,61.951,55.497,54.650,60.554,57.739,51.431,61.672,58.605,65.826,58.615,60.992,62.695,60.010,59.673,54.600,61.717,57.491,58.872,58.843,55.801,59.684,60.671,62.022
PREC,year,550.755,600.112,574.853,501.789,404.324,470.839,591.975,515.279,505.908,417.149,541.080,418.070,385.824,478.697,625.451,529.295,567.512,533.668,513.522,269.002,405.603,744.172,673.218,650.880,905.632,606.793,757.117,507.140,732.829,855.882
PREC,MAMJJASO,298.582,405.059,447.146,337.025,222.345,285.769,358.579,322.670,394.913,264.534,403.239,328.984,245.187,333.377,395.718,308.508,413.479,334.533,338.138,198.592,242.990,594.969,451.071,443.161,668.223,453.299,521.784,395.165,484.674,609.088
PREC,AMJJAS,245.339,332.861,400.621,234.924,191.776,243.007,288.952,212.066,298.664,226.859,320.892,283.866,193.021,247.656,328.572,255.251,291.445,229.151,267.579,152.185,221.454,435.848,351.774,382.412,583.010,338.687,390.180,347.229,335.516,436.054
PREC,ONDJFM,151.141,253.830,242.300,292.392,175.772,271.781,221.510,278.603,234.019,178.572,246.214,182.680,168.191,173.582,313.119,269.683,239.136,312.953,293.483,201.377,142.475,212.882,298.870,312.388,330.705,312.953,223.574,322.184,280.592,415.774
PREC,NDJF,122.389,179.913,193.646,172.329,149.225,250.988,141.811,183.622,148.302,120.165,200.396,94.646,109.598,141.123,191.288,219.185,179.376,209.594,178.187,144.913,100.543,115.838,226.296,188.288,265.982,199.767,127.148,215.020,195.526,269.185
SRAD,year,5550.786,5456.499,5482.193,5240.901,5437.346,5362.586,5262.157,5185.074,5348.707,5468.184,5007.546,5359.640,5360.596,5350.470,5281.881,5350.696,5488.154,5480.236,5485.744,5879.080,5545.768,5244.563,5562.446,5452.250,5354.124,5535.780,5766.059,5680.017,5466.752,5326.945
SRAD,MAMJJASO,4748.617,4595.163,4605.048,4532.031,4645.259,4587.655,4530.213,4387.310,4410.661,4603.185,4215.038,4451.364,4462.237,4556.284,4483.219,4574.919,4606.089,4608.430,4630.784,4971.480,4721.912,4349.370,4752.568,4603.937,4538.069,4640.401,4906.006,4804.878,4662.998,4501.919
SRAD,AMJJAS,3920.731,3845.281,3749.439,3818.384,3942.072,3879.219,3841.751,3667.414,3618.133,3739.516,3558.507,3733.379,3728.343,3800.064,3674.524,3901.709,3803.613,3805.811,3868.380,4124.120,3877.830,3584.498,3958.449,3787.259,3724.691,3861.551,4147.644,3933.930,3948.769,3785.397
SRAD,ONDJFM,866.606,1640.474,1704.769,1434.682,1513.385,1461.493,1529.998,1434.319,1689.433,1801.917,1493.345,1588.054,1627.711,1558.823,1566.122,1473.676,1679.169,1702.995,1574.405,1722.925,1630.586,1767.587,1606.657,1591.046,1647.685,1640.563,1723.505,1643.348,1588.705,1544.029
SRAD,NDJF,421.112,851.368,893.576,722.645,799.999,721.293,803.865,761.958,906.702,922.348,790.621,857.122,948.576,763.004,852.865,718.273,917.102,888.572,810.788,877.086,854.971,929.657,782.166,821.772,839.897,856.434,908.560,871.600,794.100,785.335
WIND,year,2.652,2.518,2.502,2.392,2.398,2.297,2.425,2.354,2.189,2.209,2.256,2.243,2.264,2.431,2.553,2.326,2.620,2.572,2.216,2.444,2.611,2.533,2.564,2.672,2.609,2.434,2.575,2.469,2.492,2.629
WIND,MAMJJASO,2.378,2.560,2.422,2.420,2.316,2.207,2.406,2.296,2.151,2.237,2.258,2.243,2.240,2.367,2.459,2.347,2.695,2.639,2.107,2.427,2.496,2.519,2.535,2.546,2.570,2.468,2.458,2.408,2.461,2.529
WIND,AMJJAS,2.326,2.473,2.364,2.451,2.404,2.264,2.412,2.212,2.135,2.221,2.306,2.136,2.232,2.334,2.415,2.381,2.673,2.556,2.034,2.412,2.489,2.385,2.427,2.534,2.507,2.418,2.437,2.311,2.344,2.466
WIND,ONDJFM,3.123,2.727,2.791,2.408,2.354,2.331,2.367,2.490,2.247,2.303,2.124,2.342,2.270,2.469,2.720,2.380,2.450,2.641,2.393,2.552,2.502,2.746,2.632,2.866,2.763,2.564,2.637,2.585,2.607,2.721
WIND,NDJF,3.318,2.721,2.747,2.458,2.472,2.521,2.386,2.429,2.316,2.291,2.153,2.287,2.201,2.512,2.666,2.509,2.427,2.462,2.367,2.567,2.479,2.810,2.595,2.861,2.799,2.487,2.659,2.519,2.594,2.710
VPD,year,0.571,0.521,0.544,0.542,0.648,0.620,0.611,0.606,0.577,0.654,0.497,0.662,0.712,0.711,0.536,0.575,0.534,0.605,0.572,0.756,0.660,0.558,0.655,0.560,0.491,0.577,0.698,0.638,0.557,0.487
VPD,MAMJJASO,0.758,0.684,0.715,0.732,0.877,0.842,0.830,0.822,0.742,0.870,0.660,0.871,0.955,0.965,0.715,0.777,0.705,0.809,0.757,1.020,0.890,0.719,0.895,0.730,0.644,0.768,0.939,0.845,0.740,0.623
VPD,AMJJAS,0.857,0.806,0.802,0.832,1.048,0.999,1.020,0.970,0.845,0.970,0.760,0.988,1.097,1.140,0.818,0.956,0.811,0.957,0.876,1.221,0.996,0.818,1.070,0.839,0.738,0.893,1.126,0.980,0.880,0.742
VPD,ONDJFM,0.216,0.269,0.284,0.213,0.254,0.257,0.235,0.221,0.292,0.338,0.252,0.267,0.334,0.320,0.264,0.199,0.251,0.268,0.241,0.269,0.307,0.346,0.235,0.263,0.258,0.242,0.301,0.256,0.254,0.240
VPD,NDJF,0.142,0.199,0.213,0.156,0.158,0.175,0.176,0.179,0.210,0.228,0.178,0.191,0.250,0.183,0.207,0.128,0.209,0.199,0.170,0.181,0.226,0.241,0.159,0.196,0.195,0.173,0.241,0.179,0.189,0.179
FWI_FD,year,5.361,4.368,4.602,5.596,7.346,6.915,5.701,6.449,5.064,6.968,3.790,7.675,8.844,7.435,4.158,5.954,4.683,6.497,4.895,10.659,8.637,3.972,6.092,4.646,3.134,4.660,6.630,6.244,4.504,3.431
FWI_FD,MAMJJASO,7.453,5.803,6.345,7.330,10.441,9.487,8.236,9.297,6.529,9.631,5.316,10.239,12.053,10.481,5.910,8.261,6.541,9.279,6.716,14.347,11.456,5.056,8.776,6.074,4.109,6.453,9.435,8.325,6.306,4.642
FWI_FD,AMJJAS,8.603,6.805,6.945,7.666,11.688,11.026,10.363,11.060,7.800,10.413,6.159,10.807,13.389,12.426,6.179,10.508,7.576,11.581,7.372,17.540,12.364,5.637,10.818,7.001,4.615,7.854,11.565,9.730,7.874,5.892
FWI_FD,ONDJFM,0.674,2.083,2.598,1.419,3.575,3.025,2.716,1.252,2.591,2.995,2.088,2.009,4.510,4.239,1.987,1.686,2.018,1.839,1.117,2.626,4.082,5.421,1.113,1.561,2.146,1.437,2.170,1.558,2.060,1.173
FWI_FD,NDJF,0.237,1.187,1.633,0.845,2.074,0.901,1.745,0.896,1.435,1.517,1.136,0.968,2.910,1.599,1.229,0.351,1.780,0.778,0.575,1.277,3.376,3.625,0.551,0.958,1.611,0.995,1.576,0.638,1.675,0.778
FWI_3+,year,51.742,33.581,32.060,57.219,82.736,75.685,62.343,75.028,41.084,75.487,30.336,86.725,105.995,84.209,26.430,62.236,44.131,67.808,43.401,110.592,102.482,27.173,69.966,35.475,12.288,42.399,67.281,59.905,40.658,24.743
FWI_3+,MAMJJASO,49.022,30.963,31.930,52.888,81.609,75.018,62.286,75.000,40.517,75.123,30.333,81.009,101.768,83.947,26.183,61.575,43.965,67.625,43.134,105.989,94.101,26.192,69.889,34.755,12.120,42.214,67.031,58.796,40.359,23.981
FWI_3+,AMJJAS,46.009,30.209,29.944,39.631,67.202,65.170,62.203,68.360,39.960,63.666,28.482,66.398,85.506,78.264,20.319,61.562,39.651,66.652,36.329,102.364,78.098,22.046,67.365,34.178,11.632,41.940,64.994,58.011,39.642,23.919
FWI_3+,ONDJFM,0.113,5.660,4.480,0.982,17.607,15.509,10.544,0.113,7.149,6.488,5.967,2.123,20.381,21.171,5.307,5.741,0.922,5.222,0.231,7.355,9.316,27.414,0.797,2.830,1.219,0.521,1.162,2.046,1.348,1.050
FWI_3+,NDJF,0.028,2.701,2.652,0.103,4.348,1.103,0.678,0.046,0.366,0.474,0.112,0.038,5.912,4.017,0.356,0.130,0.779,0.167,0.074,0.331,4.734,9.075,0.086,0.224,0.607,0.140,0.418,0.047,1.095,0.322
FWI_4+,year,4.499,2.226,2.546,2.166,23.793,18.425,18.414,27.518,2.613,17.443,1.158,28.055,42.094,28.866,0.873,21.073,4.774,26.953,4.500,53.121,29.122,2.014,15.978,3.042,0.298,3.606,22.553,19.248,3.548,2.421
FWI_4+,MAMJJASO,3.838,2.193,2.520,2.140,23.716,18.387,18.395,27.512,2.568,17.418,1.158,27.531,41.619,28.834,0.826,20.980,4.747,26.920,4.472,52.878,28.043,1.927,15.960,2.939,0.276,3.589,22.499,19.135,3.492,2.287
FWI_4+,AMJJAS,3.714,2.165,2.307,1.845,22.339,17.965,18.388,27.326,2.546,17.312,0.874,23.764,37.469,27.652,0.742,20.980,4.357,26.783,4.262,52.832,27.001,1.186,15.786,2.897,0.232,3.585,22.414,19.041,3.470,2.285
FWI_4+,ONDJFM,0.024,0.767,0.252,0.045,0.323,1.450,0.470,0.016,0.216,0.132,0.042,0.317,4.302,4.633,1.216,0.077,0.124,0.539,0.022,0.274,0.373,2.750,0.077,0.243,0.132,0.026,0.152,0.088,0.138,0.082
FWI_4+,NDJF,0.007,0.656,0.044,0.015,0.028,0.074,0.042,0.015,0.019,0.046,0.011,0.006,0.553,0.444,0.055,0.020,0.114,0.034,0.005,0.049,0.258,1.118,0.009,0.046,0.084,0.012,0.067,0.013,0.107,0.068
FWI_5+,year,0.279,0.111,0.150,0.080,1.436,0.394,1.155,0.621,0.059,0.278,0.050,0.719,1.854,1.489,0.062,0.969,0.461,1.198,0.066,13.936,1.186,0.228,1.005,0.187,0.043,0.091,3.844,0.570,0.059,0.109
FWI_5+,MAMJJASO,0.144,0.109,0.142,0.076,1.423,0.383,1.151,0.621,0.038,0.276,0.050,0.696,1.806,1.475,0.045,0.938,0.450,1.191,0.058,13.864,1.011,0.202,0.998,0.151,0.033,0.089,3.829,0.540,0.043,0.059
FWI_5+,AMJJAS,0.112,0.108,0.101,0.063,1.398,0.355,1.145,0.615,0.035,0.254,0.043,0.530,1.552,1.455,0.036,0.938,0.421,1.167,0.048,13.853,0.927,0.051,0.959,0.137,0.023,0.089,3.797,0.522,0.035,0.059
FWI_5+,ONDJFM,0.010,0.158,0.048,0.005,0.016,0.038,0.046,0.003,0.015,0.035,0.006,0.015,0.192,0.298,0.042,0.011,0.041,0.059,0.002,0.035,0.104,0.382,0.018,0.059,0.048,0.008,0.049,0.021,0.031,0.026
FWI_5+,NDJF,0.001,0.135,0.008,0.002,0.004,0.013,0.013,0.003,0.006,0.017,0.001,0.000,0.034,0.037,0.021,0.010,0.040,0.009,0.000,0.016,0.075,0.187,0.002,0.012,0.033,0.008,0.017,0.005,0.025,0.022
FWI_6,year,0.100,0.029,0.051,0.016,0.089,0.038,0.054,0.043,0.022,0.031,0.021,0.113,0.067,0.115,0.023,0.086,0.088,0.116,0.013,0.948,0.165,0.068,0.125,0.054,0.012,0.017,0.264,0.036,0.013,0.036
