Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.831,13.548,13.574,13.534,12.382,12.331,12.583,13.291,14.288,14.315,13.248,13.402,12.876,13.504,14.300,12.922,14.332,13.683,14.167,13.764,13.633,14.041,14.678,14.125,14.063,14.540,14.307,13.686,13.891,13.007
TMAX,MAMJJASO,15.685,16.407,16.221,16.382,15.287,15.013,15.305,15.690,17.088,17.110,16.256,16.066,15.363,15.937,17.452,15.975,17.140,16.037,17.006,16.418,16.444,16.568,17.698,16.724,16.945,17.570,16.873,16.200,17.018,16.729
TMAX,AMJJAS,17.334,18.135,17.859,18.235,16.720,16.230,17.110,17.155,18.556,18.422,17.687,18.009,16.956,17.352,19.088,17.642,18.599,17.433,18.546,17.896,17.837,18.082,19.487,18.422,18.282,19.487,18.195,17.897,18.436,18.377
TMAX,ONDJFM,7.913,8.155,8.955,8.719,8.517,7.862,8.627,8.911,10.207,10.265,8.913,9.258,8.941,8.306,9.944,8.578,9.312,10.410,9.565,9.869,8.726,10.591,9.686,9.635,9.803,9.137,10.754,10.146,8.961,8.671
TMAX,NDJF,6.731,7.020,7.781,7.826,7.135,6.006,7.584,7.889,9.204,8.655,6.906,8.134,8.193,7.118,9.222,7.007,7.247,9.356,8.412,8.496,7.594,8.975,8.232,8.717,8.755,7.745,9.414,9.142,7.417,6.747
TMIN,year,5.408,5.839,6.116,5.654,5.154,4.990,5.374,6.043,6.213,6.418,5.830,5.983,5.671,6.240,6.198,5.459,6.512,6.509,6.603,6.345,6.063,6.703,6.368,6.776,6.662,6.966,6.691,6.277,6.419,5.161
TMIN,MAMJJASO,7.674,7.907,7.981,7.466,7.501,6.929,7.308,7.826,8.061,8.219,8.134,8.003,7.450,7.888,8.333,7.533,8.344,8.397,8.671,8.177,8.354,8.361,8.447,8.710,8.852,9.086,8.510,8.255,8.700,8.019
TMIN,AMJJAS,8.884,9.098,9.077,8.520,8.637,7.866,8.707,8.868,8.934,8.869,9.057,9.412,8.725,8.928,9.394,8.483,9.421,9.442,9.798,9.199,9.216,9.590,10.035,10.009,9.581,10.331,9.618,9.667,9.822,9.259
TMIN,ONDJFM,1.602,1.543,2.908,2.658,2.182,1.749,2.190,3.002,3.590,3.852,2.844,3.090,2.645,2.336,3.442,2.804,2.877,4.120,3.152,3.440,2.625,3.881,3.197,3.009,3.753,3.132,4.330,3.327,2.625,2.334
TMIN,NDJF,0.559,0.760,1.857,1.934,1.243,0.361,1.377,2.436,2.896,2.654,1.145,1.990,2.281,1.414,3.261,1.521,1.291,3.537,2.248,2.436,1.853,2.350,2.634,2.601,2.900,1.810,3.460,2.519,1.724,0.959
TAVG,year,8.937,9.532,9.685,9.425,8.618,8.513,8.838,9.531,10.082,10.180,9.402,9.541,9.100,9.712,10.080,9.042,10.263,9.949,10.223,9.917,9.680,10.238,10.377,10.286,10.302,10.690,10.435,9.908,10.120,8.951
TAVG,MAMJJASO,11.508,12.029,11.967,11.775,11.262,10.832,11.185,11.627,12.413,12.496,12.069,11.903,11.269,11.776,12.744,11.600,12.598,12.104,12.710,12.163,12.267,12.352,12.964,12.612,12.853,13.277,12.633,12.162,12.842,12.268
TAVG,AMJJAS,12.956,13.477,13.327,13.228,12.520,11.902,12.792,12.880,13.585,13.487,13.249,13.559,12.704,13.016,14.105,12.917,13.864,13.326,14.052,13.386,13.413,13.741,14.655,14.108,13.891,14.866,13.858,13.719,14.131,13.710
TAVG,ONDJFM,4.529,4.670,5.744,5.502,5.169,4.685,5.229,5.822,6.708,6.868,5.724,6.000,5.603,5.142,6.460,5.539,5.925,7.092,6.153,6.501,5.532,6.987,6.286,6.140,6.628,6.038,7.464,6.636,5.736,5.390
TAVG,NDJF,3.434,3.693,4.591,4.658,3.995,3.033,4.265,5.023,5.861,5.442,3.878,4.855,5.015,4.043,6.019,4.089,4.099,6.259,5.090,5.295,4.580,5.365,5.269,5.447,5.613,4.683,6.351,5.722,4.511,3.737
RH,year,83.577,82.496,82.370,81.336,83.248,82.284,83.124,82.470,80.571,80.315,82.788,82.235,82.512,82.095,80.495,80.953,82.185,82.734,82.152,82.906,82.247,82.670,80.018,82.211,81.695,81.313,83.015,82.749,82.840,81.608
