Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.320,12.716,13.514,12.327,11.004,11.991,10.731,12.529,13.878,13.712,13.070,13.433,12.173,12.929,12.960,11.792,12.588,12.309,13.764,13.964,13.105,13.952,12.877,12.654,13.047,13.664,13.825,13.893,12.930,12.563
TMAX,MAMJJASO,17.465,17.554,18.571,17.341,16.929,17.252,15.697,17.623,18.395,17.912,17.769,18.129,17.003,18.076,18.390,17.331,17.491,17.325,19.229,18.507,18.396,19.599,17.936,17.662,17.981,18.952,19.129,18.438,18.012,18.786
TMAX,AMJJAS,20.152,20.169,21.596,20.044,19.702,19.927,18.506,20.818,20.981,19.943,20.467,21.396,19.870,21.346,21.053,20.349,20.557,20.211,22.269,20.906,21.258,23.156,21.147,20.239,21.242,22.321,21.516,21.036,21.472,22.128
TMAX,ONDJFM,2.220,4.407,5.945,4.582,2.431,3.800,2.832,4.815,6.302,7.181,5.565,6.350,4.719,3.802,5.445,2.524,5.202,5.034,4.050,5.419,6.421,6.239,3.014,4.541,4.803,3.905,7.642,6.044,5.352,3.417
TMAX,NDJF,0.479,1.400,4.205,2.434,-0.985,0.603,0.599,2.991,4.100,4.802,3.236,4.282,3.532,1.306,3.657,-0.756,2.656,3.494,0.852,3.355,4.185,3.365,0.348,2.681,3.256,1.323,4.766,4.046,3.119,0.854
TMIN,year,4.784,4.831,5.491,4.974,3.495,4.270,2.939,4.913,6.136,6.036,5.346,5.510,4.505,4.980,5.145,3.575,4.884,5.060,5.494,6.031,5.398,5.416,5.076,5.073,4.830,5.265,5.827,6.162,5.213,4.472
TMIN,MAMJJASO,8.394,8.071,8.952,8.381,8.320,8.118,6.762,8.503,9.139,8.505,8.502,8.387,7.712,8.522,8.963,7.346,7.965,8.464,8.869,8.501,9.134,9.020,8.307,8.480,7.828,8.572,9.389,8.838,8.388,8.874
TMIN,AMJJAS,10.367,9.837,10.961,10.349,10.103,10.029,9.309,10.999,10.647,9.880,10.322,10.534,9.741,10.674,10.586,9.661,9.998,10.681,10.721,9.952,11.202,11.248,10.628,10.132,10.388,10.877,11.035,10.409,10.496,11.714
TMIN,ONDJFM,-3.477,-0.930,0.625,-0.748,-2.727,-1.708,-3.221,-0.282,0.685,1.623,0.564,0.915,-0.289,-1.199,0.417,-3.487,-0.182,0.396,-1.120,0.899,1.419,0.451,-2.240,-0.169,-0.348,-1.705,1.739,1.505,0.622,-1.684
TMIN,NDJF,-4.255,-3.183,-0.409,-2.056,-5.868,-4.367,-4.604,-1.221,-0.770,-0.002,-0.971,-0.247,-0.765,-3.056,-0.871,-5.616,-1.740,-0.204,-3.297,-0.484,0.574,-1.569,-4.069,-1.330,-1.035,-2.913,-0.132,0.415,-0.945,-3.271
TAVG,year,8.393,8.628,9.380,8.483,7.067,7.991,6.687,8.540,9.863,9.706,9.027,9.361,8.194,8.797,8.853,7.612,8.622,8.502,9.612,9.899,9.093,9.608,8.845,8.739,8.856,9.443,9.727,9.978,9.028,8.480
TAVG,MAMJJASO,12.663,12.577,13.562,12.625,12.332,12.458,10.982,12.826,13.560,12.995,12.883,13.072,12.153,13.086,13.436,12.237,12.594,12.694,14.027,13.359,13.555,14.201,12.937,12.885,12.793,13.719,14.093,13.556,13.086,13.740
TAVG,AMJJAS,14.969,14.792,16.088,14.938,14.602,14.783,13.692,15.668,15.615,14.730,15.165,15.809,14.625,15.826,15.638,14.920,15.173,15.281,16.585,15.350,16.036,17.169,15.741,15.033,15.742,16.590,16.128,15.690,15.901,16.844
TAVG,ONDJFM,-0.641,1.672,3.213,1.882,-0.226,0.989,-0.301,2.169,3.348,4.287,2.931,3.524,2.159,1.202,2.726,-0.569,2.392,2.550,1.260,3.074,3.795,3.193,0.276,2.120,2.121,1.025,4.643,3.725,2.960,0.867
TAVG,NDJF,-1.813,-0.827,1.904,0.215,-3.429,-1.815,-2.006,0.863,1.623,2.344,1.108,2.022,1.419,-0.911,1.283,-3.215,0.423,1.528,-1.346,1.476,2.330,0.858,-1.869,0.685,1.063,-0.795,2.377,2.250,1.146,-1.128
RH,year,81.727,79.768,79.546,80.739,81.623,81.048,81.473,81.259,81.288,80.589,81.266,79.253,78.621,78.607,80.258,78.621,79.376,81.133,79.092,79.668,81.457,77.196,79.758,81.456,80.594,79.471,80.909,80.716,82.069,83.280
RH,MAMJJASO,78.571,76.131,76.683,78.499,79.649,78.301,78.552,78.929,78.393,76.948,78.435,75.155,76.033,74.786,77.397,74.791,76.063,78.278,74.614,75.354,79.173,72.799,75.511,77.896,76.934,74.900,77.139,77.135,78.314,80.308
RH,AMJJAS,77.125,74.309,74.520,77.261,77.594,76.784,78.412,76.946,76.266,75.937,76.791,72.383,73.908,72.308,75.535,73.067,73.728,77.345,72.084,73.699,77.972,69.520,73.698,75.217,74.915,71.534,75.066,73.960,75.183,78.862
RH,ONDJFM,83.753,86.271,85.622,83.028,85.413,85.496,85.063,86.060,84.902,85.359,86.026,85.841,85.793,83.737,84.852,83.257,84.933,85.768,85.966,85.705,84.722,85.371,84.288,87.583,87.170,86.554,86.592,87.726,88.871,88.423
RH,NDJF,86.300,88.337,86.453,84.207,85.429,86.342,86.891,87.310,86.165,87.705,87.488,87.443,86.797,84.488,86.397,85.396,86.497,87.235,88.030,87.289,87.612,86.839,86.286,88.405,88.412,88.369,88.535,88.293,89.787,89.131
