Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.448,15.571,15.511,14.429,13.589,14.370,13.723,15.178,16.190,16.002,14.803,15.685,14.728,15.867,15.829,13.845,15.601,15.281,16.243,15.882,15.538,16.025,16.520,15.763,16.097,16.540,16.407,15.853,16.014,14.464
TMAX,MAMJJASO,18.548,19.528,19.209,17.582,17.855,18.215,17.571,18.200,19.819,19.467,18.820,19.357,18.516,19.310,19.928,18.131,19.598,18.742,20.149,19.311,19.292,19.627,20.702,19.616,20.078,20.604,19.994,19.343,20.290,19.326
TMAX,AMJJAS,20.454,21.668,21.295,19.277,19.858,19.978,19.651,20.227,21.411,20.838,20.240,21.915,20.524,21.357,21.844,20.194,21.531,20.755,22.254,21.316,21.089,21.672,23.176,21.580,21.744,23.018,21.937,21.623,22.672,21.370
TMAX,ONDJFM,7.669,8.331,9.724,9.174,8.202,7.732,8.324,9.825,10.787,11.502,9.754,9.475,9.407,8.916,10.635,7.837,9.026,10.539,9.339,10.206,9.696,11.173,9.750,9.763,9.781,9.416,12.268,10.247,8.864,8.803
TMAX,NDJF,5.260,6.456,7.948,7.551,6.123,5.287,6.578,8.425,9.015,9.463,6.752,7.590,8.048,6.977,9.675,5.090,6.248,8.944,7.534,8.639,8.294,8.722,7.498,8.550,7.723,7.085,10.440,9.014,6.727,6.397
TMIN,year,6.553,6.953,7.086,6.522,5.681,5.779,6.009,7.532,7.212,7.208,6.200,7.420,6.528,7.411,6.967,5.249,6.837,7.322,7.524,7.863,7.285,7.526,6.477,7.058,7.198,7.826,7.795,7.254,6.945,5.704
TMIN,MAMJJASO,9.526,9.573,9.660,8.488,8.901,8.261,8.616,9.483,9.548,9.078,8.841,9.746,8.921,9.622,9.648,7.937,9.321,9.843,10.019,9.995,10.014,9.778,8.911,9.503,9.569,10.348,9.945,9.471,9.508,8.882
TMIN,AMJJAS,10.706,10.925,11.198,9.718,10.338,9.415,10.294,10.844,10.389,9.929,9.831,11.520,10.532,11.140,11.052,9.384,10.683,11.237,11.437,11.220,10.980,11.473,10.862,10.929,10.640,11.903,11.508,11.047,11.121,10.165
TMIN,ONDJFM,1.670,1.629,3.724,2.388,1.832,1.494,1.800,4.082,4.355,4.513,2.906,3.173,2.859,2.864,3.834,1.101,2.373,3.785,3.126,3.807,3.810,4.302,2.247,2.815,3.188,2.921,5.535,3.545,2.363,2.359
TMIN,NDJF,-0.229,0.273,2.533,1.555,-0.041,-0.050,0.855,3.397,3.284,3.186,0.960,1.999,2.617,1.479,3.725,-0.644,0.604,3.071,1.836,2.746,2.837,2.665,1.180,2.704,1.905,1.569,4.695,2.934,1.148,1.011
TAVG,year,10.547,11.292,11.373,10.497,9.701,10.185,9.960,11.388,11.788,11.744,10.613,11.616,10.687,11.738,11.480,9.659,11.298,11.352,11.974,11.944,11.481,11.822,11.617,11.485,11.732,12.287,12.180,11.650,11.630,10.297
TAVG,MAMJJASO,14.043,14.579,14.495,13.088,13.416,13.351,13.163,13.850,14.827,14.456,13.975,14.634,13.782,14.547,14.857,13.161,14.528,14.337,15.149,14.701,14.695,14.722,14.966,14.615,14.906,15.602,15.043,14.499,15.039,14.283
TAVG,AMJJAS,15.606,16.368,16.317,14.576,15.190,14.874,15.087,15.548,16.092,15.632,15.247,16.816,15.655,16.357,16.549,15.003,16.207,16.007,16.948,16.312,16.118,16.592,17.263,16.343,16.329,17.613,16.818,16.436,17.039,16.006
TAVG,ONDJFM,4.686,4.998,6.791,5.787,5.034,4.653,5.132,6.990,7.633,7.967,6.368,6.364,6.140,5.916,7.288,4.503,5.758,7.229,6.329,7.100,6.805,7.796,6.053,6.303,6.566,6.154,8.980,6.977,5.721,5.759
TAVG,NDJF,2.581,3.438,5.352,4.598,3.070,2.757,3.811,6.003,6.217,6.280,3.926,4.866,5.360,4.285,6.833,2.313,3.533,6.084,4.783,5.835,5.639,5.833,4.429,5.672,4.925,4.404,7.648,6.060,4.061,3.954
RH,year,82.837,80.658,80.653,82.024,82.934,80.527,82.453,82.055,80.091,80.517,81.662,82.066,83.792,82.981,82.684,81.338,82.280,85.005,82.607,83.485,83.331,82.534,79.390,82.057,82.092,80.844,82.873,81.939,81.543,81.671
RH,MAMJJASO,80.085,77.838,78.274,79.696,81.252,78.309,79.878,79.470,76.405,77.234,78.823,78.653,81.119,80.306,80.143,78.829,79.587,83.426,79.541,81.556,80.152,80.154,76.031,78.586,79.194,77.404,80.161,79.118,78.018,77.753
RH,AMJJAS,78.286,75.824,76.620,78.619,79.669,76.316,79.347,77.042,74.416,75.766,77.503,76.515,80.558,79.129,78.804,77.056,77.972,82.494,77.773,79.654,78.100,79.520,74.394,77.476,77.599,75.347,79.171,77.055,75.919,76.175
RH,ONDJFM,86.536,85.525,86.024,84.463,86.212,84.960,85.078,86.908,86.988,84.453,85.862,87.111,86.274,87.374,86.712,86.057,86.804,86.363,88.599,87.228,87.969,85.897,84.828,86.088,86.702,86.911,85.969,86.194,88.453,86.539
RH,NDJF,87.893,86.686,86.300,86.324,85.919,85.434,86.731,87.698,88.648,85.704,87.765,88.868,88.537,88.346,88.924,86.870,87.146,87.674,89.605,87.875,88.593,87.726,86.763,87.912,88.410,88.869,87.942,86.862,89.812,88.891
RHmin,year,65.977,63.020,63.424,65.266,65.950,62.964,66.071,65.845,62.214,63.147,64.014,64.988,66.345,65.348,64.307,63.770,64.155,67.539,64.603,66.503,65.807,64.697,60.133,64.021,63.880,63.474,65.027,64.284,63.417,64.417
RHmin,MAMJJASO,61.834,58.639,59.769,61.611,62.846,59.011,61.722,61.900,57.585,58.052,59.732,60.139,61.896,61.110,60.024,59.217,59.475,64.824,59.819,62.680,61.634,60.446,54.917,58.898,58.925,58.397,60.524,59.920,57.775,58.414
RHmin,AMJJAS,59.403,56.082,57.866,60.262,60.959,56.877,60.991,59.037,55.141,56.431,58.474,57.462,61.219,59.657,58.547,57.436,57.617,62.993,57.611,59.992,58.856,59.603,53.419,57.516,57.073,55.778,59.459,57.459,55.137,56.434
RHmin,ONDJFM,71.703,69.463,71.723,68.487,70.571,70.148,69.645,72.872,71.730,68.161,69.711,71.774,70.659,72.436,70.535,69.800,70.847,70.442,73.420,71.868,73.377,69.891,67.989,69.499,70.980,71.061,70.384,70.372,72.638,71.630
RHmin,NDJF,73.829,71.535,73.264,71.560,70.639,72.595,72.613,75.183,74.355,70.312,73.160,74.685,74.646,74.430,74.275,72.523,73.209,73.175,75.048,73.514,74.785,73.044,71.705,73.261,73.850,74.857,73.752,72.214,75.532,75.878
PREC,year,849.612,646.672,824.994,858.484,745.301,800.260,844.192,892.784,634.148,762.157,619.082,820.708,934.373,954.044,744.707,623.042,670.596,1088.887,836.180,920.022,985.484,929.817,646.852,892.986,787.050,782.665,954.626,820.492,778.051,845.783
PREC,MAMJJASO,553.948,420.320,519.922,563.484,520.574,468.667,600.066,562.610,455.983,420.692,375.419,577.112,593.210,633.347,456.692,385.806,471.442,840.156,462.695,604.306,656.066,523.552,419.203,558.046,523.582,534.317,588.112,570.425,464.804,594.232
PREC,AMJJAS,311.141,272.361,394.249,419.267,440.565,287.459,448.681,392.832,296.692,336.134,320.899,411.184,503.918,423.029,355.026,314.026,366.505,547.405,372.840,437.359,528.375,406.907,314.114,472.428,439.439,393.283,500.228,400.206,331.160,482.775
PREC,ONDJFM,255.966,414.488,463.759,441.985,324.258,379.645,466.512,555.911,354.409,365.760,324.905,359.803,388.289,542.911,588.243,162.734,352.484,379.427,569.479,464.326,481.304,484.882,400.260,443.942,356.992,327.574,509.305,415.560,348.032,450.716
PREC,NDJF,140.446,233.301,292.175,347.445,170.469,280.559,298.564,364.045,201.296,270.637,247.738,236.342,298.000,351.971,404.201,132.088,266.983,204.182,322.366,349.380,319.604,395.372,281.448,338.441,260.625,218.864,381.652,291.724,215.376,319.278
SRAD,year,3491.582,3951.284,3771.248,3525.947,3504.524,3749.386,3438.440,3457.295,3895.432,3868.712,3700.617,3735.878,3571.268,3717.956,3920.793,3683.154,3837.038,3397.366,3997.714,3643.002,3803.695,3751.232,4287.054,3880.154,3977.573,3967.867,3853.679,3922.028,4101.020,3991.346
SRAD,MAMJJASO,3154.629,3582.969,3385.044,3168.872,3152.886,3364.928,3124.379,3132.074,3512.688,3537.063,3333.954,3403.115,3262.317,3369.707,3566.387,3339.010,3498.937,3028.128,3636.838,3276.357,3441.742,3378.024,3855.157,3533.243,3603.326,3630.558,3526.410,3546.069,3766.858,3675.004
SRAD,AMJJAS,2777.230,3115.302,2939.517,2710.656,2737.386,2931.006,2640.764,2751.127,3054.053,3019.941,2855.671,2990.075,2758.525,2904.050,3047.330,2862.357,3037.912,2655.970,3160.073,2887.058,3044.588,2874.804,3286.674,3028.068,3095.556,3147.436,2991.431,3084.238,3289.929,3172.139
