Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.091,14.860,15.285,13.549,13.307,14.193,13.190,14.525,15.297,15.376,14.118,15.486,14.661,15.827,14.485,12.895,14.500,14.811,15.147,16.001,14.391,15.330,15.711,14.688,14.739,15.348,15.918,15.634,15.132,13.832
TMAX,MAMJJASO,19.367,20.121,20.452,18.037,18.704,19.447,18.076,19.209,20.017,19.971,19.050,20.473,19.576,20.494,19.593,17.963,19.264,19.556,20.412,20.814,19.450,20.133,21.133,19.674,20.019,20.539,20.836,19.903,20.399,19.131
TMAX,AMJJAS,21.594,22.598,23.222,20.120,21.345,21.968,20.996,22.139,21.852,21.755,21.301,23.738,22.490,23.296,21.967,20.677,21.883,22.306,23.046,23.404,21.446,22.956,24.621,22.145,22.564,23.348,23.618,22.506,23.730,21.815
TMAX,ONDJFM,5.400,6.055,7.891,6.634,5.532,5.952,5.531,7.329,8.032,9.346,7.432,7.255,6.617,7.723,7.763,4.881,6.893,8.021,6.626,7.172,8.382,8.243,6.499,6.646,7.108,5.917,10.330,7.472,6.974,6.520
TMAX,NDJF,2.200,2.957,5.562,4.194,2.345,3.138,3.297,5.644,5.095,6.405,4.317,5.002,4.793,5.183,6.329,1.712,3.920,6.483,3.716,4.820,5.953,4.960,3.815,5.072,4.522,2.942,7.937,5.521,4.506,4.121
TMIN,year,5.104,5.277,5.486,4.910,4.308,4.783,4.503,5.612,5.862,5.653,4.825,5.953,5.109,6.242,5.567,4.342,5.005,5.713,5.936,6.506,5.648,6.185,5.391,5.376,5.220,5.782,6.269,6.310,6.068,5.045
TMIN,MAMJJASO,8.901,8.863,9.102,7.839,8.359,8.490,7.982,8.658,9.081,8.530,8.373,9.104,8.493,9.253,9.065,8.097,8.072,9.220,9.482,9.727,9.487,9.628,8.999,8.674,8.639,9.397,9.222,9.072,9.657,8.877
TMIN,AMJJAS,10.357,10.642,11.053,9.530,10.249,10.421,10.378,10.562,10.719,9.992,10.106,11.337,10.524,11.298,10.837,10.064,10.139,11.209,11.431,11.222,10.857,11.814,11.501,10.448,10.854,11.639,11.225,11.047,11.676,11.231
TMIN,ONDJFM,-1.832,-0.827,0.984,-0.769,-1.118,-1.008,-1.857,1.212,0.999,1.067,0.230,0.148,-0.526,0.983,0.686,-1.511,-0.136,0.484,0.142,0.425,1.650,0.695,-0.665,-0.366,-0.041,-1.141,2.555,0.713,0.681,-0.122
TMIN,NDJF,-4.283,-3.022,-0.537,-2.259,-3.603,-2.933,-2.971,0.347,-0.715,-0.749,-1.813,-0.972,-1.655,-0.749,0.179,-3.628,-2.257,-0.146,-1.967,-1.194,-0.236,-1.675,-2.415,-1.311,-1.291,-2.984,1.644,-0.329,-0.918,-1.644
TAVG,year,9.459,9.871,10.265,9.028,8.594,9.277,8.692,9.931,10.373,10.294,9.248,10.570,9.684,10.854,9.863,8.412,9.539,10.110,10.389,11.092,9.835,10.560,10.396,9.869,9.795,10.328,10.953,10.801,10.436,9.286
TAVG,MAMJJASO,13.929,14.260,14.628,12.685,13.263,13.723,12.804,13.759,14.310,14.000,13.434,14.627,13.786,14.675,14.113,12.789,13.382,14.212,14.732,15.056,14.226,14.620,14.909,13.957,14.094,14.668,14.844,14.281,14.780,13.768
TAVG,AMJJAS,15.775,16.479,17.035,14.649,15.570,16.010,15.479,16.210,16.103,15.712,15.499,17.460,16.314,17.175,16.273,15.194,15.796,16.603,17.076,17.146,15.968,17.160,17.982,16.124,16.544,17.268,17.296,16.646,17.484,16.349
TAVG,ONDJFM,1.702,2.453,4.261,2.746,2.003,2.257,1.630,4.162,4.368,4.891,3.592,3.454,2.827,4.161,4.002,1.468,3.175,4.052,3.222,3.688,4.824,4.262,2.734,2.975,3.315,2.164,6.265,3.901,3.685,3.076
TAVG,NDJF,-1.097,-0.069,2.427,0.897,-0.746,0.001,0.050,2.950,2.139,2.581,1.154,1.910,1.448,2.091,3.180,-1.053,0.751,3.052,0.819,1.818,2.756,1.569,0.613,1.780,1.465,-0.112,4.770,2.520,1.775,1.232
RH,year,78.333,77.053,76.151,78.634,78.602,77.453,79.448,77.905,78.134,75.610,77.105,74.801,75.801,76.282,78.505,79.397,77.494,76.948,77.424,77.223,80.398,78.152,73.655,77.559,77.327,77.465,76.375,77.511,78.856,79.069
RH,MAMJJASO,75.518,73.525,72.450,75.698,76.297,74.420,76.452,74.072,74.814,71.303,74.256,69.997,72.162,72.376,75.172,76.897,73.648,73.990,73.509,73.049,77.600,74.709,68.257,73.800,73.065,73.296,71.655,74.340,74.841,75.426
RH,AMJJAS,73.845,71.872,70.567,75.281,74.576,73.160,75.860,71.741,73.726,70.434,72.606,67.190,69.742,70.157,73.444,75.185,72.288,72.519,71.555,69.675,75.276,73.194,65.474,71.586,71.674,70.828,68.937,72.161,71.803,74.814
RH,ONDJFM,80.614,82.270,83.226,80.495,82.836,82.638,82.209,84.209,83.200,80.247,82.016,81.830,81.571,82.661,82.641,84.392,83.091,80.659,83.849,83.990,85.436,82.820,82.850,82.848,83.321,84.655,82.719,83.396,85.962,83.813
RH,NDJF,82.187,84.234,84.589,83.273,83.384,83.985,84.951,86.070,85.984,82.531,83.606,84.527,83.356,84.072,84.402,85.771,84.709,83.368,85.448,84.973,86.424,84.566,85.421,84.386,85.714,86.558,85.691,84.770,87.052,86.104
RHmin,year,59.976,57.804,57.100,60.563,59.704,58.340,61.062,59.946,58.815,56.768,58.025,56.725,56.954,57.428,60.360,61.248,58.356,58.732,59.094,58.536,61.910,59.579,54.751,58.893,58.337,58.135,57.942,58.815,60.538,60.910
RHmin,MAMJJASO,55.402,52.519,52.068,55.609,55.841,53.697,56.261,54.313,53.966,50.727,53.626,50.230,51.845,51.920,55.095,57.259,52.473,54.646,53.265,52.859,57.795,54.719,48.207,53.270,52.005,52.413,51.212,53.952,54.627,55.619
RHmin,AMJJAS,53.106,50.782,49.860,55.212,53.560,52.179,55.319,51.268,53.246,50.022,52.021,47.129,49.119,49.697,53.392,55.303,51.170,52.593,51.160,49.004,55.422,52.825,45.208,50.824,51.032,50.323,48.430,51.942,50.566,55.164
RHmin,ONDJFM,63.947,65.752,66.504,63.252,66.477,65.830,64.612,69.186,66.617,61.514,64.966,64.884,64.528,66.351,65.561,68.320,66.191,63.441,67.936,67.604,68.654,65.278,66.048,65.962,66.101,67.215,64.905,67.092,70.021,67.826
RHmin,NDJF,66.304,69.212,69.337,67.304,68.292,68.660,69.018,72.448,71.191,65.123,68.447,69.488,67.472,69.044,69.201,71.804,69.291,67.511,70.872,70.067,70.696,68.349,69.815,68.382,70.502,71.230,70.259,70.248,72.983,71.541
PREC,year,869.497,561.417,609.015,658.935,717.156,751.972,780.975,725.915,594.034,606.636,602.208,628.477,701.295,689.737,823.130,722.034,755.658,749.147,655.681,716.521,825.986,883.756,515.445,681.899,739.154,718.115,760.174,633.787,759.817,883.878
PREC,MAMJJASO,645.498,416.701,434.086,503.087,525.927,549.860,575.242,490.322,473.068,416.003,425.771,463.649,488.892,514.843,624.164,608.179,590.199,644.912,449.469,537.545,637.925,651.467,381.848,470.551,507.074,562.870,532.614,485.809,576.434,677.761
PREC,AMJJAS,471.750,352.006,364.825,452.353,477.314,460.293,504.600,388.383,410.485,361.239,382.091,310.603,410.488,403.731,546.025,519.653,496.166,472.414,384.860,362.943,539.490,516.776,298.410,379.703,472.599,457.771,449.036,379.926,432.786,630.088
PREC,ONDJFM,152.439,340.464,270.339,202.781,199.022,252.526,313.276,310.571,239.682,207.616,201.539,313.835,273.010,325.807,309.420,185.946,238.885,245.855,324.806,356.038,266.999,289.911,295.602,302.507,296.914,261.564,277.841,274.062,282.278,283.476
PREC,NDJF,89.355,192.070,198.275,158.073,133.130,202.872,220.945,202.153,185.270,153.779,139.453,215.700,176.098,202.809,206.036,141.328,134.000,143.876,170.904,199.362,147.648,220.323,190.157,186.534,228.827,179.795,196.539,175.988,161.983,179.525
