Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,10.854,11.416,12.084,11.488,9.740,10.934,9.521,11.537,12.840,12.306,11.976,12.158,10.907,11.261,12.056,10.955,11.770,11.207,12.629,12.838,11.934,12.294,11.679,11.773,11.966,12.642,12.656,12.515,11.537,11.104
TMAX,MAMJJASO,15.556,15.894,16.808,16.324,15.520,16.132,14.484,16.587,17.205,16.438,16.156,16.396,15.435,16.353,16.997,16.069,16.366,15.945,17.697,17.105,17.158,17.763,16.385,16.611,16.638,17.617,17.769,16.587,16.289,17.341
TMAX,AMJJAS,18.347,18.398,19.877,19.135,18.059,18.787,17.134,19.662,19.934,18.774,18.663,19.564,18.200,19.496,19.594,18.868,19.441,18.715,20.794,19.613,20.123,21.404,19.339,19.367,19.820,20.980,20.134,19.050,19.553,20.766
TMAX,ONDJFM,0.878,3.449,4.841,3.790,1.759,2.986,1.755,3.801,5.314,5.636,4.519,6.127,4.162,2.001,4.666,2.449,4.903,3.932,3.275,5.026,5.336,4.938,1.649,4.045,3.826,3.453,6.235,5.453,4.792,1.950
TMAX,NDJF,0.192,0.519,3.551,1.978,-1.571,-0.191,-0.629,1.929,3.105,3.669,2.619,4.379,3.202,-0.471,3.009,-0.700,2.975,2.568,0.510,3.334,3.502,2.129,-0.681,2.266,2.617,1.215,3.413,3.920,2.824,-0.559
TMIN,year,4.147,4.107,4.849,4.534,2.738,3.695,2.344,4.551,5.809,5.306,5.048,5.093,3.915,3.932,4.761,3.071,4.286,4.153,4.835,5.493,4.681,4.373,4.403,4.639,4.354,4.759,5.256,5.870,4.706,3.615
TMIN,MAMJJASO,7.635,7.392,8.442,8.037,7.867,7.897,6.393,8.386,8.898,8.114,8.005,7.964,7.083,7.688,8.554,6.802,7.556,7.658,8.403,8.117,8.637,8.075,7.800,8.270,7.374,8.050,8.927,8.427,7.981,8.559
TMIN,AMJJAS,9.947,9.163,10.570,10.168,9.532,9.686,8.826,10.769,10.550,9.628,9.733,10.082,8.964,9.840,10.063,8.921,9.761,10.081,10.313,9.726,10.900,10.556,10.232,10.253,10.096,10.463,10.567,9.837,10.171,11.339
TMIN,ONDJFM,-4.680,-1.870,-0.224,-1.405,-3.373,-2.348,-4.169,-0.810,0.033,0.619,-0.150,1.213,-0.563,-3.017,0.165,-3.759,-0.491,-1.286,-2.094,0.254,0.427,-0.451,-3.832,-0.924,-1.463,-2.099,0.702,1.449,0.449,-3.110
TMIN,NDJF,-4.384,-4.375,-1.071,-2.719,-6.703,-5.360,-5.934,-2.203,-1.722,-0.925,-1.768,0.001,-1.099,-5.123,-1.150,-6.124,-2.112,-1.831,-4.211,-1.072,-0.358,-2.711,-5.520,-2.064,-1.835,-3.227,-1.403,0.491,-1.111,-5.078
TAVG,year,7.448,7.724,8.436,7.956,6.173,7.264,5.814,8.002,9.261,8.760,8.442,8.582,7.344,7.574,8.346,6.916,8.024,7.578,8.723,9.088,8.251,8.349,7.941,8.140,8.146,8.724,8.916,9.180,8.115,7.319
TAVG,MAMJJASO,11.428,11.520,12.527,12.071,11.528,11.885,10.211,12.384,12.937,12.195,11.949,12.082,11.140,11.951,12.638,11.274,11.896,11.608,12.999,12.447,12.766,12.890,11.932,12.258,11.943,12.819,13.227,12.464,12.083,12.833
TAVG,AMJJAS,13.965,13.666,15.106,14.509,13.605,14.112,12.771,15.134,15.135,14.118,14.090,14.753,13.459,14.631,14.677,13.707,14.568,14.216,15.535,14.493,15.334,16.018,14.643,14.628,14.926,15.709,15.247,14.419,14.800,15.911
