Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.814,15.794,16.517,14.638,15.233,15.343,15.178,16.063,16.544,16.545,15.343,16.814,16.186,17.167,15.866,14.681,16.139,16.519,16.353,17.870,16.820,17.104,17.555,15.919,15.783,16.786,17.617,17.058,17.094,15.685
TMAX,MAMJJASO,20.655,20.374,21.479,19.044,20.311,20.400,19.824,20.504,20.687,20.871,20.080,21.281,20.957,21.568,20.326,19.301,20.572,20.980,21.327,22.436,21.799,21.428,22.880,20.442,20.707,21.550,22.118,21.268,22.171,20.477
TMAX,AMJJAS,22.516,23.039,23.783,21.174,23.006,23.102,22.940,22.967,22.113,22.431,22.379,24.176,23.523,23.814,22.437,21.997,22.930,23.420,23.553,24.847,23.532,23.376,26.033,22.779,23.058,24.010,24.878,23.506,24.955,23.274
TMAX,ONDJFM,7.143,8.445,9.603,7.851,7.414,7.510,7.541,9.334,10.070,11.481,8.881,8.866,9.093,9.783,9.410,7.628,9.298,10.145,8.671,9.353,11.069,10.545,9.470,8.687,9.117,7.838,12.221,9.563,9.325,8.761
TMAX,NDJF,4.134,5.925,7.395,5.347,4.726,5.064,5.576,7.600,7.252,8.665,5.658,7.031,7.356,6.692,8.214,4.817,6.756,8.832,5.701,6.523,8.772,6.908,6.592,7.237,6.459,5.205,10.185,7.872,6.431,6.341
TMIN,year,5.708,6.426,6.045,5.667,5.358,5.633,5.870,6.367,6.548,6.426,5.938,7.061,6.633,7.820,6.663,6.091,6.502,6.707,7.119,7.656,6.981,7.802,6.821,6.521,6.251,6.794,7.258,7.533,7.248,6.655
TMIN,MAMJJASO,9.972,10.071,9.982,8.809,9.367,9.543,9.513,9.851,9.945,9.694,9.865,10.434,10.320,11.071,10.064,9.572,9.551,10.428,11.347,11.071,10.887,11.058,10.764,10.039,10.166,10.408,10.557,10.722,10.954,10.307
TMIN,AMJJAS,11.411,12.049,12.179,10.417,11.377,11.800,11.926,11.788,11.847,11.255,11.691,12.627,12.275,13.135,11.949,11.701,11.618,12.706,13.303,12.770,12.066,12.985,13.340,11.742,12.325,12.428,12.571,12.785,13.275,12.609
TMIN,ONDJFM,-2.520,-0.045,1.355,-0.385,-0.170,-0.142,-1.147,1.919,1.021,1.286,0.810,0.583,0.940,2.266,1.602,0.350,1.522,1.533,0.470,0.575,3.803,1.381,1.113,0.660,0.790,0.222,3.325,1.254,1.436,1.128
TMIN,NDJF,-5.235,-2.402,-0.379,-1.973,-2.674,-1.707,-2.254,0.650,-1.301,-0.222,-1.683,-0.798,-0.328,-0.009,0.888,-1.328,-0.075,0.924,-2.015,-1.676,1.988,-1.332,-0.674,-0.316,-1.200,-1.771,1.952,-0.049,-0.223,-0.345
TAVG,year,10.475,10.785,10.964,9.891,9.974,10.158,10.228,10.877,11.090,11.143,10.295,11.598,11.061,12.116,10.860,10.071,10.975,11.258,11.375,12.454,11.591,12.079,11.784,10.871,10.642,11.482,12.086,11.916,11.841,10.898
TAVG,MAMJJASO,15.031,14.892,15.403,13.644,14.507,14.637,14.373,14.839,14.884,14.967,14.633,15.531,15.271,15.916,14.734,14.102,14.683,15.385,15.935,16.455,16.020,15.827,16.401,14.874,15.060,15.654,15.988,15.592,16.185,15.093
TAVG,AMJJAS,16.710,17.221,17.729,15.567,16.914,17.157,17.161,17.079,16.625,16.606,16.751,18.093,17.575,18.125,16.780,16.544,16.942,17.779,18.051,18.561,17.520,17.776,19.308,16.901,17.342,17.916,18.433,17.785,18.764,17.690
TAVG,ONDJFM,2.012,3.835,5.187,3.403,3.309,3.336,2.787,5.318,5.056,5.818,4.460,4.314,4.627,5.714,5.093,3.620,5.039,5.441,4.213,4.572,7.180,5.498,4.944,4.307,4.555,3.713,7.408,4.995,5.015,4.641
TAVG,NDJF,-0.831,1.386,3.284,1.439,0.769,1.415,1.296,3.831,2.500,3.714,1.659,2.766,3.130,3.123,4.196,1.493,3.023,4.506,1.516,2.082,5.170,2.407,2.690,3.119,2.240,1.404,5.782,3.555,2.799,2.796
RH,year,75.897,78.031,74.554,78.177,76.499,76.726,77.026,75.830,76.165,74.959,76.746,73.986,73.748,75.275,75.844,76.451,73.466,73.101,74.981,72.584,72.123,73.623,68.419,74.838,73.313,72.700,72.707,75.757,74.618,77.367
RH,MAMJJASO,75.857,76.251,73.201,75.091,73.966,74.629,74.392,74.065,75.157,72.903,75.405,70.981,71.036,72.269,73.610,72.963,69.225,71.587,73.368,69.245,69.720,70.861,63.928,73.603,71.555,69.704,69.691,73.569,70.871,73.528
RH,AMJJAS,74.835,75.238,72.284,74.656,72.030,72.992,72.891,72.981,75.947,72.700,73.848,68.437,69.979,71.458,72.991,71.752,68.588,71.852,72.980,67.199,66.677,71.157,62.227,71.680,70.583,68.153,67.693,72.148,70.286,71.873
RH,ONDJFM,73.168,78.182,80.539,78.508,82.091,81.944,78.573,81.261,77.691,73.745,81.111,77.759,76.880,80.576,79.177,80.963,78.591,74.607,77.043,76.508,81.055,73.831,76.279,77.447,74.931,79.445,76.672,78.071,78.989,81.902
RH,NDJF,71.862,78.787,80.801,80.694,81.660,83.921,80.432,82.959,77.406,76.295,81.202,78.445,77.791,82.854,80.583,83.639,81.395,77.448,77.895,78.342,81.278,75.784,79.918,78.226,74.132,81.018,78.209,77.914,81.689,85.261
RHmin,year,55.478,58.398,53.922,59.367,56.423,56.806,57.762,56.083,55.446,55.065,57.117,55.025,55.083,56.353,56.909,58.799,54.777,53.961,56.163,53.366,53.463,55.493,49.438,55.988,54.519,53.640,53.093,56.530,55.462,58.893
RHmin,MAMJJASO,55.107,55.829,51.808,55.094,53.255,53.815,54.500,53.691,54.046,52.294,55.253,51.497,51.702,52.488,53.565,54.517,49.392,52.109,54.033,49.551,50.394,51.828,44.600,53.763,52.115,49.945,49.467,53.296,50.657,54.376
RHmin,AMJJAS,53.930,54.129,51.449,54.345,50.964,52.218,52.571,52.484,55.680,52.408,53.700,48.757,50.247,52.001,53.149,53.054,48.798,52.374,53.624,47.260,47.666,52.135,42.937,51.437,51.412,48.547,47.265,52.349,49.867,52.796
RHmin,ONDJFM,53.092,58.935,61.750,59.641,63.847,63.588,58.650,63.675,57.253,52.739,61.946,59.025,58.801,63.098,60.971,63.634,61.310,56.549,58.750,57.182,64.200,54.688,58.504,59.369,56.858,61.733,57.547,59.456,61.262,63.877
