Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,16.865,17.755,17.668,16.600,16.904,16.986,16.777,17.553,18.843,18.466,17.303,17.559,17.219,18.379,18.025,17.009,18.818,17.840,18.031,18.291,17.892,18.306,19.326,17.887,18.011,18.810,18.218,17.810,18.640,17.093
TMAX,MAMJJASO,20.647,21.310,21.470,19.916,21.228,20.954,20.864,21.022,22.489,22.371,21.416,21.037,20.783,21.895,21.744,20.840,22.709,21.448,22.291,21.862,22.032,21.609,24.021,21.861,22.642,23.009,21.901,21.224,22.900,21.560
TMAX,AMJJAS,22.386,23.775,23.572,21.858,23.311,22.736,23.153,22.977,24.036,24.035,23.455,23.611,23.006,23.561,23.393,22.847,24.373,23.519,24.314,24.030,23.289,23.237,26.701,23.885,24.500,25.102,24.088,23.390,25.141,23.795
TMAX,ONDJFM,9.978,11.588,11.411,11.216,10.805,10.647,10.805,11.901,13.070,14.024,11.509,11.143,11.755,11.686,12.846,12.124,12.349,13.234,11.401,11.919,12.699,12.827,12.651,11.752,11.492,11.258,13.854,12.296,11.244,11.511
TMAX,NDJF,7.677,10.314,9.796,9.616,9.219,7.905,8.735,10.514,10.722,12.106,8.615,9.418,10.792,9.802,11.595,9.668,9.913,11.502,9.389,9.760,11.020,9.892,10.071,10.620,8.946,8.519,12.078,11.044,8.981,9.279
TMIN,year,7.571,8.207,7.768,6.958,6.646,7.268,7.537,8.130,8.009,8.189,7.438,8.026,7.661,9.007,8.169,7.331,8.347,7.880,8.464,8.623,8.264,8.575,8.559,8.042,7.891,8.774,8.270,8.032,8.239,7.337
TMIN,MAMJJASO,10.562,10.514,10.634,9.062,9.714,10.063,10.466,10.675,10.642,10.743,10.437,10.652,10.261,11.324,10.725,9.673,10.855,10.716,11.542,11.052,11.337,10.664,11.699,10.793,11.199,11.864,10.823,10.479,11.110,10.319
TMIN,AMJJAS,11.684,12.220,12.407,10.497,11.365,11.364,12.029,12.052,11.919,11.945,11.779,12.351,11.974,12.672,12.008,11.170,12.281,12.216,13.187,12.620,12.094,11.961,13.819,12.197,12.569,13.250,12.620,12.041,12.936,12.009
TMIN,ONDJFM,1.831,3.756,3.743,2.788,2.712,2.334,2.933,4.495,4.053,4.495,3.695,2.888,3.716,4.229,4.813,4.025,3.903,4.326,3.517,3.626,5.315,4.193,4.209,3.523,3.463,3.336,5.386,3.617,3.017,3.458
TMIN,NDJF,-0.199,2.850,2.646,1.994,1.460,0.853,1.470,3.336,2.320,3.501,1.481,1.463,3.137,2.853,4.360,2.601,2.565,3.338,1.962,2.271,4.006,2.084,3.007,2.936,1.750,1.204,4.143,2.599,1.705,2.327
TAVG,year,12.060,12.812,12.527,11.643,11.630,11.994,11.991,12.664,13.250,13.176,12.173,12.551,12.152,13.410,12.814,11.910,13.237,12.518,12.919,13.122,12.746,13.097,13.641,12.642,12.619,13.421,12.827,12.527,13.093,11.911
TAVG,MAMJJASO,15.462,15.751,15.878,14.363,15.332,15.377,15.487,15.675,16.455,16.437,15.744,15.618,15.239,16.317,15.944,14.996,16.449,15.797,16.562,16.124,16.347,15.802,17.578,16.022,16.615,17.102,15.934,15.466,16.658,15.614
TAVG,AMJJAS,16.911,17.868,17.846,16.094,17.236,16.946,17.417,17.358,17.915,17.916,17.474,17.770,17.226,17.867,17.466,16.803,18.051,17.611,18.429,18.030,17.415,17.294,20.040,17.783,18.294,18.885,17.971,17.372,18.738,17.634
TAVG,ONDJFM,5.714,7.467,7.370,6.786,6.578,6.316,6.707,8.026,8.297,8.981,7.388,6.733,7.443,7.679,8.514,7.719,7.765,8.338,7.106,7.392,8.673,8.081,8.073,7.246,7.083,6.862,9.193,7.453,6.721,7.125
TAVG,NDJF,3.560,6.372,6.044,5.612,5.178,4.251,4.960,6.757,6.257,7.517,4.859,5.167,6.674,6.078,7.717,5.846,5.921,6.977,5.352,5.690,7.218,5.603,6.231,6.413,4.979,4.455,7.709,6.346,4.964,5.537
RH,year,79.175,77.405,77.418,77.049,76.364,78.073,79.729,80.018,74.960,75.666,76.822,79.425,77.673,79.287,77.462,77.494,76.286,76.197,78.082,77.273,77.399,77.212,72.421,76.331,75.327,75.774,77.461,77.732,75.352,76.522
RH,MAMJJASO,77.581,73.869,75.092,73.834,73.476,75.331,76.774,77.996,71.665,71.708,73.672,77.313,75.116,76.097,74.463,73.465,72.418,73.409,75.233,74.151,74.781,73.845,67.399,72.555,71.642,72.172,74.660,74.975,71.473,72.114
RH,AMJJAS,76.003,71.487,73.609,72.089,72.317,73.314,75.404,76.762,70.448,70.120,71.016,75.340,74.283,74.732,72.830,71.843,71.433,71.997,73.744,72.546,72.350,72.845,65.085,70.514,69.533,69.713,73.200,73.235,70.393,71.030
RH,ONDJFM,81.136,82.080,83.337,80.712,82.250,81.117,82.967,84.286,81.711,78.715,83.012,82.169,82.095,83.454,83.045,82.484,81.966,80.226,82.463,81.896,83.247,80.464,80.341,81.656,81.920,82.415,81.876,80.614,81.773,81.227
RH,NDJF,81.516,83.259,83.645,82.691,82.919,83.143,84.497,85.042,83.603,81.146,84.324,82.511,83.496,84.901,85.157,84.308,84.574,83.030,83.440,83.655,83.450,82.171,83.705,83.392,83.556,84.084,83.238,81.313,84.260,84.616
RHmin,year,60.135,58.633,57.758,58.212,56.659,58.807,60.764,60.557,54.728,56.419,57.541,59.861,58.316,59.959,57.728,58.140,55.889,56.517,58.507,57.794,57.864,57.674,53.016,56.917,55.685,56.014,57.097,57.642,55.220,57.247
RHmin,MAMJJASO,58.045,54.247,54.937,54.223,52.897,55.249,56.869,57.817,51.389,51.758,53.864,57.283,55.196,55.813,53.888,52.938,51.135,53.799,54.692,53.942,54.596,53.472,47.485,52.506,51.356,52.084,53.462,54.265,50.532,51.804
RHmin,AMJJAS,56.075,51.630,53.670,52.618,51.782,53.384,54.975,56.235,50.424,50.190,51.203,54.649,53.967,54.619,52.536,51.380,50.406,52.147,53.324,52.145,52.414,52.512,45.508,50.363,49.447,49.580,52.219,52.388,49.524,50.637
RHmin,ONDJFM,62.633,64.024,65.451,61.767,63.672,62.586,64.691,66.729,61.730,58.600,64.928,63.037,63.681,65.677,64.249,63.603,62.777,60.392,63.840,62.644,65.382,60.812,61.622,62.523,63.170,63.420,62.273,60.465,62.625,62.606
RHmin,NDJF,63.159,65.455,66.609,64.571,64.711,66.248,66.883,67.660,63.938,61.575,66.933,63.689,65.197,67.540,67.332,66.856,66.579,63.579,65.223,65.398,66.175,63.336,66.301,64.778,65.630,65.602,64.179,61.442,65.996,67.190
PREC,year,1077.873,999.435,882.831,1021.719,738.501,975.208,947.733,1005.572,698.712,874.372,767.903,1006.857,995.499,1095.257,1032.026,1010.401,886.359,906.761,1106.096,1082.719,1012.529,1045.247,817.432,870.335,733.026,889.965,903.288,1054.895,876.306,947.430
PREC,MAMJJASO,675.022,588.933,608.869,591.554,473.846,579.290,666.923,644.609,448.609,506.004,503.545,721.993,728.254,671.841,564.647,494.104,481.074,650.167,684.849,676.277,727.387,596.179,460.072,565.547,483.100,616.153,568.444,699.506,478.501,557.039
PREC,AMJJAS,433.519,351.490,480.834,424.022,362.995,417.306,440.087,421.673,349.771,345.824,337.498,494.723,560.548,530.789,423.174,382.546,408.562,479.320,496.538,482.598,467.768,434.504,300.161,369.407,365.916,400.594,465.098,485.167,362.146,387.356
PREC,ONDJFM,253.544,607.294,633.511,490.154,518.483,461.262,451.751,691.822,364.371,392.647,511.617,391.678,446.740,630.704,640.338,499.134,533.049,490.020,534.775,519.160,767.619,403.402,592.584,569.961,401.343,480.039,493.497,438.163,517.326,545.949
PREC,NDJF,152.442,383.367,413.906,360.352,330.129,362.907,301.610,409.008,209.097,329.662,291.456,230.680,269.147,448.209,449.101,405.684,448.956,388.941,323.858,354.686,459.826,261.904,454.847,382.223,220.699,280.472,331.980,297.051,357.942,412.912
SRAD,year,4666.408,4855.080,4828.476,4797.142,4962.524,4799.707,4666.977,4696.364,5122.436,5042.899,4932.102,4659.455,4744.598,4764.263,4877.239,4802.628,5045.443,4867.109,4796.912,4856.476,4863.792,4769.838,5237.815,4891.864,5054.736,4998.879,4995.200,4849.463,5114.515,4949.749
SRAD,MAMJJASO,4001.664,4267.163,4169.264,4199.322,4326.809,4175.633,4082.789,4049.686,4447.832,4413.105,4280.884,4021.770,4111.809,4166.996,4243.624,4229.049,4421.591,4165.933,4168.076,4228.343,4202.770,4170.871,4574.878,4266.419,4380.273,4332.690,4321.909,4175.283,4481.541,4372.693
SRAD,AMJJAS,3427.003,3652.360,3495.841,3547.416,3647.457,3522.833,3494.896,3448.377,3719.158,3704.415,3670.091,3474.309,3464.008,3485.254,3538.648,3563.105,3662.225,3522.293,3513.484,3576.389,3589.494,3489.578,3833.525,3635.949,3687.116,3687.082,3622.773,3544.445,3750.023,3682.540
SRAD,ONDJFM,702.921,1238.797,1215.922,1320.969,1250.339,1295.479,1261.564,1178.566,1348.680,1412.231,1265.240,1266.492,1253.376,1216.108,1313.332,1294.929,1326.915,1388.036,1275.738,1309.284,1171.881,1368.561,1380.812,1278.400,1308.934,1299.150,1336.616,1401.399,1340.190,1284.680
SRAD,NDJF,375.064,622.002,609.228,629.767,635.507,597.514,613.397,620.079,668.092,663.828,637.421,667.348,621.061,599.594,619.756,601.416,605.638,675.339,650.686,640.769,606.453,661.933,628.320,631.971,652.298,651.068,671.016,731.247,635.831,582.888
WIND,year,3.087,3.007,3.018,2.969,2.783,2.911,2.823,2.962,2.747,2.852,2.822,2.800,2.814,2.822,2.861,2.750,2.647,2.828,2.864,2.825,2.836,2.870,2.764,2.814,2.765,2.797,2.848,2.747,2.740,2.773
WIND,MAMJJASO,2.917,2.905,2.934,2.815,2.771,2.742,2.833,2.784,2.741,2.698,2.783,2.795,2.736,2.743,2.668,2.590,2.548,2.832,2.639,2.679,2.730,2.709,2.623,2.777,2.653,2.803,2.683,2.691,2.604,2.682
WIND,AMJJAS,2.767,2.785,2.892,2.757,2.770,2.714,2.723,2.624,2.655,2.626,2.771,2.690,2.677,2.715,2.600,2.584,2.532,2.766,2.598,2.609,2.668,2.625,2.584,2.737,2.653,2.677,2.678,2.526,2.524,2.530
WIND,ONDJFM,3.495,3.328,3.279,3.255,2.878,2.968,2.946,3.347,2.773,3.071,2.899,2.873,2.852,3.163,3.193,2.772,2.735,2.922,3.032,2.960,3.216,2.981,3.011,3.000,2.828,2.864,3.073,3.007,2.784,3.068
WIND,NDJF,3.482,3.243,3.391,3.393,2.802,3.102,2.958,3.318,2.680,3.175,2.861,2.827,2.876,3.200,3.231,3.000,2.822,2.932,3.060,3.084,3.293,3.092,3.138,3.035,2.911,2.722,3.137,2.939,2.791,3.131
VPD,year,0.370,0.432,0.440,0.409,0.440,0.415,0.373,0.370,0.506,0.498,0.453,0.391,0.414,0.428,0.445,0.421,0.464,0.473,0.440,0.454,0.454,0.442,0.639,0.479,0.510,0.523,0.440,0.428,0.514,0.463
VPD,MAMJJASO,0.469,0.562,0.568,0.528,0.575,0.543,0.491,0.470,0.654,0.655,0.597,0.501,0.532,0.560,0.576,0.557,0.605,0.609,0.578,0.588,0.593,0.568,0.867,0.633,0.681,0.691,0.566,0.549,0.680,0.622
VPD,AMJJAS,0.537,0.669,0.662,0.618,0.652,0.636,0.575,0.540,0.739,0.751,0.711,0.598,0.612,0.646,0.666,0.648,0.677,0.710,0.670,0.687,0.683,0.642,1.034,0.736,0.791,0.814,0.658,0.640,0.784,0.717
VPD,ONDJFM,0.197,0.206,0.189,0.215,0.195,0.221,0.189,0.186,0.233,0.286,0.204,0.196,0.202,0.199,0.209,0.215,0.229,0.256,0.203,0.215,0.212,0.251,0.248,0.217,0.218,0.212,0.247,0.230,0.213,0.230
VPD,NDJF,0.158,0.175,0.167,0.171,0.169,0.153,0.149,0.160,0.173,0.221,0.149,0.168,0.173,0.155,0.169,0.164,0.165,0.194,0.164,0.166,0.185,0.183,0.169,0.179,0.157,0.152,0.201,0.202,0.154,0.160
FWI_FD,year,2.313,3.026,3.227,2.901,3.848,3.287,2.277,2.410,4.353,4.099,3.595,2.389,2.738,2.751,3.180,3.018,3.688,3.553,2.720,2.882,3.118,2.789,5.469,3.698,4.177,4.088,3.261,2.674,4.139,3.436
FWI_FD,MAMJJASO,3.066,4.307,4.362,4.156,5.465,4.709,3.249,3.202,5.909,5.823,5.117,3.305,3.640,3.908,4.425,4.370,5.261,4.903,3.839,4.049,4.251,3.888,7.944,5.232,5.894,5.679,4.370,3.698,5.933,5.012
FWI_FD,AMJJAS,3.911,5.576,5.181,5.258,5.738,5.833,4.157,3.906,6.869,7.007,6.622,4.134,4.367,4.736,5.346,5.439,5.668,6.018,4.704,4.916,5.358,4.528,9.800,6.457,7.176,7.199,5.122,4.428,6.889,6.146
FWI_FD,ONDJFM,0.447,0.749,0.548,1.205,0.434,1.931,0.746,0.490,1.333,1.943,0.611,0.802,1.049,0.566,0.710,0.968,1.173,1.558,0.759,0.918,0.448,1.300,1.177,0.745,1.079,0.860,1.115,1.497,0.961,1.113
FWI_FD,NDJF,0.469,0.759,0.541,0.762,0.337,0.480,0.404,0.390,1.206,0.996,0.334,0.688,0.863,0.321,0.452,0.584,0.404,0.672,0.601,0.541,0.367,0.987,0.400,0.490,0.687,0.446,0.940,1.174,0.350,0.338
FWI_3+,year,8.157,13.913,19.601,18.716,25.809,23.647,7.855,9.046,26.619,31.691,26.160,10.718,13.344,16.295,16.759,17.412,17.738,23.251,14.011,16.066,18.251,10.641,46.527,24.647,28.980,30.164,18.174,12.643,27.643,20.619
FWI_3+,MAMJJASO,7.900,13.881,19.537,18.705,25.788,23.635,7.850,9.019,26.538,31.633,26.144,10.708,13.226,16.279,16.393,17.405,17.700,23.160,13.925,15.988,18.071,10.578,46.503,24.610,28.850,30.006,17.223,12.614,27.597,20.610
FWI_3+,AMJJAS,7.890,13.854,19.037,18.685,20.209,23.614,7.798,8.847,25.407,31.380,26.130,10.651,13.167,16.213,16.199,17.375,15.084,22.859,13.783,15.569,18.022,10.305,46.189,23.959,28.561,29.913,15.889,11.975,26.091,20.419
FWI_3+,ONDJFM,0.007,0.284,0.097,0.521,0.015,5.600,0.037,0.123,0.249,1.345,0.064,0.085,0.170,0.085,0.207,0.363,1.112,1.861,0.275,0.464,0.117,0.463,0.169,0.295,0.842,0.231,0.405,2.321,0.735,1.294
FWI_3+,NDJF,0.006,0.253,0.082,0.019,0.004,0.021,0.013,0.016,0.067,0.082,0.004,0.023,0.116,0.020,0.031,0.337,0.015,0.057,0.128,0.097,0.017,0.213,0.034,0.017,0.151,0.006,0.189,0.936,0.014,0.044
FWI_4+,year,1.245,2.032,5.169,3.685,3.428,4.597,0.719,0.958,5.145,7.090,5.769,0.601,3.350,3.124,2.314,1.682,1.811,4.877,3.096,3.399,5.129,1.582,18.430,7.201,7.782,8.915,5.949,2.985,8.087,4.683
FWI_4+,MAMJJASO,1.226,2.030,5.166,3.685,3.428,4.597,0.719,0.956,5.143,7.081,5.769,0.600,3.344,3.123,2.287,1.682,1.810,4.870,3.084,3.393,5.116,1.577,18.428,7.200,7.770,8.906,5.764,2.984,8.084,4.682
FWI_4+,AMJJAS,1.226,2.027,5.153,3.683,2.807,4.596,0.717,0.948,5.022,7.064,5.768,0.598,3.343,3.123,2.261,1.678,1.495,4.829,3.075,3.286,5.114,1.557,18.379,7.172,7.756,8.904,5.682,2.911,7.883,4.670
FWI_4+,ONDJFM,0.000,0.022,0.005,0.014,0.001,0.621,0.002,0.006,0.010,0.144,0.002,0.003,0.006,0.002,0.029,0.023,0.138,0.220,0.026,0.102,0.018,0.035,0.006,0.050,0.046,0.008,0.030,0.271,0.064,0.191
FWI_4+,NDJF,0.000,0.019,0.005,0.000,0.000,0.000,0.000,0.001,0.003,0.009,0.000,0.001,0.006,0.001,0.004,0.023,0.001,0.001,0.012,0.012,0.000,0.017,0.002,0.000,0.013,0.000,0.012,0.184,0.000,0.003
FWI_5+,year,0.200,0.230,0.767,0.474,0.339,0.554,0.035,0.055,0.983,0.500,0.701,0.016,0.401,0.275,0.207,0.048,0.245,0.635,0.393,0.413,0.699,0.146,2.988,1.162,1.757,1.410,1.033,0.237,1.135,0.771
