Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.290,15.430,15.301,14.284,13.489,14.210,13.607,15.046,16.021,15.870,14.579,15.534,14.498,15.664,15.600,13.675,15.393,15.109,16.066,15.711,15.404,15.841,16.256,15.600,15.922,16.422,16.218,15.724,15.821,14.256
TMAX,MAMJJASO,18.204,19.181,18.867,17.302,17.578,17.808,17.290,17.921,19.486,19.138,18.430,19.050,18.112,18.901,19.561,17.784,19.241,18.380,19.805,18.987,18.994,19.279,20.278,19.256,19.693,20.275,19.633,19.076,19.909,18.909
TMAX,AMJJAS,20.085,21.261,20.879,18.928,19.501,19.488,19.280,19.876,21.023,20.507,19.829,21.567,20.096,20.912,21.369,19.762,21.147,20.350,21.862,20.914,20.690,21.311,22.737,21.163,21.293,22.592,21.525,21.299,22.219,20.841
TMAX,ONDJFM,7.912,8.315,9.855,9.239,8.321,7.809,8.551,9.947,10.826,11.461,9.842,9.545,9.398,8.848,10.686,7.899,9.076,10.504,9.408,10.308,9.754,11.232,9.724,9.767,9.858,9.544,12.401,10.314,8.961,8.835
TMAX,NDJF,5.722,6.544,8.207,7.697,6.329,5.528,6.887,8.622,9.201,9.593,6.988,7.787,8.190,7.052,9.826,5.209,6.444,9.048,7.726,8.855,8.410,8.937,7.616,8.678,7.971,7.380,10.630,9.172,6.956,6.551
TMIN,year,6.618,7.072,7.156,6.673,5.807,5.911,6.129,7.656,7.348,7.376,6.379,7.604,6.675,7.616,7.183,5.491,7.051,7.542,7.734,8.040,7.495,7.735,6.666,7.287,7.422,8.067,8.003,7.467,7.161,5.841
TMIN,MAMJJASO,9.488,9.587,9.672,8.598,8.955,8.266,8.669,9.565,9.625,9.190,8.982,9.872,9.030,9.758,9.857,8.167,9.527,9.975,10.194,10.102,10.163,9.944,9.067,9.688,9.730,10.510,10.104,9.649,9.666,8.952
TMIN,AMJJAS,10.688,10.870,11.149,9.751,10.350,9.420,10.292,10.890,10.420,10.017,9.974,11.643,10.598,11.266,11.201,9.559,10.908,11.332,11.580,11.281,11.060,11.636,11.033,11.080,10.775,11.979,11.642,11.188,11.240,10.222
TMIN,ONDJFM,2.028,1.792,3.959,2.663,2.109,1.677,2.097,4.277,4.582,4.716,3.172,3.438,3.119,3.021,4.148,1.387,2.678,4.027,3.428,4.121,4.065,4.676,2.509,3.024,3.467,3.252,5.926,3.836,2.698,2.564
TMIN,NDJF,0.335,0.437,2.833,1.807,0.268,0.186,1.213,3.610,3.553,3.398,1.268,2.305,2.887,1.663,4.046,-0.418,0.922,3.358,2.147,3.101,3.107,3.034,1.448,2.966,2.256,1.938,5.000,3.261,1.505,1.259
TAVG,year,10.521,11.294,11.311,10.507,9.718,10.171,9.958,11.385,11.787,11.765,10.586,11.636,10.648,11.728,11.479,9.683,11.297,11.371,11.985,11.937,11.523,11.836,11.566,11.518,11.749,12.349,12.183,11.689,11.631,10.263
TAVG,MAMJJASO,13.871,14.430,14.333,13.010,13.304,13.145,13.045,13.750,14.717,14.345,13.838,14.544,13.635,14.391,14.783,13.081,14.448,14.219,15.062,14.584,14.622,14.630,14.816,14.524,14.781,15.507,14.936,14.453,14.924,14.107
