Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,13.690,14.796,15.185,13.569,12.660,13.719,12.509,14.242,15.536,15.381,13.996,15.094,13.844,15.033,14.347,12.704,13.983,14.285,15.160,15.931,14.355,15.541,14.892,14.460,14.850,15.306,15.624,15.670,14.871,13.801
TMAX,MAMJJASO,18.931,19.861,20.262,18.252,18.264,18.830,17.477,18.931,20.066,19.597,18.871,20.017,18.662,19.735,19.645,17.980,18.702,18.992,20.366,20.467,19.439,20.666,20.041,19.434,19.933,20.497,20.649,19.939,19.933,19.460
TMAX,AMJJAS,21.257,22.263,23.036,20.526,20.922,21.327,20.291,21.829,22.167,21.317,21.214,23.239,21.431,22.634,21.968,20.864,21.421,21.861,23.075,22.748,21.677,23.690,23.462,21.753,22.756,23.564,23.153,22.413,23.322,22.354
TMAX,ONDJFM,4.728,5.869,8.187,6.383,4.685,5.357,4.993,7.122,8.274,9.371,7.367,7.218,6.281,6.633,7.606,4.013,6.763,7.376,6.274,7.159,8.732,8.174,5.468,6.494,7.106,5.601,10.309,7.700,7.231,5.806
TMAX,NDJF,1.973,2.743,5.899,4.169,1.105,2.499,2.815,5.420,5.656,6.805,4.310,4.966,4.790,3.992,6.052,0.671,3.879,6.070,3.345,4.996,6.339,5.017,2.742,4.753,4.955,2.818,7.702,5.739,4.843,3.310
TMIN,year,5.436,5.468,6.070,5.530,4.576,4.881,4.181,5.750,6.421,6.302,5.296,5.844,5.145,6.024,5.435,4.361,5.415,5.855,6.218,6.688,5.913,6.313,5.285,5.691,5.357,5.830,6.553,6.620,5.808,5.049
TMIN,MAMJJASO,9.233,8.829,9.609,8.798,9.028,8.544,7.839,8.788,9.379,8.820,8.677,8.879,8.474,9.077,9.207,8.215,8.593,9.265,9.656,9.525,9.681,9.981,8.775,9.022,8.450,9.367,9.723,9.314,9.172,9.263
TMIN,AMJJAS,10.860,10.495,11.352,10.528,10.872,10.583,10.258,11.039,10.729,10.200,10.409,11.075,10.478,11.109,10.916,10.380,10.626,11.402,11.546,10.933,11.383,12.122,11.308,10.590,10.686,11.706,11.617,10.981,11.151,11.825
TMIN,ONDJFM,-1.650,-0.474,1.645,-0.050,-1.584,-0.995,-2.115,1.404,1.273,2.327,0.724,0.699,-0.092,0.469,0.946,-2.545,0.102,1.024,0.018,1.121,1.864,1.162,-1.513,0.082,0.664,-1.403,2.937,1.377,1.028,-0.606
TMIN,NDJF,-3.506,-2.800,0.207,-1.497,-4.781,-3.079,-3.407,0.743,0.009,0.491,-1.023,-0.500,-0.871,-1.337,0.177,-4.957,-1.777,0.473,-2.094,-0.360,0.440,-1.081,-3.520,-1.018,-0.364,-2.928,1.714,0.275,-0.625,-2.357
