Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.364,14.505,14.600,13.080,12.920,13.387,12.605,14.234,15.216,15.059,13.991,14.829,13.936,15.138,14.255,12.450,14.569,14.314,14.956,15.295,14.358,14.886,15.505,14.341,14.595,15.151,15.324,14.963,14.775,13.164
TMAX,MAMJJASO,18.146,19.035,19.064,16.954,17.854,17.933,17.064,18.063,19.320,19.032,18.519,19.028,18.243,19.123,18.767,17.166,18.975,18.334,19.537,19.245,18.741,18.897,20.399,18.749,19.353,19.730,19.451,18.720,19.500,18.403
TMAX,AMJJAS,20.206,21.448,21.532,18.859,20.220,20.064,19.612,20.612,20.953,20.545,20.444,21.913,20.721,21.372,20.795,19.523,21.212,20.667,21.912,21.531,20.499,21.178,23.385,20.916,21.429,22.325,21.735,21.160,22.448,20.753
TMAX,ONDJFM,5.475,6.366,8.049,6.921,6.001,5.981,6.011,7.818,9.063,10.061,7.859,7.777,7.405,7.542,8.650,5.709,7.324,8.760,7.233,8.020,8.743,9.077,7.492,7.576,7.452,6.676,10.897,8.341,6.935,6.660
TMAX,NDJF,2.404,3.914,6.181,4.902,3.300,3.256,4.019,6.416,6.631,7.759,4.615,5.739,5.948,5.284,7.521,2.601,4.416,7.195,4.931,6.003,7.002,6.111,4.882,6.266,4.974,3.936,8.902,6.920,4.589,4.343
TMIN,year,5.443,5.815,6.016,5.340,4.529,4.965,4.797,6.362,6.335,6.364,5.207,6.287,5.589,6.799,5.981,4.420,5.777,6.276,6.549,7.032,6.222,6.665,5.747,5.847,5.687,6.194,6.504,6.189,5.731,4.576
TMIN,MAMJJASO,9.111,9.000,9.293,7.981,8.409,8.400,8.034,8.867,9.158,8.887,8.410,9.043,8.624,9.396,9.203,7.841,8.667,9.320,9.654,9.728,9.486,9.435,9.052,8.750,8.785,9.360,8.964,8.709,8.939,8.237
TMIN,AMJJAS,10.423,10.595,10.951,9.539,10.113,9.959,10.197,10.460,10.357,10.059,9.803,11.039,10.519,11.129,10.723,9.612,10.221,10.941,11.382,11.070,10.595,11.251,11.329,10.341,10.406,11.221,10.733,10.379,10.797,10.090
TMIN,ONDJFM,-0.934,-0.175,2.087,0.272,-0.440,-0.576,-0.740,2.317,2.650,2.563,1.122,1.218,0.833,1.592,2.001,-0.577,0.909,1.930,1.295,1.984,2.589,2.210,0.566,0.913,0.942,0.012,3.775,1.690,0.533,0.239
TMIN,NDJF,-3.569,-2.107,0.634,-0.957,-2.906,-2.641,-1.928,1.555,1.119,0.939,-1.030,0.023,0.104,-0.128,1.825,-2.880,-1.163,1.068,-0.541,0.604,1.125,0.192,-1.093,0.383,-0.510,-1.699,2.840,0.886,-1.172,-1.197
TAVG,year,9.243,9.941,10.139,8.991,8.492,8.989,8.499,10.132,10.552,10.508,9.456,10.402,9.574,10.797,9.952,8.238,9.956,10.101,10.562,10.965,10.148,10.626,10.474,10.000,10.077,10.617,10.901,10.541,10.248,8.903
TAVG,MAMJJASO,13.404,13.775,13.964,12.209,12.827,12.915,12.279,13.268,14.019,13.719,13.319,13.862,13.204,14.041,13.758,12.284,13.533,13.610,14.348,14.239,13.932,13.970,14.573,13.619,13.966,14.475,14.177,13.671,14.204,13.310
TAVG,AMJJAS,15.087,15.829,16.047,13.978,14.897,14.796,14.624,15.351,15.503,15.131,15.052,16.362,15.433,16.097,15.585,14.416,15.494,15.576,16.456,16.082,15.419,16.030,17.272,15.516,15.863,16.719,16.242,15.748,16.605,15.453
TAVG,ONDJFM,2.158,2.917,4.921,3.403,2.580,2.538,2.478,4.911,5.666,6.010,4.283,4.287,3.920,4.390,5.176,2.334,3.903,5.123,4.115,4.840,5.475,5.495,3.869,4.106,4.130,3.267,7.306,4.954,3.708,3.487
TAVG,NDJF,-0.644,0.810,3.328,1.852,0.060,0.270,0.961,3.866,3.763,4.105,1.693,2.757,2.905,2.467,4.675,-0.268,1.522,3.979,2.126,3.240,3.933,3.129,1.784,3.235,2.204,1.120,5.908,3.869,1.713,1.645
RH,year,79.978,77.414,77.239,79.484,78.716,78.656,80.592,78.773,77.106,76.532,76.453,76.928,78.153,78.089,78.883,79.156,77.574,78.880,78.679,79.299,80.184,79.743,74.733,78.891,78.774,78.098,78.469,78.162,79.058,79.919
RH,MAMJJASO,77.296,74.063,74.148,76.742,76.464,76.243,77.882,75.493,73.538,72.799,73.394,72.849,74.869,74.664,75.837,76.355,73.977,76.528,75.049,76.400,77.295,76.845,69.924,75.335,74.931,74.426,74.909,75.147,75.354,75.774
RH,AMJJAS,75.511,71.561,71.999,75.804,74.496,74.367,77.109,72.558,71.750,71.273,71.217,69.978,73.300,72.890,73.845,74.593,71.946,75.136,72.811,73.927,74.767,75.650,67.176,73.618,73.101,71.770,73.041,72.743,72.585,74.336
RH,ONDJFM,83.024,83.627,83.700,81.877,83.482,82.937,83.458,85.030,84.115,80.730,82.066,83.200,82.544,84.066,83.150,83.979,83.980,81.565,84.984,84.738,84.969,83.650,83.617,83.078,84.555,85.520,82.992,83.157,86.073,84.994
RH,NDJF,84.441,84.994,83.902,84.094,83.697,83.617,85.057,85.917,86.122,81.938,83.579,84.955,84.393,85.112,85.214,85.113,84.765,83.485,85.969,85.872,85.092,85.213,86.083,84.556,86.537,87.205,84.863,83.934,87.177,87.096
RHmin,year,62.977,59.572,59.863,62.778,60.764,60.868,63.392,62.349,59.083,59.216,58.819,59.852,60.841,61.011,61.685,62.015,59.635,61.993,61.267,61.917,62.989,62.540,56.362,61.558,60.930,60.349,61.169,60.701,61.114,62.739
RHmin,MAMJJASO,58.974,54.869,55.627,58.495,57.265,57.183,58.926,57.514,54.474,53.853,54.445,54.354,56.172,55.916,57.112,57.723,54.142,58.653,55.864,57.553,58.899,58.141,50.464,56.251,55.179,55.360,55.686,56.386,55.942,56.850
RHmin,AMJJAS,56.426,51.965,53.003,57.633,54.907,55.067,57.899,53.839,52.760,52.508,52.395,51.158,54.337,54.198,55.194,55.943,51.927,56.452,53.531,54.324,56.240,56.659,47.836,54.241,53.487,52.521,53.835,53.622,52.270,55.403
RHmin,ONDJFM,67.497,67.569,69.068,65.857,67.436,67.024,67.108,71.078,68.628,63.535,66.127,67.277,66.762,69.312,67.330,68.130,68.188,65.624,70.157,69.707,69.409,67.526,67.315,67.141,68.941,69.339,66.895,67.605,70.396,69.827
RHmin,NDJF,69.343,69.789,70.232,69.290,68.144,68.989,70.178,73.200,72.033,65.596,69.602,70.501,69.801,71.337,71.368,70.862,70.664,68.649,71.974,72.167,70.194,70.783,70.958,69.868,72.475,72.863,70.423,69.529,72.510,73.233
PREC,year,1102.890,789.363,871.581,906.868,792.095,984.526,958.041,956.307,752.270,853.812,692.036,867.394,944.912,967.049,971.198,746.160,775.711,997.096,923.429,900.601,1011.824,1117.748,639.661,864.867,846.214,829.775,1040.365,832.235,871.770,932.502
PREC,MAMJJASO,755.161,537.220,588.074,626.156,555.378,677.866,691.197,599.851,526.361,521.657,442.690,605.835,607.811,672.677,649.943,551.697,537.554,779.917,553.271,646.328,693.863,738.243,435.551,575.326,574.940,630.612,690.274,609.999,584.944,632.323
PREC,AMJJAS,501.371,379.809,471.404,541.820,484.336,486.847,559.839,379.014,400.902,434.240,369.528,400.794,510.983,500.295,516.542,433.831,410.468,512.858,448.212,468.207,517.039,534.126,320.077,476.436,483.645,465.643,604.479,429.791,412.196,539.325
PREC,ONDJFM,248.540,516.444,477.905,375.159,307.896,385.405,470.078,539.367,374.759,402.921,345.261,404.807,418.683,538.064,526.221,227.687,387.645,374.961,552.119,501.759,425.667,486.985,473.032,386.842,380.168,353.022,422.509,412.311,367.824,431.106
PREC,NDJF,139.210,316.699,302.318,305.688,194.121,283.153,290.715,318.382,261.074,301.947,250.852,258.775,304.124,349.735,363.515,170.690,240.788,223.297,304.790,341.924,235.050,366.511,307.505,263.097,274.485,209.654,295.837,288.520,198.562,287.928
SRAD,year,3751.398,4162.498,3982.401,3722.558,3930.464,3928.009,3686.690,3848.542,4107.920,4141.488,4086.780,4072.211,3988.211,4066.048,3982.740,3852.051,4152.252,3794.225,4077.358,3979.226,3922.652,3904.918,4529.746,4025.894,4136.468,4203.579,4138.321,4033.712,4117.406,3936.634
SRAD,MAMJJASO,3356.968,3744.791,3569.665,3332.268,3526.692,3500.316,3343.011,3477.693,3683.550,3735.719,3664.110,3692.315,3611.668,3678.747,3595.938,3454.598,3757.330,3365.505,3696.916,3562.068,3513.437,3506.838,4060.091,3643.322,3735.518,3778.409,3763.722,3595.497,3732.908,3596.369
SRAD,AMJJAS,2936.192,3256.932,3116.683,2813.414,3071.986,3039.321,2836.550,3075.702,3164.062,3182.643,3167.286,3258.374,3108.144,3186.759,3084.334,2970.535,3263.074,2927.905,3198.680,3144.663,3072.329,3015.012,3496.664,3128.242,3181.731,3285.661,3214.723,3130.023,3299.321,3070.943
SRAD,ONDJFM,475.530,907.539,811.131,933.107,849.507,875.217,896.499,777.832,868.172,988.967,916.008,865.140,892.924,810.299,916.777,904.584,863.364,926.558,827.056,844.296,822.087,947.060,966.967,918.623,902.781,939.534,959.581,912.768,826.649,857.712
