Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.737,14.786,15.481,13.548,14.196,14.229,14.129,15.090,15.596,15.593,14.337,15.800,15.140,16.198,14.851,13.521,15.185,15.540,15.309,16.833,15.787,16.111,16.490,14.896,14.677,15.735,16.637,16.011,16.045,14.558
TMAX,MAMJJASO,19.490,19.226,20.300,17.852,19.216,19.212,18.659,19.362,19.535,19.719,19.027,20.105,19.725,20.462,19.161,18.079,19.490,19.827,20.140,21.205,20.631,20.250,21.690,19.300,19.527,20.367,20.945,20.063,21.020,19.320
TMAX,AMJJAS,21.277,21.834,22.520,19.941,21.833,21.828,21.721,21.742,20.876,21.154,21.230,22.883,22.190,22.578,21.208,20.696,21.703,22.181,22.285,23.521,22.300,22.080,24.708,21.586,21.801,22.796,23.582,22.241,23.717,22.048
TMAX,ONDJFM,6.296,7.564,8.817,6.927,6.464,6.560,6.651,8.596,9.505,10.836,7.999,8.133,8.355,9.000,8.678,6.703,8.510,9.496,7.833,8.564,10.322,9.778,8.624,7.888,8.231,6.855,11.561,8.847,8.379,7.794
TMAX,NDJF,3.222,5.126,6.661,4.486,3.804,4.072,4.740,6.969,6.803,8.137,4.746,6.331,6.673,5.927,7.574,3.910,5.962,8.257,4.908,5.800,8.130,6.208,5.756,6.495,5.607,4.249,9.688,7.242,5.490,5.397
TMIN,year,4.896,5.635,5.269,4.908,4.542,4.797,5.027,5.652,5.855,5.777,5.179,6.361,5.902,7.119,5.951,5.262,5.841,5.968,6.298,6.927,6.262,7.133,6.000,5.710,5.351,5.993,6.580,6.777,6.483,5.811
TMIN,MAMJJASO,9.311,9.318,9.262,8.076,8.666,8.797,8.683,9.093,9.239,9.015,9.210,9.722,9.586,10.324,9.310,8.774,8.865,9.655,10.570,10.319,10.155,10.299,9.973,9.264,9.344,9.594,9.820,9.914,10.179,9.511
TMIN,AMJJAS,10.648,11.228,11.349,9.630,10.583,10.956,11.101,10.971,11.029,10.466,10.906,11.818,11.469,12.223,11.111,10.864,10.804,11.868,12.416,11.924,11.206,12.086,12.427,10.913,11.437,11.544,11.705,11.868,12.395,11.721
TMIN,ONDJFM,-3.580,-0.871,0.655,-1.131,-1.013,-0.942,-2.016,1.337,0.410,0.792,0.099,-0.034,0.300,1.725,1.043,-0.398,0.911,1.025,-0.290,-0.176,3.372,0.790,0.412,-0.062,-0.079,-0.650,2.955,0.655,0.719,0.410
TMIN,NDJF,-6.667,-3.379,-1.201,-2.831,-3.720,-2.672,-3.187,0.082,-2.012,-0.787,-2.620,-1.519,-1.046,-0.667,0.300,-2.148,-0.781,0.393,-2.943,-2.557,1.510,-2.025,-1.508,-1.120,-2.173,-2.784,1.582,-0.703,-1.068,-1.147
