Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,7.208,7.908,8.349,8.555,6.254,7.385,6.312,8.223,9.626,8.899,8.375,8.504,7.885,8.236,8.535,8.166,8.604,7.535,8.742,9.657,8.482,8.845,8.978,8.981,9.616,9.480,9.411,9.002,8.789,7.880
TMAX,MAMJJASO,12.332,12.746,13.768,13.507,12.945,13.247,12.179,13.803,14.458,13.688,12.957,12.684,12.396,13.603,13.738,13.227,13.612,12.618,14.385,14.334,13.854,14.814,14.260,14.087,14.410,14.623,14.784,13.065,13.967,14.502
TMAX,AMJJAS,15.798,15.728,17.169,16.995,15.788,16.059,14.873,17.345,17.869,16.662,16.040,16.381,15.470,17.033,16.632,16.044,17.214,15.812,17.678,17.208,17.520,18.956,17.570,17.325,17.887,18.813,17.359,16.022,17.774,18.167
TMAX,ONDJFM,-4.004,-1.051,0.672,-0.820,-2.517,-1.510,-2.508,-0.413,0.836,0.748,0.055,2.117,0.186,-1.494,1.313,-0.732,0.743,-0.765,-1.017,1.038,1.148,0.342,-1.989,0.451,0.723,0.332,1.223,1.934,1.068,-1.573
TMAX,NDJF,-4.131,-4.070,-0.618,-2.784,-5.853,-5.074,-5.421,-2.963,-1.349,-1.138,-1.837,0.678,-0.404,-3.705,-0.166,-3.682,-1.317,-2.126,-3.761,-0.846,-0.482,-2.071,-4.527,-1.347,-0.469,-1.394,-1.302,0.626,-0.719,-3.650
TMIN,year,-0.833,0.029,0.172,0.779,-1.944,-0.304,-1.572,0.266,2.047,1.153,0.870,1.050,0.276,0.079,0.699,-0.014,0.338,-0.175,0.715,2.051,0.556,0.290,0.819,1.102,1.615,1.189,1.635,1.780,0.904,-0.160
TMIN,MAMJJASO,3.695,4.281,5.358,4.684,4.417,5.132,3.977,5.252,6.163,4.995,4.909,4.576,3.843,4.637,5.321,4.127,4.507,4.188,5.397,5.730,5.047,5.214,5.506,5.386,5.113,4.968,6.190,4.736,4.877,5.709
TMIN,AMJJAS,6.840,6.493,8.161,7.631,6.594,7.042,6.217,8.066,8.386,7.358,7.437,7.502,6.419,7.267,7.278,6.438,7.108,7.168,7.720,7.893,8.245,8.525,8.017,7.978,8.257,8.510,8.044,6.944,7.822,8.852
TMIN,ONDJFM,-13.052,-7.685,-5.847,-7.965,-8.859,-8.363,-9.365,-6.431,-5.735,-5.237,-6.705,-3.708,-6.114,-7.892,-4.320,-8.118,-6.098,-7.359,-7.058,-5.257,-4.802,-6.301,-8.895,-5.829,-5.799,-6.320,-4.969,-3.408,-4.630,-7.999
TMIN,NDJF,-12.220,-11.069,-7.152,-9.669,-12.462,-12.398,-12.184,-9.203,-8.459,-6.801,-8.606,-5.512,-6.336,-9.801,-5.883,-10.723,-8.429,-8.273,-9.593,-7.099,-5.670,-8.511,-11.662,-7.493,-6.217,-7.204,-7.321,-4.369,-6.113,-9.477
