Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.465,14.152,14.150,14.131,13.032,12.928,13.240,13.949,14.847,14.879,13.822,13.988,13.543,14.087,14.823,13.503,14.909,14.327,14.713,14.358,14.186,14.630,15.187,14.682,14.601,15.022,14.931,14.299,14.443,13.552
TMAX,MAMJJASO,16.212,16.877,16.651,16.849,15.850,15.547,15.883,16.224,17.465,17.497,16.715,16.512,15.896,16.393,17.797,16.434,17.579,16.526,17.387,16.867,16.869,17.001,18.033,17.119,17.334,17.876,17.357,16.658,17.440,17.146
TMAX,AMJJAS,17.801,18.533,18.204,18.627,17.239,16.714,17.644,17.640,18.837,18.734,18.077,18.354,17.434,17.733,19.348,18.018,18.949,17.859,18.848,18.271,18.197,18.432,19.699,18.733,18.608,19.686,18.615,18.274,18.786,18.719
TMAX,ONDJFM,8.844,8.958,9.757,9.537,9.285,8.589,9.386,9.730,11.084,11.085,9.650,10.074,9.792,9.121,10.760,9.352,10.084,11.261,10.393,10.672,9.513,11.382,10.484,10.450,10.590,9.879,11.581,10.978,9.751,9.389
TMAX,NDJF,7.728,7.868,8.642,8.693,7.954,6.768,8.378,8.774,10.179,9.581,7.692,9.027,9.108,7.990,10.113,7.824,8.098,10.280,9.328,9.386,8.433,9.871,9.087,9.602,9.623,8.559,10.330,10.061,8.268,7.528
TMIN,year,6.006,6.433,6.738,6.275,5.758,5.584,5.970,6.702,6.853,7.085,6.408,6.594,6.324,6.860,6.820,6.095,7.163,7.183,7.238,7.010,6.627,7.362,6.942,7.377,7.267,7.527,7.366,6.916,7.016,5.663
TMIN,MAMJJASO,8.232,8.420,8.528,8.020,8.088,7.508,7.870,8.372,8.591,8.763,8.667,8.538,8.009,8.414,8.871,8.121,8.903,8.933,9.201,8.738,8.847,8.885,8.927,9.205,9.356,9.520,9.067,8.790,9.236,8.502
TMIN,AMJJAS,9.393,9.561,9.551,9.038,9.204,8.415,9.245,9.372,9.403,9.344,9.543,9.892,9.256,9.392,9.881,9.041,9.903,9.918,10.287,9.700,9.663,10.052,10.435,10.460,10.038,10.705,10.119,10.137,10.301,9.712
TMIN,ONDJFM,2.449,2.234,3.648,3.393,2.831,2.365,2.864,3.774,4.478,4.700,3.502,3.842,3.445,3.049,4.245,3.511,3.652,5.004,3.967,4.251,3.326,4.710,3.959,3.768,4.537,3.820,5.206,4.135,3.384,2.910
TMIN,NDJF,1.387,1.474,2.603,2.686,1.888,0.970,2.061,3.260,3.878,3.551,1.782,2.772,3.162,2.144,4.147,2.228,2.072,4.480,3.142,3.294,2.608,3.227,3.425,3.427,3.744,2.556,4.413,3.387,2.489,1.536
