Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.274,15.312,15.792,14.158,13.226,14.222,13.128,14.828,16.088,15.910,14.598,15.617,14.411,15.573,14.944,13.240,14.519,14.835,15.761,16.460,14.904,16.051,15.471,15.046,15.429,15.814,16.183,16.198,15.443,14.344
TMAX,MAMJJASO,19.364,20.288,20.696,18.716,18.701,19.286,17.945,19.364,20.466,20.022,19.336,20.394,19.064,20.198,20.060,18.407,19.093,19.428,20.808,20.868,19.833,21.072,20.447,19.884,20.399,20.952,21.047,20.331,20.367,19.905
TMAX,AMJJAS,21.619,22.656,23.409,20.941,21.300,21.707,20.695,22.198,22.524,21.676,21.649,23.545,21.775,23.004,22.336,21.239,21.749,22.218,23.461,23.092,22.024,24.038,23.796,22.163,23.183,23.960,23.500,22.749,23.702,22.678
TMAX,ONDJFM,5.443,6.710,8.853,7.179,5.412,6.146,5.679,7.898,9.077,10.165,8.003,7.963,7.047,7.524,8.274,4.750,7.480,8.194,7.018,7.920,9.441,8.987,6.152,7.243,7.863,6.360,10.936,8.452,7.968,6.610
TMAX,NDJF,2.834,3.662,6.681,5.041,1.902,3.301,3.560,6.276,6.573,7.666,5.058,5.789,5.641,4.947,6.790,1.500,4.682,6.914,4.176,5.851,7.134,5.923,3.518,5.576,5.793,3.574,8.454,6.586,5.666,4.168
TMIN,year,5.965,5.974,6.617,6.074,5.071,5.375,4.744,6.327,6.976,6.845,5.825,6.392,5.703,6.569,6.037,4.858,5.946,6.375,6.797,7.226,6.440,6.807,5.864,6.237,5.881,6.323,7.099,7.160,6.354,5.561
TMIN,MAMJJASO,9.684,9.269,10.086,9.268,9.497,9.110,8.350,9.273,9.852,9.318,9.160,9.357,8.961,9.612,9.711,8.705,9.038,9.747,10.170,9.999,10.147,10.432,9.248,9.498,8.933,9.884,10.194,9.783,9.646,9.778
TMIN,AMJJAS,11.267,10.942,11.805,10.984,11.308,11.051,10.722,11.493,11.192,10.693,10.857,11.509,10.930,11.587,11.405,10.856,11.024,11.857,12.037,11.395,11.828,12.577,11.726,11.037,11.147,12.169,12.055,11.428,11.603,12.299
TMIN,ONDJFM,-1.081,0.185,2.211,0.576,-1.039,-0.376,-1.552,2.059,1.996,2.983,1.239,1.344,0.574,1.177,1.565,-1.979,0.726,1.707,0.603,1.774,2.457,1.809,-0.951,0.762,1.254,-0.809,3.522,2.032,1.659,0.025
TMIN,NDJF,-2.856,-2.072,0.839,-0.820,-4.234,-2.588,-2.867,1.428,0.816,1.214,-0.489,0.177,-0.184,-0.619,0.823,-4.377,-1.109,1.157,-1.477,0.334,1.086,-0.351,-2.930,-0.324,0.257,-2.417,2.361,0.988,0.050,-1.736
TAVG,year,9.982,10.485,11.108,9.921,8.962,9.636,8.750,10.467,11.460,11.262,10.081,10.947,9.995,11.041,10.418,8.815,10.004,10.375,11.078,11.630,10.454,11.199,10.443,10.441,10.422,10.855,11.428,11.476,10.678,9.753
TAVG,MAMJJASO,14.301,14.619,15.259,13.769,13.853,13.997,12.902,14.181,15.083,14.546,14.083,14.822,13.927,14.912,14.795,13.324,13.820,14.353,15.270,15.209,14.746,15.512,14.632,14.452,14.417,15.228,15.394,14.874,14.769,14.604
TAVG,AMJJAS,16.264,16.740,17.512,15.782,16.089,16.252,15.496,16.767,16.857,16.162,16.166,17.591,16.335,17.414,16.897,15.874,16.224,16.848,17.620,17.112,16.760,18.140,17.638,16.440,17.025,17.975,17.631,17.029,17.461,17.319
TAVG,ONDJFM,2.075,3.268,5.382,3.733,1.982,2.728,1.882,4.812,5.352,6.425,4.424,4.479,3.672,4.213,4.755,1.179,3.768,4.663,3.543,4.615,5.611,5.120,2.304,3.739,4.276,2.439,6.893,4.939,4.515,3.064
TAVG,NDJF,0.013,0.734,3.698,2.054,-1.298,0.302,0.233,3.776,3.624,4.354,2.225,2.941,2.677,2.104,3.762,-1.572,1.558,3.812,1.163,2.960,3.873,2.635,0.074,2.444,2.834,0.356,5.188,3.572,2.664,1.040
RH,year,79.789,77.300,77.247,79.561,80.473,78.570,79.817,78.953,78.425,78.477,80.544,77.806,79.401,78.995,79.940,81.581,81.060,81.047,80.477,79.243,81.809,78.546,78.339,79.109,78.053,78.076,79.022,78.970,80.586,81.234
RH,MAMJJASO,77.497,74.032,74.229,77.595,79.111,76.046,77.375,76.049,75.408,75.510,78.496,73.779,77.142,76.009,77.430,79.596,78.250,78.725,77.388,75.662,79.843,75.669,74.725,75.732,74.321,74.370,75.686,75.962,77.449,78.789
RH,AMJJAS,76.251,72.567,72.293,76.987,77.220,75.003,76.883,74.552,74.097,75.093,77.213,70.939,75.356,74.070,75.564,78.046,76.789,77.420,75.557,73.624,78.275,73.725,72.153,73.553,72.187,71.522,73.662,73.591,74.430,78.096
RH,ONDJFM,81.425,82.670,82.861,81.599,82.857,83.238,81.992,84.528,81.646,81.683,83.769,84.283,84.029,83.866,83.849,85.049,84.915,85.293,85.370,85.245,85.148,83.777,83.984,84.862,84.201,84.747,83.403,84.838,86.366,85.374
RH,NDJF,82.729,84.612,83.817,83.160,82.909,83.861,83.424,86.306,84.232,83.383,85.200,85.876,84.768,84.775,84.863,85.706,85.886,86.547,86.738,85.928,86.903,84.875,84.780,85.727,85.483,86.016,85.329,85.566,87.020,86.049
RHmin,year,62.158,58.571,59.057,62.156,62.586,60.143,61.650,61.420,60.110,60.260,61.809,59.691,61.491,60.916,61.517,62.976,62.330,62.424,61.539,60.219,63.112,59.476,58.711,60.653,58.712,58.732,60.337,60.274,61.437,62.104
RHmin,MAMJJASO,57.923,53.501,54.589,58.340,59.933,56.181,57.642,56.528,55.522,55.257,57.912,53.782,57.548,56.310,57.420,59.539,57.702,58.814,56.544,54.980,59.734,55.338,53.728,55.513,52.777,53.740,55.022,55.783,56.546,58.158
RHmin,AMJJAS,56.211,51.888,51.902,57.454,57.343,55.071,57.029,54.901,53.801,54.979,56.405,50.798,55.486,54.186,55.761,57.742,56.086,57.128,54.446,52.715,58.282,53.065,51.136,53.176,51.040,51.191,53.083,53.511,52.401,57.895
RHmin,ONDJFM,65.869,66.739,66.994,65.772,66.614,67.247,64.639,69.841,65.041,65.272,67.262,67.957,67.969,68.283,67.280,67.745,67.393,68.494,68.691,69.210,67.311,66.142,65.955,67.986,67.459,66.531,65.365,68.213,69.620,68.318
RHmin,NDJF,68.796,70.002,69.471,68.616,67.185,69.048,67.337,73.513,69.757,67.891,71.048,71.493,70.124,70.637,69.966,69.859,70.197,71.202,71.214,71.301,70.649,68.860,67.840,70.017,70.787,70.052,69.407,70.620,71.778,70.243
PREC,year,738.180,445.456,576.274,563.176,615.517,597.703,656.707,595.793,507.138,586.823,559.673,572.070,633.302,694.330,648.050,629.355,701.621,746.352,680.168,676.812,745.805,662.239,509.248,646.081,597.765,596.959,718.656,648.159,713.157,859.048
PREC,MAMJJASO,551.191,312.390,411.802,462.629,474.796,443.291,477.360,415.792,391.215,445.132,420.837,414.228,451.363,512.060,507.626,536.574,571.570,587.453,501.165,490.461,615.125,501.576,386.503,464.289,401.408,461.175,509.359,495.245,555.641,650.295
PREC,AMJJAS,408.897,276.066,317.542,411.935,421.304,381.951,417.412,356.663,322.309,390.770,366.635,290.786,383.847,361.234,439.175,472.771,476.989,443.417,417.711,393.493,536.623,361.201,308.509,371.812,354.413,389.545,435.500,377.679,404.433,600.573
PREC,ONDJFM,129.104,271.665,257.873,176.303,157.089,202.017,221.005,267.475,177.848,201.836,181.927,257.391,279.383,287.847,301.296,141.824,164.574,292.013,283.795,314.065,217.249,251.834,214.711,272.752,257.803,211.623,300.533,247.095,258.220,276.378
PREC,NDJF,64.403,179.126,174.663,121.857,94.855,155.126,156.346,188.982,141.272,132.511,130.437,157.897,183.222,175.710,187.246,101.920,92.248,170.618,162.363,178.679,152.509,185.771,96.825,169.284,174.622,161.769,222.329,154.065,134.627,157.094
SRAD,year,3751.166,4211.859,3964.342,3653.772,3694.341,3979.906,3716.884,3930.244,3972.884,4038.088,3943.996,4136.503,3942.355,4076.952,4035.667,3836.052,4041.619,3915.100,4086.632,4104.202,3833.927,4079.535,4310.435,4020.305,4227.214,4263.923,4145.118,4109.483,4196.687,3988.749
SRAD,MAMJJASO,3421.846,3839.498,3615.041,3288.118,3337.160,3581.923,3378.075,3590.218,3601.412,3672.794,3579.283,3786.077,3583.187,3710.178,3659.659,3446.174,3672.738,3542.063,3733.890,3735.617,3465.238,3696.648,3922.572,3683.431,3874.822,3881.482,3808.740,3731.358,3860.713,3647.429
SRAD,AMJJAS,2987.734,3292.609,3201.408,2806.118,2944.869,3078.887,2863.002,3111.949,3119.254,3125.254,3100.221,3328.711,3112.679,3237.634,3175.319,2965.419,3171.100,3056.949,3239.599,3265.827,3004.486,3224.380,3409.344,3213.084,3317.846,3394.847,3294.550,3254.143,3473.741,3092.674
SRAD,ONDJFM,451.392,867.056,771.321,846.394,774.413,845.764,888.809,783.173,896.262,886.184,843.762,849.992,817.047,807.484,852.959,898.233,893.761,864.221,827.790,797.535,857.173,887.013,880.773,797.413,862.996,893.585,891.268,832.877,768.005,823.138
SRAD,NDJF,201.895,350.846,335.923,369.247,372.669,379.434,380.409,313.309,364.913,388.027,356.026,346.257,362.319,342.464,379.296,391.676,390.909,360.160,353.488,359.360,377.988,376.426,384.514,355.653,347.461,367.953,354.602,362.728,343.635,356.136
WIND,year,3.158,2.844,3.263,2.994,2.901,3.030,2.963,3.107,2.946,3.084,2.863,3.000,3.058,2.927,2.839,2.655,2.816,2.988,2.725,2.628,2.556,2.633,2.508,2.693,2.607,2.532,2.827,2.817,2.617,2.659
WIND,MAMJJASO,2.865,2.727,2.935,2.782,2.756,2.793,2.865,2.790,2.741,2.876,2.684,2.850,2.751,2.752,2.661,2.613,2.774,2.894,2.494,2.493,2.423,2.483,2.461,2.597,2.441,2.444,2.609,2.623,2.583,2.595
WIND,AMJJAS,2.697,2.607,2.680,2.705,2.752,2.666,2.825,2.673,2.576,2.604,2.623,2.700,2.689,2.511,2.568,2.546,2.648,2.661,2.371,2.282,2.364,2.281,2.440,2.510,2.340,2.404,2.612,2.464,2.478,2.476
WIND,ONDJFM,3.709,3.382,3.601,3.443,3.108,3.290,3.129,3.328,3.583,3.593,3.097,3.306,3.393,3.315,3.489,2.659,2.934,3.076,3.158,3.237,2.613,3.075,2.546,2.820,2.961,2.528,3.179,3.071,2.795,2.782
WIND,NDJF,3.781,3.389,3.772,3.613,3.055,3.462,3.291,3.392,3.789,3.523,3.141,3.361,3.575,3.283,3.577,2.692,2.950,3.017,3.097,3.230,2.551,3.214,2.438,2.822,3.041,2.556,3.375,3.144,2.755,2.747
VPD,year,0.324,0.391,0.410,0.317,0.304,0.348,0.299,0.348,0.380,0.361,0.313,0.422,0.338,0.384,0.350,0.293,0.314,0.322,0.355,0.379,0.308,0.399,0.397,0.354,0.389,0.419,0.380,0.384,0.344,0.327
VPD,MAMJJASO,0.429,0.522,0.547,0.411,0.402,0.463,0.397,0.459,0.499,0.467,0.411,0.574,0.444,0.515,0.467,0.389,0.418,0.425,0.477,0.506,0.408,0.532,0.539,0.475,0.526,0.572,0.508,0.506,0.463,0.442
