Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,8.077,8.720,9.193,9.409,7.145,8.284,7.179,9.089,10.448,9.688,9.161,9.307,8.709,9.066,9.367,8.988,9.424,8.368,9.580,10.452,9.320,9.723,9.816,9.780,10.440,10.301,10.211,9.780,9.634,8.786
TMAX,MAMJJASO,13.164,13.544,14.613,14.374,13.752,14.106,12.992,14.660,15.298,14.495,13.741,13.519,13.232,14.418,14.556,14.010,14.431,13.433,15.200,15.143,14.679,15.692,15.086,14.877,15.238,15.469,15.581,13.863,14.809,15.363
TMAX,AMJJAS,16.601,16.502,18.006,17.864,16.583,16.919,15.675,18.189,18.706,17.461,16.800,17.183,16.289,17.826,17.441,16.812,18.016,16.606,18.485,18.026,18.336,19.823,18.388,18.108,18.720,19.653,18.168,16.810,18.599,19.028
TMAX,ONDJFM,-3.214,-0.143,1.488,0.053,-1.571,-0.590,-1.520,0.440,1.655,1.570,0.859,2.890,1.001,-0.598,2.127,0.165,1.582,0.098,-0.117,1.849,1.945,1.176,-1.061,1.294,1.518,1.169,2.011,2.685,1.883,-0.642
TMAX,NDJF,-3.300,-3.133,0.175,-1.921,-4.862,-4.103,-4.389,-2.109,-0.535,-0.324,-1.062,1.417,0.343,-2.808,0.615,-2.763,-0.461,-1.282,-2.844,-0.047,0.313,-1.224,-3.582,-0.510,0.290,-0.541,-0.510,1.344,0.081,-2.705
TMIN,year,0.174,0.982,1.150,1.732,-0.900,0.717,-0.552,1.243,2.967,2.035,1.786,1.971,1.226,1.039,1.666,0.969,1.285,0.805,1.672,2.956,1.509,1.281,1.786,2.016,2.544,2.113,2.544,2.634,1.841,0.853
TMIN,MAMJJASO,4.622,5.179,6.271,5.615,5.307,6.058,4.898,6.166,7.072,5.873,5.803,5.501,4.796,5.547,6.240,5.050,5.420,5.138,6.299,6.642,5.964,6.171,6.429,6.263,6.032,5.896,7.058,5.602,5.788,6.621
TMIN,AMJJAS,7.698,7.354,9.040,8.514,7.457,7.969,7.113,8.928,9.289,8.221,8.306,8.355,7.323,8.136,8.201,7.327,7.974,8.070,8.610,8.815,9.113,9.432,8.905,8.831,9.130,9.377,8.923,7.793,8.678,9.723
TMIN,ONDJFM,-11.916,-6.589,-4.817,-6.865,-7.720,-7.224,-8.179,-5.422,-4.742,-4.274,-5.751,-2.802,-5.099,-6.791,-3.388,-6.985,-5.077,-6.309,-5.987,-4.293,-3.863,-5.326,-7.749,-4.823,-4.825,-5.292,-4.020,-2.562,-3.693,-6.885
TMIN,NDJF,-11.075,-9.893,-6.134,-8.571,-11.244,-11.146,-10.939,-8.160,-7.438,-5.830,-7.656,-4.608,-5.425,-8.703,-4.959,-9.551,-7.365,-7.270,-8.481,-6.133,-4.754,-7.510,-10.496,-6.492,-5.301,-6.197,-6.346,-3.553,-5.179,-8.360
