Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,19.643,19.607,20.384,18.544,19.132,19.207,19.121,20.059,20.128,20.742,19.105,20.822,20.107,21.210,19.793,18.697,19.844,20.341,20.263,22.055,20.656,20.955,21.237,19.845,19.280,20.506,21.462,21.382,21.152,19.658
TMAX,MAMJJASO,24.954,24.546,25.674,23.190,24.539,24.548,24.112,24.801,24.533,25.308,24.071,25.625,25.324,25.980,24.379,23.549,24.362,25.206,25.502,26.878,25.957,25.483,26.912,24.662,24.444,25.461,26.271,25.842,26.453,24.493
TMAX,AMJJAS,26.756,27.252,28.078,25.415,27.360,27.348,27.312,27.474,26.138,26.951,26.277,28.386,28.059,28.389,26.548,26.324,26.829,27.843,27.817,29.488,27.582,27.540,30.243,26.961,26.938,27.946,29.332,28.105,29.440,27.306
TMAX,ONDJFM,10.272,11.822,13.198,11.266,10.776,11.279,10.803,13.068,13.236,14.983,12.677,12.335,12.538,13.435,13.238,11.159,12.878,13.599,11.951,12.730,15.494,13.683,12.543,12.374,12.272,11.458,15.924,12.725,13.124,12.630
TMAX,NDJF,6.650,8.866,10.701,8.624,7.658,8.862,8.740,11.120,10.034,12.222,9.179,10.158,10.503,10.040,11.858,8.158,10.341,12.317,8.566,9.733,13.016,9.836,9.539,10.628,9.313,8.698,13.933,10.675,10.134,10.189
TMIN,year,9.383,9.972,9.586,9.235,8.694,9.204,9.306,9.769,10.016,9.917,9.192,10.408,9.810,11.317,10.151,9.345,9.682,9.991,10.396,10.923,10.315,10.910,9.965,9.913,9.283,10.084,10.589,10.764,10.618,10.025
TMIN,MAMJJASO,13.833,13.901,13.743,12.635,13.007,13.297,13.116,13.421,13.650,13.326,13.349,14.036,13.953,14.984,13.647,13.109,12.767,13.966,14.741,14.483,14.483,14.295,14.245,13.594,13.405,13.843,14.008,14.120,14.395,13.797
TMIN,AMJJAS,15.216,15.900,16.034,14.264,15.118,15.640,15.674,15.537,15.517,14.909,15.189,16.149,16.004,17.120,15.682,15.271,14.875,16.321,16.759,16.326,15.731,16.283,16.891,15.362,15.702,15.937,16.017,16.157,16.633,16.185
TMIN,ONDJFM,0.937,3.276,4.670,2.951,2.542,3.314,2.037,5.244,3.964,4.388,4.116,3.455,3.780,5.448,4.824,3.205,4.579,4.625,3.363,3.745,7.017,4.114,3.734,3.723,3.579,3.468,6.543,4.084,4.763,4.458
TMIN,NDJF,-2.055,0.695,2.728,1.178,-0.338,1.710,0.919,3.900,1.442,2.661,1.552,1.880,2.053,2.897,3.858,1.450,2.849,4.027,0.543,1.537,5.086,1.254,1.875,2.480,1.464,1.431,5.189,2.429,2.978,2.889
TAVG,year,14.259,14.502,14.689,13.628,13.674,13.904,13.960,14.606,14.679,15.039,13.876,15.455,14.756,15.964,14.614,13.747,14.516,14.871,15.040,16.267,15.193,15.588,15.253,14.481,13.913,14.943,15.700,15.702,15.550,14.515
TAVG,MAMJJASO,19.130,18.961,19.432,17.646,18.539,18.637,18.371,18.816,18.733,19.050,18.448,19.727,19.435,20.209,18.633,18.077,18.339,19.375,19.854,20.531,19.946,19.529,20.281,18.721,18.568,19.307,19.859,19.611,20.071,18.820
TAVG,AMJJAS,20.766,21.360,21.875,19.644,21.101,21.265,21.308,21.292,20.534,20.747,20.579,22.241,21.916,22.570,20.798,20.625,20.725,21.939,22.121,22.880,21.466,21.559,23.342,20.792,21.020,21.639,22.471,21.856,22.773,21.487
TAVG,ONDJFM,5.412,7.172,8.615,6.738,6.371,6.929,6.015,8.810,8.138,9.204,8.034,7.544,7.863,9.148,8.579,6.791,8.346,8.697,7.263,7.791,10.889,8.473,7.777,7.579,7.483,7.094,10.766,7.964,8.485,8.165
TAVG,NDJF,2.163,4.420,6.459,4.600,3.476,4.975,4.462,7.195,5.310,7.013,5.104,5.751,6.015,6.264,7.469,4.500,6.249,7.790,4.183,5.267,8.719,5.186,5.391,6.089,4.964,4.725,9.156,6.182,6.182,6.267
RH,year,70.928,72.365,68.580,72.915,70.844,72.297,71.062,70.023,71.329,67.918,69.674,67.863,68.676,69.564,71.160,71.008,68.516,69.769,71.663,66.252,68.906,72.664,66.646,72.821,71.849,71.353,69.269,70.838,70.581,73.869
RH,MAMJJASO,68.574,69.375,64.869,68.524,66.913,68.903,66.676,66.661,69.226,63.883,67.140,63.334,64.102,65.303,68.083,66.709,63.303,66.400,68.021,61.092,65.443,69.443,60.812,70.404,68.725,68.113,64.978,67.894,65.907,70.212
RH,AMJJAS,66.873,67.239,63.433,66.881,63.991,66.550,64.758,64.615,69.310,62.449,65.466,60.116,61.412,63.315,66.644,64.949,62.302,65.975,67.132,57.568,62.594,69.338,58.051,67.975,67.227,66.676,61.856,65.856,64.323,68.876
RH,ONDJFM,72.351,75.905,76.862,75.992,78.519,79.076,75.972,77.557,74.711,70.476,74.945,74.120,75.083,77.412,75.117,77.505,75.079,73.180,76.107,75.414,76.360,74.094,75.985,77.145,76.077,77.745,76.160,75.733,76.595,78.043
RH,NDJF,72.955,77.357,78.213,79.101,78.504,81.241,78.626,80.145,76.494,72.562,76.283,75.959,75.781,80.363,76.322,80.489,78.647,77.019,78.576,77.971,77.545,76.681,79.483,78.298,76.563,79.416,78.048,76.208,79.133,81.465
RHmin,year,52.094,54.313,49.605,55.258,52.119,53.679,53.101,51.452,52.377,49.517,51.649,50.391,50.886,51.767,53.164,53.823,50.879,51.238,53.283,48.081,50.684,53.893,47.803,53.983,53.001,52.225,50.522,51.620,51.811,55.277
RHmin,MAMJJASO,49.622,50.965,45.851,50.321,48.165,49.795,48.459,47.902,50.216,45.271,49.092,45.902,46.393,47.409,49.405,49.355,45.053,48.066,49.750,43.222,47.019,50.031,42.412,50.857,49.669,48.460,46.018,48.102,46.452,51.335
RHmin,AMJJAS,48.060,48.659,45.112,48.651,45.344,47.734,46.633,46.212,50.966,44.476,47.878,43.081,43.916,46.094,48.593,47.703,44.332,47.841,49.214,40.238,44.897,50.066,40.045,48.618,48.757,47.278,42.660,46.924,44.841,50.200
RHmin,ONDJFM,53.604,57.408,58.684,57.865,60.237,61.083,57.010,60.122,55.168,50.433,56.867,55.670,56.772,60.068,56.883,59.807,57.788,54.989,57.467,56.129,58.266,54.498,57.449,57.808,57.203,59.813,56.397,57.394,58.305,59.911
RHmin,NDJF,54.660,58.874,60.413,61.503,60.528,63.832,60.438,63.091,57.213,53.200,59.326,58.067,57.583,63.625,58.579,64.272,61.756,59.072,59.992,59.249,59.870,57.727,61.597,59.247,58.689,62.153,58.757,58.370,62.260,64.080
PREC,year,1111.021,973.707,730.812,1146.365,958.718,946.672,1034.623,879.607,892.574,919.055,972.931,990.984,1030.945,987.766,1186.875,1132.304,935.285,1044.368,1176.950,859.878,1018.016,1039.533,742.504,1168.017,1164.342,937.821,965.345,988.464,1051.725,1418.140
PREC,MAMJJASO,709.112,645.828,488.174,746.617,543.993,613.161,592.559,566.068,742.431,607.408,653.019,686.175,638.380,679.177,724.807,715.559,500.388,782.510,675.883,482.925,658.291,731.690,462.455,752.587,747.038,666.473,655.541,628.623,516.653,820.096
PREC,AMJJAS,536.405,415.504,334.935,561.370,383.239,451.582,452.213,384.877,626.352,392.458,476.817,304.882,417.308,516.174,594.989,587.616,409.219,612.532,546.271,300.529,516.917,606.439,266.116,509.714,614.385,536.584,435.565,421.572,342.975,678.460
