Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.003,14.491,14.634,14.679,13.486,13.136,14.021,14.302,15.086,15.067,14.419,14.286,14.078,14.285,15.403,14.108,15.277,14.886,14.951,14.673,14.717,14.843,15.276,14.888,14.954,15.278,15.484,14.585,14.488,13.715
TMAX,MAMJJASO,16.289,16.931,16.897,17.225,15.943,15.370,16.321,16.373,17.523,17.526,17.020,16.440,16.065,16.208,18.213,16.645,17.709,16.957,17.345,17.147,17.239,16.906,17.840,17.091,17.413,17.836,17.668,16.792,17.171,17.100
TMAX,AMJJAS,17.711,18.377,18.302,18.896,17.124,16.282,17.947,17.594,18.891,18.781,18.370,18.001,17.525,17.179,19.760,18.119,18.888,18.020,18.610,18.501,18.536,18.068,19.177,18.577,18.507,19.374,18.833,18.261,18.242,18.504
TMAX,ONDJFM,10.170,10.102,10.428,10.647,10.053,9.612,10.496,10.505,11.651,11.327,10.485,10.897,10.686,10.255,11.423,10.552,10.866,11.961,11.465,11.276,10.074,12.007,11.248,11.261,11.239,10.895,11.835,11.953,10.538,9.919
TMAX,NDJF,9.253,9.335,9.274,9.983,8.768,8.053,9.486,9.662,10.934,9.946,8.859,10.024,10.232,9.276,10.736,9.275,9.191,10.890,10.415,10.018,9.003,10.682,9.843,10.320,10.320,9.771,10.670,11.022,9.278,8.115
TMIN,year,7.102,7.060,7.542,6.682,6.519,6.102,6.826,7.302,7.501,7.562,7.361,7.202,7.075,7.384,7.741,6.949,8.202,8.076,8.095,7.506,7.346,7.825,7.840,7.829,8.146,8.118,8.148,7.419,7.503,6.459
TMIN,MAMJJASO,8.851,8.853,9.095,8.483,8.689,7.839,8.446,8.929,9.130,9.438,9.359,8.809,8.432,8.762,9.666,8.764,9.955,9.626,9.938,9.179,9.256,9.093,9.609,9.368,9.958,9.977,9.640,9.094,9.641,9.212
TMIN,AMJJAS,10.064,9.987,9.966,9.617,9.667,8.691,9.860,9.773,9.895,9.968,10.308,9.948,9.726,9.487,10.569,9.533,10.806,10.387,11.002,10.105,10.051,10.099,10.925,10.679,10.685,10.998,10.518,10.380,10.471,10.494
TMIN,ONDJFM,4.156,3.661,4.342,4.495,3.321,3.285,3.873,4.359,5.246,5.367,4.202,5.115,4.471,4.032,5.242,4.713,4.840,6.169,5.288,5.150,3.962,5.825,4.966,4.627,5.561,5.026,5.456,5.608,4.320,3.204
TMIN,NDJF,3.513,3.400,3.304,4.032,2.371,1.992,3.127,3.889,4.811,3.999,2.511,4.387,4.266,3.522,4.970,3.493,3.497,5.274,4.611,4.226,3.201,4.765,4.534,4.165,5.205,4.045,4.633,5.000,3.529,1.689
TAVG,year,10.525,10.758,11.067,10.651,10.007,9.600,10.397,10.784,11.272,11.276,10.873,10.706,10.547,10.836,11.536,10.498,11.735,11.464,11.503,11.062,10.998,11.321,11.571,11.373,11.578,11.672,11.791,10.964,10.955,10.034
TAVG,MAMJJASO,12.536,12.875,12.969,12.828,12.314,11.578,12.355,12.631,13.305,13.444,13.174,12.585,12.208,12.491,13.911,12.681,13.827,13.272,13.617,13.126,13.201,12.958,13.722,13.221,13.690,13.872,13.628,12.903,13.368,13.110
TAVG,AMJJAS,13.857,14.155,14.108,14.230,13.390,12.452,13.871,13.665,14.374,14.336,14.331,13.936,13.586,13.344,15.137,13.801,14.847,14.184,14.790,14.267,14.249,14.041,15.058,14.613,14.602,15.147,14.657,14.290,14.324,14.449
TAVG,ONDJFM,7.142,6.866,7.369,7.552,6.668,6.461,7.179,7.412,8.420,8.321,7.310,7.972,7.544,7.138,8.301,7.602,7.821,9.064,8.359,8.174,7.006,8.906,8.130,7.971,8.432,8.000,8.625,8.739,7.378,6.537
TAVG,NDJF,6.364,6.354,6.273,6.989,5.552,5.039,6.292,6.758,7.849,6.945,5.658,7.169,7.224,6.404,7.822,6.347,6.304,8.087,7.502,7.103,6.100,7.736,7.239,7.287,7.814,6.966,7.639,7.971,6.368,4.873
RH,year,84.654,84.094,84.081,83.156,84.401,83.308,83.742,84.158,82.390,82.656,83.437,83.373,83.613,83.952,83.514,82.189,83.283,83.848,83.234,84.198,84.144,84.631,83.232,83.236,83.851,83.168,84.165,84.860,85.470,83.506
RH,MAMJJASO,83.725,82.708,83.262,81.073,83.594,82.987,82.621,82.995,80.744,81.242,82.361,82.004,82.774,82.312,81.544,80.811,82.069,82.855,81.634,82.733,82.549,83.447,81.666,81.436,82.435,81.724,83.037,83.423,83.893,81.598
RH,AMJJAS,83.206,82.123,82.516,79.926,83.031,82.496,81.897,82.001,79.296,80.344,81.265,81.268,82.579,81.628,80.417,79.529,81.358,82.436,81.270,81.895,81.638,82.814,81.302,80.729,81.679,80.452,82.398,82.938,83.029,81.004
RH,ONDJFM,85.741,85.866,85.853,85.687,86.411,84.700,85.259,85.850,85.708,85.317,85.888,85.125,85.068,85.145,87.080,85.462,84.598,85.710,85.068,85.979,86.619,86.074,85.876,85.593,86.064,85.755,86.369,85.918,87.317,88.472
RH,NDJF,85.771,87.005,85.812,86.569,87.117,84.403,85.680,86.078,85.907,85.977,85.877,85.469,85.797,86.006,88.238,85.969,84.746,85.993,86.542,86.577,87.707,86.516,86.769,87.096,86.585,86.387,87.057,86.405,88.296,89.891
RHmin,year,68.619,67.201,67.968,65.431,68.330,67.135,67.234,68.112,65.742,65.909,67.458,67.188,67.602,68.188,66.507,66.307,67.502,68.272,67.701,67.870,67.365,68.571,66.728,67.468,68.561,67.233,67.626,68.250,69.131,66.905
RHmin,MAMJJASO,66.978,65.066,66.121,62.724,67.423,66.106,65.192,66.551,63.177,63.983,65.714,65.246,65.825,65.988,63.592,64.120,65.470,66.640,65.559,65.311,65.137,66.071,64.090,64.810,66.258,64.988,65.631,66.268,67.111,64.560
RHmin,AMJJAS,66.335,64.176,64.650,61.113,66.733,65.698,64.428,65.175,61.110,61.995,64.227,64.055,65.561,65.110,61.750,61.868,64.497,65.859,65.096,64.004,63.625,65.419,64.004,64.128,65.079,63.208,64.821,65.812,66.139,64.062
RHmin,ONDJFM,70.876,70.119,70.809,70.560,69.781,69.334,69.231,70.629,70.117,70.693,70.335,70.847,69.836,69.989,71.684,71.086,69.907,71.571,70.058,70.862,71.370,70.997,70.845,69.705,72.233,71.510,70.751,70.374,71.589,71.416
RHmin,NDJF,71.343,72.109,70.878,71.662,70.903,69.492,69.985,71.540,70.820,71.058,69.963,71.336,70.971,71.614,73.468,71.434,70.510,72.118,71.964,71.991,72.839,71.861,73.567,71.947,73.911,72.297,71.958,71.389,73.339,72.859
PREC,year,1297.022,1418.847,1239.831,1206.711,1252.377,1465.390,1104.318,1348.106,1231.269,1395.252,1180.651,1249.045,1318.912,1446.924,1291.288,1257.765,1282.978,1486.332,1392.347,1412.446,939.354,1164.388,811.967,929.662,911.597,1249.793,1206.464,1466.174,1539.526,897.784
PREC,MAMJJASO,861.295,785.728,751.672,562.122,851.916,876.585,715.882,854.154,755.036,654.902,719.598,797.866,744.210,751.748,630.908,756.833,718.354,909.772,726.277,775.102,611.692,620.129,482.994,609.419,564.744,731.361,678.022,939.940,880.801,599.522
PREC,AMJJAS,555.608,462.661,466.366,339.556,662.007,584.783,465.670,540.259,384.736,386.677,449.247,578.395,614.534,515.695,317.975,429.604,562.737,580.643,588.102,495.588,408.987,419.718,360.500,390.319,378.821,471.567,516.706,609.061,668.489,415.820
PREC,ONDJFM,368.050,773.292,917.658,812.148,734.777,649.504,808.662,854.690,782.261,922.088,836.874,701.933,641.040,932.809,953.277,828.101,710.009,803.847,871.963,771.200,887.378,626.195,568.258,509.325,537.218,522.078,906.982,780.644,705.137,813.465
PREC,NDJF,199.377,493.056,614.887,580.275,458.036,425.579,572.586,567.092,428.419,668.248,501.332,422.639,484.948,717.553,758.128,525.093,446.576,579.132,592.693,646.390,562.482,467.055,365.469,361.670,332.952,285.667,670.947,572.590,448.417,568.515
