Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.159,16.768,17.290,15.738,15.236,16.458,15.494,16.409,17.092,17.276,16.109,17.524,16.899,17.950,16.707,15.632,16.399,16.947,17.159,18.454,16.948,17.799,17.767,16.546,16.728,17.483,18.425,18.229,17.838,16.590
TMAX,MAMJJASO,21.763,22.266,22.780,20.537,21.004,22.324,20.668,21.469,22.189,22.131,21.417,22.891,22.274,23.075,21.988,20.855,21.219,21.901,22.924,23.637,22.559,22.965,23.358,21.797,22.221,23.004,23.840,22.738,23.427,21.787
TMAX,AMJJAS,23.976,24.830,25.632,22.811,23.523,25.047,23.846,24.414,24.247,23.830,23.835,26.180,25.147,26.049,24.401,23.707,23.913,24.836,25.703,26.230,24.667,25.841,26.937,24.242,24.950,25.824,26.656,25.294,27.008,24.557
TMAX,ONDJFM,6.781,7.699,9.679,8.115,7.136,7.982,6.792,9.115,9.098,10.887,9.082,8.663,8.088,9.967,9.069,7.282,8.907,10.046,8.025,8.283,11.434,9.725,8.160,8.363,8.651,8.013,12.221,9.304,9.567,8.900
TMAX,NDJF,3.465,4.229,7.019,5.582,3.529,4.930,4.454,7.179,5.630,7.643,5.684,6.246,5.970,6.989,7.326,3.958,6.046,8.709,4.615,5.635,8.612,5.792,5.478,6.473,5.937,4.912,9.424,6.950,7.099,6.339
TMIN,year,6.468,6.503,6.850,6.275,5.482,5.808,5.681,6.597,7.124,6.790,6.237,6.926,6.301,7.720,6.954,6.122,6.320,7.113,7.520,7.810,7.205,7.627,6.510,6.886,6.394,6.949,7.867,8.087,7.573,7.208
TMIN,MAMJJASO,10.995,10.692,11.068,9.866,10.180,10.157,9.765,10.193,10.983,10.036,10.581,10.694,10.323,11.357,10.850,10.336,9.663,11.337,11.768,11.411,11.832,11.589,10.678,10.853,10.582,11.064,11.433,11.477,11.546,11.426
TMIN,AMJJAS,12.586,12.668,13.278,11.748,12.290,12.565,12.438,12.583,12.924,11.756,12.444,13.049,12.288,13.584,12.857,12.769,12.237,13.765,13.987,13.160,13.420,14.022,13.444,12.771,13.219,13.522,13.514,13.526,13.761,14.285
TMIN,ONDJFM,-2.217,-0.521,2.068,-0.434,-1.085,-0.411,-2.153,2.026,0.684,1.380,0.649,0.347,-0.270,2.206,1.407,-0.969,0.361,1.205,0.505,0.632,3.131,0.885,-0.578,0.304,0.298,-0.802,3.533,1.242,1.799,1.032
TMIN,NDJF,-5.090,-3.315,0.190,-2.239,-4.387,-2.411,-3.457,0.940,-1.382,-0.669,-1.826,-1.253,-1.988,-0.038,0.201,-3.073,-1.549,0.908,-2.315,-1.473,1.099,-1.997,-2.634,-1.099,-1.384,-3.066,2.283,-0.352,-0.096,-0.708
TAVG,year,11.128,11.354,11.876,10.771,10.045,10.898,10.394,11.262,11.833,11.800,10.903,12.085,11.409,12.654,11.605,10.577,11.085,11.803,12.052,12.905,11.767,12.453,11.878,11.443,11.216,11.867,12.893,12.890,12.471,11.608
TAVG,MAMJJASO,16.147,16.185,16.725,14.957,15.202,15.992,14.995,15.564,16.263,15.836,15.690,16.666,16.095,17.051,16.138,15.282,15.089,16.431,16.994,17.280,16.894,16.989,16.796,15.999,16.028,16.671,17.351,16.817,17.189,16.245
TAVG,AMJJAS,18.074,18.533,19.320,17.074,17.585,18.677,17.973,18.319,18.312,17.661,17.913,19.580,18.611,19.720,18.465,18.022,17.832,19.159,19.522,19.546,18.827,19.681,20.063,18.203,18.821,19.399,19.915,19.196,20.120,19.121
TAVG,ONDJFM,2.074,3.342,5.659,3.522,2.770,3.464,2.013,5.345,4.574,5.789,4.536,4.221,3.650,5.865,4.999,2.752,4.314,5.308,3.987,4.202,6.889,4.949,3.472,4.057,4.134,3.123,7.543,4.957,5.393,4.738
TAVG,NDJF,-1.006,0.313,3.488,1.432,-0.661,1.085,0.308,3.907,1.954,3.235,1.728,2.355,1.818,3.307,3.643,0.196,2.078,4.593,0.921,1.928,4.527,1.663,1.182,2.443,1.986,0.567,5.695,3.112,3.294,2.671
RH,year,72.458,72.799,70.581,73.943,74.888,71.684,72.367,72.423,73.845,72.171,73.666,69.890,70.882,72.321,73.628,74.619,73.573,73.762,74.941,70.792,73.725,72.612,68.416,73.848,73.488,72.953,70.233,72.858,73.129,76.524
RH,MAMJJASO,69.230,68.820,66.057,69.937,71.907,66.973,68.109,67.929,69.986,67.115,70.198,64.420,66.427,68.003,70.039,71.653,68.946,70.326,70.634,65.190,70.427,68.823,63.131,70.393,69.268,68.505,64.439,69.444,67.829,73.298
RH,AMJJAS,66.878,66.800,63.739,68.711,70.117,64.781,66.815,66.227,68.858,66.100,68.426,61.043,63.235,65.579,67.965,69.942,68.058,68.863,68.917,62.067,67.427,67.059,60.339,68.228,67.883,66.847,61.311,67.198,63.738,73.398
RH,ONDJFM,76.071,78.379,79.106,77.877,79.278,79.885,77.826,79.745,78.112,76.976,79.258,78.552,78.185,79.488,78.937,79.796,79.062,77.539,81.369,80.846,79.436,77.919,77.216,78.590,79.272,80.071,78.083,79.009,81.070,81.011
RH,NDJF,76.809,80.699,80.993,80.745,79.909,81.836,80.812,83.435,81.854,79.705,81.850,81.421,79.516,81.615,80.102,81.822,81.628,81.159,83.513,82.444,81.792,80.209,79.103,79.890,81.716,81.840,82.445,80.800,82.135,84.005
RHmin,year,54.384,53.483,51.936,55.651,55.479,52.289,53.946,54.159,54.728,53.293,54.578,51.652,51.993,53.748,55.227,55.803,54.422,54.956,56.140,52.038,54.894,53.868,49.294,55.188,53.748,53.078,51.878,53.887,54.419,57.535
RHmin,MAMJJASO,50.626,48.955,47.246,51.086,51.908,47.006,49.409,48.829,50.267,47.365,50.873,45.721,47.140,48.732,50.632,52.453,48.685,51.951,50.711,46.064,51.582,49.679,44.077,50.903,48.992,48.076,45.227,49.987,48.329,53.854
RHmin,AMJJAS,48.243,47.132,45.190,50.057,50.368,45.589,48.225,47.404,49.624,47.106,49.151,42.568,44.177,46.475,49.150,51.307,48.601,50.500,48.972,43.263,49.218,47.995,41.533,48.784,48.542,46.986,42.563,48.200,43.717,54.661
RHmin,ONDJFM,56.777,60.076,61.970,58.652,60.326,60.686,58.203,63.356,59.655,57.010,60.367,60.027,59.478,61.933,61.522,60.550,59.812,58.539,63.379,62.743,60.443,58.614,58.366,60.249,60.355,59.471,59.353,60.838,62.712,62.932
RHmin,NDJF,57.610,62.987,64.883,62.023,60.982,64.122,62.185,67.803,64.927,60.712,63.874,63.712,61.239,64.753,63.662,64.437,63.529,63.384,65.793,65.025,63.439,61.819,60.604,61.896,63.787,62.310,65.335,63.723,64.582,66.567
PREC,year,803.547,680.493,679.124,772.576,868.916,675.297,791.093,759.306,708.886,735.752,761.755,742.486,686.367,833.040,848.759,799.589,791.710,846.006,806.638,813.876,902.306,847.582,594.453,817.148,932.480,749.327,841.433,810.760,864.559,1190.235
PREC,MAMJJASO,553.021,446.998,475.328,587.573,617.068,439.394,517.519,486.252,565.305,511.984,533.927,529.185,475.034,645.094,618.905,668.868,584.105,690.012,570.298,550.140,686.097,668.378,446.316,574.751,594.666,569.103,564.545,601.331,573.367,917.417
PREC,AMJJAS,427.651,389.874,359.138,497.753,531.813,371.528,433.072,393.695,488.696,428.373,443.444,344.868,358.069,481.144,533.533,586.818,509.100,531.172,475.548,400.244,587.279,515.705,341.887,457.842,549.743,467.173,435.653,472.604,377.227,857.088
PREC,ONDJFM,137.079,333.967,400.653,248.036,271.820,348.230,325.429,386.697,271.404,225.023,266.458,411.727,367.565,349.784,395.019,216.486,210.938,297.243,351.022,432.620,354.610,258.038,298.291,356.098,340.225,365.640,356.047,323.372,408.918,401.961
PREC,NDJF,77.529,248.966,295.094,161.497,169.628,289.894,223.196,286.074,213.641,166.408,188.530,256.635,216.784,220.559,210.079,178.865,132.732,213.736,196.654,246.415,247.535,200.023,168.973,210.147,253.316,281.291,254.878,185.264,256.524,275.232
SRAD,year,4457.392,4736.301,4546.804,4207.211,4213.946,4607.720,4382.853,4511.452,4392.596,4597.777,4329.501,4710.506,4571.820,4612.497,4414.665,4342.750,4611.880,4442.418,4486.130,4713.685,4392.826,4517.675,4950.087,4494.720,4644.963,4661.483,4802.172,4595.284,4638.685,4311.226
SRAD,MAMJJASO,3926.575,4198.563,4016.789,3710.596,3717.597,4077.635,3897.658,4008.060,3851.473,4076.527,3801.324,4174.686,4076.257,4103.520,3934.800,3812.183,4106.026,3864.519,3996.544,4192.275,3854.114,4026.639,4363.550,3987.877,4112.015,4127.562,4314.566,4036.244,4171.099,3823.382
SRAD,AMJJAS,3371.989,3548.335,3449.329,3111.284,3161.744,3455.769,3310.216,3404.331,3219.771,3408.833,3266.991,3614.045,3518.303,3518.769,3354.310,3222.557,3427.642,3272.203,3402.668,3613.113,3333.034,3426.348,3716.753,3427.959,3408.558,3494.899,3702.666,3438.161,3679.342,3160.109
SRAD,ONDJFM,650.703,1161.787,1047.884,1129.521,1063.788,1092.925,1147.967,1019.544,1176.952,1258.476,1060.133,1145.170,1060.161,1037.851,1063.475,1108.112,1180.551,1216.627,1080.257,1062.007,1052.204,1178.356,1152.117,1082.653,1168.880,1177.034,1151.431,1136.145,1033.258,1064.740
SRAD,NDJF,328.677,527.764,492.406,517.073,534.310,495.927,520.963,453.706,520.154,594.257,504.601,536.727,526.588,470.477,510.851,489.491,539.440,539.630,513.792,519.945,516.416,525.280,540.891,537.658,516.710,552.886,475.623,545.028,504.699,469.564
WIND,year,2.900,2.651,2.914,2.717,2.698,2.614,2.769,2.623,2.444,2.641,2.474,2.574,2.571,2.585,2.653,2.488,2.532,2.577,2.420,2.497,2.574,2.413,2.312,2.365,2.248,2.162,2.355,2.319,2.235,2.269
WIND,MAMJJASO,2.722,2.559,2.781,2.671,2.605,2.545,2.775,2.468,2.398,2.576,2.467,2.547,2.521,2.584,2.532,2.474,2.590,2.610,2.294,2.462,2.516,2.390,2.319,2.276,2.210,2.187,2.263,2.213,2.254,2.259
WIND,AMJJAS,2.613,2.485,2.644,2.574,2.656,2.594,2.737,2.375,2.349,2.482,2.471,2.447,2.446,2.471,2.539,2.481,2.602,2.483,2.193,2.356,2.551,2.264,2.266,2.251,2.194,2.114,2.268,2.147,2.144,2.207
WIND,ONDJFM,3.060,3.054,3.157,2.989,2.734,2.668,2.701,2.896,2.544,2.831,2.523,2.736,2.651,2.747,2.848,2.415,2.466,2.706,2.584,2.687,2.585,2.600,2.361,2.500,2.442,2.122,2.473,2.419,2.422,2.245
WIND,NDJF,3.115,3.059,3.203,3.025,2.730,2.832,2.715,2.835,2.635,2.815,2.519,2.698,2.619,2.626,2.822,2.573,2.428,2.639,2.503,2.657,2.552,2.643,2.305,2.480,2.466,2.071,2.514,2.427,2.415,2.133
VPD,year,0.516,0.519,0.607,0.469,0.454,0.553,0.513,0.531,0.503,0.552,0.494,0.653,0.589,0.605,0.523,0.472,0.501,0.529,0.508,0.654,0.532,0.568,0.679,0.498,0.511,0.564,0.659,0.559,0.584,0.465
VPD,MAMJJASO,0.693,0.701,0.828,0.627,0.615,0.760,0.697,0.720,0.673,0.746,0.668,0.896,0.803,0.822,0.705,0.631,0.676,0.707,0.694,0.894,0.719,0.762,0.933,0.668,0.695,0.772,0.903,0.736,0.807,0.622
VPD,AMJJAS,0.811,0.825,0.987,0.725,0.715,0.895,0.817,0.847,0.768,0.845,0.778,1.093,0.963,0.990,0.832,0.747,0.787,0.842,0.814,1.055,0.853,0.904,1.132,0.784,0.815,0.905,1.084,0.875,0.989,0.719
VPD,ONDJFM,0.209,0.209,0.223,0.212,0.195,0.199,0.202,0.219,0.237,0.270,0.217,0.213,0.205,0.227,0.208,0.186,0.219,0.242,0.187,0.190,0.259,0.243,0.216,0.205,0.206,0.190,0.279,0.214,0.203,0.200
VPD,NDJF,0.147,0.138,0.165,0.146,0.137,0.132,0.136,0.145,0.142,0.185,0.133,0.147,0.158,0.153,0.175,0.121,0.155,0.185,0.119,0.138,0.173,0.159,0.159,0.163,0.143,0.130,0.177,0.165,0.159,0.128
FWI_FD,year,3.020,3.433,4.617,2.901,2.515,4.005,3.136,3.522,2.903,4.124,3.073,5.236,3.982,3.729,3.046,2.408,3.257,3.006,2.993,4.803,3.208,3.425,5.049,2.758,2.947,3.529,4.437,2.939,3.747,1.783
FWI_FD,MAMJJASO,4.281,4.706,6.366,3.879,3.634,5.687,4.468,4.950,3.993,5.855,4.366,7.629,5.735,5.335,4.334,3.276,4.548,4.123,4.259,6.935,4.469,4.891,7.293,3.929,3.984,4.989,6.439,3.921,5.492,2.503
FWI_FD,AMJJAS,5.352,5.611,7.598,4.517,3.747,6.382,5.107,5.585,4.413,6.533,5.111,9.588,7.179,6.623,4.800,3.959,5.114,4.959,4.998,8.142,5.302,6.028,9.011,4.758,4.514,5.127,8.049,4.770,6.856,2.762
FWI_FD,ONDJFM,0.522,0.788,1.281,1.665,0.954,1.323,1.590,1.167,1.706,1.972,1.235,0.931,0.735,0.844,0.669,1.282,1.135,1.803,0.509,0.751,1.553,1.455,0.905,0.633,0.772,1.221,2.224,0.743,0.858,0.821
FWI_FD,NDJF,0.313,0.440,0.843,1.114,0.799,0.217,0.612,0.451,0.688,1.005,0.343,0.405,0.294,0.412,0.470,0.355,0.672,1.074,0.235,0.428,0.587,0.617,0.369,0.431,0.331,0.838,0.695,0.498,0.637,0.187
FWI_3+,year,27.761,30.832,54.724,25.262,20.431,48.261,31.155,34.140,22.377,42.502,27.903,62.609,46.678,42.399,29.611,20.013,29.339,27.609,28.270,61.548,32.091,38.526,65.096,24.800,23.147,40.514,52.858,24.990,46.084,12.513
FWI_3+,MAMJJASO,27.726,30.277,54.545,24.856,20.385,48.240,31.148,34.029,22.256,42.408,27.722,62.606,46.669,42.357,29.600,19.729,28.506,27.387,28.229,61.532,31.806,38.457,65.081,24.798,22.869,40.309,52.834,24.923,46.079,12.459
