Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.338,16.071,16.498,14.984,14.508,15.753,14.765,15.620,16.337,16.470,15.368,16.757,16.221,17.208,15.984,14.970,15.656,16.191,16.478,17.721,16.218,17.117,17.016,15.840,16.062,16.842,17.697,17.511,17.159,15.974
TMAX,MAMJJASO,20.860,21.413,21.871,19.651,20.180,21.514,19.851,20.607,21.316,21.194,20.563,22.031,21.438,22.260,21.190,20.073,20.346,21.064,22.148,22.798,21.754,22.198,22.473,21.023,21.468,22.257,23.054,21.927,22.618,21.090
TMAX,AMJJAS,23.039,23.925,24.719,21.912,22.632,24.152,23.007,23.503,23.369,22.817,22.923,25.297,24.269,25.215,23.560,22.892,23.034,24.006,24.956,25.348,23.827,25.068,26.037,23.399,24.182,25.075,25.827,24.448,26.213,23.862
TMAX,ONDJFM,6.050,7.118,9.046,7.480,6.610,7.428,6.228,8.453,8.469,10.244,8.531,8.010,7.542,9.378,8.439,6.798,8.349,9.320,7.432,7.602,10.888,9.164,7.529,7.769,8.072,7.508,11.592,8.701,9.017,8.345
TMAX,NDJF,2.815,3.749,6.446,5.104,3.052,4.382,3.998,6.583,5.032,7.097,5.163,5.665,5.543,6.486,6.739,3.533,5.600,8.082,4.142,5.056,8.116,5.279,4.949,5.936,5.423,4.491,8.822,6.415,6.658,5.904
TMIN,year,5.781,5.838,6.196,5.588,4.814,5.125,4.965,5.902,6.456,6.175,5.644,6.208,5.629,7.016,6.273,5.450,5.710,6.476,6.887,7.126,6.560,7.044,5.930,6.301,5.807,6.339,7.312,7.575,6.995,6.673
TMIN,MAMJJASO,10.299,9.987,10.373,9.174,9.507,9.463,9.006,9.457,10.282,9.351,9.949,9.946,9.545,10.608,10.153,9.616,9.016,10.656,11.079,10.647,11.159,10.994,10.053,10.237,9.975,10.421,10.871,10.919,10.908,10.850
TMIN,AMJJAS,11.873,11.953,12.538,11.042,11.570,11.819,11.702,11.865,12.174,11.041,11.795,12.284,11.475,12.795,12.107,12.063,11.557,13.081,13.275,12.362,12.751,13.378,12.790,12.127,12.614,12.865,12.928,12.941,13.117,13.703
TMIN,ONDJFM,-2.920,-1.170,1.481,-1.093,-1.669,-1.058,-2.804,1.371,0.025,0.877,0.109,-0.286,-0.884,1.655,0.819,-1.598,-0.262,0.664,-0.077,0.034,2.539,0.386,-1.151,-0.198,-0.264,-1.390,3.036,0.763,1.293,0.540
TMIN,NDJF,-5.779,-3.963,-0.387,-2.877,-5.008,-3.136,-4.051,0.361,-2.026,-1.171,-2.335,-1.881,-2.542,-0.544,-0.393,-3.676,-2.165,0.407,-2.872,-2.038,0.531,-2.480,-3.242,-1.578,-1.906,-3.659,1.799,-0.803,-0.592,-1.147
